City_Rank_by_Population(2021),State,State_Abbrieviation,City,Observation_Date,Median_Household_Income_Not_Seasonally_Adjusted_(weighted)_SAIPE,Estimated_Median_Household_Income_ACS,Estimated_Mean_Household_Income_ACS,Estimated_Median_Household_Income_Families_ACS,Estimated_Mean_Household_Income_Families_ACS,Estimated_Median_Household_Income_Married_Couples_ACS,Estimated_Mean_Household_Income_Married_Couples_ACS,Estimated_Median_Household_Income_Nonfamilies_ACS,Estimated_Mean_Household_Income_Nonfamilies_ACS,2021_estimated_population,2020_census,
4,Texas,TX,Houston,1/1/2021,," $55,499.00 "," $89,003.00 "," $61,795.00 "," $104,597.00 "," $86,752.00 "," $138,150.00 "," $41,912.00 "," $63,521.00 ",2288250,2304580,
5,Arizona,AZ,Phoenix,1/1/2011," $50,785.00 "," $43,960.00 "," $60,693.00 "," $51,139.00 "," $69,528.00 "," $66,622.00 "," $84,454.00 "," $31,679.00 "," $42,222.00 ",1624569,1608139,
5,Arizona,AZ,Phoenix,1/1/2012," $51,442.00 "," $44,153.00 "," $61,436.00 "," $50,280.00 "," $68,432.00 "," $66,289.00 "," $84,210.00 "," $34,919.00 "," $46,396.00 ",1624569,1608139,
5,Arizona,AZ,Phoenix,1/1/2013," $52,066.00 "," $46,601.00 "," $65,472.00 "," $52,943.00 "," $73,069.00 "," $68,205.00 "," $90,324.00 "," $34,302.00 "," $47,860.00 ",1624569,1608139,
5,Arizona,AZ,Phoenix,1/1/2014," $53,929.00 "," $47,929.00 "," $67,003.00 "," $55,560.00 "," $75,686.00 "," $71,038.00 "," $93,087.00 "," $35,735.00 "," $49,030.00 ",1624569,1608139,
5,Arizona,AZ,Phoenix,1/1/2015," $56,017.00 "," $48,452.00 "," $69,457.00 "," $55,175.00 "," $78,801.00 "," $72,426.00 "," $97,366.00 "," $34,906.00 "," $49,248.00 ",1624569,1608139,
5,Arizona,AZ,Phoenix,1/1/2016," $58,742.00 "," $52,062.00 "," $73,135.00 "," $59,682.00 "," $83,479.00 "," $76,303.00 "," $103,030.00 "," $38,040.00 "," $50,322.00 ",1624569,1608139,
5,Arizona,AZ,Phoenix,1/1/2017," $62,221.00 "," $56,696.00 "," $77,285.00 "," $65,509.00 "," $87,963.00 "," $81,875.00 "," $105,966.00 "," $40,490.00 "," $53,661.00 ",1624569,1608139,
5,Arizona,AZ,Phoenix,1/1/2018," $65,234.00 "," $57,957.00 "," $80,246.00 "," $67,557.00 "," $90,214.00 "," $84,207.00 "," $108,821.00 "," $41,306.00 "," $57,457.00 ",1624569,1608139,
5,Arizona,AZ,Phoenix,1/1/2019," $68,634.00 "," $60,931.00 "," $84,077.00 "," $68,785.00 "," $95,068.00 "," $87,747.00 "," $114,998.00 "," $41,932.00 "," $58,213.00 ",1624569,1608139,
5,Arizona,AZ,Phoenix,1/1/2020," $71,799.00 "," $60,914.00 "," $85,527.00 "," $70,803.00 "," $96,514.00 "," $88,307.00 "," $117,191.00 "," $42,310.00 "," $60,382.00 ",1624569,1608139,
5,Arizona,AZ,Phoenix,1/1/2021,," $68,435.00 "," $93,870.00 "," $79,209.00 "," $106,160.00 "," $97,846.00 "," $126,307.00 "," $46,972.00 "," $65,331.00 ",1624569,1608139,
6,Pennsylvania,PA,Philadelphia,1/1/2011," $34,433.00 "," $34,207.00 "," $50,477.00 "," $42,668.00 "," $60,096.00 "," $64,591.00 "," $82,095.00 "," $24,654.00 "," $37,838.00 ",1576251,1603797,
6,Pennsylvania,PA,Philadelphia,1/1/2012," $35,518.00 "," $35,386.00 "," $53,088.00 "," $44,299.00 "," $62,715.00 "," $66,446.00 "," $87,160.00 "," $26,364.00 "," $40,188.00 ",1576251,1603797,
6,Pennsylvania,PA,Philadelphia,1/1/2013," $36,918.00 "," $36,836.00 "," $54,615.00 "," $44,584.00 "," $64,323.00 "," $67,552.00 "," $88,260.00 "," $26,967.00 "," $42,636.00 ",1576251,1603797,
6,Pennsylvania,PA,Philadelphia,1/1/2014," $39,037.00 "," $39,043.00 "," $57,306.00 "," $46,989.00 "," $68,121.00 "," $69,617.00 "," $92,159.00 "," $28,817.00 "," $43,195.00 ",1576251,1603797,
6,Pennsylvania,PA,Philadelphia,1/1/2015," $41,210.00 "," $41,233.00 "," $59,766.00 "," $49,309.00 "," $68,923.00 "," $73,343.00 "," $95,146.00 "," $30,649.00 "," $46,145.00 ",1576251,1603797,
6,Pennsylvania,PA,Philadelphia,1/1/2016," $41,514.00 "," $41,449.00 "," $60,857.00 "," $50,280.00 "," $71,283.00 "," $73,684.00 "," $96,548.00 "," $29,943.00 "," $46,574.00 ",1576251,1603797,
6,Pennsylvania,PA,Philadelphia,1/1/2017," $40,193.00 "," $39,759.00 "," $61,458.00 "," $54,431.00 "," $78,787.00 "," $80,165.00 "," $105,572.00 "," $23,144.00 "," $42,605.00 ",1576251,1603797,
6,Pennsylvania,PA,Philadelphia,1/1/2018," $46,149.00 "," $46,116.00 "," $69,025.00 "," $55,109.00 "," $81,730.00 "," $81,962.00 "," $112,730.00 "," $32,290.00 "," $51,590.00 ",1576251,1603797,
6,Pennsylvania,PA,Philadelphia,1/1/2019," $47,598.00 "," $47,474.00 "," $72,748.00 "," $54,978.00 "," $82,028.00 "," $82,072.00 "," $110,616.00 "," $35,626.00 "," $58,208.00 ",1576251,1603797,
6,Pennsylvania,PA,Philadelphia,1/1/2020," $55,102.00 "," $49,127.00 "," $72,419.00 "," $58,090.00 "," $83,963.00 "," $86,667.00 "," $113,790.00 "," $35,827.00 "," $55,901.00 ",1576251,1603797,
6,Pennsylvania,PA,Philadelphia,1/1/2021,," $52,899.00 "," $77,734.00 "," $61,775.00 "," $91,456.00 "," $95,408.00 "," $123,574.00 "," $37,802.00 "," $58,421.00 ",1576251,1603797,
7,Texas,TX,San Antonio,1/1/2011," $46,589.00 "," $42,613.00 "," $57,374.00 "," $50,283.00 "," $66,197.00 "," $64,857.00 "," $81,109.00 "," $27,436.00 "," $38,349.00 ",1451853,1434625,
7,Texas,TX,San Antonio,1/1/2012," $49,651.00 "," $45,524.00 "," $60,818.00 "," $51,698.00 "," $68,293.00 "," $67,609.00 "," $84,822.00 "," $31,296.00 "," $42,666.00 ",1451853,1434625,
7,Texas,TX,San Antonio,1/1/2013," $49,655.00 "," $45,399.00 "," $60,707.00 "," $52,808.00 "," $69,528.00 "," $66,723.00 "," $84,141.00 "," $31,001.00 "," $41,904.00 ",1451853,1434625,
7,Texas,TX,San Antonio,1/1/2014," $50,699.00 ",,,,,,,,,1451853,1434625,
7,Texas,TX,San Antonio,1/1/2015," $52,230.00 "," $48,869.00 "," $65,224.00 "," $55,713.00 "," $73,141.00 "," $70,942.00 "," $89,333.00 "," $32,859.00 "," $46,584.00 ",1451853,1434625,
7,Texas,TX,San Antonio,1/1/2016," $53,170.00 "," $49,268.00 "," $66,058.00 "," $57,031.00 "," $75,419.00 "," $72,694.00 "," $91,461.00 "," $34,729.00 "," $46,144.00 ",1451853,1434625,
7,Texas,TX,San Antonio,1/1/2017," $54,163.00 "," $50,044.00 "," $67,325.00 "," $59,810.00 "," $78,261.00 "," $75,571.00 "," $94,215.00 "," $32,570.00 "," $44,047.00 ",1451853,1434625,
7,Texas,TX,San Antonio,1/1/2018," $54,210.00 "," $49,024.00 "," $67,179.00 "," $60,689.00 "," $80,167.00 "," $74,281.00 "," $95,273.00 "," $32,029.00 "," $43,530.00 ",1451853,1434625,
7,Texas,TX,San Antonio,1/1/2019," $58,956.00 "," $53,751.00 "," $72,587.00 "," $63,605.00 "," $84,348.00 "," $80,556.00 "," $102,475.00 "," $38,848.00 "," $49,394.00 ",1451853,1434625,
7,Texas,TX,San Antonio,1/1/2020," $60,477.00 "," $53,420.00 "," $71,917.00 "," $64,030.00 "," $83,936.00 "," $80,587.00 "," $101,368.00 "," $35,786.00 "," $48,236.00 ",1451853,1434625,
7,Texas,TX,San Antonio,1/1/2021,," $54,923.00 "," $74,838.00 "," $66,015.00 "," $86,848.00 "," $82,975.00 "," $106,737.00 "," $37,383.00 "," $48,727.00 ",1451853,1434625,
8,California,CA,San Diego,1/1/2011," $59,290.00 "," $60,797.00 "," $81,144.00 "," $73,106.00 "," $95,617.00 "," $88,798.00 "," $112,291.00 "," $44,695.00 "," $58,055.00 ",1381611,1386932,
8,California,CA,San Diego,1/1/2012," $60,235.00 "," $62,395.00 "," $85,136.00 "," $74,318.00 "," $97,260.00 "," $89,884.00 "," $112,962.00 "," $48,067.00 "," $64,752.00 ",1381611,1386932,
8,California,CA,San Diego,1/1/2013," $61,365.00 "," $63,456.00 "," $89,585.00 "," $75,992.00 "," $102,504.00 "," $95,004.00 "," $120,895.00 "," $47,825.00 "," $66,005.00 ",1381611,1386932,
8,California,CA,San Diego,1/1/2014," $66,034.00 "," $67,799.00 "," $92,389.00 "," $79,751.00 "," $104,769.00 "," $96,241.00 "," $121,556.00 "," $51,178.00 "," $69,374.00 ",1381611,1386932,
8,California,CA,San Diego,1/1/2015," $67,053.00 "," $67,871.00 "," $92,192.00 "," $78,520.00 "," $106,989.00 "," $94,633.00 "," $123,874.00 "," $51,749.00 "," $67,232.00 ",1381611,1386932,
8,California,CA,San Diego,1/1/2016," $70,693.00 "," $71,481.00 "," $99,064.00 "," $83,167.00 "," $113,625.00 "," $101,322.00 "," $131,887.00 "," $55,059.00 "," $72,734.00 ",1381611,1386932,
8,California,CA,San Diego,1/1/2017," $76,048.00 "," $76,662.00 "," $105,393.00 "," $90,695.00 "," $122,631.00 "," $111,699.00 "," $142,658.00 "," $58,268.00 "," $75,752.00 ",1381611,1386932,
8,California,CA,San Diego,1/1/2018," $78,777.00 "," $79,646.00 "," $108,132.00 "," $92,773.00 "," $123,488.00 "," $114,052.00 "," $144,779.00 "," $60,119.00 "," $79,844.00 ",1381611,1386932,
8,California,CA,San Diego,1/1/2019," $83,576.00 "," $85,507.00 "," $114,244.00 "," $100,470.00 "," $132,846.00 "," $118,148.00 "," $150,279.00 "," $61,890.00 "," $80,526.00 ",1381611,1386932,
8,California,CA,San Diego,1/1/2020," $87,126.00 "," $83,454.00 "," $113,681.00 "," $99,450.00 "," $131,945.00 "," $118,562.00 "," $151,293.00 "," $61,539.00 "," $81,447.00 ",1381611,1386932,
8,California,CA,San Diego,1/1/2021,," $93,042.00 "," $124,575.00 "," $107,093.00 "," $145,008.00 "," $125,972.00 "," $165,078.00 "," $70,831.00 "," $90,605.00 ",1381611,1386932,
9,Texas,TX,Dallas,1/1/2011," $49,220.75 "," $40,585.00 "," $66,470.00 "," $43,412.00 "," $75,531.00 "," $59,493.00 "," $99,995.00 "," $35,392.00 "," $52,192.00 ",1288457,1304379,
9,Texas,TX,Dallas,1/1/2012," $49,222.20 "," $41,354.00 "," $66,568.00 "," $43,804.00 "," $76,378.00 "," $60,639.00 "," $99,719.00 "," $35,487.00 "," $51,406.00 ",1288457,1304379,
9,Texas,TX,Dallas,1/1/2013," $49,803.44 "," $41,978.00 "," $72,405.00 "," $44,852.00 "," $83,178.00 "," $65,265.00 "," $111,065.00 "," $36,562.00 "," $55,179.00 ",1288457,1304379,
9,Texas,TX,Dallas,1/1/2014," $52,080.05 "," $43,003.00 "," $73,312.00 "," $46,880.00 "," $84,175.00 "," $65,438.00 "," $113,245.00 "," $36,304.00 "," $55,908.00 ",1288457,1304379,
9,Texas,TX,Dallas,1/1/2015," $53,718.59 "," $45,918.00 "," $77,636.00 "," $49,088.00 "," $90,079.00 "," $67,974.00 "," $118,885.00 "," $40,353.00 "," $58,851.00 ",1288457,1304379,
9,Texas,TX,Dallas,1/1/2016," $56,412.23 "," $47,243.00 "," $76,726.00 "," $51,388.00 "," $88,206.00 "," $70,267.00 "," $114,749.00 "," $39,570.00 "," $59,097.00 ",1288457,1304379,
9,Texas,TX,Dallas,1/1/2017," $58,893.88 "," $50,627.00 "," $80,735.00 "," $55,540.00 "," $93,168.00 "," $73,610.00 "," $121,870.00 "," $41,042.00 "," $61,534.00 ",1288457,1304379,
9,Texas,TX,Dallas,1/1/2018," $61,912.83 "," $52,210.00 "," $85,032.00 "," $58,835.00 "," $101,480.00 "," $80,463.00 "," $130,566.00 "," $42,410.00 "," $61,461.00 ",1288457,1304379,
9,Texas,TX,Dallas,1/1/2019," $63,813.83 "," $55,332.00 "," $90,413.00 "," $63,180.00 "," $108,021.00 "," $83,724.00 "," $137,470.00 "," $45,844.00 "," $66,174.00 ",1288457,1304379,
9,Texas,TX,Dallas,1/1/2020," $67,718.23 "," $54,747.00 "," $87,999.00 "," $60,895.00 "," $103,196.00 "," $81,761.00 "," $132,452.00 "," $45,658.00 "," $65,896.00 ",1288457,1304379,
9,Texas,TX,Dallas,1/1/2021,," $57,995.00 "," $91,591.00 "," $66,950.00 "," $111,775.00 "," $90,867.00 "," $143,496.00 "," $45,424.00 "," $65,409.00 ",1288457,1304379,
10,California,CA,San Jose,1/1/2011," $84,741.00 "," $76,593.00 "," $99,062.00 "," $85,050.00 "," $108,640.00 "," $102,748.00 "," $125,036.00 "," $45,427.00 "," $65,012.00 ",983489,1013240,
10,California,CA,San Jose,1/1/2012," $91,195.00 "," $80,090.00 "," $101,390.00 "," $88,110.00 "," $108,090.00 "," $102,976.00 "," $124,023.00 "," $53,598.00 "," $73,775.00 ",983489,1013240,
10,California,CA,San Jose,1/1/2013," $91,843.00 "," $80,977.00 "," $107,310.00 "," $88,962.00 "," $114,879.00 "," $107,386.00 "," $131,727.00 "," $54,076.00 "," $76,190.00 ",983489,1013240,
10,California,CA,San Jose,1/1/2014," $97,219.00 "," $87,210.00 "," $111,952.00 "," $96,706.00 "," $119,753.00 "," $112,645.00 "," $135,982.00 "," $57,029.00 "," $81,429.00 ",983489,1013240,
10,California,CA,San Jose,1/1/2015," $102,191.00 "," $91,451.00 "," $118,547.00 "," $101,150.00 "," $129,474.00 "," $121,134.00 "," $147,339.00 "," $53,161.00 "," $78,795.00 ",983489,1013240,
10,California,CA,San Jose,1/1/2016," $110,843.00 "," $101,940.00 "," $131,280.00 "," $111,902.00 "," $141,512.00 "," $133,216.00 "," $159,544.00 "," $64,349.00 "," $92,326.00 ",983489,1013240,
10,California,CA,San Jose,1/1/2017," $118,468.00 "," $104,675.00 "," $134,413.00 "," $119,331.00 "," $146,419.00 "," $140,771.00 "," $166,368.00 "," $65,579.00 "," $91,031.00 ",983489,1013240,
10,California,CA,San Jose,1/1/2018," $125,933.00 "," $113,036.00 "," $146,216.00 "," $126,462.00 "," $160,431.00 "," $146,983.00 "," $180,349.00 "," $69,080.00 "," $97,621.00 ",983489,1013240,
10,California,CA,San Jose,1/1/2019," $132,444.00 "," $115,893.00 "," $153,596.00 "," $130,829.00 "," $171,346.00 "," $156,490.00 "," $196,518.00 "," $68,749.00 "," $99,200.00 ",983489,1013240,
10,California,CA,San Jose,1/1/2020," $139,462.00 "," $117,324.00 "," $150,601.00 "," $129,879.00 "," $164,460.00 "," $153,774.00 "," $186,433.00 "," $72,962.00 "," $102,759.00 ",983489,1013240,
10,California,CA,San Jose,1/1/2021,," $126,377.00 "," $170,959.00 "," $141,783.00 "," $187,863.00 "," $171,661.00 "," $216,085.00 "," $78,331.00 "," $113,250.00 ",983489,1013240,
11,Texas,TX,Austin,1/1/2011," $54,066.79 "," $49,987.00 "," $72,650.00 "," $63,672.00 "," $90,996.00 "," $85,256.00 "," $113,629.00 "," $39,005.00 "," $50,763.00 ",964177,961855,
11,Texas,TX,Austin,1/1/2012," $57,922.06 "," $52,453.00 "," $76,287.00 "," $68,023.00 "," $95,223.00 "," $90,912.00 "," $116,851.00 "," $40,567.00 "," $53,553.00 ",964177,961855,
11,Texas,TX,Austin,1/1/2013," $60,861.60 "," $56,351.00 "," $78,911.00 "," $71,511.00 "," $96,686.00 "," $90,092.00 "," $117,834.00 "," $41,865.00 "," $57,166.00 ",964177,961855,
11,Texas,TX,Austin,1/1/2014," $62,288.36 "," $58,458.00 "," $82,428.00 "," $76,663.00 "," $102,818.00 "," $94,017.00 "," $123,791.00 "," $43,824.00 "," $58,526.00 ",964177,961855,
11,Texas,TX,Austin,1/1/2015," $65,841.92 "," $62,250.00 "," $90,336.00 "," $76,629.00 "," $109,955.00 "," $95,173.00 "," $129,580.00 "," $50,256.00 "," $66,333.00 ",964177,961855,
11,Texas,TX,Austin,1/1/2016," $70,621.59 "," $66,697.00 "," $94,820.00 "," $86,615.00 "," $118,875.00 "," $106,493.00 "," $141,318.00 "," $50,991.00 "," $65,342.00 ",964177,961855,
11,Texas,TX,Austin,1/1/2017," $73,205.57 "," $67,755.00 "," $96,046.00 "," $87,200.00 "," $115,096.00 "," $102,758.00 "," $132,943.00 "," $52,363.00 "," $73,462.00 ",964177,961855,
11,Texas,TX,Austin,1/1/2018," $76,775.29 "," $71,543.00 "," $104,191.00 "," $93,491.00 "," $127,110.00 "," $115,234.00 "," $149,769.00 "," $54,979.00 "," $74,881.00 ",964177,961855,
11,Texas,TX,Austin,1/1/2019," $81,228.70 "," $75,413.00 "," $107,091.00 "," $98,238.00 "," $132,205.00 "," $125,750.00 "," $159,089.00 "," $57,150.00 "," $78,334.00 ",964177,961855,
11,Texas,TX,Austin,1/1/2020," $83,005.59 "," $75,752.00 "," $105,709.00 "," $98,014.00 "," $129,691.00 "," $118,571.00 "," $151,809.00 "," $56,825.00 "," $76,932.00 ",964177,961855,
11,Texas,TX,Austin,1/1/2021,," $79,542.00 "," $115,631.00 "," $112,625.00 "," $149,774.00 "," $139,192.00 "," $173,039.00 "," $57,842.00 "," $83,575.00 ",964177,961855,
12,Florida,FL,Jacksonville,1/1/2011," $45,995.00 "," $44,802.00 "," $61,756.00 "," $56,290.00 "," $73,139.00 "," $71,816.00 "," $89,567.00 "," $31,249.00 "," $40,473.00 ",954614,949611,
