Metric,City,Estimate,Group,Estimate Margin of Error
"('Total population',)","San Diego city, California","1,311,886",total_number_of_races_reported,±86
"('Total population',)","San Francisco city, California","805,463",total_number_of_races_reported,*****
"('Total population',)","San Jose city, California","949,197",total_number_of_races_reported,±102
"('Total population',)","Seattle city, Washington","610,710",total_number_of_races_reported,±77
"('Total population',)","Tucson city, Arizona","521,132",total_number_of_races_reported,±109
"('Total population',)","Washington city, District of Columbia","604,453",total_number_of_races_reported,*****
"('One race',)","Albuquerque city, New Mexico",95.60%,total_number_of_races_reported,±0.6
"('One race',)","Austin city, Texas",97.40%,total_number_of_races_reported,±0.5
"('One race',)","Baltimore city, Maryland",97.60%,total_number_of_races_reported,±0.6
"('One race',)","Boston city, Massachusetts",95.30%,total_number_of_races_reported,±0.8
"('One race',)","Charlotte city, North Carolina",97.60%,total_number_of_races_reported,±0.4
"('One race',)","Chicago city, Illinois",98.30%,total_number_of_races_reported,±0.2
"('One race',)","Columbus city, Ohio",97.00%,total_number_of_races_reported,±0.5
"('One race',)","Dallas city, Texas",97.80%,total_number_of_races_reported,±0.4
"('One race',)","Denver city, Colorado",96.90%,total_number_of_races_reported,±0.5
"('One race',)","Detroit city, Michigan",97.90%,total_number_of_races_reported,±0.5
"('One race',)","El Paso city, Texas",98.10%,total_number_of_races_reported,±0.3
"('One race',)","Fort Worth city, Texas",98.00%,total_number_of_races_reported,±0.4
"('One race',)","Houston city, Texas",98.60%,total_number_of_races_reported,±0.2
"('One race',)","Indianapolis city (balance), Indiana",97.40%,total_number_of_races_reported,±0.4
"('One race',)","Jacksonville city, Florida",97.20%,total_number_of_races_reported,±0.4
"('One race',)","Las Vegas city, Nevada",95.40%,total_number_of_races_reported,±0.9
"('One race',)","Los Angeles city, California",96.70%,total_number_of_races_reported,±0.2
"('One race',)","Memphis city, Tennessee",98.40%,total_number_of_races_reported,±0.5
"('One race',)","Milwaukee city, Wisconsin",96.10%,total_number_of_races_reported,±0.8
"('One race',)","New York city, New York",96.90%,total_number_of_races_reported,±0.1
"('One race',)","Oklahoma City city, Oklahoma",92.80%,total_number_of_races_reported,±1.0
"('One race',)","Philadelphia city, Pennsylvania",97.50%,total_number_of_races_reported,±0.4
"('One race',)","Phoenix city, Arizona",97.20%,total_number_of_races_reported,±0.4
"('One race',)","Portland city, Oregon",96.00%,total_number_of_races_reported,±0.7
"('One race',)","San Antonio city, Texas",97.60%,total_number_of_races_reported,±0.3
"('One race',)","San Diego city, California",95.10%,total_number_of_races_reported,±0.5
"('One race',)","San Francisco city, California",96.40%,total_number_of_races_reported,±0.4
"('One race',)","San Jose city, California",95.50%,total_number_of_races_reported,±0.6
"('One race',)","Seattle city, Washington",95.40%,total_number_of_races_reported,±0.7
"('One race',)","Tucson city, Arizona",97.20%,total_number_of_races_reported,±0.5
"('One race',)","Washington city, District of Columbia",98.00%,total_number_of_races_reported,±0.3
"('Two races',)","Albuquerque city, New Mexico",4.10%,total_number_of_races_reported,±0.6
"('Two races',)","Austin city, Texas",2.50%,total_number_of_races_reported,±0.5
"('Two races',)","Baltimore city, Maryland",2.00%,total_number_of_races_reported,±0.5
"('Two races',)","Boston city, Massachusetts",4.40%,total_number_of_races_reported,±0.7
"('Two races',)","Charlotte city, North Carolina",2.00%,total_number_of_races_reported,±0.4
"('Two races',)","Chicago city, Illinois",1.60%,total_number_of_races_reported,±0.2
"('Two races',)","Columbus city, Ohio",2.80%,total_number_of_races_reported,±0.4
"('Two races',)","Dallas city, Texas",2.00%,total_number_of_races_reported,±0.4
"('Two races',)","Denver city, Colorado",2.90%,total_number_of_races_reported,±0.5
"('Two races',)","Detroit city, Michigan",1.70%,total_number_of_races_reported,±0.4
"('Two races',)","El Paso city, Texas",1.80%,total_number_of_races_reported,±0.3
"('Two races',)","Fort Worth city, Texas",1.80%,total_number_of_races_reported,±0.4
"('Two races',)","Houston city, Texas",1.40%,total_number_of_races_reported,±0.2
"('Two races',)","Indianapolis city (balance), Indiana",2.40%,total_number_of_races_reported,±0.4
"('Two races',)","Jacksonville city, Florida",2.60%,total_number_of_races_reported,±0.4
"('Two races',)","Las Vegas city, Nevada",4.10%,total_number_of_races_reported,±0.9
"('Two races',)","Los Angeles city, California",3.00%,total_number_of_races_reported,±0.2
"('Two races',)","Memphis city, Tennessee",1.50%,total_number_of_races_reported,±0.5
"('Two races',)","Milwaukee city, Wisconsin",3.20%,total_number_of_races_reported,±0.7
"('Two races',)","New York city, New York",2.90%,total_number_of_races_reported,±0.1
"('Two races',)","Oklahoma City city, Oklahoma",6.90%,total_number_of_races_reported,±1.0
"('Two races',)","Philadelphia city, Pennsylvania",2.30%,total_number_of_races_reported,±0.4
"('Two races',)","Phoenix city, Arizona",2.70%,total_number_of_races_reported,±0.4
"('Two races',)","Portland city, Oregon",3.60%,total_number_of_races_reported,±0.7
"('Two races',)","San Antonio city, Texas",2.30%,total_number_of_races_reported,±0.3
"('Two races',)","San Diego city, California",4.50%,total_number_of_races_reported,±0.4
"('Two races',)","San Francisco city, California",3.30%,total_number_of_races_reported,±0.4
"('Two races',)","San Jose city, California",4.30%,total_number_of_races_reported,±0.5
"('Two races',)","Seattle city, Washington",4.10%,total_number_of_races_reported,±0.7
"('Two races',)","Tucson city, Arizona",2.50%,total_number_of_races_reported,±0.4
"('Two races',)","Washington city, District of Columbia",1.70%,total_number_of_races_reported,±0.3
"('Three races',)","Albuquerque city, New Mexico",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","Austin city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Baltimore city, Maryland",0.40%,total_number_of_races_reported,±0.3
"('Three races',)","Boston city, Massachusetts",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","Charlotte city, North Carolina",0.40%,total_number_of_races_reported,±0.2
"('Three races',)","Chicago city, Illinois",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Columbus city, Ohio",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Dallas city, Texas",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Denver city, Colorado",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Detroit city, Michigan",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","El Paso city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Fort Worth city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Houston city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Indianapolis city (balance), Indiana",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Jacksonville city, Florida",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Las Vegas city, Nevada",0.50%,total_number_of_races_reported,±0.2
"('Three races',)","Los Angeles city, California",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","Memphis city, Tennessee",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Milwaukee city, Wisconsin",0.60%,total_number_of_races_reported,±0.4
"('Three races',)","New York city, New York",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Oklahoma City city, Oklahoma",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","Philadelphia city, Pennsylvania",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Phoenix city, Arizona",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Portland city, Oregon",0.40%,total_number_of_races_reported,±0.2
"('Three races',)","San Antonio city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","San Diego city, California",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","San Francisco city, California",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","San Jose city, California",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Seattle city, Washington",0.40%,total_number_of_races_reported,±0.2
"('Three races',)","Tucson city, Arizona",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","Washington city, District of Columbia",0.20%,total_number_of_races_reported,±0.1
"('Four or more races',)","Albuquerque city, New Mexico",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Austin city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Baltimore city, Maryland",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Boston city, Massachusetts",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Charlotte city, North Carolina",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Chicago city, Illinois",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Columbus city, Ohio",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Dallas city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Denver city, Colorado",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Detroit city, Michigan",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","El Paso city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Fort Worth city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Houston city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Indianapolis city (balance), Indiana",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Jacksonville city, Florida",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Las Vegas city, Nevada",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Los Angeles city, California",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Memphis city, Tennessee",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Milwaukee city, Wisconsin",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","New York city, New York",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Oklahoma City city, Oklahoma",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Philadelphia city, Pennsylvania",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Phoenix city, Arizona",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Portland city, Oregon",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","San Antonio city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","San Diego city, California",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","San Francisco city, California",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","San Jose city, California",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Seattle city, Washington",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Tucson city, Arizona",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Washington city, District of Columbia",0.00%,total_number_of_races_reported,±0.1
"('Total population',)","Albuquerque city, New Mexico","547,585",sex_and_age,±69
"('Total population',)","Austin city, Texas","795,518",sex_and_age,±62
"('Total population',)","Baltimore city, Maryland","620,583",sex_and_age,*****
"('Total population',)","Boston city, Massachusetts","621,383",sex_and_age,"±2,359"
"('Total population',)","Charlotte city, North Carolina","734,418",sex_and_age,±91
"('Total population',)","Chicago city, Illinois","2,698,831",sex_and_age,±46
"('Total population',)","Columbus city, Ohio","789,939",sex_and_age,"±3,041"
"('Total population',)","Dallas city, Texas","1,202,797",sex_and_age,±263
"('Total population',)","Denver city, Colorado","604,414",sex_and_age,*****
"('Total population',)","Detroit city, Michigan","711,910",sex_and_age,±89
"('Total population',)","El Paso city, Texas","652,113",sex_and_age,±69
"('Total population',)","Fort Worth city, Texas","744,114",sex_and_age,"±1,809"
"('Total population',)","Houston city, Texas","2,107,208",sex_and_age,±880
"('Total population',)","Indianapolis city (balance), Indiana","824,199",sex_and_age,"±3,852"
"('Total population',)","Jacksonville city, Florida","823,316",sex_and_age,±21
"('Total population',)","Las Vegas city, Nevada","584,641",sex_and_age,±61
"('Total population',)","Los Angeles city, California","3,797,144",sex_and_age,±74
"('Total population',)","Memphis city, Tennessee","647,870",sex_and_age,±74
"('Total population',)","Milwaukee city, Wisconsin","595,587",sex_and_age,±35
"('Total population',)","New York city, New York","8,184,899",sex_and_age,*****
"('Total population',)","Oklahoma City city, Oklahoma","582,278",sex_and_age,±213
"('Total population',)","Philadelphia city, Pennsylvania","1,528,306",sex_and_age,*****
"('Total population',)","Phoenix city, Arizona","1,449,481",sex_and_age,±142
"('Total population',)","Portland city, Oregon","585,429",sex_and_age,"±1,106"
"('Total population',)","San Antonio city, Texas","1,334,359",sex_and_age,±97
"('Total population',)","San Diego city, California","1,311,886",sex_and_age,±86
"('Total population',)","San Francisco city, California","805,463",sex_and_age,*****
"('Total population',)","San Jose city, California","949,197",sex_and_age,±102
"('Total population',)","Seattle city, Washington","610,710",sex_and_age,±77
"('Total population',)","Tucson city, Arizona","521,132",sex_and_age,±109
"('Total population',)","Washington city, District of Columbia","604,453",sex_and_age,*****
"('Male',)","Albuquerque city, New Mexico",48.70%,sex_and_age,±0.4
"('Male',)","Austin city, Texas",50.60%,sex_and_age,±0.4
"('Male',)","Baltimore city, Maryland",47.10%,sex_and_age,±0.1
"('Male',)","Boston city, Massachusetts",47.70%,sex_and_age,±0.4
"('Male',)","Charlotte city, North Carolina",48.10%,sex_and_age,±0.3
"('Male',)","Chicago city, Illinois",48.40%,sex_and_age,±0.3
"('Male',)","Columbus city, Ohio",48.50%,sex_and_age,±0.5
"('Male',)","Dallas city, Texas",50.30%,sex_and_age,±0.5
"('Male',)","Denver city, Colorado",50.10%,sex_and_age,±0.1
"('Male',)","Detroit city, Michigan",47.60%,sex_and_age,±0.4
"('Male',)","El Paso city, Texas",47.90%,sex_and_age,±0.5
"('Male',)","Fort Worth city, Texas",49.40%,sex_and_age,±0.8
"('Male',)","Houston city, Texas",50.40%,sex_and_age,±0.4
"('Male',)","Indianapolis city (balance), Indiana",48.30%,sex_and_age,±0.2
"('Male',)","Jacksonville city, Florida",48.50%,sex_and_age,±0.2
"('Male',)","Las Vegas city, Nevada",50.80%,sex_and_age,±0.8
"('Male',)","Los Angeles city, California",49.50%,sex_and_age,±0.3
"('Male',)","Memphis city, Tennessee",47.70%,sex_and_age,±0.5
"('Male',)","Milwaukee city, Wisconsin",48.10%,sex_and_age,±0.5
"('Male',)","New York city, New York",47.50%,sex_and_age,±0.1
"('Male',)","Oklahoma City city, Oklahoma",49.40%,sex_and_age,±0.6
"('Male',)","Philadelphia city, Pennsylvania",47.20%,sex_and_age,±0.1
"('Male',)","Phoenix city, Arizona",50.50%,sex_and_age,±0.5
"('Male',)","Portland city, Oregon",49.70%,sex_and_age,±0.4
"('Male',)","San Antonio city, Texas",48.70%,sex_and_age,±0.3
"('Male',)","San Diego city, California",50.80%,sex_and_age,±0.5
"('Male',)","San Francisco city, California",50.70%,sex_and_age,±0.1
"('Male',)","San Jose city, California",50.30%,sex_and_age,±0.4
"('Male',)","Seattle city, Washington",49.50%,sex_and_age,±0.7
"('Male',)","Tucson city, Arizona",49.60%,sex_and_age,±0.7
"('Male',)","Washington city, District of Columbia",47.30%,sex_and_age,±0.1
"('Female',)","Albuquerque city, New Mexico",51.30%,sex_and_age,±0.4
"('Female',)","Austin city, Texas",49.40%,sex_and_age,±0.4
"('Female',)","Baltimore city, Maryland",52.90%,sex_and_age,±0.1
"('Female',)","Boston city, Massachusetts",52.30%,sex_and_age,±0.4
"('Female',)","Charlotte city, North Carolina",51.90%,sex_and_age,±0.3
"('Female',)","Chicago city, Illinois",51.60%,sex_and_age,±0.3
"('Female',)","Columbus city, Ohio",51.50%,sex_and_age,±0.5
"('Female',)","Dallas city, Texas",49.70%,sex_and_age,±0.5
"('Female',)","Denver city, Colorado",49.90%,sex_and_age,±0.1
"('Female',)","Detroit city, Michigan",52.40%,sex_and_age,±0.4
"('Female',)","El Paso city, Texas",52.10%,sex_and_age,±0.5
"('Female',)","Fort Worth city, Texas",50.60%,sex_and_age,±0.8
"('Female',)","Houston city, Texas",49.60%,sex_and_age,±0.4
"('Female',)","Indianapolis city (balance), Indiana",51.70%,sex_and_age,±0.2
"('Female',)","Jacksonville city, Florida",51.50%,sex_and_age,±0.2
"('Female',)","Las Vegas city, Nevada",49.20%,sex_and_age,±0.8
"('Female',)","Los Angeles city, California",50.50%,sex_and_age,±0.3
"('Female',)","Memphis city, Tennessee",52.30%,sex_and_age,±0.5
"('Female',)","Milwaukee city, Wisconsin",51.90%,sex_and_age,±0.5
"('Female',)","New York city, New York",52.50%,sex_and_age,±0.1
"('Female',)","Oklahoma City city, Oklahoma",50.60%,sex_and_age,±0.6
"('Female',)","Philadelphia city, Pennsylvania",52.80%,sex_and_age,±0.1
"('Female',)","Phoenix city, Arizona",49.50%,sex_and_age,±0.5
"('Female',)","Portland city, Oregon",50.30%,sex_and_age,±0.4
"('Female',)","San Antonio city, Texas",51.30%,sex_and_age,±0.3
"('Female',)","San Diego city, California",49.20%,sex_and_age,±0.5
"('Female',)","San Francisco city, California",49.30%,sex_and_age,±0.1
"('Female',)","San Jose city, California",49.70%,sex_and_age,±0.4
"('Female',)","Seattle city, Washington",50.50%,sex_and_age,±0.7
"('Female',)","Tucson city, Arizona",50.40%,sex_and_age,±0.7
"('Female',)","Washington city, District of Columbia",52.70%,sex_and_age,±0.1
"('Under 5 years',)","Albuquerque city, New Mexico",7.10%,sex_and_age,±0.2
"('Under 5 years',)","Austin city, Texas",7.40%,sex_and_age,±0.3
"('Under 5 years',)","Baltimore city, Maryland",6.60%,sex_and_age,±0.1
"('Under 5 years',)","Boston city, Massachusetts",5.10%,sex_and_age,±0.2
"('Under 5 years',)","Charlotte city, North Carolina",7.70%,sex_and_age,±0.3
"('Under 5 years',)","Chicago city, Illinois",7.00%,sex_and_age,±0.2
"('Under 5 years',)","Columbus city, Ohio",7.70%,sex_and_age,±0.3
"('Under 5 years',)","Dallas city, Texas",8.50%,sex_and_age,±0.3
"('Under 5 years',)","Denver city, Colorado",7.20%,sex_and_age,±0.1
"('Under 5 years',)","Detroit city, Michigan",7.10%,sex_and_age,±0.3
"('Under 5 years',)","El Paso city, Texas",7.80%,sex_and_age,±0.3
"('Under 5 years',)","Fort Worth city, Texas",9.10%,sex_and_age,±0.5
"('Under 5 years',)","Houston city, Texas",8.10%,sex_and_age,±0.3
"('Under 5 years',)","Indianapolis city (balance), Indiana",7.60%,sex_and_age,±0.2
"('Under 5 years',)","Jacksonville city, Florida",6.90%,sex_and_age,±0.1
"('Under 5 years',)","Las Vegas city, Nevada",6.90%,sex_and_age,±0.6
"('Under 5 years',)","Los Angeles city, California",6.70%,sex_and_age,±0.2
"('Under 5 years',)","Memphis city, Tennessee",7.30%,sex_and_age,±0.3
"('Under 5 years',)","Milwaukee city, Wisconsin",8.10%,sex_and_age,±0.3
"('Under 5 years',)","New York city, New York",6.30%,sex_and_age,±0.1
"('Under 5 years',)","Oklahoma City city, Oklahoma",8.10%,sex_and_age,±0.3
"('Under 5 years',)","Philadelphia city, Pennsylvania",6.60%,sex_and_age,±0.1
"('Under 5 years',)","Phoenix city, Arizona",7.70%,sex_and_age,±0.3
"('Under 5 years',)","Portland city, Oregon",6.40%,sex_and_age,±0.2
"('Under 5 years',)","San Antonio city, Texas",7.30%,sex_and_age,±0.2
"('Under 5 years',)","San Diego city, California",6.30%,sex_and_age,±0.3
"('Under 5 years',)","San Francisco city, California",4.40%,sex_and_age,±0.1
"('Under 5 years',)","San Jose city, California",7.20%,sex_and_age,±0.3
"('Under 5 years',)","Seattle city, Washington",5.20%,sex_and_age,±0.4
"('Under 5 years',)","Tucson city, Arizona",6.40%,sex_and_age,±0.5
"('Under 5 years',)","Washington city, District of Columbia",5.40%,sex_and_age,±0.1
"('5 to 17 years',)","Albuquerque city, New Mexico",16.90%,sex_and_age,±0.4
"('5 to 17 years',)","Austin city, Texas",15.10%,sex_and_age,±0.5
"('5 to 17 years',)","Baltimore city, Maryland",14.80%,sex_and_age,±0.1
"('5 to 17 years',)","Boston city, Massachusetts",11.50%,sex_and_age,±0.3
"('5 to 17 years',)","Charlotte city, North Carolina",17.70%,sex_and_age,±0.4
"('5 to 17 years',)","Chicago city, Illinois",16.40%,sex_and_age,±0.3
"('5 to 17 years',)","Columbus city, Ohio",15.90%,sex_and_age,±0.5
"('5 to 17 years',)","Dallas city, Texas",17.80%,sex_and_age,±0.6
"('5 to 17 years',)","Denver city, Colorado",14.30%,sex_and_age,±0.1
"('5 to 17 years',)","Detroit city, Michigan",19.50%,sex_and_age,±0.6
"('5 to 17 years',)","El Paso city, Texas",20.70%,sex_and_age,±0.5
"('5 to 17 years',)","Fort Worth city, Texas",19.80%,sex_and_age,±0.8
"('5 to 17 years',)","Houston city, Texas",17.60%,sex_and_age,±0.4
"('5 to 17 years',)","Indianapolis city (balance), Indiana",17.50%,sex_and_age,±0.2
"('5 to 17 years',)","Jacksonville city, Florida",16.90%,sex_and_age,±0.1
"('5 to 17 years',)","Las Vegas city, Nevada",17.30%,sex_and_age,±0.8
"('5 to 17 years',)","Los Angeles city, California",16.60%,sex_and_age,±0.3
"('5 to 17 years',)","Memphis city, Tennessee",18.10%,sex_and_age,±0.4
"('5 to 17 years',)","Milwaukee city, Wisconsin",18.50%,sex_and_age,±0.5
"('5 to 17 years',)","New York city, New York",15.30%,sex_and_age,±0.1
"('5 to 17 years',)","Oklahoma City city, Oklahoma",17.10%,sex_and_age,±0.6
"('5 to 17 years',)","Philadelphia city, Pennsylvania",15.80%,sex_and_age,±0.1
"('5 to 17 years',)","Phoenix city, Arizona",20.10%,sex_and_age,±0.6
"('5 to 17 years',)","Portland city, Oregon",13.10%,sex_and_age,±0.4
"('5 to 17 years',)","San Antonio city, Texas",19.30%,sex_and_age,±0.3
"('5 to 17 years',)","San Diego city, California",15.70%,sex_and_age,±0.5
"('5 to 17 years',)","San Francisco city, California",9.00%,sex_and_age,±0.1
"('5 to 17 years',)","San Jose city, California",17.30%,sex_and_age,±0.5
"('5 to 17 years',)","Seattle city, Washington",10.40%,sex_and_age,±0.7
"('5 to 17 years',)","Tucson city, Arizona",16.30%,sex_and_age,±0.7
"('5 to 17 years',)","Washington city, District of Columbia",11.30%,sex_and_age,±0.1
"('18 to 24 years',)","Albuquerque city, New Mexico",10.50%,sex_and_age,±0.3
"('18 to 24 years',)","Austin city, Texas",14.40%,sex_and_age,±0.4
"('18 to 24 years',)","Baltimore city, Maryland",12.60%,sex_and_age,±0.1
"('18 to 24 years',)","Boston city, Massachusetts",19.60%,sex_and_age,±0.3
"('18 to 24 years',)","Charlotte city, North Carolina",10.00%,sex_and_age,±0.3
"('18 to 24 years',)","Chicago city, Illinois",11.20%,sex_and_age,±0.2
"('18 to 24 years',)","Columbus city, Ohio",13.60%,sex_and_age,±0.4
"('18 to 24 years',)","Dallas city, Texas",10.50%,sex_and_age,±0.4
"('18 to 24 years',)","Denver city, Colorado",10.30%,sex_and_age,±0.1
"('18 to 24 years',)","Detroit city, Michigan",11.30%,sex_and_age,±0.4
"('18 to 24 years',)","El Paso city, Texas",11.30%,sex_and_age,±0.3
"('18 to 24 years',)","Fort Worth city, Texas",10.10%,sex_and_age,±0.7
"('18 to 24 years',)","Houston city, Texas",10.80%,sex_and_age,±0.3
"('18 to 24 years',)","Indianapolis city (balance), Indiana",10.60%,sex_and_age,±0.2
"('18 to 24 years',)","Jacksonville city, Florida",10.60%,sex_and_age,±0.2
"('18 to 24 years',)","Las Vegas city, Nevada",9.40%,sex_and_age,±0.7
"('18 to 24 years',)","Los Angeles city, California",11.40%,sex_and_age,±0.3
"('18 to 24 years',)","Memphis city, Tennessee",11.60%,sex_and_age,±0.4
"('18 to 24 years',)","Milwaukee city, Wisconsin",13.50%,sex_and_age,±0.4
"('18 to 24 years',)","New York city, New York",10.60%,sex_and_age,±0.1
"('18 to 24 years',)","Oklahoma City city, Oklahoma",9.80%,sex_and_age,±0.4
"('18 to 24 years',)","Philadelphia city, Pennsylvania",13.30%,sex_and_age,±0.1
"('18 to 24 years',)","Phoenix city, Arizona",10.20%,sex_and_age,±0.4
"('18 to 24 years',)","Portland city, Oregon",10.30%,sex_and_age,±0.4
"('18 to 24 years',)","San Antonio city, Texas",11.40%,sex_and_age,±0.3
"('18 to 24 years',)","San Diego city, California",13.50%,sex_and_age,±0.6
"('18 to 24 years',)","San Francisco city, California",9.70%,sex_and_age,±0.1
"('18 to 24 years',)","San Jose city, California",9.80%,sex_and_age,±0.4
"('18 to 24 years',)","Seattle city, Washington",11.70%,sex_and_age,±0.7
"('18 to 24 years',)","Tucson city, Arizona",15.00%,sex_and_age,±0.5
"('18 to 24 years',)","Washington city, District of Columbia",14.30%,sex_and_age,±0.1
"('25 to 34 years',)","Albuquerque city, New Mexico",15.20%,sex_and_age,±0.5
"('25 to 34 years',)","Austin city, Texas",20.40%,sex_and_age,±0.4
"('25 to 34 years',)","Baltimore city, Maryland",16.80%,sex_and_age,±0.1
"('25 to 34 years',)","Boston city, Massachusetts",20.30%,sex_and_age,±0.4
"('25 to 34 years',)","Charlotte city, North Carolina",17.40%,sex_and_age,±0.4
"('25 to 34 years',)","Chicago city, Illinois",18.90%,sex_and_age,±0.3
"('25 to 34 years',)","Columbus city, Ohio",18.70%,sex_and_age,±0.4
"('25 to 34 years',)","Dallas city, Texas",18.60%,sex_and_age,±0.5
"('25 to 34 years',)","Denver city, Colorado",20.50%,sex_and_age,±0.1
"('25 to 34 years',)","Detroit city, Michigan",11.90%,sex_and_age,±0.4
"('25 to 34 years',)","El Paso city, Texas",13.10%,sex_and_age,±0.3
"('25 to 34 years',)","Fort Worth city, Texas",16.30%,sex_and_age,±0.7
"('25 to 34 years',)","Houston city, Texas",17.60%,sex_and_age,±0.4
"('25 to 34 years',)","Indianapolis city (balance), Indiana",16.10%,sex_and_age,±0.2
"('25 to 34 years',)","Jacksonville city, Florida",15.10%,sex_and_age,±0.2
"('25 to 34 years',)","Las Vegas city, Nevada",13.90%,sex_and_age,±0.8
"('25 to 34 years',)","Los Angeles city, California",16.90%,sex_and_age,±0.3
"('25 to 34 years',)","Memphis city, Tennessee",14.80%,sex_and_age,±0.4
