Metric,City,Estimate,Group,Estimate Margin of Error
"('Two races',)","Las Vegas city, Nevada",4.20%,total_number_of_races_reported,±0.6
"('Two races',)","Los Angeles city, California",3.10%,total_number_of_races_reported,±0.2
"('Two races',)","Memphis city, Tennessee",1.50%,total_number_of_races_reported,±0.3
"('Two races',)","Milwaukee city, Wisconsin",3.30%,total_number_of_races_reported,±0.5
"('Two races',)","New York city, New York",2.80%,total_number_of_races_reported,±0.2
"('Two races',)","Oklahoma City city, Oklahoma",5.70%,total_number_of_races_reported,±0.7
"('Two races',)","Philadelphia city, Pennsylvania",2.20%,total_number_of_races_reported,±0.3
"('Two races',)","Phoenix city, Arizona",3.10%,total_number_of_races_reported,±0.4
"('Two races',)","Portland city, Oregon",4.70%,total_number_of_races_reported,±0.6
"('Two races',)","San Antonio city, Texas",2.30%,total_number_of_races_reported,±0.3
"('Two races',)","San Diego city, California",4.30%,total_number_of_races_reported,±0.4
"('Two races',)","San Francisco city, California",4.10%,total_number_of_races_reported,±0.4
"('Two races',)","San Jose city, California",4.60%,total_number_of_races_reported,±0.4
"('Two races',)","Seattle city, Washington",5.30%,total_number_of_races_reported,±0.6
"('Two races',)","Tucson city, Arizona",4.20%,total_number_of_races_reported,±0.7
"('Two races',)","Washington city, District of Columbia",2.80%,total_number_of_races_reported,±0.4
"('Three races',)","Albuquerque city, New Mexico",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","Austin city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Baltimore city, Maryland",0.20%,total_number_of_races_reported,±0.2
"('Three races',)","Boston city, Massachusetts",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","Charlotte city, North Carolina",0.40%,total_number_of_races_reported,±0.2
"('Three races',)","Chicago city, Illinois",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Columbus city, Ohio",0.60%,total_number_of_races_reported,±0.3
"('Three races',)","Dallas city, Texas",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","Denver city, Colorado",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","Detroit city, Michigan",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","El Paso city, Texas",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Fort Worth city, Texas",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","Fresno city, California",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Houston city, Texas",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Indianapolis city (balance), Indiana",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Jacksonville city, Florida",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Las Vegas city, Nevada",0.40%,total_number_of_races_reported,±0.1
"('Three races',)","Los Angeles city, California",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","Memphis city, Tennessee",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","Milwaukee city, Wisconsin",0.40%,total_number_of_races_reported,±0.2
"('Three races',)","New York city, New York",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Oklahoma City city, Oklahoma",0.50%,total_number_of_races_reported,±0.2
"('Three races',)","Philadelphia city, Pennsylvania",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Phoenix city, Arizona",0.20%,total_number_of_races_reported,±0.1
"('Three races',)","Portland city, Oregon",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","San Antonio city, Texas",0.10%,total_number_of_races_reported,±0.1
"('Three races',)","San Diego city, California",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","San Francisco city, California",0.40%,total_number_of_races_reported,±0.1
"('Three races',)","San Jose city, California",0.30%,total_number_of_races_reported,±0.1
"('Three races',)","Seattle city, Washington",0.80%,total_number_of_races_reported,±0.3
"('Three races',)","Tucson city, Arizona",0.30%,total_number_of_races_reported,±0.2
"('Three races',)","Washington city, District of Columbia",0.40%,total_number_of_races_reported,±0.2
"('Four or more races',)","Albuquerque city, New Mexico",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Austin city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Baltimore city, Maryland",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Boston city, Massachusetts",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Charlotte city, North Carolina",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Chicago city, Illinois",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Columbus city, Ohio",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Dallas city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Denver city, Colorado",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Detroit city, Michigan",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","El Paso city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Fort Worth city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Fresno city, California",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Houston city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Indianapolis city (balance), Indiana",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Jacksonville city, Florida",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Las Vegas city, Nevada",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Los Angeles city, California",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Memphis city, Tennessee",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Milwaukee city, Wisconsin",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","New York city, New York",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Oklahoma City city, Oklahoma",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Philadelphia city, Pennsylvania",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Phoenix city, Arizona",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Portland city, Oregon",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","San Antonio city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","San Diego city, California",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","San Francisco city, California",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","San Jose city, California",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Seattle city, Washington",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Tucson city, Arizona",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Washington city, District of Columbia",0.10%,total_number_of_races_reported,±0.1
"('Total population',)","Albuquerque city, New Mexico","556,489",sex_and_age,±45
"('Total population',)","Austin city, Texas","885,415",sex_and_age,±84
"('Total population',)","Baltimore city, Maryland","622,104",sex_and_age,*****
"('Total population',)","Boston city, Massachusetts","644,710",sex_and_age,"±3,772"
"('Total population',)","Charlotte city, North Carolina","792,849",sex_and_age,±67
"('Total population',)","Chicago city, Illinois","2,718,789",sex_and_age,±52
"('Total population',)","Columbus city, Ohio","822,762",sex_and_age,"±3,388"
"('Total population',)","Dallas city, Texas","1,257,676",sex_and_age,±80
"('Total population',)","Denver city, Colorado","649,495",sex_and_age,*****
"('Total population',)","Detroit city, Michigan","688,740",sex_and_age,±70
"('Total population',)","El Paso city, Texas","674,438",sex_and_age,±38
"('Total population',)","Fort Worth city, Texas","794,189",sex_and_age,"±2,712"
"('Total population',)","Fresno city, California","509,965",sex_and_age,±156
"('Total population',)","Houston city, Texas","2,197,374",sex_and_age,"±2,865"
"('Total population',)","Indianapolis city (balance), Indiana","838,425",sex_and_age,"±5,111"
"('Total population',)","Jacksonville city, Florida","842,588",sex_and_age,±25
"('Total population',)","Las Vegas city, Nevada","603,525",sex_and_age,±130
"('Total population',)","Los Angeles city, California","3,884,340",sex_and_age,±142
"('Total population',)","Memphis city, Tennessee","653,450",sex_and_age,±44
"('Total population',)","Milwaukee city, Wisconsin","599,168",sex_and_age,±36
"('Total population',)","New York city, New York","8,405,837",sex_and_age,*****
"('Total population',)","Oklahoma City city, Oklahoma","610,617",sex_and_age,±139
"('Total population',)","Philadelphia city, Pennsylvania","1,553,165",sex_and_age,*****
"('Total population',)","Phoenix city, Arizona","1,513,350",sex_and_age,±101
"('Total population',)","Portland city, Oregon","611,134",sex_and_age,"±1,681"
"('Total population',)","San Antonio city, Texas","1,409,000",sex_and_age,±87
"('Total population',)","San Diego city, California","1,355,885",sex_and_age,±67
"('Total population',)","San Francisco city, California","837,442",sex_and_age,*****
"('Total population',)","San Jose city, California","998,514",sex_and_age,±108
"('Total population',)","Seattle city, Washington","652,429",sex_and_age,±97
"('Total population',)","Tucson city, Arizona","526,141",sex_and_age,±91
"('Total population',)","Washington city, District of Columbia","646,449",sex_and_age,*****
"('Male',)","Albuquerque city, New Mexico",48.70%,sex_and_age,±0.5
"('Male',)","Austin city, Texas",50.30%,sex_and_age,±0.5
"('Male',)","Baltimore city, Maryland",47.10%,sex_and_age,±0.1
"('Male',)","Boston city, Massachusetts",47.80%,sex_and_age,±0.4
"('Male',)","Charlotte city, North Carolina",47.80%,sex_and_age,±0.3
"('Male',)","Chicago city, Illinois",48.80%,sex_and_age,±0.3
"('Male',)","Columbus city, Ohio",48.80%,sex_and_age,±0.4
"('Male',)","Dallas city, Texas",49.90%,sex_and_age,±0.5
"('Male',)","Denver city, Colorado",50.00%,sex_and_age,±0.1
"('Male',)","Detroit city, Michigan",47.40%,sex_and_age,±0.6
"('Male',)","El Paso city, Texas",48.60%,sex_and_age,±0.4
"('Male',)","Fort Worth city, Texas",49.10%,sex_and_age,±0.7
"('Male',)","Fresno city, California",48.90%,sex_and_age,±0.7
"('Male',)","Houston city, Texas",50.10%,sex_and_age,±0.4
"('Male',)","Indianapolis city (balance), Indiana",48.60%,sex_and_age,±0.3
"('Male',)","Jacksonville city, Florida",48.40%,sex_and_age,±0.2
"('Male',)","Las Vegas city, Nevada",50.20%,sex_and_age,±0.8
"('Male',)","Los Angeles city, California",49.60%,sex_and_age,±0.2
"('Male',)","Memphis city, Tennessee",47.60%,sex_and_age,±0.5
"('Male',)","Milwaukee city, Wisconsin",48.20%,sex_and_age,±0.4
"('Male',)","New York city, New York",47.70%,sex_and_age,±0.1
"('Male',)","Oklahoma City city, Oklahoma",49.30%,sex_and_age,±0.5
"('Male',)","Philadelphia city, Pennsylvania",47.30%,sex_and_age,±0.1
"('Male',)","Phoenix city, Arizona",50.00%,sex_and_age,±0.4
"('Male',)","Portland city, Oregon",49.50%,sex_and_age,±0.4
"('Male',)","San Antonio city, Texas",49.10%,sex_and_age,±0.3
"('Male',)","San Diego city, California",50.80%,sex_and_age,±0.4
"('Male',)","San Francisco city, California",50.90%,sex_and_age,±0.1
"('Male',)","San Jose city, California",50.20%,sex_and_age,±0.5
"('Male',)","Seattle city, Washington",50.00%,sex_and_age,±0.6
"('Male',)","Tucson city, Arizona",49.40%,sex_and_age,±0.6
"('Male',)","Washington city, District of Columbia",47.40%,sex_and_age,±0.1
"('Female',)","Albuquerque city, New Mexico",51.30%,sex_and_age,±0.5
"('Female',)","Austin city, Texas",49.70%,sex_and_age,±0.5
"('Female',)","Baltimore city, Maryland",52.90%,sex_and_age,±0.1
"('Female',)","Boston city, Massachusetts",52.20%,sex_and_age,±0.4
"('Female',)","Charlotte city, North Carolina",52.20%,sex_and_age,±0.3
"('Female',)","Chicago city, Illinois",51.20%,sex_and_age,±0.3
"('Female',)","Columbus city, Ohio",51.20%,sex_and_age,±0.4
"('Female',)","Dallas city, Texas",50.10%,sex_and_age,±0.5
"('Female',)","Denver city, Colorado",50.00%,sex_and_age,±0.1
"('Female',)","Detroit city, Michigan",52.60%,sex_and_age,±0.6
"('Female',)","El Paso city, Texas",51.40%,sex_and_age,±0.4
"('Female',)","Fort Worth city, Texas",50.90%,sex_and_age,±0.7
"('Female',)","Fresno city, California",51.10%,sex_and_age,±0.7
"('Female',)","Houston city, Texas",49.90%,sex_and_age,±0.4
"('Female',)","Indianapolis city (balance), Indiana",51.40%,sex_and_age,±0.3
"('Female',)","Jacksonville city, Florida",51.60%,sex_and_age,±0.2
"('Female',)","Las Vegas city, Nevada",49.80%,sex_and_age,±0.8
"('Female',)","Los Angeles city, California",50.40%,sex_and_age,±0.2
"('Female',)","Memphis city, Tennessee",52.40%,sex_and_age,±0.5
"('Female',)","Milwaukee city, Wisconsin",51.80%,sex_and_age,±0.4
"('Female',)","New York city, New York",52.30%,sex_and_age,±0.1
"('Female',)","Oklahoma City city, Oklahoma",50.70%,sex_and_age,±0.5
"('Female',)","Philadelphia city, Pennsylvania",52.70%,sex_and_age,±0.1
"('Female',)","Phoenix city, Arizona",50.00%,sex_and_age,±0.4
"('Female',)","Portland city, Oregon",50.50%,sex_and_age,±0.4
"('Female',)","San Antonio city, Texas",50.90%,sex_and_age,±0.3
"('Female',)","San Diego city, California",49.20%,sex_and_age,±0.4
"('Female',)","San Francisco city, California",49.10%,sex_and_age,±0.1
"('Female',)","San Jose city, California",49.80%,sex_and_age,±0.5
"('Female',)","Seattle city, Washington",50.00%,sex_and_age,±0.6
"('Female',)","Tucson city, Arizona",50.60%,sex_and_age,±0.6
"('Female',)","Washington city, District of Columbia",52.60%,sex_and_age,±0.1
"('Under 5 years',)","Albuquerque city, New Mexico",6.70%,sex_and_age,±0.3
"('Under 5 years',)","Austin city, Texas",6.80%,sex_and_age,±0.3
"('Under 5 years',)","Baltimore city, Maryland",6.70%,sex_and_age,±0.1
"('Under 5 years',)","Boston city, Massachusetts",5.40%,sex_and_age,±0.2
"('Under 5 years',)","Charlotte city, North Carolina",7.10%,sex_and_age,±0.2
"('Under 5 years',)","Chicago city, Illinois",6.60%,sex_and_age,±0.2
"('Under 5 years',)","Columbus city, Ohio",7.50%,sex_and_age,±0.2
"('Under 5 years',)","Dallas city, Texas",8.30%,sex_and_age,±0.4
"('Under 5 years',)","Denver city, Colorado",7.00%,sex_and_age,±0.1
"('Under 5 years',)","Detroit city, Michigan",7.20%,sex_and_age,±0.3
"('Under 5 years',)","El Paso city, Texas",8.10%,sex_and_age,±0.3
"('Under 5 years',)","Fort Worth city, Texas",8.40%,sex_and_age,±0.5
"('Under 5 years',)","Fresno city, California",8.90%,sex_and_age,±0.5
"('Under 5 years',)","Houston city, Texas",7.80%,sex_and_age,±0.3
"('Under 5 years',)","Indianapolis city (balance), Indiana",7.50%,sex_and_age,±0.2
"('Under 5 years',)","Jacksonville city, Florida",6.80%,sex_and_age,±0.1
"('Under 5 years',)","Las Vegas city, Nevada",6.30%,sex_and_age,±0.5
"('Under 5 years',)","Los Angeles city, California",6.40%,sex_and_age,±0.2
"('Under 5 years',)","Memphis city, Tennessee",7.50%,sex_and_age,±0.3
"('Under 5 years',)","Milwaukee city, Wisconsin",7.60%,sex_and_age,±0.3
"('Under 5 years',)","New York city, New York",6.60%,sex_and_age,±0.1
"('Under 5 years',)","Oklahoma City city, Oklahoma",7.60%,sex_and_age,±0.4
"('Under 5 years',)","Philadelphia city, Pennsylvania",7.00%,sex_and_age,±0.1
"('Under 5 years',)","Phoenix city, Arizona",7.40%,sex_and_age,±0.2
"('Under 5 years',)","Portland city, Oregon",5.90%,sex_and_age,±0.3
"('Under 5 years',)","San Antonio city, Texas",7.20%,sex_and_age,±0.2
"('Under 5 years',)","San Diego city, California",6.70%,sex_and_age,±0.3
"('Under 5 years',)","San Francisco city, California",4.50%,sex_and_age,±0.1
"('Under 5 years',)","San Jose city, California",6.70%,sex_and_age,±0.3
"('Under 5 years',)","Seattle city, Washington",5.00%,sex_and_age,±0.5
"('Under 5 years',)","Tucson city, Arizona",6.30%,sex_and_age,±0.4
"('Under 5 years',)","Washington city, District of Columbia",6.40%,sex_and_age,±0.1
"('5 to 17 years',)","Albuquerque city, New Mexico",16.70%,sex_and_age,±0.4
"('5 to 17 years',)","Austin city, Texas",15.00%,sex_and_age,±0.4
"('5 to 17 years',)","Baltimore city, Maryland",14.40%,sex_and_age,±0.1
"('5 to 17 years',)","Boston city, Massachusetts",11.20%,sex_and_age,±0.3
"('5 to 17 years',)","Charlotte city, North Carolina",18.00%,sex_and_age,±0.4
"('5 to 17 years',)","Chicago city, Illinois",15.40%,sex_and_age,±0.3
"('5 to 17 years',)","Columbus city, Ohio",15.60%,sex_and_age,±0.5
"('5 to 17 years',)","Dallas city, Texas",17.80%,sex_and_age,±0.5
"('5 to 17 years',)","Denver city, Colorado",14.00%,sex_and_age,±0.1
"('5 to 17 years',)","Detroit city, Michigan",17.80%,sex_and_age,±0.5
"('5 to 17 years',)","El Paso city, Texas",20.10%,sex_and_age,±0.4
"('5 to 17 years',)","Fort Worth city, Texas",20.50%,sex_and_age,±0.7
"('5 to 17 years',)","Fresno city, California",21.00%,sex_and_age,±0.7
"('5 to 17 years',)","Houston city, Texas",17.30%,sex_and_age,±0.4
"('5 to 17 years',)","Indianapolis city (balance), Indiana",17.20%,sex_and_age,±0.3
"('5 to 17 years',)","Jacksonville city, Florida",16.30%,sex_and_age,±0.1
"('5 to 17 years',)","Las Vegas city, Nevada",18.30%,sex_and_age,±0.9
"('5 to 17 years',)","Los Angeles city, California",15.50%,sex_and_age,±0.2
"('5 to 17 years',)","Memphis city, Tennessee",17.50%,sex_and_age,±0.5
"('5 to 17 years',)","Milwaukee city, Wisconsin",18.70%,sex_and_age,±0.4
"('5 to 17 years',)","New York city, New York",14.60%,sex_and_age,±0.1
"('5 to 17 years',)","Oklahoma City city, Oklahoma",17.20%,sex_and_age,±0.5
"('5 to 17 years',)","Philadelphia city, Pennsylvania",15.20%,sex_and_age,±0.1
"('5 to 17 years',)","Phoenix city, Arizona",19.30%,sex_and_age,±0.6
"('5 to 17 years',)","Portland city, Oregon",12.50%,sex_and_age,±0.4
"('5 to 17 years',)","San Antonio city, Texas",18.40%,sex_and_age,±0.3
"('5 to 17 years',)","San Diego city, California",15.20%,sex_and_age,±0.6
"('5 to 17 years',)","San Francisco city, California",8.80%,sex_and_age,±0.1
"('5 to 17 years',)","San Jose city, California",17.30%,sex_and_age,±0.4
"('5 to 17 years',)","Seattle city, Washington",10.40%,sex_and_age,±0.6
"('5 to 17 years',)","Tucson city, Arizona",15.70%,sex_and_age,±0.6
"('5 to 17 years',)","Washington city, District of Columbia",10.90%,sex_and_age,±0.1
"('18 to 24 years',)","Albuquerque city, New Mexico",9.90%,sex_and_age,±0.4
"('18 to 24 years',)","Austin city, Texas",12.30%,sex_and_age,±0.4
"('18 to 24 years',)","Baltimore city, Maryland",11.30%,sex_and_age,±0.1
"('18 to 24 years',)","Boston city, Massachusetts",16.40%,sex_and_age,±0.3
"('18 to 24 years',)","Charlotte city, North Carolina",9.90%,sex_and_age,±0.2
"('18 to 24 years',)","Chicago city, Illinois",10.70%,sex_and_age,±0.2
"('18 to 24 years',)","Columbus city, Ohio",12.00%,sex_and_age,±0.4
"('18 to 24 years',)","Dallas city, Texas",10.50%,sex_and_age,±0.4
"('18 to 24 years',)","Denver city, Colorado",8.90%,sex_and_age,±0.1
"('18 to 24 years',)","Detroit city, Michigan",12.10%,sex_and_age,±0.4
"('18 to 24 years',)","El Paso city, Texas",11.20%,sex_and_age,±0.3
"('18 to 24 years',)","Fort Worth city, Texas",10.40%,sex_and_age,±0.6
"('18 to 24 years',)","Fresno city, California",11.60%,sex_and_age,±0.6
"('18 to 24 years',)","Houston city, Texas",10.40%,sex_and_age,±0.4
"('18 to 24 years',)","Indianapolis city (balance), Indiana",10.10%,sex_and_age,±0.2
"('18 to 24 years',)","Jacksonville city, Florida",10.10%,sex_and_age,±0.1
"('18 to 24 years',)","Las Vegas city, Nevada",9.00%,sex_and_age,±0.5
"('18 to 24 years',)","Los Angeles city, California",11.30%,sex_and_age,±0.2
"('18 to 24 years',)","Memphis city, Tennessee",11.50%,sex_and_age,±0.4
"('18 to 24 years',)","Milwaukee city, Wisconsin",12.50%,sex_and_age,±0.4
"('18 to 24 years',)","New York city, New York",9.90%,sex_and_age,±0.1
"('18 to 24 years',)","Oklahoma City city, Oklahoma",10.10%,sex_and_age,±0.4
"('18 to 24 years',)","Philadelphia city, Pennsylvania",11.90%,sex_and_age,±0.1
"('18 to 24 years',)","Phoenix city, Arizona",10.60%,sex_and_age,±0.4
"('18 to 24 years',)","Portland city, Oregon",9.00%,sex_and_age,±0.3
"('18 to 24 years',)","San Antonio city, Texas",11.30%,sex_and_age,±0.2
"('18 to 24 years',)","San Diego city, California",12.10%,sex_and_age,±0.4
"('18 to 24 years',)","San Francisco city, California",8.00%,sex_and_age,±0.1
"('18 to 24 years',)","San Jose city, California",9.10%,sex_and_age,±0.4
"('18 to 24 years',)","Seattle city, Washington",11.20%,sex_and_age,±0.7
"('18 to 24 years',)","Tucson city, Arizona",16.20%,sex_and_age,±0.6
"('18 to 24 years',)","Washington city, District of Columbia",12.70%,sex_and_age,±0.1
"('25 to 34 years',)","Albuquerque city, New Mexico",15.60%,sex_and_age,±0.4
"('25 to 34 years',)","Austin city, Texas",21.40%,sex_and_age,±0.5
"('25 to 34 years',)","Baltimore city, Maryland",18.10%,sex_and_age,±0.1
"('25 to 34 years',)","Boston city, Massachusetts",22.70%,sex_and_age,±0.4
"('25 to 34 years',)","Charlotte city, North Carolina",17.50%,sex_and_age,±0.3
"('25 to 34 years',)","Chicago city, Illinois",19.50%,sex_and_age,±0.3
"('25 to 34 years',)","Columbus city, Ohio",19.70%,sex_and_age,±0.5
"('25 to 34 years',)","Dallas city, Texas",18.20%,sex_and_age,±0.4
