City,State,Metric,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
New Orleans,Louisiana,Occupied housing units,142093,3457,74.7,1.7
New York,New York,Occupied housing units,3039467,11288,90.2,0.3
Newark,New Jersey,Occupied housing units,91414,3236,83.9,1.7
Oakland,California,Occupied housing units,151808,3746,87.9,1.2
Omaha,Nebraska,Occupied housing units,163411,2894,91.7,1.4
Orlando,Florida,Occupied housing units,96753,3793,80.9,2
Philadelphia,Pennsylvania,Occupied housing units,575413,6623,85.9,0.9
Phoenix,Arizona,Occupied housing units,511432,7172,85,0.8
Pittsburgh,Pennsylvania,Occupied housing units,129828,3843,84.4,1.8
Plano,Texas,Occupied housing units,97524,2960,92.6,1.6
Portland,Oregon,Occupied housing units,244192,3559,92.5,1
Riverside,California,Occupied housing units,87752,3694,89.8,1.9
Sacramento,California,Occupied housing units,176168,5046,91.6,1.3
San Antonio,Texas,Occupied housing units,470223,4982,89.4,0.8
San Diego,California,Occupied housing units,469635,6664,91.3,0.6
San Francisco,California,Occupied housing units,336012,4358,89.2,1
San Jose,California,Occupied housing units,297637,4429,95.2,0.6
Santa Ana,California,Occupied housing units,71288,2600,95.1,1.2
Seattle,Washington,Occupied housing units,277520,5743,91.7,1.1
St. Paul,Minnesota,Occupied housing units,110088,2941,91.5,1.6
Stockton,California,Occupied housing units,91200,2669,90.4,1.8
Tampa,Florida,Occupied housing units,133070,3857,83.7,1.6
Tucson,Arizona,Occupied housing units,201761,4584,87.7,1.3
Tulsa,Oklahoma,Occupied housing units,163173,2981,87.1,1.3
Virginia Beach,Virginia,Occupied housing units,164300,2574,92.2,1.3
Washington,District of Columbia,Occupied housing units,252388,3730,85,1.3
Wichita,Kansas,Occupied housing units,149648,2521,88.5,1.5
Albuquerque,New Mexico,Vacant housing units,16727,2369,7,1
Anaheim,California,Vacant housing units,6959,1693,6.5,1.5
Anchorage,Alaska,Vacant housing units,8118,1747,7.2,1.5
Arlington,Texas,Vacant housing units,13147,2532,9,1.6
Atlanta,Georgia,Vacant housing units,53044,3534,23.6,1.4
Aurora,Colorado,Vacant housing units,8795,1718,6.9,1.3
Austin,Texas,Vacant housing units,31706,2958,8.9,0.8
Bakersfield,California,Vacant housing units,9307,1853,7.8,1.5
Baltimore,Maryland,Vacant housing units,58639,4250,19.8,1.4
Boston,Massachusetts,Vacant housing units,26228,3171,9.4,1.1
Chicago,Illinois,Vacant housing units,174477,7085,14.7,0.6
Cincinnati,Ohio,Vacant housing units,35056,2836,21.7,1.6
Cleveland,Ohio,Vacant housing units,49230,3481,23,1.5
Colorado Springs,Colorado,Vacant housing units,13174,2266,7.3,1.2
Columbus,Ohio,Vacant housing units,51116,4074,13.8,1.1
Corpus Christi,Texas,Vacant housing units,13666,2460,11,2
Dallas,Texas,Vacant housing units,66692,3901,13,0.7
Denver,Colorado,Vacant housing units,23766,3030,8.3,1.1
Detroit,Michigan,Vacant housing units,105474,5226,29.2,1.3
El Paso,Texas,Vacant housing units,19731,2663,8.6,1.1
Fresno,California,Vacant housing units,16536,2335,9.8,1.3
Greensboro,North Carolina,Vacant housing units,16447,2377,13.1,1.8
Henderson,Nevada,Vacant housing units,15200,2262,13.3,1.8
Houston,Texas,Vacant housing units,140436,6060,15.6,0.6
Indianapolis,Indiana,Vacant housing units,58159,4663,15.3,1.2
Irvine,California,Vacant housing units,5296,1494,6.5,1.7
Jacksonville,Florida,Vacant housing units,59864,4691,16.3,1.3
Jersey City,New Jersey,Vacant housing units,16924,2285,15.4,1.9
Las Vegas,Nevada,Vacant housing units,42953,3551,16.9,1.3
Lincoln,Nebraska,Vacant housing units,6200,1444,5.6,1.3
Long Beach,California,Vacant housing units,15850,2074,9.1,1.1
Los Angeles,California,Vacant housing units,111679,4939,7.9,0.3
Memphis,Tennessee,Vacant housing units,52445,3676,17.8,1.2
Mesa,Arizona,Vacant housing units,34348,3270,17.4,1.5
Miami,Florida,Vacant housing units,42328,3780,22.5,1.6
Milwaukee,Wisconsin,Vacant housing units,29749,2762,11.5,1
Minneapolis,Minnesota,Vacant housing units,19016,2378,10.3,1.2
New Orleans,Louisiana,Vacant housing units,48061,3285,25.3,1.7
New York,New York,Vacant housing units,331180,10338,9.8,0.3
Newark,New Jersey,Vacant housing units,17493,2047,16.1,1.7
Oakland,California,Vacant housing units,20966,2123,12.1,1.2
Omaha,Nebraska,Vacant housing units,14738,2489,8.3,1.4
Orlando,Florida,Vacant housing units,22799,2579,19.1,2
Philadelphia,Pennsylvania,Vacant housing units,94609,5884,14.1,0.9
Phoenix,Arizona,Vacant housing units,89938,5280,15,0.8
Pittsburgh,Pennsylvania,Vacant housing units,23928,2861,15.6,1.8
Plano,Texas,Vacant housing units,7783,1750,7.4,1.6
Portland,Oregon,Vacant housing units,19698,2755,7.5,1
Riverside,California,Vacant housing units,9943,2018,10.2,1.9
Sacramento,California,Vacant housing units,16204,2462,8.4,1.3
San Antonio,Texas,Vacant housing units,55576,4469,10.6,0.8
San Diego,California,Vacant housing units,44731,3432,8.7,0.6
San Francisco,California,Vacant housing units,40765,3739,10.8,1
San Jose,California,Vacant housing units,14904,2090,4.8,0.6
Santa Ana,California,Vacant housing units,3684,940,4.9,1.2
Seattle,Washington,Vacant housing units,24994,3323,8.3,1.1
St. Paul,Minnesota,Vacant housing units,10162,1918,8.5,1.6
Stockton,California,Vacant housing units,9635,1928,9.6,1.8
Tampa,Florida,Vacant housing units,25918,2656,16.3,1.6
Tucson,Arizona,Vacant housing units,28286,3011,12.3,1.3
Tulsa,Oklahoma,Vacant housing units,24108,2545,12.9,1.3
Virginia Beach,Virginia,Vacant housing units,13817,2373,7.8,1.3
Washington,District of Columbia,Vacant housing units,44448,3730,15,1.3
Wichita,Kansas,Vacant housing units,19410,2542,11.5,1.5
Albuquerque,New Mexico,Homeowner vacancy rate,1.4,0.6,,
Anaheim,California,Homeowner vacancy rate,1.2,0.8,,
Anchorage,Alaska,Homeowner vacancy rate,1.4,0.9,,
Arlington,Texas,Homeowner vacancy rate,1.7,1,,
Atlanta,Georgia,Homeowner vacancy rate,7.7,1.5,,
Aurora,Colorado,Homeowner vacancy rate,2,1.1,,
Austin,Texas,Homeowner vacancy rate,1.7,0.7,,
Bakersfield,California,Homeowner vacancy rate,2.5,1.1,,
Baltimore,Maryland,Homeowner vacancy rate,5.3,1.2,,
Boston,Massachusetts,Homeowner vacancy rate,2.4,1,,
Chicago,Illinois,Homeowner vacancy rate,3.5,0.6,,
Cincinnati,Ohio,Homeowner vacancy rate,4.7,1.8,,
Cleveland,Ohio,Homeowner vacancy rate,4.5,1.3,,
Colorado Springs,Colorado,Homeowner vacancy rate,2.3,1,,
Columbus,Ohio,Homeowner vacancy rate,3.2,0.9,,
Corpus Christi,Texas,Homeowner vacancy rate,1.3,1,,
Dallas,Texas,Homeowner vacancy rate,2.7,0.7,,
Denver,Colorado,Homeowner vacancy rate,3.8,1.2,,
Detroit,Michigan,Homeowner vacancy rate,5.4,1.2,,
El Paso,Texas,Homeowner vacancy rate,2.2,0.8,,
Fresno,California,Homeowner vacancy rate,2.8,1.2,,
Greensboro,North Carolina,Homeowner vacancy rate,2.8,0.9,,
Henderson,Nevada,Homeowner vacancy rate,4.9,1.7,,
Houston,Texas,Homeowner vacancy rate,3.3,0.6,,
Indianapolis,Indiana,Homeowner vacancy rate,2.5,0.7,,
Irvine,California,Homeowner vacancy rate,3.4,1.8,,
Jacksonville,Florida,Homeowner vacancy rate,4.5,0.9,,
Jersey City,New Jersey,Homeowner vacancy rate,9.9,3.5,,
Las Vegas,Nevada,Homeowner vacancy rate,4.5,1,,
Lincoln,Nebraska,Homeowner vacancy rate,1.9,1.2,,
Long Beach,California,Homeowner vacancy rate,2.7,1,,
Los Angeles,California,Homeowner vacancy rate,2.2,0.4,,
Memphis,Tennessee,Homeowner vacancy rate,3.6,1,,
Mesa,Arizona,Homeowner vacancy rate,5.4,1.7,,
Miami,Florida,Homeowner vacancy rate,9.7,2.1,,
Milwaukee,Wisconsin,Homeowner vacancy rate,1,0.5,,
Minneapolis,Minnesota,Homeowner vacancy rate,3.7,1.2,,
New Orleans,Louisiana,Homeowner vacancy rate,5.7,1.6,,
New York,New York,Homeowner vacancy rate,2.4,0.3,,
Newark,New Jersey,Homeowner vacancy rate,7,3,,
Oakland,California,Homeowner vacancy rate,3.2,1.2,,
Omaha,Nebraska,Homeowner vacancy rate,1.5,0.8,,
Orlando,Florida,Homeowner vacancy rate,3,1.6,,
Philadelphia,Pennsylvania,Homeowner vacancy rate,3.4,0.6,,
Phoenix,Arizona,Homeowner vacancy rate,4.6,0.7,,
Pittsburgh,Pennsylvania,Homeowner vacancy rate,1.7,1,,
Plano,Texas,Homeowner vacancy rate,1.3,0.9,,
Portland,Oregon,Homeowner vacancy rate,3.7,1.1,,
Riverside,California,Homeowner vacancy rate,2.5,1.5,,
Sacramento,California,Homeowner vacancy rate,2.6,1,,
San Antonio,Texas,Homeowner vacancy rate,2.2,0.6,,
San Diego,California,Homeowner vacancy rate,2.7,0.7,,
San Francisco,California,Homeowner vacancy rate,1.3,0.6,,
San Jose,California,Homeowner vacancy rate,1.7,0.7,,
Santa Ana,California,Homeowner vacancy rate,1,0.9,,
Seattle,Washington,Homeowner vacancy rate,2.6,1.1,,
St. Paul,Minnesota,Homeowner vacancy rate,2.3,1.3,,
Stockton,California,Homeowner vacancy rate,2.2,1.3,,
Tampa,Florida,Homeowner vacancy rate,3.8,1.4,,
Tucson,Arizona,Homeowner vacancy rate,2.1,0.9,,
Tulsa,Oklahoma,Homeowner vacancy rate,3.4,1.2,,
Virginia Beach,Virginia,Homeowner vacancy rate,2,0.8,,
Washington,District of Columbia,Homeowner vacancy rate,3.2,0.9,,
Wichita,Kansas,Homeowner vacancy rate,3.2,1.2,,
Albuquerque,New Mexico,Rental vacancy rate,6.1,1.7,,
Anaheim,California,Rental vacancy rate,6.8,2.1,,
Anchorage,Alaska,Rental vacancy rate,2.7,1.4,,
Arlington,Texas,Rental vacancy rate,13.6,2.9,,
Atlanta,Georgia,Rental vacancy rate,16.4,2.2,,
Aurora,Colorado,Rental vacancy rate,9.1,2.6,,
Austin,Texas,Rental vacancy rate,6.4,1.1,,
Bakersfield,California,Rental vacancy rate,6.1,2.3,,
Baltimore,Maryland,Rental vacancy rate,7.5,1.2,,
Boston,Massachusetts,Rental vacancy rate,5.4,1.1,,
Chicago,Illinois,Rental vacancy rate,8.5,0.6,,
Cincinnati,Ohio,Rental vacancy rate,13.2,1.9,,
Cleveland,Ohio,Rental vacancy rate,10.3,1.6,,
Colorado Springs,Colorado,Rental vacancy rate,6.7,2.1,,
Columbus,Ohio,Rental vacancy rate,10.3,1.5,,
Corpus Christi,Texas,Rental vacancy rate,7,2.3,,
Dallas,Texas,Rental vacancy rate,12.5,1,,
Denver,Colorado,Rental vacancy rate,5.5,1.2,,
Detroit,Michigan,Rental vacancy rate,13.7,1.5,,
El Paso,Texas,Rental vacancy rate,8.4,1.9,,
Fresno,California,Rental vacancy rate,9.3,2.1,,
Greensboro,North Carolina,Rental vacancy rate,14.2,3,,
Henderson,Nevada,Rental vacancy rate,6.9,2.9,,
Houston,Texas,Rental vacancy rate,15.9,0.9,,
Indianapolis,Indiana,Rental vacancy rate,8.3,1.4,,
Irvine,California,Rental vacancy rate,5,2,,
Jacksonville,Florida,Rental vacancy rate,12.9,1.9,,
Jersey City,New Jersey,Rental vacancy rate,11.4,2.3,,
Las Vegas,Nevada,Rental vacancy rate,12.2,1.9,,
Lincoln,Nebraska,Rental vacancy rate,5.4,1.9,,
Long Beach,California,Rental vacancy rate,7.3,1.4,,
Los Angeles,California,Rental vacancy rate,5.5,0.4,,
Memphis,Tennessee,Rental vacancy rate,16.5,1.9,,
Mesa,Arizona,Rental vacancy rate,13.8,2.4,,
Miami,Florida,Rental vacancy rate,10.7,1.6,,
Milwaukee,Wisconsin,Rental vacancy rate,3.4,1,,
Minneapolis,Minnesota,Rental vacancy rate,6.8,1.6,,
New Orleans,Louisiana,Rental vacancy rate,14.5,2,,
New York,New York,Rental vacancy rate,4.3,0.2,,
Newark,New Jersey,Rental vacancy rate,10.2,1.6,,
Oakland,California,Rental vacancy rate,7.7,1.2,,
Omaha,Nebraska,Rental vacancy rate,7,2.1,,
Orlando,Florida,Rental vacancy rate,10.1,1.9,,
Philadelphia,Pennsylvania,Rental vacancy rate,7.3,0.9,,
Phoenix,Arizona,Rental vacancy rate,13.2,1.3,,
Pittsburgh,Pennsylvania,Rental vacancy rate,5.3,1.9,,
Plano,Texas,Rental vacancy rate,10.6,2.9,,
Portland,Oregon,Rental vacancy rate,3.5,1.2,,
Riverside,California,Rental vacancy rate,10,2.9,,
Sacramento,California,Rental vacancy rate,6.8,1.5,,
San Antonio,Texas,Rental vacancy rate,9.9,1.2,,
San Diego,California,Rental vacancy rate,5.1,0.9,,
San Francisco,California,Rental vacancy rate,4.4,1,,
San Jose,California,Rental vacancy rate,3.4,1,,
Santa Ana,California,Rental vacancy rate,4.9,1.8,,
Seattle,Washington,Rental vacancy rate,4,0.9,,
St. Paul,Minnesota,Rental vacancy rate,5.1,1.7,,
Stockton,California,Rental vacancy rate,7.1,2,,
Tampa,Florida,Rental vacancy rate,10.5,2.1,,
Tucson,Arizona,Rental vacancy rate,10.8,1.8,,
Tulsa,Oklahoma,Rental vacancy rate,11.2,2.1,,
Virginia Beach,Virginia,Rental vacancy rate,3.4,1.5,,
Washington,District of Columbia,Rental vacancy rate,9.5,1.5,,
Wichita,Kansas,Rental vacancy rate,8.9,2.2,,
Albuquerque,New Mexico,Total housing units,240232,2039,240232,
Anaheim,California,Total housing units,107363,3666,107363,
Anchorage,Alaska,Total housing units,113111,1046,113111,
Arlington,Texas,Total housing units,146638,3785,146638,
Atlanta,Georgia,Total housing units,225203,5823,225203,
Aurora,Colorado,Total housing units,128354,2849,128354,
Austin,Texas,Total housing units,354988,5209,354988,
Bakersfield,California,Total housing units,118727,3473,118727,
Baltimore,Maryland,Total housing units,296584,1348,296584,
Boston,Massachusetts,Total housing units,277949,3571,277949,
Chicago,Illinois,Total housing units,1189053,7086,1189053,
Cincinnati,Ohio,Total housing units,161201,4812,161201,
Cleveland,Ohio,Total housing units,214220,4327,214220,
Colorado Springs,Colorado,Total housing units,180535,2463,180535,
Columbus,Ohio,Total housing units,370544,4111,370544,
Corpus Christi,Texas,Total housing units,124620,1582,124620,
Dallas,Texas,Total housing units,514372,6971,514372,
Denver,Colorado,Total housing units,285859,1895,285859,
Detroit,Michigan,Total housing units,360675,4953,360675,
El Paso,Texas,Total housing units,230485,1937,230485,
Fresno,California,Total housing units,169426,3450,169426,
Greensboro,North Carolina,Total housing units,125702,2979,125702,
Henderson,Nevada,Total housing units,114295,3755,114295,
Houston,Texas,Total housing units,902745,7429,902745,
Indianapolis,Indiana,Total housing units,380859,2715,380859,
Irvine,California,Total housing units,81468,2980,81468,
Jacksonville,Florida,Total housing units,368037,4746,368037,
Jersey City,New Jersey,Total housing units,109573,2820,109573,
Las Vegas,Nevada,Total housing units,253903,5307,253903,
Lincoln,Nebraska,Total housing units,110486,1458,110486,
Long Beach,California,Total housing units,174236,4764,174236,
Los Angeles,California,Total housing units,1421938,10327,1421938,
Memphis,Tennessee,Total housing units,293845,3302,293845,
Mesa,Arizona,Total housing units,197039,5268,197039,
Miami,Florida,Total housing units,188150,6255,188150,
Milwaukee,Wisconsin,Total housing units,258694,3433,258694,
Minneapolis,Minnesota,Total housing units,184814,3848,184814,
New Orleans,Louisiana,Total housing units,190154,1837,190154,
New York,New York,Total housing units,3370647,4509,3370647,
Newark,New Jersey,Total housing units,108907,3620,108907,
Oakland,California,Total housing units,172774,3879,172774,
Omaha,Nebraska,Total housing units,178149,1792,178149,
Orlando,Florida,Total housing units,119552,4003,119552,
Philadelphia,Pennsylvania,Total housing units,670022,4073,670022,
Phoenix,Arizona,Total housing units,601370,7751,601370,
Pittsburgh,Pennsylvania,Total housing units,153756,3447,153756,
Plano,Texas,Total housing units,105307,2905,105307,
Portland,Oregon,Total housing units,263890,2884,263890,
Riverside,California,Total housing units,97695,4133,97695,
Sacramento,California,Total housing units,192372,4968,192372,
San Antonio,Texas,Total housing units,525799,4754,525799,
San Diego,California,Total housing units,514366,6961,514366,
San Francisco,California,Total housing units,376777,1401,376777,
San Jose,California,Total housing units,312541,4703,312541,
Santa Ana,California,Total housing units,74972,2694,74972,
Seattle,Washington,Total housing units,302514,6008,302514,
St. Paul,Minnesota,Total housing units,120250,2543,120250,
Stockton,California,Total housing units,100835,2732,100835,
Tampa,Florida,Total housing units,158988,3986,158988,
Tucson,Arizona,Total housing units,230047,4064,230047,
Tulsa,Oklahoma,Total housing units,187281,2560,187281,
Virginia Beach,Virginia,Total housing units,178117,840,178117,
Washington,District of Columbia,Total housing units,296836,63,296836,
Wichita,Kansas,Total housing units,169058,1897,169058,
Albuquerque,New Mexico,1unit detached,151311,3955,63,1.6
Anaheim,California,1unit detached,47059,2566,43.8,2
Anchorage,Alaska,1unit detached,52770,2532,46.7,2.3
Arlington,Texas,1unit detached,87864,3716,59.9,2.1
Atlanta,Georgia,1unit detached,89859,4389,39.9,1.6
Aurora,Colorado,1unit detached,65376,2767,50.9,1.8
Austin,Texas,1unit detached,163528,4540,46.1,1
Bakersfield,California,1unit detached,83956,3412,70.7,2
Baltimore,Maryland,1unit detached,42056,2893,14.2,1
Boston,Massachusetts,1unit detached,30759,2136,11.1,0.7
Chicago,Illinois,1unit detached,298594,7946,25.1,0.6
Cincinnati,Ohio,1unit detached,61778,3363,38.3,1.9
Cleveland,Ohio,1unit detached,100264,4227,46.8,1.6
Colorado Springs,Colorado,1unit detached,109218,3055,60.5,1.6
Columbus,Ohio,1unit detached,166785,4800,45,1.3
Corpus Christi,Texas,1unit detached,80132,2920,64.3,2.1
Dallas,Texas,1unit detached,229240,5433,44.6,0.9
Denver,Colorado,1unit detached,127299,3722,44.5,1.3
Detroit,Michigan,1unit detached,235616,4938,65.3,1.1
El Paso,Texas,1unit detached,152543,3866,66.2,1.6
Fresno,California,1unit detached,101795,3103,60.1,1.7
Greensboro,North Carolina,1unit detached,67950,3283,54.1,2.2
Henderson,Nevada,1unit detached,78097,3857,68.3,2.5
Houston,Texas,1unit detached,404176,6138,44.8,0.6
Indianapolis,Indiana,1unit detached,229699,4688,60.3,1.2
Irvine,California,1unit detached,29262,1892,35.9,2.4
Jacksonville,Florida,1unit detached,224914,5563,61.1,1.3
Jersey City,New Jersey,1unit detached,7606,1471,6.9,1.4
Las Vegas,Nevada,1unit detached,149194,4731,58.8,1.5
Lincoln,Nebraska,1unit detached,63240,2368,57.2,2
Long Beach,California,1unit detached,74642,2754,42.8,1.5
Los Angeles,California,1unit detached,551262,8409,38.8,0.6
Memphis,Tennessee,1unit detached,180307,4229,61.4,1.4
Mesa,Arizona,1unit detached,102169,3825,51.9,1.8
Miami,Florida,1unit detached,49935,3807,26.5,1.7
Milwaukee,Wisconsin,1unit detached,102337,3602,39.6,1.4
Minneapolis,Minnesota,1unit detached,80589,2923,43.6,1.5
New Orleans,Louisiana,1unit detached,83959,3238,44.2,1.6
New York,New York,1unit detached,314225,7115,9.3,0.2
Newark,New Jersey,1unit detached,13358,1772,12.3,1.7
Oakland,California,1unit detached,71059,3025,41.1,1.6
Omaha,Nebraska,1unit detached,115773,2923,65,1.5
Orlando,Florida,1unit detached,44956,2943,37.6,2.3
Philadelphia,Pennsylvania,1unit detached,55482,3827,8.3,0.6
Phoenix,Arizona,1unit detached,357173,6276,59.4,0.8
Pittsburgh,Pennsylvania,1unit detached,70486,2693,45.8,1.7
Plano,Texas,1unit detached,68098,2500,64.7,2.2
Portland,Oregon,1unit detached,149366,3793,56.6,1.3
Riverside,California,1unit detached,63771,2957,65.3,2.2
Sacramento,California,1unit detached,116996,4058,60.8,1.8
San Antonio,Texas,1unit detached,341091,5064,64.9,0.9
San Diego,California,1unit detached,230512,5454,44.8,0.9
San Francisco,California,1unit detached,64290,3682,17.1,1
San Jose,California,1unit detached,168149,4380,53.8,1.2
Santa Ana,California,1unit detached,33164,1885,44.2,2.1
Seattle,Washington,1unit detached,138309,4660,45.7,1.3
St. Paul,Minnesota,1unit detached,59238,2633,49.3,2
Stockton,California,1unit detached,65374,3003,64.8,2.3
Tampa,Florida,1unit detached,86506,3623,54.4,2
Tucson,Arizona,1unit detached,122340,3909,53.2,1.4
Tulsa,Oklahoma,1unit detached,117645,3380,62.8,1.6
Virginia Beach,Virginia,1unit detached,102409,2741,57.5,1.6
Washington,District of Columbia,1unit detached,36202,2384,12.2,0.8
Wichita,Kansas,1unit detached,113568,3220,67.2,1.8
Albuquerque,New Mexico,1unit attached,12287,1779,5.1,0.7
Anaheim,California,1unit attached,9380,1215,8.7,1.1
Anchorage,Alaska,1unit attached,16351,2015,14.5,1.7
Arlington,Texas,1unit attached,3783,827,2.6,0.6
Atlanta,Georgia,1unit attached,11572,1614,5.1,0.7
Aurora,Colorado,1unit attached,11854,1459,9.2,1.1
Austin,Texas,1unit attached,12722,1455,3.6,0.4
Bakersfield,California,1unit attached,2894,815,2.4,0.7
Baltimore,Maryland,1unit attached,156726,3979,52.8,1.3
Boston,Massachusetts,1unit attached,16775,2270,6,0.8
Chicago,Illinois,1unit attached,43046,2776,3.6,0.2
Cincinnati,Ohio,1unit attached,10192,1653,6.3,1
Cleveland,Ohio,1unit attached,13033,1503,6.1,0.7
Colorado Springs,Colorado,1unit attached,16568,1789,9.2,1
Columbus,Ohio,1unit attached,36602,2744,9.9,0.7
Corpus Christi,Texas,1unit attached,2074,719,1.7,0.6
Dallas,Texas,1unit attached,22344,2110,4.3,0.4
Denver,Colorado,1unit attached,23345,1973,8.2,0.7
Detroit,Michigan,1unit attached,26032,2353,7.2,0.6
El Paso,Texas,1unit attached,8010,1089,3.5,0.5
Fresno,California,1unit attached,5449,1174,3.2,0.7
Greensboro,North Carolina,1unit attached,8220,1083,6.5,0.8
Henderson,Nevada,1unit attached,9095,1688,8,1.4
