,"Anchorage municipality, Alaska","Anchorage municipality, Alaska","Anchorage municipality, Alaska","Anchorage municipality, Alaska","Mesa city, Arizona","Mesa city, Arizona","Mesa city, Arizona","Mesa city, Arizona","Phoenix city, Arizona","Phoenix city, Arizona","Phoenix city, Arizona","Phoenix city, Arizona","Tucson city, Arizona","Tucson city, Arizona","Tucson city, Arizona","Tucson city, Arizona","Anaheim city, California","Anaheim city, California","Anaheim city, California","Anaheim city, California","Bakersfield city, California","Bakersfield city, California","Bakersfield city, California","Bakersfield city, California","Fresno city, California","Fresno city, California","Fresno city, California","Fresno city, California","Irvine city, California","Irvine city, California","Irvine city, California","Irvine city, California","Long Beach city, California","Long Beach city, California","Long Beach city, California","Long Beach city, California","Los Angeles city, California","Los Angeles city, California","Los Angeles city, California","Los Angeles city, California","Oakland city, California","Oakland city, California","Oakland city, California","Oakland city, California","Riverside city, California","Riverside city, California","Riverside city, California","Riverside city, California","Sacramento city, California","Sacramento city, California","Sacramento city, California","Sacramento city, California","San Diego city, California","San Diego city, California","San Diego city, California","San Diego city, California","San Francisco city, California","San Francisco city, California","San Francisco city, California","San Francisco city, California","San Jose city, California","San Jose city, California","San Jose city, California","San Jose city, California","Santa Ana city, California","Santa Ana city, California","Santa Ana city, California","Santa Ana city, California","Stockton city, California","Stockton city, California","Stockton city, California","Stockton city, California","Aurora city, Colorado","Aurora city, Colorado","Aurora city, Colorado","Aurora city, Colorado","Colorado Springs city, Colorado","Colorado Springs city, Colorado","Colorado Springs city, Colorado","Colorado Springs city, Colorado","Denver city, Colorado","Denver city, Colorado","Denver city, Colorado","Denver city, Colorado","Washington city, District of Columbia","Washington city, District of Columbia","Washington city, District of Columbia","Washington city, District of Columbia","Jacksonville city, Florida","Jacksonville city, Florida","Jacksonville city, Florida","Jacksonville city, Florida","Miami city, Florida","Miami city, Florida","Miami city, Florida","Miami city, Florida","Orlando city, Florida","Orlando city, Florida","Orlando city, Florida","Orlando city, Florida","Tampa city, Florida","Tampa city, Florida","Tampa city, Florida","Tampa city, Florida","Atlanta city, Georgia","Atlanta city, Georgia","Atlanta city, Georgia","Atlanta city, Georgia","Chicago city, Illinois","Chicago city, Illinois","Chicago city, Illinois","Chicago city, Illinois","Indianapolis city (balance), Indiana","Indianapolis city (balance), Indiana","Indianapolis city (balance), Indiana","Indianapolis city (balance), Indiana","Wichita city, Kansas","Wichita city, Kansas","Wichita city, Kansas","Wichita city, Kansas","New Orleans city, Louisiana","New Orleans city, Louisiana","New Orleans city, Louisiana","New Orleans city, Louisiana","Baltimore city, Maryland","Baltimore city, Maryland","Baltimore city, Maryland","Baltimore city, Maryland","Boston city, Massachusetts","Boston city, Massachusetts","Boston city, Massachusetts","Boston city, Massachusetts","Detroit city, Michigan","Detroit city, Michigan","Detroit city, Michigan","Detroit city, Michigan","Minneapolis city, Minnesota","Minneapolis city, Minnesota","Minneapolis city, Minnesota","Minneapolis city, Minnesota","St. Paul city, Minnesota","St. Paul city, Minnesota","St. Paul city, Minnesota","St. Paul city, Minnesota","Lincoln city, Nebraska","Lincoln city, Nebraska","Lincoln city, Nebraska","Lincoln city, Nebraska","Omaha city, Nebraska","Omaha city, Nebraska","Omaha city, Nebraska","Omaha city, Nebraska","Henderson city, Nevada","Henderson city, Nevada","Henderson city, Nevada","Henderson city, Nevada","Las Vegas city, Nevada","Las Vegas city, Nevada","Las Vegas city, Nevada","Las Vegas city, Nevada","Jersey City city, New Jersey","Jersey City city, New Jersey","Jersey City city, New Jersey","Jersey City city, New Jersey","Newark city, New Jersey","Newark city, New Jersey","Newark city, New Jersey","Newark city, New Jersey","Albuquerque city, New Mexico","Albuquerque city, New Mexico","Albuquerque city, New Mexico","Albuquerque city, New Mexico","New York city, New York","New York city, New York","New York city, New York","New York city, New York","Greensboro city, North Carolina","Greensboro city, North Carolina","Greensboro city, North Carolina","Greensboro city, North Carolina","Cincinnati city, Ohio","Cincinnati city, Ohio","Cincinnati city, Ohio","Cincinnati city, Ohio","Cleveland city, Ohio","Cleveland city, Ohio","Cleveland city, Ohio","Cleveland city, Ohio","Columbus city, Ohio","Columbus city, Ohio","Columbus city, Ohio","Columbus city, Ohio","Tulsa city, Oklahoma","Tulsa city, Oklahoma","Tulsa city, Oklahoma","Tulsa city, Oklahoma","Portland city, Oregon","Portland city, Oregon","Portland city, Oregon","Portland city, Oregon","Philadelphia city, Pennsylvania","Philadelphia city, Pennsylvania","Philadelphia city, Pennsylvania","Philadelphia city, Pennsylvania","Pittsburgh city, Pennsylvania","Pittsburgh city, Pennsylvania","Pittsburgh city, Pennsylvania","Pittsburgh city, Pennsylvania","Memphis city, Tennessee","Memphis city, Tennessee","Memphis city, Tennessee","Memphis city, Tennessee","Arlington city, Texas","Arlington city, Texas","Arlington city, Texas","Arlington city, Texas","Austin city, Texas","Austin city, Texas","Austin city, Texas","Austin city, Texas","Corpus Christi city, Texas","Corpus Christi city, Texas","Corpus Christi city, Texas","Corpus Christi city, Texas","Dallas city, Texas","Dallas city, Texas","Dallas city, Texas","Dallas city, Texas","El Paso city, Texas","El Paso city, Texas","El Paso city, Texas","El Paso city, Texas","Houston city, Texas","Houston city, Texas","Houston city, Texas","Houston city, Texas","Plano city, Texas","Plano city, Texas","Plano city, Texas","Plano city, Texas","San Antonio city, Texas","San Antonio city, Texas","San Antonio city, Texas","San Antonio city, Texas","Virginia Beach city, Virginia","Virginia Beach city, Virginia","Virginia Beach city, Virginia","Virginia Beach city, Virginia","Seattle city, Washington","Seattle city, Washington","Seattle city, Washington","Seattle city, Washington","Milwaukee city, Wisconsin","Milwaukee city, Wisconsin","Milwaukee city, Wisconsin","Milwaukee city, Wisconsin"
"Fuel oil, kerosene, etc.","2,166",±764,2.10%,±0.7,0,±305,0.00%,±0.1,225,±228,0.00%,±0.1,N,N,N,N,N,N,N,N,0,±294,0.00%,±0.2,70,±113,0.00%,±0.1,N,N,N,N,61,±102,0.00%,±0.1,"1,515",±629,0.10%,±0.1,259,±299,0.20%,±0.2,N,N,N,N,0,±294,0.00%,±0.1,965,±520,0.20%,±0.1,506,±327,0.20%,±0.1,90,±105,0.00%,±0.1,116,±139,0.20%,±0.2,0,±294,0.00%,±0.2,100,±122,0.10%,±0.1,64,±108,0.00%,±0.1,205,±169,0.10%,±0.1,"8,389","±1,243",3.30%,±0.5,"3,966",±903,1.30%,±0.3,N,N,N,N,528,±286,0.50%,±0.3,195,±171,0.10%,±0.1,151,±120,0.10%,±0.1,"2,753",±724,0.30%,±0.1,681,±383,0.20%,±0.1,0,±248,0.00%,±0.1,N,N,N,N,"19,617","±2,093",8.20%,±0.9,"47,869","±3,343",19.00%,±1.3,"1,417",±499,0.60%,±0.2,"1,267",±589,0.80%,±0.4,980,±461,0.90%,±0.4,147,±172,0.10%,±0.2,138,±142,0.10%,±0.1,N,N,N,N,N,N,N,N,"9,360","±1,548",10.10%,±1.6,N,N,N,N,0,±285,0.00%,±0.1,"908,286","±10,876",29.90%,±0.4,"2,055",±602,1.90%,±0.6,471,±250,0.40%,±0.2,328,±201,0.20%,±0.1,332,±225,0.10%,±0.1,0,±253,0.00%,±0.1,"18,269","±1,712",7.50%,±0.7,"34,565","±2,540",6.00%,±0.4,"1,214",±505,0.90%,±0.4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,273,±292,0.10%,±0.1,N,N,N,N,162,±163,0.00%,±0.1,N,N,N,N,359,±225,0.10%,±0.1,"5,446",±929,3.30%,±0.6,"20,133","±2,069",7.30%,±0.7,"4,832","±1,010",2.10%,±0.4
Coal or coke,0,±246,0.00%,±0.1,0,±305,0.00%,±0.1,0,±305,0.00%,±0.1,N,N,N,N,N,N,N,N,0,±294,0.00%,±0.2,0,±294,0.00%,±0.1,N,N,N,N,0,±294,0.00%,±0.1,0,±294,0.00%,±0.1,0,±294,0.00%,±0.1,N,N,N,N,0,±294,0.00%,±0.1,0,±294,0.00%,±0.1,59,±100,0.00%,±0.1,0,±294,0.00%,±0.1,0,±294,0.00%,±0.3,0,±294,0.00%,±0.2,0,±279,0.00%,±0.2,261,±274,0.20%,±0.2,0,±279,0.00%,±0.1,64,±108,0.00%,±0.1,55,±94,0.00%,±0.1,N,N,N,N,0,±310,0.00%,±0.2,0,±310,0.00%,±0.2,0,±300,0.00%,±0.1,322,±208,0.00%,±0.1,0,±267,0.00%,±0.1,0,±248,0.00%,±0.1,N,N,N,N,120,±143,0.10%,±0.1,0,±285,0.00%,±0.1,0,±244,0.00%,±0.1,125,±147,0.10%,±0.1,0,±211,0.00%,±0.1,0,±228,0.00%,±0.1,0,±228,0.00%,±0.1,N,N,N,N,N,N,N,N,0,±281,0.00%,±0.2,N,N,N,N,51,±88,0.00%,±0.1,"3,154",±986,0.10%,±0.1,0,±289,0.00%,±0.2,0,±269,0.00%,±0.1,0,±269,0.00%,±0.1,0,±269,0.00%,±0.1,70,±114,0.00%,±0.1,0,±277,0.00%,±0.1,418,±266,0.10%,±0.1,46,±76,0.00%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,±294,0.00%,±0.1,N,N,N,N,85,±141,0.00%,±0.1,N,N,N,N,0,±294,0.00%,±0.1,0,±287,0.00%,±0.1,162,±189,0.10%,±0.1,0,±218,0.00%,±0.1
Wood,661,±476,0.60%,±0.5,335,±252,0.20%,±0.2,734,±392,0.10%,±0.1,N,N,N,N,N,N,N,N,390,±379,0.40%,±0.3,656,±342,0.40%,±0.2,N,N,N,N,208,±158,0.10%,±0.1,"2,309",±788,0.20%,±0.1,502,±325,0.30%,±0.2,N,N,N,N,835,±580,0.50%,±0.3,"1,633",±568,0.30%,±0.1,817,±547,0.20%,±0.2,883,±452,0.30%,±0.2,503,±320,0.70%,±0.4,415,±272,0.50%,±0.3,227,±232,0.20%,±0.2,716,±504,0.40%,±0.3,314,±380,0.10%,±0.1,0,±292,0.00%,±0.1,475,±317,0.20%,±0.1,N,N,N,N,63,±106,0.10%,±0.1,0,±310,0.00%,±0.2,213,±157,0.10%,±0.1,253,±157,0.00%,±0.1,442,±302,0.10%,±0.1,389,±335,0.30%,±0.2,N,N,N,N,262,±238,0.10%,±0.1,148,±145,0.10%,±0.1,365,±371,0.10%,±0.1,699,±576,0.40%,±0.3,329,±401,0.30%,±0.4,218,±179,0.20%,±0.2,349,±369,0.20%,±0.2,N,N,N,N,N,N,N,N,0,±281,0.00%,±0.2,N,N,N,N,"1,217",±542,0.50%,±0.2,"2,365",±822,0.10%,±0.1,251,±210,0.20%,±0.2,126,±147,0.10%,±0.1,51,±86,0.00%,±0.1,384,±217,0.10%,±0.1,249,±179,0.20%,±0.1,"2,737",±844,1.10%,±0.3,377,±238,0.10%,±0.1,246,±213,0.20%,±0.2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,160,±156,0.00%,±0.1,N,N,N,N,128,±154,0.00%,±0.1,N,N,N,N,475,±436,0.10%,±0.1,291,±215,0.20%,±0.1,"1,083",±499,0.40%,±0.2,444,±268,0.20%,±0.1
Solar energy,0,±246,0.00%,±0.1,57,±97,0.00%,±0.1,135,±158,0.00%,±0.1,N,N,N,N,N,N,N,N,38,±62,0.00%,±0.1,0,±294,0.00%,±0.1,N,N,N,N,104,±122,0.10%,±0.1,719,±328,0.10%,±0.1,218,±214,0.10%,±0.1,N,N,N,N,118,±135,0.10%,±0.1,672,±341,0.10%,±0.1,760,±410,0.20%,±0.1,42,±71,0.00%,±0.1,96,±113,0.10%,±0.2,0,±294,0.00%,±0.2,0,±279,0.00%,±0.2,209,±200,0.10%,±0.1,44,±71,0.00%,±0.1,0,±292,0.00%,±0.1,0,±310,0.00%,±0.1,N,N,N,N,0,±310,0.00%,±0.2,121,±197,0.10%,±0.1,50,±83,0.00%,±0.1,57,±94,0.00%,±0.1,0,±267,0.00%,±0.1,0,±248,0.00%,±0.1,N,N,N,N,63,±103,0.00%,±0.1,52,±86,0.00%,±0.1,0,±244,0.00%,±0.1,0,±211,0.00%,±0.1,0,±211,0.00%,±0.1,0,±228,0.00%,±0.1,61,±102,0.00%,±0.1,N,N,N,N,N,N,N,N,0,±281,0.00%,±0.2,N,N,N,N,47,±79,0.00%,±0.1,882,±391,0.00%,±0.1,0,±289,0.00%,±0.2,73,±119,0.10%,±0.1,0,±269,0.00%,±0.1,0,±269,0.00%,±0.1,46,±78,0.00%,±0.1,0,±277,0.00%,±0.1,0,±246,0.00%,±0.1,0,±246,0.00%,±0.1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,44,±72,0.00%,±0.1,N,N,N,N,0,±294,0.00%,±0.1,N,N,N,N,0,±294,0.00%,±0.1,0,±287,0.00%,±0.1,0,±277,0.00%,±0.1,0,±218,0.00%,±0.1
Other fuel,418,±235,0.40%,±0.2,0,±305,0.00%,±0.1,45,±72,0.00%,±0.1,N,N,N,N,N,N,N,N,44,±74,0.00%,±0.1,0,±294,0.00%,±0.1,N,N,N,N,0,±294,0.00%,±0.1,"1,643",±641,0.10%,±0.1,350,±287,0.20%,±0.2,N,N,N,N,342,±263,0.20%,±0.1,210,±173,0.00%,±0.1,"3,314","±1,093",1.00%,±0.3,103,±123,0.00%,±0.1,0,±294,0.00%,±0.3,117,±143,0.10%,±0.2,517,±446,0.40%,±0.4,422,±230,0.30%,±0.1,"2,726",±853,1.00%,±0.3,"1,391",±641,0.60%,±0.3,50,±84,0.00%,±0.1,N,N,N,N,0,±310,0.00%,±0.2,44,±72,0.00%,±0.1,0,±300,0.00%,±0.1,"6,381","±1,249",0.60%,±0.1,850,±624,0.30%,±0.2,68,±113,0.00%,±0.1,N,N,N,N,727,±503,0.30%,±0.2,877,±428,0.30%,±0.2,"1,168",±433,0.50%,±0.2,"2,297",±647,1.40%,±0.4,"1,508",±457,1.40%,±0.4,202,±214,0.20%,±0.2,527,±315,0.30%,±0.2,N,N,N,N,N,N,N,N,284,±217,0.30%,±0.2,N,N,N,N,130,±151,0.10%,±0.1,"34,456","±2,719",1.10%,±0.1,337,±351,0.30%,±0.3,"1,251",±427,1.00%,±0.3,"1,246",±509,0.80%,±0.3,846,±542,0.30%,±0.2,47,±75,0.00%,±0.1,"1,010",±498,0.40%,±0.2,"1,014",±487,0.20%,±0.1,910,±515,0.70%,±0.4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,143,±139,0.00%,±0.1,N,N,N,N,863,±510,0.10%,±0.1,N,N,N,N,114,±140,0.00%,±0.1,233,±193,0.10%,±0.1,"1,891",±645,0.70%,±0.2,"2,014",±814,0.90%,±0.4
No fuel used,296,±227,0.30%,±0.2,764,±461,0.50%,±0.3,"3,844",±847,0.80%,±0.2,N,N,N,N,N,N,N,N,815,±499,0.70%,±0.5,688,±424,0.40%,±0.3,N,N,N,N,"12,356","±2,098",7.80%,±1.3,"76,002","±4,356",5.80%,±0.3,"2,837",±838,1.90%,±0.5,N,N,N,N,656,±339,0.40%,±0.2,"22,607","±2,194",4.80%,±0.5,"13,494","±2,027",4.00%,±0.6,"3,529","±1,013",1.20%,±0.3,"18,478","±1,794",25.90%,±2.5,"1,148",±465,1.30%,±0.5,266,±215,0.20%,±0.2,439,±287,0.30%,±0.2,"1,448",±592,0.60%,±0.2,"2,260",±623,0.90%,±0.2,"1,788",±449,0.60%,±0.1,N,N,N,N,561,±279,0.60%,±0.3,"1,081",±474,0.80%,±0.4,552,±390,0.30%,±0.2,"6,502","±1,191",0.60%,±0.1,478,±332,0.10%,±0.1,345,±231,0.20%,±0.2,N,N,N,N,"1,437",±501,0.60%,±0.2,"2,547",±773,1.00%,±0.3,"2,635",±742,1.00%,±0.3,"1,419",±710,0.90%,±0.4,"1,181",±522,1.10%,±0.5,342,±335,0.30%,±0.3,892,±404,0.50%,±0.2,N,N,N,N,N,N,N,N,691,±370,0.70%,±0.4,N,N,N,N,291,±220,0.10%,±0.1,"28,169","±2,618",0.90%,±0.1,268,±253,0.20%,±0.2,"1,165",±389,0.90%,±0.3,"1,975",±634,1.20%,±0.4,546,±317,0.20%,±0.1,471,±267,0.30%,±0.2,"1,326",±603,0.50%,±0.2,"1,775",±614,0.30%,±0.1,689,±524,0.50%,±0.4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"1,066",±407,0.20%,±0.1,N,N,N,N,"4,563","±1,322",0.60%,±0.2,N,N,N,N,"1,782",±553,0.40%,±0.1,487,±286,0.30%,±0.2,"1,766",±655,0.60%,±0.2,546,±302,0.20%,±0.1
SELECTED CHARACTERISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupied housing units,"104,993","±2,002","104,993",(X),"162,691","±4,466","162,691",(X),"511,432","±7,172","511,432",(X),"201,761","±4,584","201,761",(X),"100,404","±3,112","100,404",(X),"109,420","±3,039","109,420",(X),"152,890","±3,242","152,890",(X),"76,172","±2,460","76,172",(X),"158,386","±4,102","158,386",(X),"1,310,259","±9,520","1,310,259",(X),"151,808","±3,746","151,808",(X),"87,752","±3,694","87,752",(X),"176,168","±5,046","176,168",(X),"469,635","±6,664","469,635",(X),"336,012","±4,358","336,012",(X),"297,637","±4,429","297,637",(X),"71,288","±2,600","71,288",(X),"91,200","±2,669","91,200",(X),"119,559","±3,177","119,559",(X),"167,361","±3,084","167,361",(X),"262,093","±3,662","262,093",(X),"252,388","±3,730","252,388",(X),"308,173","±6,302","308,173",(X),"145,822","±4,810","145,822",(X),"96,753","±3,793","96,753",(X),"133,070","±3,857","133,070",(X),"172,159","±5,268","172,159",(X),"1,014,576","±8,579","1,014,576",(X),"322,700","±5,582","322,700",(X),"149,648","±2,521","149,648",(X),"142,093","±3,457","142,093",(X),"237,945","±4,515","237,945",(X),"251,721","±4,587","251,721",(X),"255,201","±5,059","255,201",(X),"165,798","±3,861","165,798",(X),"110,088","±2,941","110,088",(X),"104,286","±1,919","104,286",(X),"163,411","±2,894","163,411",(X),"99,095","±3,059","99,095",(X),"210,950","±4,737","210,950",(X),"92,649","±2,709","92,649",(X),"91,414","±3,236","91,414",(X),"223,505","±2,539","223,505",(X),"3,039,467","±11,288","3,039,467",(X),"109,255","±3,387","109,255",(X),"126,145","±4,336","126,145",(X),"164,990","±4,095","164,990",(X),"319,428","±4,797","319,428",(X),"163,173","±2,981","163,173",(X),"244,192","±3,559","244,192",(X),"575,413","±6,623","575,413",(X),"129,828","±3,843","129,828",(X),"241,400","±4,203","241,400",(X),"133,491","±3,094","133,491",(X),"323,282","±4,713","323,282",(X),"110,954","±2,722","110,954",(X),"447,680","±6,310","447,680",(X),"210,754","±2,612","210,754",(X),"762,309","±6,535","762,309",(X),"97,524","±2,960","97,524",(X),"470,223","±4,982","470,223",(X),"164,300","±2,574","164,300",(X),"277,520","±5,743","277,520",(X),"228,945","±3,762","228,945",(X)
Lacking complete plumbing facilities,906,±555,0.90%,±0.5,519,±557,0.30%,±0.3,"2,817","±1,080",0.60%,±0.2,0,±305,0.00%,±0.1,882,±624,0.90%,±0.6,486,±398,0.40%,±0.4,631,±412,0.40%,±0.3,382,±348,0.50%,±0.5,935,±482,0.60%,±0.3,"8,142","±1,524",0.60%,±0.1,"1,618",±685,1.10%,±0.4,166,±164,0.20%,±0.2,"1,309",±645,0.70%,±0.4,"3,038","±1,148",0.60%,±0.2,"6,338","±1,625",1.90%,±0.5,"1,855",±851,0.60%,±0.3,733,±446,1.00%,±0.6,250,±288,0.30%,±0.3,0,±279,0.00%,±0.2,691,±540,0.40%,±0.3,815,±528,0.30%,±0.2,"1,843",±888,0.70%,±0.4,880,±625,0.30%,±0.2,628,±516,0.40%,±0.4,295,±348,0.30%,±0.4,587,±428,0.40%,±0.3,"1,787",±748,1.00%,±0.4,"6,918","±1,594",0.70%,±0.2,773,±421,0.20%,±0.1,328,±406,0.20%,±0.3,"1,457",±687,1.00%,±0.5,"2,257",±881,0.90%,±0.4,"1,111",±680,0.40%,±0.3,"3,708","±1,078",1.50%,±0.4,"2,293",±965,1.40%,±0.6,254,±236,0.20%,±0.2,207,±196,0.20%,±0.2,250,±264,0.20%,±0.2,"1,146",±686,1.20%,±0.7,"1,881",±804,0.90%,±0.4,"1,182",±626,1.30%,±0.7,"1,339",±669,1.50%,±0.7,623,±411,0.30%,±0.2,"22,997","±2,635",0.80%,±0.1,883,±603,0.80%,±0.5,297,±384,0.20%,±0.3,"1,893",±715,1.10%,±0.4,"1,713",±759,0.50%,±0.2,847,±482,0.50%,±0.3,"3,341","±1,057",1.40%,±0.4,"5,383","±1,406",0.90%,±0.2,742,±578,0.60%,±0.4,"1,679",±624,0.70%,±0.3,665,±543,0.50%,±0.4,"1,340",±648,0.40%,±0.2,833,±560,0.80%,±0.5,"2,753","±1,002",0.60%,±0.2,"2,052",±866,1.00%,±0.4,"6,833","±1,650",0.90%,±0.2,645,±544,0.70%,±0.6,"3,489","±1,117",0.70%,±0.2,410,±480,0.20%,±0.3,"2,491","±1,174",0.90%,±0.4,"1,424",±758,0.60%,±0.3
Lacking complete kitchen facilities,710,±500,0.70%,±0.5,"1,279",±747,0.80%,±0.5,"5,084","±1,317",1.00%,±0.3,"1,228",±713,0.60%,±0.4,"1,612",±687,1.60%,±0.7,"1,499",±614,1.40%,±0.6,824,±435,0.50%,±0.3,659,±352,0.90%,±0.5,"2,214",±663,1.40%,±0.4,"26,195","±2,570",2.00%,±0.2,"2,328",±759,1.50%,±0.5,"1,185",±582,1.40%,±0.7,"2,394",±836,1.40%,±0.5,"4,990","±1,267",1.10%,±0.3,"11,214","±1,874",3.30%,±0.6,"2,875",±923,1.00%,±0.3,"1,113",±635,1.60%,±0.9,"1,368",±587,1.50%,±0.6,169,±163,0.10%,±0.1,"2,008",±910,1.20%,±0.5,"2,654",±712,1.00%,±0.3,"2,423",±789,1.00%,±0.3,"1,960",±764,0.60%,±0.2,"1,364",±512,0.90%,±0.4,701,±465,0.70%,±0.5,574,±429,0.40%,±0.3,"1,556",±715,0.90%,±0.4,"10,770","±2,075",1.10%,±0.2,"2,709",±797,0.80%,±0.2,"1,437",±690,1.00%,±0.5,"1,975",±714,1.40%,±0.5,"2,069",±851,0.90%,±0.4,"1,970",±813,0.80%,±0.3,"4,510","±1,139",1.80%,±0.4,"2,323","±1,050",1.40%,±0.6,412,±283,0.40%,±0.3,795,±538,0.80%,±0.5,"1,224",±561,0.70%,±0.3,"1,399",±798,1.40%,±0.8,"3,911","±1,066",1.90%,±0.5,"1,754",±771,1.90%,±0.8,"1,505",±697,1.60%,±0.8,999,±459,0.40%,±0.2,"38,233","±2,964",1.30%,±0.1,"1,186",±613,1.10%,±0.6,"1,306",±627,1.00%,±0.5,"3,572",±895,2.20%,±0.5,"2,922",±830,0.90%,±0.3,"1,700",±726,1.00%,±0.4,"4,578","±1,268",1.90%,±0.5,"7,875","±1,768",1.40%,±0.3,"1,218",±634,0.90%,±0.5,"2,191",±769,0.90%,±0.3,552,±267,0.40%,±0.2,"2,461",±825,0.80%,±0.3,"1,161",±675,1.00%,±0.6,"4,394","±1,186",1.00%,±0.3,"2,478",±813,1.20%,±0.4,"8,998","±1,756",1.20%,±0.2,"1,635",±797,1.70%,±0.8,"6,418","±1,402",1.40%,±0.3,298,±203,0.20%,±0.1,"4,075","±1,262",1.50%,±0.4,"2,087",±775,0.90%,±0.3
No telephone service available,891,±546,0.80%,±0.5,"5,017","±1,329",3.10%,±0.8,"22,901","±2,822",4.50%,±0.5,"5,738","±1,343",2.80%,±0.7,"1,767",±651,1.80%,±0.7,"1,561",±587,1.40%,±0.5,"3,447",±836,2.30%,±0.5,"1,875",±879,2.50%,±1.2,"3,531",±929,2.20%,±0.6,"33,268","±3,327",2.50%,±0.2,"3,485",±916,2.30%,±0.6,"2,010",±622,2.30%,±0.7,"3,634",±976,2.10%,±0.6,"9,833","±1,627",2.10%,±0.3,"8,679","±1,931",2.60%,±0.6,"4,563",±948,1.50%,±0.3,"1,233",±536,1.70%,±0.7,"1,400",±557,1.50%,±0.6,"1,446",±560,1.20%,±0.5,"5,305","±1,217",3.20%,±0.7,"7,802","±1,273",3.00%,±0.5,"8,233","±1,726",3.30%,±0.7,"7,922","±1,432",2.60%,±0.5,"4,223",±990,2.90%,±0.7,"3,401","±1,039",3.50%,±1.0,"4,242",±906,3.20%,±0.7,"5,206","±1,084",3.00%,±0.6,"26,332","±2,506",2.60%,±0.3,"7,155","±1,356",2.20%,±0.4,"3,918",±954,2.60%,±0.6,"7,247","±1,463",5.10%,±1.0,"13,296","±1,885",5.60%,±0.8,"5,692","±1,027",2.30%,±0.4,"11,546","±1,611",4.50%,±0.6,"4,556","±1,003",2.70%,±0.6,"3,009",±791,2.70%,±0.7,"2,294",±854,2.20%,±0.8,"3,174",±887,1.90%,±0.5,"3,076","±1,115",3.10%,±1.1,"5,845","±1,264",2.80%,±0.6,"9,009","±1,610",9.70%,±1.7,"3,325","±1,094",3.60%,±1.2,"6,499","±1,262",2.90%,±0.6,"111,702","±6,619",3.70%,±0.2,"4,149","±1,146",3.80%,±1.0,"4,029",±993,3.20%,±0.8,"5,931","±1,288",3.60%,±0.8,"11,069","±1,815",3.50%,±0.6,"3,341",±850,2.00%,±0.5,"6,405","±1,409",2.60%,±0.6,"27,108","±2,965",4.70%,±0.5,"3,299",±903,2.50%,±0.7,"8,052","±1,742",3.30%,±0.7,"2,894",±751,2.20%,±0.6,"8,230","±1,495",2.50%,±0.5,"4,209","±1,183",3.80%,±1.1,"11,325","±1,998",2.50%,±0.4,"8,340","±1,565",4.00%,±0.7,"23,239","±2,587",3.00%,±0.3,"1,676",±668,1.70%,±0.7,"13,813","±1,798",2.90%,±0.4,"2,600",±747,1.60%,±0.5,"5,613","±1,161",2.00%,±0.4,"4,952","±1,092",2.20%,±0.5
OCCUPANTS PER ROOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
