Identifier,City_Rank_by_Population(2021),State,State_Abbreviation,City,Observation_Date,Single_Family_Median_Typical_Home_Value,One_Bedroom_Median_Typical_Home_Value,Two_Bedroom_Median_Typical_Home_Value,Three_Bedroom_Median_Typical_Home_Value,Four_Bedroom_Median_Typical_Home_Value,Five_Plus_Bedroom_Median_Typical_Home_Value,Data_Source_Link
201203,3,Illinois,IL,Chicago,1/1/2012,172570.00,162008.50,178028.50,181587.50,216034.00,240993.00,https://www.zillow.com/research/data/
201303,3,Illinois,IL,Chicago,1/1/2013,181089.50,180363.50,189911.50,191174.50,228698.00,253283.50,https://www.zillow.com/research/data/
201403,3,Illinois,IL,Chicago,1/1/2014,197298.00,199134.50,210611.50,209122.00,247594.00,269463.00,https://www.zillow.com/research/data/
201503,3,Illinois,IL,Chicago,1/1/2015,207696.50,204888.50,221887.00,219159.50,259367.00,284924.00,https://www.zillow.com/research/data/
201603,3,Illinois,IL,Chicago,1/1/2016,219346.00,212262.50,233645.50,229350.50,272202.00,302999.50,https://www.zillow.com/research/data/
201703,3,Illinois,IL,Chicago,1/1/2017,234363.50,222215.50,248720.00,245042.50,289533.50,320590.00,https://www.zillow.com/research/data/
201803,3,Illinois,IL,Chicago,1/1/2018,244208.00,226532.00,258913.50,254263.50,299045.50,331889.00,https://www.zillow.com/research/data/
201903,3,Illinois,IL,Chicago,1/1/2019,248326.00,225573.00,260868.50,258145.50,303511.00,337310.50,https://www.zillow.com/research/data/
202003,3,Illinois,IL,Chicago,1/1/2020,252159.50,227702.00,261569.50,261443.50,309442.00,344695.00,https://www.zillow.com/research/data/
202103,3,Illinois,IL,Chicago,1/1/2021,282580.00,236544.50,284521.50,291592.00,346520.00,388040.50,https://www.zillow.com/research/data/
201104,4,Texas,TX,Houston,1/1/2011,124864.00,70218.50,85488.00,111605.50,162445.50,283861.50,https://www.zillow.com/research/data/
201204,4,Texas,TX,Houston,1/1/2012,124078.00,70971.50,85119.00,109884.00,162726.50,288350.00,https://www.zillow.com/research/data/
201304,4,Texas,TX,Houston,1/1/2013,134300.50,77472.00,92091.50,118659.00,176576.50,314851.00,https://www.zillow.com/research/data/
201404,4,Texas,TX,Houston,1/1/2014,148960.00,86787.50,102135.50,131867.50,193211.00,340986.00,https://www.zillow.com/research/data/
201504,4,Texas,TX,Houston,1/1/2015,164574.00,98104.50,113760.00,146448.50,212427.50,373324.00,https://www.zillow.com/research/data/
201604,4,Texas,TX,Houston,1/1/2016,171800.50,105052.00,119289.50,153865.00,219179.50,375306.50,https://www.zillow.com/research/data/
201704,4,Texas,TX,Houston,1/1/2017,179082.00,109530.00,125094.00,161287.50,225189.50,377769.50,https://www.zillow.com/research/data/
201804,4,Texas,TX,Houston,1/1/2018,186486.50,113616.50,133340.00,168885.50,230974.00,380409.50,https://www.zillow.com/research/data/
201904,4,Texas,TX,Houston,1/1/2019,195305.00,117434.00,143651.50,177786.50,237475.50,387789.50,https://www.zillow.com/research/data/
202004,4,Texas,TX,Houston,1/1/2020,202412.00,119580.00,150282.50,185021.50,243819.50,392244.00,https://www.zillow.com/research/data/
202104,4,Texas,TX,Houston,1/1/2021,229725.50,132536.00,168663.50,210146.00,276587.50,441456.50,https://www.zillow.com/research/data/
201105,5,Arizona,AZ,Phoenix,1/1/2011,112204.00,57427.50,75507.50,102134.50,150566.50,258880.00,https://www.zillow.com/research/data/
201205,5,Arizona,AZ,Phoenix,1/1/2012,126599.00,65678.00,85786.50,115695.50,169108.50,287248.00,https://www.zillow.com/research/data/
201305,5,Arizona,AZ,Phoenix,1/1/2013,160519.00,85250.50,110561.50,149155.00,209644.50,341960.50,https://www.zillow.com/research/data/
201405,5,Arizona,AZ,Phoenix,1/1/2014,178221.50,96282.00,124740.50,165530.50,230414.00,365453.00,https://www.zillow.com/research/data/
201505,5,Arizona,AZ,Phoenix,1/1/2015,190565.00,105001.00,134899.00,177151.50,242503.00,378258.00,https://www.zillow.com/research/data/
201605,5,Arizona,AZ,Phoenix,1/1/2016,206447.50,115429.50,147805.50,193108.00,258219.00,395020.00,https://www.zillow.com/research/data/
201705,5,Arizona,AZ,Phoenix,1/1/2017,222031.50,125724.00,162374.50,209218.00,272724.00,408493.00,https://www.zillow.com/research/data/
201805,5,Arizona,AZ,Phoenix,1/1/2018,239211.00,140418.00,179529.50,225470.50,291564.50,431028.00,https://www.zillow.com/research/data/
201905,5,Arizona,AZ,Phoenix,1/1/2019,251377.00,151218.50,192577.00,237870.50,304643.50,448804.50,https://www.zillow.com/research/data/
202005,5,Arizona,AZ,Phoenix,1/1/2020,277370.50,167448.50,212292.50,262946.00,332114.50,482358.50,https://www.zillow.com/research/data/
202105,5,Arizona,AZ,Phoenix,1/1/2021,359291.50,216523.00,277632.00,340718.00,428991.50,622279.00,https://www.zillow.com/research/data/
201106,6,Pennsylvania,PA,Philadelphia,1/1/2011,135741.00,221490.00,160968.50,120876.00,172850.00,240110.00,https://www.zillow.com/research/data/
201206,6,Pennsylvania,PA,Philadelphia,1/1/2012,129322.50,220978.50,152781.00,114225.50,167669.00,231871.50,https://www.zillow.com/research/data/
201306,6,Pennsylvania,PA,Philadelphia,1/1/2013,129270.00,229175.00,156940.00,113292.00,168913.00,235499.50,https://www.zillow.com/research/data/
201406,6,Pennsylvania,PA,Philadelphia,1/1/2014,129916.50,237172.00,158557.50,114259.00,170732.50,246703.50,https://www.zillow.com/research/data/
201506,6,Pennsylvania,PA,Philadelphia,1/1/2015,134176.50,242852.00,166180.50,117622.50,177645.00,262342.00,https://www.zillow.com/research/data/
201606,6,Pennsylvania,PA,Philadelphia,1/1/2016,137178.50,245769.50,170719.50,121082.50,180801.00,267689.50,https://www.zillow.com/research/data/
201706,6,Pennsylvania,PA,Philadelphia,1/1/2017,146778.50,260086.00,182754.50,129988.50,193419.00,279673.50,https://www.zillow.com/research/data/
201806,6,Pennsylvania,PA,Philadelphia,1/1/2018,164287.50,268444.50,201351.00,146930.50,213342.00,308322.00,https://www.zillow.com/research/data/
201906,6,Pennsylvania,PA,Philadelphia,1/1/2019,178344.50,272100.00,212242.00,160287.00,230354.50,325396.00,https://www.zillow.com/research/data/
202006,6,Pennsylvania,PA,Philadelphia,1/1/2020,189607.00,273411.00,221005.50,170949.00,242497.50,340567.00,https://www.zillow.com/research/data/
202106,6,Pennsylvania,PA,Philadelphia,1/1/2021,218388.50,292590.50,246820.50,197773.00,276699.00,388004.00,https://www.zillow.com/research/data/
201107,7,Texas,TX,San Antonio,1/1/2011,138430.50,63654.50,86433.50,122131.00,183353.00,256438.50,https://www.zillow.com/research/data/
201207,7,Texas,TX,San Antonio,1/1/2012,139092.00,60799.50,83669.00,122656.50,186245.50,261315.50,https://www.zillow.com/research/data/
201307,7,Texas,TX,San Antonio,1/1/2013,143721.50,63196.50,86089.00,126713.00,192334.50,269286.50,https://www.zillow.com/research/data/
201407,7,Texas,TX,San Antonio,1/1/2014,153554.00,67742.00,89978.00,135575.00,204600.00,284524.50,https://www.zillow.com/research/data/
201507,7,Texas,TX,San Antonio,1/1/2015,163299.00,72499.00,95865.00,144937.00,214172.50,295515.00,https://www.zillow.com/research/data/
201607,7,Texas,TX,San Antonio,1/1/2016,175554.50,76569.00,105029.00,156408.00,226653.00,308455.00,https://www.zillow.com/research/data/
201707,7,Texas,TX,San Antonio,1/1/2017,186086.00,84204.50,115564.50,166854.00,235842.00,315867.50,https://www.zillow.com/research/data/
201807,7,Texas,TX,San Antonio,1/1/2018,196600.00,91444.50,126302.50,177087.00,245043.50,324627.00,https://www.zillow.com/research/data/
201907,7,Texas,TX,San Antonio,1/1/2019,207037.50,99983.50,138144.00,186959.50,253636.50,332524.00,https://www.zillow.com/research/data/
202007,7,Texas,TX,San Antonio,1/1/2020,212575.00,103865.00,141787.50,192123.50,258988.00,337715.00,https://www.zillow.com/research/data/
202107,7,Texas,TX,San Antonio,1/1/2021,246945.00,118909.00,164473.00,222745.00,299352.50,390022.00,https://www.zillow.com/research/data/
201108,8,California,CA,San Diego,1/1/2011,433018.50,185957.50,301590.50,385353.00,512782.50,784528.50,https://www.zillow.com/research/data/
201208,8,California,CA,San Diego,1/1/2012,428818.00,179719.00,291397.00,380750.00,510532.00,779663.50,https://www.zillow.com/research/data/
201308,8,California,CA,San Diego,1/1/2013,507243.00,222795.00,349140.00,452690.00,597013.50,899666.50,https://www.zillow.com/research/data/
201408,8,California,CA,San Diego,1/1/2014,541555.50,251752.50,381095.50,484065.00,636104.50,947489.50,https://www.zillow.com/research/data/
201508,8,California,CA,San Diego,1/1/2015,557815.50,261116.00,392881.00,500726.00,652681.00,966788.00,https://www.zillow.com/research/data/
201608,8,California,CA,San Diego,1/1/2016,590133.00,279902.50,418351.50,531355.00,686424.50,1011260.00,https://www.zillow.com/research/data/
201708,8,California,CA,San Diego,1/1/2017,634886.00,308936.00,455895.00,574267.00,734387.00,1074555.50,https://www.zillow.com/research/data/
201808,8,California,CA,San Diego,1/1/2018,676508.00,335205.00,490876.50,616134.50,781275.50,1145974.00,https://www.zillow.com/research/data/
201908,8,California,CA,San Diego,1/1/2019,689258.00,342028.00,499251.00,629507.50,793796.00,1160969.50,https://www.zillow.com/research/data/
202008,8,California,CA,San Diego,1/1/2020,726759.50,355203.50,518756.00,664131.50,834402.50,1221636.50,https://www.zillow.com/research/data/
202108,8,California,CA,San Diego,1/1/2021,909939.50,412284.50,621327.00,830288.50,1048461.50,1524823.00,https://www.zillow.com/research/data/
201109,9,Texas,TX,Dallas,1/1/2011,130076.50,71267.50,95742.00,118491.00,251898.50,593003.00,https://www.zillow.com/research/data/
201209,9,Texas,TX,Dallas,1/1/2012,128011.50,71186.50,93626.50,116196.00,255461.50,595072.50,https://www.zillow.com/research/data/
201309,9,Texas,TX,Dallas,1/1/2013,134944.00,76882.50,98580.50,121612.50,274148.50,636796.50,https://www.zillow.com/research/data/
201409,9,Texas,TX,Dallas,1/1/2014,145377.50,82939.00,106969.00,130452.00,300230.00,680173.00,https://www.zillow.com/research/data/
201509,9,Texas,TX,Dallas,1/1/2015,159655.50,91241.50,119227.50,142456.50,331359.00,739105.00,https://www.zillow.com/research/data/
201609,9,Texas,TX,Dallas,1/1/2016,176023.50,102599.00,132498.00,156542.00,358669.00,782869.00,https://www.zillow.com/research/data/
201709,9,Texas,TX,Dallas,1/1/2017,195097.50,119518.50,149018.00,174798.50,383381.50,814964.50,https://www.zillow.com/research/data/
201809,9,Texas,TX,Dallas,1/1/2018,218016.00,134030.50,168350.00,196507.00,408388.00,849989.50,https://www.zillow.com/research/data/
201909,9,Texas,TX,Dallas,1/1/2019,234389.50,141233.00,184874.50,213383.50,423867.00,863445.00,https://www.zillow.com/research/data/
202009,9,Texas,TX,Dallas,1/1/2020,240299.00,142293.50,189918.50,219814.50,433499.00,869495.00,https://www.zillow.com/research/data/
202109,9,Texas,TX,Dallas,1/1/2021,277199.50,153968.50,214874.00,253656.00,496882.50,993572.50,https://www.zillow.com/research/data/
201110,10,California,CA,San Jose,1/1/2011,527956.50,230025.00,314753.50,472595.00,579560.00,767867.00,https://www.zillow.com/research/data/
201210,10,California,CA,San Jose,1/1/2012,552563.50,237825.00,325729.50,494706.00,605679.50,802815.00,https://www.zillow.com/research/data/
201310,10,California,CA,San Jose,1/1/2013,677070.00,316021.50,417905.00,614402.00,732413.00,944364.00,https://www.zillow.com/research/data/
201410,10,California,CA,San Jose,1/1/2014,739466.50,358783.00,470275.00,673911.50,796902.50,1021859.00,https://www.zillow.com/research/data/
201510,10,California,CA,San Jose,1/1/2015,822023.50,400764.50,526133.00,750570.50,882510.00,1141121.00,https://www.zillow.com/research/data/
201610,10,California,CA,San Jose,1/1/2016,880424.00,445194.50,577531.00,806240.00,944690.50,1214219.00,https://www.zillow.com/research/data/
201710,10,California,CA,San Jose,1/1/2017,937162.50,469121.00,614439.00,859703.50,1006492.50,1283651.00,https://www.zillow.com/research/data/
201810,10,California,CA,San Jose,1/1/2018,1157092.00,583161.50,756971.00,1067095.00,1233724.50,1534261.00,https://www.zillow.com/research/data/
201910,10,California,CA,San Jose,1/1/2019,1066964.00,548891.00,703766.00,980450.00,1143895.00,1444830.50,https://www.zillow.com/research/data/
202010,10,California,CA,San Jose,1/1/2020,1109449.50,547057.50,716989.00,1013292.00,1191256.50,1505316.00,https://www.zillow.com/research/data/
202110,10,California,CA,San Jose,1/1/2021,1311137.50,574695.50,784850.00,1194539.00,1414270.50,1778559.00,https://www.zillow.com/research/data/
201111,11,Texas,TX,Austin,1/1/2011,226502.00,158934.00,200943.50,199288.50,279670.50,437702.00,https://www.zillow.com/research/data/
201211,11,Texas,TX,Austin,1/1/2012,235254.00,164869.00,209283.00,205937.50,291546.50,458066.50,https://www.zillow.com/research/data/
201311,11,Texas,TX,Austin,1/1/2013,259171.00,181019.50,230124.00,226825.50,319929.50,493202.50,https://www.zillow.com/research/data/
201411,11,Texas,TX,Austin,1/1/2014,289027.00,199733.00,256660.50,253059.50,352088.50,533268.00,https://www.zillow.com/research/data/
201511,11,Texas,TX,Austin,1/1/2015,312608.00,216447.50,280171.00,275501.50,375071.50,565887.50,https://www.zillow.com/research/data/
201611,11,Texas,TX,Austin,1/1/2016,338906.00,235137.50,302589.50,299802.50,399864.50,591912.50,https://www.zillow.com/research/data/
201711,11,Texas,TX,Austin,1/1/2017,354855.00,248442.00,318738.00,315372.00,414776.50,606420.50,https://www.zillow.com/research/data/
201811,11,Texas,TX,Austin,1/1/2018,369228.50,258793.50,331910.50,328992.00,427760.50,624443.50,https://www.zillow.com/research/data/
201911,11,Texas,TX,Austin,1/1/2019,386678.50,271815.00,347987.00,343763.50,446165.00,651665.00,https://www.zillow.com/research/data/
202011,11,Texas,TX,Austin,1/1/2020,416094.50,286518.00,369414.00,370329.50,478950.00,693039.00,https://www.zillow.com/research/data/
202111,11,Texas,TX,Austin,1/1/2021,590289.00,351939.00,492504.00,521582.00,686331.00,994011.00,https://www.zillow.com/research/data/
201112,12,Florida,FL,Jacksonville,1/1/2011,123201.00,50617.00,65512.50,110058.50,173148.00,265635.50,https://www.zillow.com/research/data/
201212,12,Florida,FL,Jacksonville,1/1/2012,115980.00,51454.00,62477.00,103337.00,167947.50,259414.50,https://www.zillow.com/research/data/
201312,12,Florida,FL,Jacksonville,1/1/2013,127215.50,61174.50,68089.00,113168.00,184552.00,282407.50,https://www.zillow.com/research/data/
201412,12,Florida,FL,Jacksonville,1/1/2014,139686.00,69197.50,75768.50,125023.00,198773.00,299352.00,https://www.zillow.com/research/data/
201512,12,Florida,FL,Jacksonville,1/1/2015,146252.50,71541.50,79423.50,131342.50,206577.00,310239.00,https://www.zillow.com/research/data/
201612,12,Florida,FL,Jacksonville,1/1/2016,156798.00,78843.50,86732.00,141912.50,218174.50,323194.50,https://www.zillow.com/research/data/
201712,12,Florida,FL,Jacksonville,1/1/2017,169940.50,89066.00,99082.00,154602.00,232058.00,336650.00,https://www.zillow.com/research/data/
201812,12,Florida,FL,Jacksonville,1/1/2018,186007.50,101744.50,112890.00,169576.00,249548.00,355100.00,https://www.zillow.com/research/data/
201912,12,Florida,FL,Jacksonville,1/1/2019,196951.00,108311.50,122937.50,180839.50,257475.00,361662.50,https://www.zillow.com/research/data/
202012,12,Florida,FL,Jacksonville,1/1/2020,207243.00,112765.00,131204.50,190912.00,268179.50,371654.00,https://www.zillow.com/research/data/
202112,12,Florida,FL,Jacksonville,1/1/2021,245425.00,131292.50,156033.00,226079.50,315895.50,435503.00,https://www.zillow.com/research/data/
201113,13,Texas,TX,Fort Worth,1/1/2011,117898.00,84586.50,72334.50,100983.00,161790.50,211913.50,https://www.zillow.com/research/data/
201213,13,Texas,TX,Fort Worth,1/1/2012,119160.50,82946.00,72410.50,101862.00,164433.00,215400.50,https://www.zillow.com/research/data/
201313,13,Texas,TX,Fort Worth,1/1/2013,125279.50,85012.00,74717.50,106943.00,172194.50,226140.50,https://www.zillow.com/research/data/
201413,13,Texas,TX,Fort Worth,1/1/2014,135146.50,93866.00,80299.00,115862.50,184253.00,242720.50,https://www.zillow.com/research/data/
201513,13,Texas,TX,Fort Worth,1/1/2015,147109.00,104559.00,87536.00,126692.00,199420.00,259453.00,https://www.zillow.com/research/data/
201613,13,Texas,TX,Fort Worth,1/1/2016,162457.50,111964.00,97511.50,140682.50,218624.50,280394.00,https://www.zillow.com/research/data/
201713,13,Texas,TX,Fort Worth,1/1/2017,180216.00,123226.00,111088.00,157478.00,236970.00,297904.50,https://www.zillow.com/research/data/
201813,13,Texas,TX,Fort Worth,1/1/2018,198376.00,135272.00,126854.50,174997.00,254159.00,313919.00,https://www.zillow.com/research/data/
201913,13,Texas,TX,Fort Worth,1/1/2019,208476.00,142962.50,139477.00,186071.50,260861.00,319172.50,https://www.zillow.com/research/data/
202013,13,Texas,TX,Fort Worth,1/1/2020,217147.50,157436.50,148876.00,195441.00,267839.00,328030.00,https://www.zillow.com/research/data/
202113,13,Texas,TX,Fort Worth,1/1/2021,258910.00,187770.00,178024.00,233873.50,317881.00,387202.50,https://www.zillow.com/research/data/
201114,14,Ohio,OH,Columbus,1/1/2011,113589.50,69790.00,84797.00,109099.00,157415.50,176057.00,https://www.zillow.com/research/data/
201214,14,Ohio,OH,Columbus,1/1/2012,106262.50,62799.50,74165.50,101982.50,151474.00,171082.50,https://www.zillow.com/research/data/
201314,14,Ohio,OH,Columbus,1/1/2013,108055.00,66918.50,75382.50,103210.50,157413.50,177723.00,https://www.zillow.com/research/data/
201414,14,Ohio,OH,Columbus,1/1/2014,114738.00,73862.50,81361.00,109809.50,164630.00,187913.50,https://www.zillow.com/research/data/
201514,14,Ohio,OH,Columbus,1/1/2015,122822.00,78145.50,86071.00,117578.50,175501.50,201608.50,https://www.zillow.com/research/data/
201614,14,Ohio,OH,Columbus,1/1/2016,131862.00,83218.00,91901.00,126137.00,186814.50,216110.00,https://www.zillow.com/research/data/
201714,14,Ohio,OH,Columbus,1/1/2017,145376.50,93063.00,102515.00,138769.50,203978.50,239172.00,https://www.zillow.com/research/data/
201814,14,Ohio,OH,Columbus,1/1/2018,158895.50,100640.50,113590.50,151631.00,221107.00,262783.00,https://www.zillow.com/research/data/
201914,14,Ohio,OH,Columbus,1/1/2019,173569.00,109108.00,125023.50,165560.00,236508.00,281847.00,https://www.zillow.com/research/data/
202014,14,Ohio,OH,Columbus,1/1/2020,187836.00,117836.00,135447.50,179255.00,251611.00,297581.00,https://www.zillow.com/research/data/
202114,14,Ohio,OH,Columbus,1/1/2021,222232.50,135243.50,157139.00,212292.50,293580.00,345018.00,https://www.zillow.com/research/data/
201115,15,Indiana,IN,Indianapolis,1/1/2011,98012.00,56331.50,64646.50,94764.50,141834.00,229408.50,https://www.zillow.com/research/data/
201215,15,Indiana,IN,Indianapolis,1/1/2012,98261.50,52534.00,61785.50,94886.50,142848.00,235421.00,https://www.zillow.com/research/data/
201315,15,Indiana,IN,Indianapolis,1/1/2013,101841.50,52878.00,62396.50,98373.00,149370.50,244526.00,https://www.zillow.com/research/data/
201415,15,Indiana,IN,Indianapolis,1/1/2014,112446.50,58228.00,69644.00,108769.50,161785.50,268645.50,https://www.zillow.com/research/data/
201515,15,Indiana,IN,Indianapolis,1/1/2015,112882.00,62284.50,71492.00,109186.50,160719.00,267488.50,https://www.zillow.com/research/data/
201615,15,Indiana,IN,Indianapolis,1/1/2016,117379.50,63188.00,73043.00,113877.50,166154.00,274124.00,https://www.zillow.com/research/data/
201715,15,Indiana,IN,Indianapolis,1/1/2017,127929.50,69233.50,80767.00,124031.00,178960.50,292002.00,https://www.zillow.com/research/data/
201815,15,Indiana,IN,Indianapolis,1/1/2018,140086.50,76859.00,89553.00,135932.00,192914.00,308501.50,https://www.zillow.com/research/data/
201915,15,Indiana,IN,Indianapolis,1/1/2019,150651.00,87264.00,99951.50,146403.50,203867.50,321908.50,https://www.zillow.com/research/data/
202015,15,Indiana,IN,Indianapolis,1/1/2020,162216.00,92484.50,109195.50,158210.00,216672.00,335203.50,https://www.zillow.com/research/data/
202115,15,Indiana,IN,Indianapolis,1/1/2021,190764.00,110595.50,130187.00,185834.50,254281.50,384195.00,https://www.zillow.com/research/data/
201116,16,North Carolina,NC,Charlotte,1/1/2011,157550.50,116262.00,109340.50,132403.00,213114.50,349566.50,https://www.zillow.com/research/data/
201216,16,North Carolina,NC,Charlotte,1/1/2012,153282.50,112788.00,104464.50,127857.00,211897.00,351042.50,https://www.zillow.com/research/data/
201316,16,North Carolina,NC,Charlotte,1/1/2013,163528.50,122954.00,110969.50,137002.50,226419.00,372872.50,https://www.zillow.com/research/data/
201416,16,North Carolina,NC,Charlotte,1/1/2014,175227.50,131194.50,118804.50,146717.50,240643.00,393802.00,https://www.zillow.com/research/data/
201516,16,North Carolina,NC,Charlotte,1/1/2015,182745.00,135144.50,123368.50,153467.00,250076.50,405790.00,https://www.zillow.com/research/data/
201616,16,North Carolina,NC,Charlotte,1/1/2016,197891.00,144685.50,135097.50,167139.00,266767.00,425430.50,https://www.zillow.com/research/data/
201716,16,North Carolina,NC,Charlotte,1/1/2017,215533.00,156415.50,149073.00,183885.50,285667.50,444766.00,https://www.zillow.com/research/data/
201816,16,North Carolina,NC,Charlotte,1/1/2018,236953.00,168998.50,166951.00,205044.00,305143.00,465981.50,https://www.zillow.com/research/data/
201916,16,North Carolina,NC,Charlotte,1/1/2019,250490.00,179558.00,178789.00,219190.00,317525.00,478532.00,https://www.zillow.com/research/data/
202016,16,North Carolina,NC,Charlotte,1/1/2020,267463.50,188227.00,195274.00,236610.50,335146.50,502538.00,https://www.zillow.com/research/data/
202116,16,North Carolina,NC,Charlotte,1/1/2021,319755.00,212561.00,230120.50,284407.50,398512.00,592072.50,https://www.zillow.com/research/data/
201117,17,California,CA,San Francisco,1/1/2011,711068.00,497281.50,669323.50,785617.50,969584.00,1377356.00,https://www.zillow.com/research/data/
201217,17,California,CA,San Francisco,1/1/2012,733017.50,522053.00,695193.00,813645.50,1006108.00,1460770.00,https://www.zillow.com/research/data/
201317,17,California,CA,San Francisco,1/1/2013,892435.00,638767.50,845219.00,988725.00,1219400.00,1728004.00,https://www.zillow.com/research/data/
201417,17,California,CA,San Francisco,1/1/2014,1010879.50,716696.00,954029.50,1135704.50,1398884.50,1945256.00,https://www.zillow.com/research/data/
201517,17,California,CA,San Francisco,1/1/2015,1122676.50,777337.50,1062146.00,1264731.50,1561384.00,2225917.00,https://www.zillow.com/research/data/
201617,17,California,CA,San Francisco,1/1/2016,1230189.00,820051.00,1138847.50,1369740.00,1665764.50,2300428.00,https://www.zillow.com/research/data/
201717,17,California,CA,San Francisco,1/1/2017,1282075.00,810963.50,1162809.50,1406662.00,1737992.00,2358511.50,https://www.zillow.com/research/data/
201817,17,California,CA,San Francisco,1/1/2018,1461953.00,865841.50,1298969.00,1582453.00,1948270.00,2580585.50,https://www.zillow.com/research/data/
201917,17,California,CA,San Francisco,1/1/2019,1459591.00,871199.50,1302193.50,1578292.50,1954933.50,2586607.00,https://www.zillow.com/research/data/
202017,17,California,CA,San Francisco,1/1/2020,1477349.50,885907.00,1317934.00,1598244.00,1994261.50,2618850.00,https://www.zillow.com/research/data/
202117,17,California,CA,San Francisco,1/1/2021,1561610.00,854926.50,1350482.50,1665413.00,2059453.50,2652445.50,https://www.zillow.com/research/data/
201118,18,Washington,WA,Seattle,1/1/2011,391745.00,227426.00,318366.50,383792.50,484252.00,552129.50,https://www.zillow.com/research/data/
201218,18,Washington,WA,Seattle,1/1/2012,399671.00,213134.50,317669.50,392048.50,491237.00,556643.50,https://www.zillow.com/research/data/
201318,18,Washington,WA,Seattle,1/1/2013,458092.00,251220.50,364837.00,450031.50,562597.50,635488.50,https://www.zillow.com/research/data/
201418,18,Washington,WA,Seattle,1/1/2014,493790.50,271772.50,394607.00,484512.00,607578.50,684945.00,https://www.zillow.com/research/data/
201518,18,Washington,WA,Seattle,1/1/2015,542547.50,300577.00,433232.50,532546.50,664544.50,748826.00,https://www.zillow.com/research/data/
201618,18,Washington,WA,Seattle,1/1/2016,626880.50,351245.00,503050.50,616272.00,761646.50,854720.50,https://www.zillow.com/research/data/
201718,18,Washington,WA,Seattle,1/1/2017,709651.00,403134.50,575800.50,698612.00,852549.00,954717.00,https://www.zillow.com/research/data/
