Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Occupied housing units',)","Oakland city, California","156,482","±3,228",91.50%,±1.0
"('Occupied housing units',)","Oklahoma City city, Oklahoma","228,620","±2,904",87.80%,±0.9
"('Occupied housing units',)","Omaha city, Nebraska","166,736","±2,769",91.90%,±1.4
"('Occupied housing units',)","Orlando city, Florida","102,564","±3,739",83.70%,±2.2
"('Occupied housing units',)","Philadelphia city, Pennsylvania","579,874","±5,204",86.80%,±0.8
"('Occupied housing units',)","Phoenix city, Arizona","521,555","±6,541",87.40%,±0.7
"('Occupied housing units',)","Pittsburgh city, Pennsylvania","131,513","±2,924",86.30%,±1.3
"('Occupied housing units',)","Plano city, Texas","99,867","±2,785",94.70%,±1.5
"('Occupied housing units',)","Portland city, Oregon","248,698","±3,159",93.80%,±0.9
"('Occupied housing units',)","Raleigh city, North Carolina","166,003","±3,788",93.10%,±1.1
"('Occupied housing units',)","Riverside city, California","91,813","±3,178",94.20%,±1.4
"('Occupied housing units',)","Sacramento city, California","177,325","±4,031",92.30%,±1.0
"('Occupied housing units',)","San Antonio city, Texas","480,693","±5,323",90.00%,±0.8
"('Occupied housing units',)","San Diego city, California","473,842","±5,552",92.30%,±0.7
"('Occupied housing units',)","San Francisco city, California","346,842","±3,718",92.00%,±0.9
"('Occupied housing units',)","San Jose city, California","310,126","±4,079",96.70%,±0.5
"('Occupied housing units',)","Santa Ana city, California","71,272","±2,557",96.10%,±1.4
"('Occupied housing units',)","Seattle city, Washington","289,790","±4,363",93.60%,±0.9
"('Occupied housing units',)","St. Louis city, Missouri","139,930","±2,646",79.90%,±1.4
"('Occupied housing units',)","St. Paul city, Minnesota","111,917","±2,232",94.10%,±1.3
"('Occupied housing units',)","Stockton city, California","90,754","±2,332",90.90%,±1.3
"('Occupied housing units',)","Tampa city, Florida","139,401","±3,881",87.50%,±1.4
"('Occupied housing units',)","Tucson city, Arizona","203,252","±4,322",88.00%,±1.2
"('Occupied housing units',)","Tulsa city, Oklahoma","163,293","±1,912",87.30%,±0.8
"('Occupied housing units',)","Virginia Beach city, Virginia","165,376","±2,131",92.00%,±1.1
"('Occupied housing units',)","Washington city, District of Columbia","266,662","±3,138",88.80%,±1.0
"('Occupied housing units',)","Wichita city, Kansas","151,253","±2,683",89.90%,±1.4
"('Vacant housing units',)","Albuquerque city, New Mexico","16,517","±2,309",6.90%,±1.0
"('Vacant housing units',)","Anaheim city, California","6,670","±1,503",6.40%,±1.4
"('Vacant housing units',)","Anchorage municipality, Alaska","8,070","±1,673",7.10%,±1.5
"('Vacant housing units',)","Arlington city, Texas","14,399","±2,287",9.80%,±1.5
"('Vacant housing units',)","Atlanta city, Georgia","40,989","±2,913",18.30%,±1.3
"('Vacant housing units',)","Aurora city, Colorado","8,512","±1,538",6.50%,±1.1
"('Vacant housing units',)","Austin city, Texas","29,680","±3,373",8.20%,±0.9
"('Vacant housing units',)","Bakersfield city, California","8,338","±1,860",7.00%,±1.5
"('Vacant housing units',)","Baltimore city, Maryland","51,677","±2,946",17.50%,±1.0
"('Vacant housing units',)","Boston city, Massachusetts","22,979","±2,672",8.50%,±1.0
"('Vacant housing units',)","Charlotte city, North Carolina","30,955","±3,633",9.50%,±1.1
"('Vacant housing units',)","Chicago city, Illinois","157,000","±6,235",13.20%,±0.5
"('Vacant housing units',)","Cincinnati city, Ohio","29,421","±2,275",18.40%,±1.3
"('Vacant housing units',)","Cleveland city, Ohio","47,941","±2,554",22.80%,±1.2
"('Vacant housing units',)","Colorado Springs city, Colorado","12,102","±2,059",6.70%,±1.1
"('Vacant housing units',)","Columbus city, Ohio","51,408","±3,934",13.50%,±1.0
"('Vacant housing units',)","Corpus Christi city, Texas","14,976","±2,270",11.90%,±1.8
"('Vacant housing units',)","Dallas city, Texas","61,509","±4,589",11.70%,±0.8
"('Vacant housing units',)","Denver city, Colorado","17,752","±2,342",6.20%,±0.8
"('Vacant housing units',)","Detroit city, Michigan","113,568","±3,753",31.00%,±0.9
"('Vacant housing units',)","Durham city, North Carolina","7,810","±1,447",7.30%,±1.3
"('Vacant housing units',)","El Paso city, Texas","15,445","±2,538",6.60%,±1.1
"('Vacant housing units',)","Fort Worth city, Texas","27,142","±3,205",9.20%,±1.1
"('Vacant housing units',)","Fresno city, California","13,257","±1,819",7.60%,±1.0
"('Vacant housing units',)","Greensboro city, North Carolina","12,563","±2,082",10.10%,±1.6
"('Vacant housing units',)","Henderson city, Nevada","12,413","±1,964",11.00%,±1.6
"('Vacant housing units',)","Houston city, Texas","130,895","±6,221",14.40%,±0.7
"('Vacant housing units',)","Indianapolis city (balance), Indiana","51,935","±3,710",13.60%,±0.9
"('Vacant housing units',)","Irvine city, California","5,317","±1,563",6.00%,±1.7
"('Vacant housing units',)","Jacksonville city, Florida","59,268","±4,591",16.10%,±1.3
"('Vacant housing units',)","Jersey City city, New Jersey","12,859","±1,934",11.70%,±1.6
"('Vacant housing units',)","Kansas City city, Missouri","36,220","±2,916",15.80%,±1.2
"('Vacant housing units',)","Las Vegas city, Nevada","34,017","±2,859",13.60%,±1.1
"('Vacant housing units',)","Lincoln city, Nebraska","5,672","±1,438",5.10%,±1.3
"('Vacant housing units',)","Long Beach city, California","9,125","±1,769",5.30%,±1.0
"('Vacant housing units',)","Los Angeles city, California","96,846","±4,669",6.80%,±0.3
"('Vacant housing units',)","Memphis city, Tennessee","49,362","±3,543",16.60%,±1.1
"('Vacant housing units',)","Mesa city, Arizona","33,385","±2,904",16.60%,±1.3
"('Vacant housing units',)","Miami city, Florida","35,528","±3,250",18.80%,±1.5
"('Vacant housing units',)","Milwaukee city, Wisconsin","26,116","±2,207",10.20%,±0.8
"('Vacant housing units',)","Minneapolis city, Minnesota","13,344","±1,788",7.40%,±1.0
"('Vacant housing units',)","New Orleans city, Louisiana","39,516","±2,389",20.70%,±1.3
"('Vacant housing units',)","New York city, New York","299,467","±8,636",8.80%,±0.3
"('Vacant housing units',)","Newark city, New Jersey","16,537","±1,663",15.20%,±1.3
"('Vacant housing units',)","Oakland city, California","14,612","±1,799",8.50%,±1.0
"('Vacant housing units',)","Oklahoma City city, Oklahoma","31,719","±2,406",12.20%,±0.9
"('Vacant housing units',)","Omaha city, Nebraska","14,687","±2,518",8.10%,±1.4
"('Vacant housing units',)","Orlando city, Florida","19,948","±3,051",16.30%,±2.2
"('Vacant housing units',)","Philadelphia city, Pennsylvania","88,373","±5,085",13.20%,±0.8
"('Vacant housing units',)","Phoenix city, Arizona","75,207","±4,318",12.60%,±0.7
"('Vacant housing units',)","Pittsburgh city, Pennsylvania","20,878","±2,246",13.70%,±1.3
"('Vacant housing units',)","Plano city, Texas","5,622","±1,655",5.30%,±1.5
"('Vacant housing units',)","Portland city, Oregon","16,498","±2,288",6.20%,±0.9
"('Vacant housing units',)","Raleigh city, North Carolina","12,287","±2,072",6.90%,±1.1
"('Vacant housing units',)","Riverside city, California","5,649","±1,401",5.80%,±1.4
"('Vacant housing units',)","Sacramento city, California","14,847","±2,036",7.70%,±1.0
"('Vacant housing units',)","San Antonio city, Texas","53,654","±4,209",10.00%,±0.8
"('Vacant housing units',)","San Diego city, California","39,358","±3,903",7.70%,±0.7
"('Vacant housing units',)","San Francisco city, California","30,057","±3,407",8.00%,±0.9
"('Vacant housing units',)","San Jose city, California","10,589","±1,689",3.30%,±0.5
"('Vacant housing units',)","Santa Ana city, California","2,870","±1,075",3.90%,±1.4
"('Vacant housing units',)","Seattle city, Washington","19,822","±2,891",6.40%,±0.9
"('Vacant housing units',)","St. Louis city, Missouri","35,296","±2,429",20.10%,±1.4
"('Vacant housing units',)","St. Paul city, Minnesota","7,041","±1,533",5.90%,±1.3
"('Vacant housing units',)","Stockton city, California","9,100","±1,346",9.10%,±1.3
"('Vacant housing units',)","Tampa city, Florida","19,836","±2,284",12.50%,±1.4
"('Vacant housing units',)","Tucson city, Arizona","27,723","±2,823",12.00%,±1.2
"('Vacant housing units',)","Tulsa city, Oklahoma","23,726","±1,586",12.70%,±0.8
"('Vacant housing units',)","Virginia Beach city, Virginia","14,314","±1,992",8.00%,±1.1
"('Vacant housing units',)","Washington city, District of Columbia","33,585","±3,138",11.20%,±1.0
"('Vacant housing units',)","Wichita city, Kansas","17,034","±2,377",10.10%,±1.4
"('Homeowner vacancy rate',)","Albuquerque city, New Mexico",1.4,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Anaheim city, California",2.1,±1.5,(X),(X)
"('Homeowner vacancy rate',)","Anchorage municipality, Alaska",1.2,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Arlington city, Texas",2.1,±1.3,(X),(X)
"('Homeowner vacancy rate',)","Atlanta city, Georgia",5.2,±1.5,(X),(X)
"('Homeowner vacancy rate',)","Aurora city, Colorado",1.6,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Austin city, Texas",1.6,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Bakersfield city, California",1.2,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Baltimore city, Maryland",4.5,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Boston city, Massachusetts",2.3,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Charlotte city, North Carolina",2.6,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Chicago city, Illinois",3,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Cincinnati city, Ohio",3.3,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Cleveland city, Ohio",4.1,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Colorado Springs city, Colorado",2,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Columbus city, Ohio",2,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Corpus Christi city, Texas",2.3,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Dallas city, Texas",1.5,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Denver city, Colorado",1.5,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Detroit city, Michigan",6.7,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Durham city, North Carolina",2.2,±1.3,(X),(X)
"('Homeowner vacancy rate',)","El Paso city, Texas",1.8,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Fort Worth city, Texas",1.7,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Fresno city, California",1.1,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Greensboro city, North Carolina",2.3,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Henderson city, Nevada",2.9,±1.7,(X),(X)
"('Homeowner vacancy rate',)","Houston city, Texas",2.4,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Indianapolis city (balance), Indiana",3.6,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Irvine city, California",2.4,±1.7,(X),(X)
"('Homeowner vacancy rate',)","Jacksonville city, Florida",2.2,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Jersey City city, New Jersey",5.8,±2.0,(X),(X)
"('Homeowner vacancy rate',)","Kansas City city, Missouri",2.3,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Las Vegas city, Nevada",2.1,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Lincoln city, Nebraska",1.1,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Long Beach city, California",0.9,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Los Angeles city, California",1.4,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Memphis city, Tennessee",2.2,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Mesa city, Arizona",3,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Miami city, Florida",2.3,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Milwaukee city, Wisconsin",1.3,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Minneapolis city, Minnesota",1.4,±0.7,(X),(X)
"('Homeowner vacancy rate',)","New Orleans city, Louisiana",3.2,±1.0,(X),(X)
"('Homeowner vacancy rate',)","New York city, New York",2.2,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Newark city, New Jersey",4.9,±1.8,(X),(X)
"('Homeowner vacancy rate',)","Oakland city, California",2.4,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Oklahoma City city, Oklahoma",2.7,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Omaha city, Nebraska",2.4,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Orlando city, Florida",2.2,±1.7,(X),(X)
"('Homeowner vacancy rate',)","Philadelphia city, Pennsylvania",2.8,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Phoenix city, Arizona",3.2,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Pittsburgh city, Pennsylvania",1.9,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Plano city, Texas",0.8,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Portland city, Oregon",1.8,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Raleigh city, North Carolina",1.4,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Riverside city, California",1.4,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Sacramento city, California",1.7,±0.7,(X),(X)
"('Homeowner vacancy rate',)","San Antonio city, Texas",2.2,±0.5,(X),(X)
"('Homeowner vacancy rate',)","San Diego city, California",2.1,±0.6,(X),(X)
"('Homeowner vacancy rate',)","San Francisco city, California",1.2,±0.6,(X),(X)
"('Homeowner vacancy rate',)","San Jose city, California",0.9,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Santa Ana city, California",0.5,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Seattle city, Washington",1.1,±0.6,(X),(X)
"('Homeowner vacancy rate',)","St. Louis city, Missouri",5,±1.3,(X),(X)
"('Homeowner vacancy rate',)","St. Paul city, Minnesota",2.1,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Stockton city, California",2,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Tampa city, Florida",1.4,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Tucson city, Arizona",2.6,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Tulsa city, Oklahoma",2.3,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Virginia Beach city, Virginia",2,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Washington city, District of Columbia",2.7,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Wichita city, Kansas",1.5,±0.7,(X),(X)
"('Rental vacancy rate',)","Albuquerque city, New Mexico",7.4,±1.6,(X),(X)
"('Rental vacancy rate',)","Anaheim city, California",5.7,±1.9,(X),(X)
"('Rental vacancy rate',)","Anchorage municipality, Alaska",4.4,±1.8,(X),(X)
"('Rental vacancy rate',)","Arlington city, Texas",11.5,±2.1,(X),(X)
"('Rental vacancy rate',)","Atlanta city, Georgia",8.6,±1.3,(X),(X)
"('Rental vacancy rate',)","Aurora city, Colorado",5.9,±1.8,(X),(X)
"('Rental vacancy rate',)","Austin city, Texas",4.9,±0.9,(X),(X)
"('Rental vacancy rate',)","Bakersfield city, California",3.9,±1.6,(X),(X)
"('Rental vacancy rate',)","Baltimore city, Maryland",8.9,±1.2,(X),(X)
"('Rental vacancy rate',)","Boston city, Massachusetts",4,±0.9,(X),(X)
"('Rental vacancy rate',)","Charlotte city, North Carolina",6.8,±1.4,(X),(X)
"('Rental vacancy rate',)","Chicago city, Illinois",7,±0.6,(X),(X)
"('Rental vacancy rate',)","Cincinnati city, Ohio",9.4,±1.9,(X),(X)
"('Rental vacancy rate',)","Cleveland city, Ohio",9.5,±1.3,(X),(X)
"('Rental vacancy rate',)","Colorado Springs city, Colorado",4.7,±1.5,(X),(X)
"('Rental vacancy rate',)","Columbus city, Ohio",7.5,±1.2,(X),(X)
"('Rental vacancy rate',)","Corpus Christi city, Texas",5.7,±2.1,(X),(X)
"('Rental vacancy rate',)","Dallas city, Texas",10.5,±1.0,(X),(X)
"('Rental vacancy rate',)","Denver city, Colorado",3.9,±1.0,(X),(X)
"('Rental vacancy rate',)","Detroit city, Michigan",10.5,±1.1,(X),(X)
"('Rental vacancy rate',)","Durham city, North Carolina",5.9,±1.9,(X),(X)
"('Rental vacancy rate',)","El Paso city, Texas",7.6,±1.8,(X),(X)
"('Rental vacancy rate',)","Fort Worth city, Texas",10.2,±1.9,(X),(X)
"('Rental vacancy rate',)","Fresno city, California",7.6,±1.3,(X),(X)
"('Rental vacancy rate',)","Greensboro city, North Carolina",9.4,±2.3,(X),(X)
"('Rental vacancy rate',)","Henderson city, Nevada",5.6,±2.2,(X),(X)
"('Rental vacancy rate',)","Houston city, Texas",11.2,±0.8,(X),(X)
"('Rental vacancy rate',)","Indianapolis city (balance), Indiana",11.1,±1.3,(X),(X)
"('Rental vacancy rate',)","Irvine city, California",5.3,±2.1,(X),(X)
"('Rental vacancy rate',)","Jacksonville city, Florida",10.1,±1.8,(X),(X)
"('Rental vacancy rate',)","Jersey City city, New Jersey",5.9,±1.4,(X),(X)
"('Rental vacancy rate',)","Kansas City city, Missouri",10.3,±1.9,(X),(X)
"('Rental vacancy rate',)","Las Vegas city, Nevada",12.5,±1.6,(X),(X)
"('Rental vacancy rate',)","Lincoln city, Nebraska",4.4,±1.6,(X),(X)
"('Rental vacancy rate',)","Long Beach city, California",4.3,±1.1,(X),(X)
"('Rental vacancy rate',)","Los Angeles city, California",4.2,±0.4,(X),(X)
"('Rental vacancy rate',)","Memphis city, Tennessee",11.3,±1.6,(X),(X)
"('Rental vacancy rate',)","Mesa city, Arizona",10.2,±1.8,(X),(X)
"('Rental vacancy rate',)","Miami city, Florida",7.1,±1.2,(X),(X)
"('Rental vacancy rate',)","Milwaukee city, Wisconsin",4.3,±0.7,(X),(X)
"('Rental vacancy rate',)","Minneapolis city, Minnesota",4.1,±1.2,(X),(X)
"('Rental vacancy rate',)","New Orleans city, Louisiana",11.2,±1.4,(X),(X)
"('Rental vacancy rate',)","New York city, New York",3.5,±0.3,(X),(X)
"('Rental vacancy rate',)","Newark city, New Jersey",9.7,±1.5,(X),(X)
"('Rental vacancy rate',)","Oakland city, California",5.8,±1.1,(X),(X)
"('Rental vacancy rate',)","Oklahoma City city, Oklahoma",6.8,±1.3,(X),(X)
"('Rental vacancy rate',)","Omaha city, Nebraska",8.7,±2.1,(X),(X)
"('Rental vacancy rate',)","Orlando city, Florida",8.2,±2.0,(X),(X)
"('Rental vacancy rate',)","Philadelphia city, Pennsylvania",7.9,±0.8,(X),(X)
"('Rental vacancy rate',)","Phoenix city, Arizona",10.3,±0.9,(X),(X)
"('Rental vacancy rate',)","Pittsburgh city, Pennsylvania",4.2,±1.3,(X),(X)
