Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Occupied housing units',)","Arlington city, Texas","146,888","±4,942",93.80%,±1.2
"('Occupied housing units',)","Atlanta city, Georgia","232,720","±5,791",91.90%,±1.0
"('Occupied housing units',)","Aurora city, Colorado","140,003","±3,153",93.60%,±1.2
"('Occupied housing units',)","Austin city, Texas","449,399","±7,214",95.80%,±0.8
"('Occupied housing units',)","Bakersfield city, California","128,007","±3,362",95.30%,±1.2
"('Occupied housing units',)","Baltimore city, Maryland","254,370","±3,581",86.70%,±1.0
"('Occupied housing units',)","Boston city, Massachusetts","271,941","±4,553",88.60%,±1.3
"('Occupied housing units',)","Charlotte city, North Carolina","365,269","±4,087",92.80%,±0.9
"('Occupied housing units',)","Chicago city, Illinois","1,139,537","±10,546",89.60%,±0.6
"('Occupied housing units',)","Cincinnati city, Ohio","144,929","±3,676",90.30%,±1.1
"('Occupied housing units',)","Cleveland city, Ohio","171,321","±4,585",84.50%,±1.1
"('Occupied housing units',)","Colorado Springs city, Colorado","197,542","±3,531",96.20%,±1.0
"('Occupied housing units',)","Columbus city, Ohio","390,605","±5,416",92.50%,±0.8
"('Occupied housing units',)","Corpus Christi city, Texas","117,366","±2,957",85.40%,±1.7
"('Occupied housing units',)","Dallas city, Texas","536,008","±8,007",90.60%,±0.6
"('Occupied housing units',)","Denver city, Colorado","326,634","±3,286",92.80%,±0.9
"('Occupied housing units',)","Detroit city, Michigan","251,729","±4,285",78.00%,±1.0
"('Occupied housing units',)","Durham city, North Carolina","122,412","±2,774",92.80%,±1.6
"('Occupied housing units',)","El Paso city, Texas","242,529","±3,601",92.60%,±0.9
"('Occupied housing units',)","Fort Worth city, Texas","334,286","±6,559",92.50%,±0.8
"('Occupied housing units',)","Fresno city, California","181,841","±3,453",96.30%,±0.7
"('Occupied housing units',)","Greensboro city, North Carolina","123,955","±3,924",88.80%,±1.7
"('Occupied housing units',)","Henderson city, Nevada","124,470","±3,117",94.20%,±1.4
"('Occupied housing units',)","Houston city, Texas","924,981","±9,366",89.90%,±0.6
"('Occupied housing units',)","Indianapolis city (balance), Indiana","358,150","±4,481",89.60%,±0.9
"('Occupied housing units',)","Irvine city, California","111,648","±4,947",91.30%,±2.3
"('Occupied housing units',)","Jacksonville city, Florida","386,283","±5,159",91.50%,±1.0
"('Occupied housing units',)","Jersey City city, New Jersey","119,158","±3,269",90.50%,±1.6
"('Occupied housing units',)","Kansas City city, Missouri","219,020","±3,767",89.80%,±1.0
"('Occupied housing units',)","Las Vegas city, Nevada","250,350","±5,195",92.90%,±0.9
"('Occupied housing units',)","Lexington-Fayette urban county, Kentucky","139,303","±1,880",94.40%,±1.1
"('Occupied housing units',)","Lincoln city, Nebraska","120,407","±1,708",95.40%,±1.2
"('Occupied housing units',)","Long Beach city, California","172,599","±4,170",96.00%,±0.8
"('Occupied housing units',)","Los Angeles city, California","1,410,594","±11,177",91.50%,±0.4
"('Occupied housing units',)","Memphis city, Tennessee","256,968","±4,780",89.10%,±0.9
"('Occupied housing units',)","Mesa city, Arizona","199,112","±5,108",89.70%,±1.4
"('Occupied housing units',)","Miami city, Florida","192,219","±4,587",87.50%,±1.4
"('Occupied housing units',)","Milwaukee city, Wisconsin","232,362","±3,559",90.10%,±0.9
"('Occupied housing units',)","Minneapolis city, Minnesota","188,681","±3,928",92.70%,±1.1
"('Occupied housing units',)","Nashville-Davidson metropolitan government (balance), Tennessee","305,247","±3,646",92.10%,±0.9
"('Occupied housing units',)","New Orleans city, Louisiana","158,827","±2,670",81.60%,±1.2
"('Occupied housing units',)","New York city, New York","3,263,895","±13,490",89.60%,±0.3
"('Occupied housing units',)","Newark city, New Jersey","115,145","±3,722",94.30%,±0.9
"('Occupied housing units',)","Oakland city, California","170,366","±3,740",91.30%,±1.1
"('Occupied housing units',)","Oklahoma City city, Oklahoma","275,285","±4,662",91.10%,±1.0
"('Occupied housing units',)","Omaha city, Nebraska","201,469","±2,293",94.70%,±0.8
"('Occupied housing units',)","Orlando city, Florida","130,037","±4,859",86.70%,±1.9
"('Occupied housing units',)","Philadelphia city, Pennsylvania","660,921","±5,390",90.20%,±0.7
"('Occupied housing units',)","Phoenix city, Arizona","602,039","±7,755",93.40%,±0.5
"('Occupied housing units',)","Pittsburgh city, Pennsylvania","136,747","±4,641",85.80%,±1.5
"('Occupied housing units',)","Plano city, Texas","108,472","±3,456",94.50%,±1.3
"('Occupied housing units',)","Portland city, Oregon","286,734","±4,101",94.50%,±1.0
"('Occupied housing units',)","Raleigh city, North Carolina","194,917","±4,618",89.50%,±1.5
"('Occupied housing units',)","Riverside city, California","91,110","±2,861",96.70%,±1.1
"('Occupied housing units',)","Sacramento city, California","202,093","±4,080",95.90%,±0.9
"('Occupied housing units',)","San Antonio city, Texas","549,245","±5,787",91.00%,±0.7
"('Occupied housing units',)","San Diego city, California","521,000","±7,487",93.80%,±0.7
"('Occupied housing units',)","San Francisco city, California","350,796","±5,380",85.10%,±1.2
"('Occupied housing units',)","San Jose city, California","322,881","±4,593",94.80%,±0.7
"('Occupied housing units',)","Santa Ana city, California","78,674","±2,355",97.60%,±0.9
"('Occupied housing units',)","Seattle city, Washington","351,650","±5,277",91.40%,±1.1
"('Occupied housing units',)","St. Louis city, Missouri","139,736","±2,863",80.50%,±1.6
"('Occupied housing units',)","St. Paul city, Minnesota","121,964","±3,257",92.90%,±1.4
"('Occupied housing units',)","Stockton city, California","97,447","±2,854",94.90%,±1.1
"('Occupied housing units',)","Tampa city, Florida","159,925","±3,676",92.50%,±1.1
"('Occupied housing units',)","Tucson city, Arizona","223,068","±4,966",91.90%,±1.1
"('Occupied housing units',)","Tulsa city, Oklahoma","173,943","±2,212",89.50%,±0.6
"('Occupied housing units',)","Virginia Beach city, Virginia","182,775","±1,901",95.70%,±0.9
"('Occupied housing units',)","Washington city, District of Columbia","319,565","±3,541",89.40%,±1.0
"('Occupied housing units',)","Wichita city, Kansas","156,668","±3,020",88.80%,±1.5
"('Vacant housing units',)","Albuquerque city, New Mexico","13,232","±2,191",5.20%,±0.8
"('Vacant housing units',)","Anaheim city, California","4,711","±1,316",4.30%,±1.1
"('Vacant housing units',)","Anchorage municipality, Alaska","10,224","±1,872",8.50%,±1.6
"('Vacant housing units',)","Arlington city, Texas","9,765","±1,983",6.20%,±1.2
"('Vacant housing units',)","Atlanta city, Georgia","20,635","±2,524",8.10%,±1.0
"('Vacant housing units',)","Aurora city, Colorado","9,633","±1,844",6.40%,±1.2
"('Vacant housing units',)","Austin city, Texas","19,757","±3,775",4.20%,±0.8
"('Vacant housing units',)","Bakersfield city, California","6,263","±1,659",4.70%,±1.2
"('Vacant housing units',)","Baltimore city, Maryland","39,117","±3,051",13.30%,±1.0
"('Vacant housing units',)","Boston city, Massachusetts","35,084","±3,995",11.40%,±1.3
"('Vacant housing units',)","Charlotte city, North Carolina","28,362","±3,660",7.20%,±0.9
"('Vacant housing units',)","Chicago city, Illinois","132,654","±7,255",10.40%,±0.6
"('Vacant housing units',)","Cincinnati city, Ohio","15,491","±1,908",9.70%,±1.1
"('Vacant housing units',)","Cleveland city, Ohio","31,414","±2,280",15.50%,±1.1
"('Vacant housing units',)","Colorado Springs city, Colorado","7,838","±1,993",3.80%,±1.0
"('Vacant housing units',)","Columbus city, Ohio","31,515","±3,246",7.50%,±0.8
"('Vacant housing units',)","Corpus Christi city, Texas","20,065","±2,352",14.60%,±1.7
"('Vacant housing units',)","Dallas city, Texas","55,765","±3,825",9.40%,±0.6
"('Vacant housing units',)","Denver city, Colorado","25,195","±3,075",7.20%,±0.9
"('Vacant housing units',)","Detroit city, Michigan","71,177","±3,489",22.00%,±1.0
"('Vacant housing units',)","Durham city, North Carolina","9,505","±2,125",7.20%,±1.6
"('Vacant housing units',)","El Paso city, Texas","19,250","±2,263",7.40%,±0.9
"('Vacant housing units',)","Fort Worth city, Texas","27,055","±3,176",7.50%,±0.8
"('Vacant housing units',)","Fresno city, California","6,915","±1,365",3.70%,±0.7
"('Vacant housing units',)","Greensboro city, North Carolina","15,610","±2,342",11.20%,±1.7
"('Vacant housing units',)","Henderson city, Nevada","7,618","±1,948",5.80%,±1.4
"('Vacant housing units',)","Houston city, Texas","103,782","±6,745",10.10%,±0.6
"('Vacant housing units',)","Indianapolis city (balance), Indiana","41,670","±3,589",10.40%,±0.9
"('Vacant housing units',)","Irvine city, California","10,612","±3,036",8.70%,±2.3
"('Vacant housing units',)","Jacksonville city, Florida","36,032","±4,070",8.50%,±1.0
"('Vacant housing units',)","Jersey City city, New Jersey","12,451","±2,247",9.50%,±1.6
"('Vacant housing units',)","Kansas City city, Missouri","24,930","±2,583",10.20%,±1.0
"('Vacant housing units',)","Las Vegas city, Nevada","19,252","±2,528",7.10%,±0.9
"('Vacant housing units',)","Lexington-Fayette urban county, Kentucky","8,287","±1,684",5.60%,±1.1
"('Vacant housing units',)","Lincoln city, Nebraska","5,855","±1,510",4.60%,±1.2
"('Vacant housing units',)","Long Beach city, California","7,257","±1,441",4.00%,±0.8
"('Vacant housing units',)","Los Angeles city, California","131,797","±6,307",8.50%,±0.4
"('Vacant housing units',)","Memphis city, Tennessee","31,523","±2,600",10.90%,±0.9
"('Vacant housing units',)","Mesa city, Arizona","22,883","±3,295",10.30%,±1.4
"('Vacant housing units',)","Miami city, Florida","27,556","±3,460",12.50%,±1.4
"('Vacant housing units',)","Milwaukee city, Wisconsin","25,450","±2,259",9.90%,±0.9
"('Vacant housing units',)","Minneapolis city, Minnesota","14,952","±2,333",7.30%,±1.1
"('Vacant housing units',)","Nashville-Davidson metropolitan government (balance), Tennessee","26,015","±2,995",7.90%,±0.9
"('Vacant housing units',)","New Orleans city, Louisiana","35,874","±2,344",18.40%,±1.2
"('Vacant housing units',)","New York city, New York","378,036","±12,577",10.40%,±0.3
"('Vacant housing units',)","Newark city, New Jersey","7,000","±1,124",5.70%,±0.9
"('Vacant housing units',)","Oakland city, California","16,294","±2,184",8.70%,±1.1
"('Vacant housing units',)","Oklahoma City city, Oklahoma","26,956","±2,986",8.90%,±1.0
"('Vacant housing units',)","Omaha city, Nebraska","11,333","±1,758",5.30%,±0.8
"('Vacant housing units',)","Orlando city, Florida","19,903","±3,054",13.30%,±1.9
"('Vacant housing units',)","Philadelphia city, Pennsylvania","72,094","±5,189",9.80%,±0.7
"('Vacant housing units',)","Phoenix city, Arizona","42,586","±3,312",6.60%,±0.5
"('Vacant housing units',)","Pittsburgh city, Pennsylvania","22,688","±2,553",14.20%,±1.5
"('Vacant housing units',)","Plano city, Texas","6,325","±1,570",5.50%,±1.3
"('Vacant housing units',)","Portland city, Oregon","16,749","±3,104",5.50%,±1.0
"('Vacant housing units',)","Raleigh city, North Carolina","22,949","±3,472",10.50%,±1.5
"('Vacant housing units',)","Riverside city, California","3,136","±1,039",3.30%,±1.1
"('Vacant housing units',)","Sacramento city, California","8,622","±1,872",4.10%,±0.9
"('Vacant housing units',)","San Antonio city, Texas","54,425","±4,667",9.00%,±0.7
"('Vacant housing units',)","San Diego city, California","34,456","±3,888",6.20%,±0.7
"('Vacant housing units',)","San Francisco city, California","61,473","±5,134",14.90%,±1.2
"('Vacant housing units',)","San Jose city, California","17,680","±2,466",5.20%,±0.7
"('Vacant housing units',)","Santa Ana city, California","1,930",±782,2.40%,±0.9
"('Vacant housing units',)","Seattle city, Washington","33,149","±4,580",8.60%,±1.1
"('Vacant housing units',)","St. Louis city, Missouri","33,757","±2,752",19.50%,±1.6
"('Vacant housing units',)","St. Paul city, Minnesota","9,311","±1,780",7.10%,±1.4
"('Vacant housing units',)","Stockton city, California","5,195","±1,221",5.10%,±1.1
"('Vacant housing units',)","Tampa city, Florida","12,961","±1,936",7.50%,±1.1
"('Vacant housing units',)","Tucson city, Arizona","19,748","±2,807",8.10%,±1.1
"('Vacant housing units',)","Tulsa city, Oklahoma","20,459","±1,243",10.50%,±0.6
"('Vacant housing units',)","Virginia Beach city, Virginia","8,206","±1,768",4.30%,±0.9
"('Vacant housing units',)","Washington city, District of Columbia","37,917","±3,551",10.60%,±1.0
"('Vacant housing units',)","Wichita city, Kansas","19,689","±2,655",11.20%,±1.5
"('Homeowner vacancy rate',)","Albuquerque city, New Mexico",0.3,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Anaheim city, California",0.9,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Anchorage municipality, Alaska",0.9,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Arlington city, Texas",0.3,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Atlanta city, Georgia",0.9,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Aurora city, Colorado",1.1,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Austin city, Texas",0.4,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Bakersfield city, California",0.3,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Baltimore city, Maryland",2.3,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Boston city, Massachusetts",1.1,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Charlotte city, North Carolina",0.8,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Chicago city, Illinois",1.1,±0.2,(X),(X)
"('Homeowner vacancy rate',)","Cincinnati city, Ohio",0.6,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Cleveland city, Ohio",1.1,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Colorado Springs city, Colorado",0.5,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Columbus city, Ohio",0.8,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Corpus Christi city, Texas",1.2,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Dallas city, Texas",1.5,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Denver city, Colorado",1,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Detroit city, Michigan",3.5,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Durham city, North Carolina",1,±0.8,(X),(X)
"('Homeowner vacancy rate',)","El Paso city, Texas",1.3,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Fort Worth city, Texas",0.4,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Fresno city, California",0.7,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Greensboro city, North Carolina",2.1,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Henderson city, Nevada",0.6,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Houston city, Texas",1.8,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Indianapolis city (balance), Indiana",0.8,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Irvine city, California",1.2,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Jacksonville city, Florida",0.9,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Jersey City city, New Jersey",0.7,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Kansas City city, Missouri",0.8,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Las Vegas city, Nevada",0.9,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Lexington-Fayette urban county, Kentucky",0.6,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Lincoln city, Nebraska",0.6,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Long Beach city, California",0.5,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Los Angeles city, California",0.9,±0.2,(X),(X)
"('Homeowner vacancy rate',)","Memphis city, Tennessee",0.9,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Mesa city, Arizona",0.2,±0.2,(X),(X)
"('Homeowner vacancy rate',)","Miami city, Florida",1.7,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Milwaukee city, Wisconsin",1.9,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Minneapolis city, Minnesota",0.9,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Nashville-Davidson metropolitan government (balance), Tennessee",0.6,±0.4,(X),(X)
"('Homeowner vacancy rate',)","New Orleans city, Louisiana",1.8,±0.7,(X),(X)
"('Homeowner vacancy rate',)","New York city, New York",1.8,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Newark city, New Jersey",0.6,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Oakland city, California",0.8,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Oklahoma City city, Oklahoma",1.2,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Omaha city, Nebraska",0.3,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Orlando city, Florida",2.2,±1.3,(X),(X)
"('Homeowner vacancy rate',)","Philadelphia city, Pennsylvania",0.9,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Phoenix city, Arizona",0.8,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Pittsburgh city, Pennsylvania",1.5,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Plano city, Texas",1.1,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Portland city, Oregon",0.3,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Raleigh city, North Carolina",0.6,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Riverside city, California",0.4,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Sacramento city, California",0.9,±0.5,(X),(X)
"('Homeowner vacancy rate',)","San Antonio city, Texas",1.3,±0.4,(X),(X)
"('Homeowner vacancy rate',)","San Diego city, California",0.9,±0.4,(X),(X)
"('Homeowner vacancy rate',)","San Francisco city, California",0.6,±0.4,(X),(X)
"('Homeowner vacancy rate',)","San Jose city, California",0.7,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Santa Ana city, California",0.9,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Seattle city, Washington",1,±0.7,(X),(X)
"('Homeowner vacancy rate',)","St. Louis city, Missouri",1.6,±0.8,(X),(X)
"('Homeowner vacancy rate',)","St. Paul city, Minnesota",1,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Stockton city, California",0.6,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Tampa city, Florida",1.3,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Tucson city, Arizona",1.4,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Tulsa city, Oklahoma",1.2,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Virginia Beach city, Virginia",0.2,±0.2,(X),(X)
"('Homeowner vacancy rate',)","Washington city, District of Columbia",1.9,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Wichita city, Kansas",1.2,±0.7,(X),(X)
"('Rental vacancy rate',)","Albuquerque city, New Mexico",3.7,±1.1,(X),(X)
"('Rental vacancy rate',)","Anaheim city, California",4.6,±1.7,(X),(X)
"('Rental vacancy rate',)","Anchorage municipality, Alaska",7.7,±2.7,(X),(X)
"('Rental vacancy rate',)","Arlington city, Texas",9.8,±2.1,(X),(X)
"('Rental vacancy rate',)","Atlanta city, Georgia",5.9,±1.3,(X),(X)
"('Rental vacancy rate',)","Aurora city, Colorado",7.6,±2.2,(X),(X)
"('Rental vacancy rate',)","Austin city, Texas",2.7,±0.9,(X),(X)
"('Rental vacancy rate',)","Bakersfield city, California",3.1,±1.8,(X),(X)
"('Rental vacancy rate',)","Baltimore city, Maryland",5.1,±1.0,(X),(X)
"('Rental vacancy rate',)","Boston city, Massachusetts",6.1,±1.3,(X),(X)
"('Rental vacancy rate',)","Charlotte city, North Carolina",5.9,±1.1,(X),(X)
"('Rental vacancy rate',)","Chicago city, Illinois",6.7,±0.8,(X),(X)
"('Rental vacancy rate',)","Cincinnati city, Ohio",3.9,±1.1,(X),(X)
"('Rental vacancy rate',)","Cleveland city, Ohio",3.8,±0.9,(X),(X)
"('Rental vacancy rate',)","Colorado Springs city, Colorado",3.4,±1.4,(X),(X)
"('Rental vacancy rate',)","Columbus city, Ohio",3.6,±0.9,(X),(X)
"('Rental vacancy rate',)","Corpus Christi city, Texas",8,±2.4,(X),(X)
"('Rental vacancy rate',)","Dallas city, Texas",9.6,±0.9,(X),(X)
"('Rental vacancy rate',)","Denver city, Colorado",5.1,±1.0,(X),(X)
"('Rental vacancy rate',)","Detroit city, Michigan",3,±0.7,(X),(X)
"('Rental vacancy rate',)","Durham city, North Carolina",6.5,±2.5,(X),(X)
"('Rental vacancy rate',)","El Paso city, Texas",5.2,±1.4,(X),(X)
"('Rental vacancy rate',)","Fort Worth city, Texas",6.5,±1.4,(X),(X)
"('Rental vacancy rate',)","Fresno city, California",2.5,±1.0,(X),(X)
"('Rental vacancy rate',)","Greensboro city, North Carolina",8.5,±2.2,(X),(X)
"('Rental vacancy rate',)","Henderson city, Nevada",4.4,±2.6,(X),(X)
"('Rental vacancy rate',)","Houston city, Texas",8.9,±0.7,(X),(X)
"('Rental vacancy rate',)","Indianapolis city (balance), Indiana",4.3,±1.0,(X),(X)
"('Rental vacancy rate',)","Irvine city, California",4.7,±1.8,(X),(X)
"('Rental vacancy rate',)","Jacksonville city, Florida",6.2,±1.5,(X),(X)
"('Rental vacancy rate',)","Jersey City city, New Jersey",8.2,±2.0,(X),(X)
"('Rental vacancy rate',)","Kansas City city, Missouri",3.8,±1.1,(X),(X)
"('Rental vacancy rate',)","Las Vegas city, Nevada",3.9,±1.0,(X),(X)
"('Rental vacancy rate',)","Lexington-Fayette urban county, Kentucky",4.6,±1.8,(X),(X)
"('Rental vacancy rate',)","Lincoln city, Nebraska",3,±1.6,(X),(X)
"('Rental vacancy rate',)","Long Beach city, California",3.2,±1.0,(X),(X)
"('Rental vacancy rate',)","Los Angeles city, California",5.5,±0.5,(X),(X)
"('Rental vacancy rate',)","Memphis city, Tennessee",5.8,±1.0,(X),(X)
"('Rental vacancy rate',)","Mesa city, Arizona",4.1,±1.5,(X),(X)
"('Rental vacancy rate',)","Miami city, Florida",6,±1.3,(X),(X)
