Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Occupied housing units',)","Los Angeles city, California","1,398,900","±11,130",91.30%,±0.4
"('Occupied housing units',)","Memphis city, Tennessee","254,423","±4,870",84.40%,±1.1
"('Occupied housing units',)","Mesa city, Arizona","187,111","±4,486",87.00%,±1.4
"('Occupied housing units',)","Miami city, Florida","189,084","±5,912",85.50%,±1.5
"('Occupied housing units',)","Milwaukee city, Wisconsin","232,176","±4,317",89.30%,±1.1
"('Occupied housing units',)","Minneapolis city, Minnesota","181,833","±4,194",94.40%,±1.1
"('Occupied housing units',)","New Orleans city, Louisiana","151,753","±2,527",78.90%,±1.2
"('Occupied housing units',)","New York city, New York","3,211,033","±12,221",90.50%,±0.3
"('Occupied housing units',)","Newark city, New Jersey","102,155","±3,269",89.90%,±1.3
"('Occupied housing units',)","Oakland city, California","168,413","±3,723",92.20%,±1.2
"('Occupied housing units',)","Oklahoma City city, Oklahoma","249,615","±3,750",88.60%,±1.1
"('Occupied housing units',)","Omaha city, Nebraska","188,824","±2,348",93.00%,±1.0
"('Occupied housing units',)","Orlando city, Florida","109,454","±4,328",79.10%,±2.1
"('Occupied housing units',)","Philadelphia city, Pennsylvania","619,505","±4,709",89.60%,±0.6
"('Occupied housing units',)","Phoenix city, Arizona","586,878","±7,653",92.10%,±0.7
"('Occupied housing units',)","Pittsburgh city, Pennsylvania","143,276","±3,942",90.40%,±1.3
"('Occupied housing units',)","Plano city, Texas","107,721","±2,964",92.20%,±1.6
"('Occupied housing units',)","Portland city, Oregon","280,176","±3,794",93.80%,±0.9
"('Occupied housing units',)","Raleigh city, North Carolina","188,412","±4,255",91.70%,±1.3
"('Occupied housing units',)","Riverside city, California","87,189","±3,049",95.80%,±1.3
"('Occupied housing units',)","Sacramento city, California","191,911","±3,797",95.90%,±0.8
"('Occupied housing units',)","San Antonio city, Texas","512,273","±5,781",91.20%,±0.7
"('Occupied housing units',)","San Diego city, California","512,530","±7,052",92.10%,±0.9
"('Occupied housing units',)","San Francisco city, California","365,851","±4,759",90.00%,±1.1
"('Occupied housing units',)","San Jose city, California","327,894","±5,001",95.50%,±0.8
"('Occupied housing units',)","Santa Ana city, California","79,704","±2,689",96.00%,±1.3
"('Occupied housing units',)","Seattle city, Washington","343,988","±6,250",92.50%,±1.1
"('Occupied housing units',)","St. Louis city, Missouri","146,779","±3,107",82.70%,±1.6
"('Occupied housing units',)","St. Paul city, Minnesota","110,782","±2,452",91.10%,±1.7
"('Occupied housing units',)","Stockton city, California","96,149","±3,251",91.80%,±1.6
"('Occupied housing units',)","Tampa city, Florida","153,918","±3,788",88.30%,±1.6
"('Occupied housing units',)","Tucson city, Arizona","217,993","±4,317",89.40%,±1.4
"('Occupied housing units',)","Tulsa city, Oklahoma","163,801","±2,216",87.20%,±0.8
"('Occupied housing units',)","Virginia Beach city, Virginia","175,029","±2,072",93.90%,±1.1
"('Occupied housing units',)","Washington city, District of Columbia","291,570","±3,959",90.30%,±1.2
"('Occupied housing units',)","Wichita city, Kansas","153,454","±3,015",88.80%,±1.7
"('Vacant housing units',)","Albuquerque city, New Mexico","20,537","±3,156",8.30%,±1.3
"('Vacant housing units',)","Anaheim city, California","5,346","±1,515",4.80%,±1.3
"('Vacant housing units',)","Anchorage municipality, Alaska","14,074","±2,481",11.80%,±2.1
"('Vacant housing units',)","Arlington city, Texas","9,757","±2,245",6.60%,±1.4
"('Vacant housing units',)","Atlanta city, Georgia","29,861","±2,888",11.80%,±1.1
"('Vacant housing units',)","Aurora city, Colorado","5,466","±1,281",3.90%,±0.9
"('Vacant housing units',)","Austin city, Texas","32,485","±4,048",7.30%,±0.9
"('Vacant housing units',)","Bakersfield city, California","8,305","±2,137",6.70%,±1.7
"('Vacant housing units',)","Baltimore city, Maryland","51,183","±3,195",17.40%,±1.1
"('Vacant housing units',)","Boston city, Massachusetts","32,238","±3,704",10.60%,±1.2
"('Vacant housing units',)","Charlotte city, North Carolina","33,090","±3,795",8.80%,±1.0
"('Vacant housing units',)","Chicago city, Illinois","137,733","±6,091",11.30%,±0.5
"('Vacant housing units',)","Cincinnati city, Ohio","20,812","±2,532",13.10%,±1.5
"('Vacant housing units',)","Cleveland city, Ohio","36,181","±2,816",17.40%,±1.3
"('Vacant housing units',)","Colorado Springs city, Colorado","10,331","±2,177",5.20%,±1.1
"('Vacant housing units',)","Columbus city, Ohio","34,029","±3,902",8.50%,±0.9
"('Vacant housing units',)","Corpus Christi city, Texas","15,420","±3,035",11.50%,±2.2
"('Vacant housing units',)","Dallas city, Texas","70,262","±4,143",11.90%,±0.7
"('Vacant housing units',)","Denver city, Colorado","19,901","±3,326",5.90%,±1.0
"('Vacant housing units',)","Detroit city, Michigan","92,484","±3,779",25.70%,±1.0
"('Vacant housing units',)","Durham city, North Carolina","9,275","±2,139",7.50%,±1.7
"('Vacant housing units',)","El Paso city, Texas","27,001","±3,523",10.80%,±1.4
"('Vacant housing units',)","Fort Worth city, Texas","37,405","±3,609",10.80%,±1.0
"('Vacant housing units',)","Fresno city, California","7,824","±1,474",4.30%,±0.8
"('Vacant housing units',)","Greensboro city, North Carolina","14,697","±2,668",11.10%,±1.9
"('Vacant housing units',)","Henderson city, Nevada","11,576","±2,410",8.70%,±1.7
"('Vacant housing units',)","Houston city, Texas","110,654","±7,299",11.20%,±0.7
"('Vacant housing units',)","Indianapolis city (balance), Indiana","44,168","±3,708",11.50%,±0.9
"('Vacant housing units',)","Irvine city, California","9,693","±2,704",8.50%,±2.2
"('Vacant housing units',)","Jacksonville city, Florida","47,371","±4,282",11.90%,±1.1
"('Vacant housing units',)","Jersey City city, New Jersey","7,663","±1,615",6.60%,±1.4
"('Vacant housing units',)","Kansas City city, Missouri","28,779","±2,716",12.10%,±1.1
"('Vacant housing units',)","Las Vegas city, Nevada","22,965","±2,790",8.90%,±1.0
"('Vacant housing units',)","Lincoln city, Nebraska","6,518","±1,936",5.20%,±1.6
"('Vacant housing units',)","Long Beach city, California","10,500","±1,802",6.00%,±1.0
"('Vacant housing units',)","Los Angeles city, California","133,464","±6,977",8.70%,±0.4
"('Vacant housing units',)","Memphis city, Tennessee","47,050","±3,354",15.60%,±1.1
"('Vacant housing units',)","Mesa city, Arizona","28,039","±3,180",13.00%,±1.4
"('Vacant housing units',)","Miami city, Florida","31,956","±3,586",14.50%,±1.5
"('Vacant housing units',)","Milwaukee city, Wisconsin","27,848","±2,956",10.70%,±1.1
"('Vacant housing units',)","Minneapolis city, Minnesota","10,875","±2,197",5.60%,±1.1
"('Vacant housing units',)","New Orleans city, Louisiana","40,483","±2,375",21.10%,±1.2
"('Vacant housing units',)","New York city, New York","335,568","±11,674",9.50%,±0.3
"('Vacant housing units',)","Newark city, New Jersey","11,468","±1,610",10.10%,±1.3
"('Vacant housing units',)","Oakland city, California","14,161","±2,250",7.80%,±1.2
"('Vacant housing units',)","Oklahoma City city, Oklahoma","32,001","±3,300",11.40%,±1.1
"('Vacant housing units',)","Omaha city, Nebraska","14,210","±1,993",7.00%,±1.0
"('Vacant housing units',)","Orlando city, Florida","29,002","±3,303",20.90%,±2.1
"('Vacant housing units',)","Philadelphia city, Pennsylvania","72,148","±4,430",10.40%,±0.6
"('Vacant housing units',)","Phoenix city, Arizona","50,633","±4,471",7.90%,±0.7
"('Vacant housing units',)","Pittsburgh city, Pennsylvania","15,285","±2,134",9.60%,±1.3
"('Vacant housing units',)","Plano city, Texas","9,139","±2,022",7.80%,±1.6
"('Vacant housing units',)","Portland city, Oregon","18,661","±2,786",6.20%,±0.9
"('Vacant housing units',)","Raleigh city, North Carolina","17,122","±2,822",8.30%,±1.3
"('Vacant housing units',)","Riverside city, California","3,822","±1,202",4.20%,±1.3
"('Vacant housing units',)","Sacramento city, California","8,168","±1,539",4.10%,±0.8
"('Vacant housing units',)","San Antonio city, Texas","49,194","±4,052",8.80%,±0.7
"('Vacant housing units',)","San Diego city, California","44,205","±4,980",7.90%,±0.9
"('Vacant housing units',)","San Francisco city, California","40,548","±4,399",10.00%,±1.1
"('Vacant housing units',)","San Jose city, California","15,340","±2,765",4.50%,±0.8
"('Vacant housing units',)","Santa Ana city, California","3,286","±1,099",4.00%,±1.3
"('Vacant housing units',)","Seattle city, Washington","28,023","±4,366",7.50%,±1.1
"('Vacant housing units',)","St. Louis city, Missouri","30,621","±2,864",17.30%,±1.6
"('Vacant housing units',)","St. Paul city, Minnesota","10,844","±2,171",8.90%,±1.7
"('Vacant housing units',)","Stockton city, California","8,571","±1,656",8.20%,±1.6
"('Vacant housing units',)","Tampa city, Florida","20,461","±2,942",11.70%,±1.6
"('Vacant housing units',)","Tucson city, Arizona","25,948","±3,424",10.60%,±1.4
"('Vacant housing units',)","Tulsa city, Oklahoma","24,105","±1,694",12.80%,±0.8
"('Vacant housing units',)","Virginia Beach city, Virginia","11,439","±2,069",6.10%,±1.1
"('Vacant housing units',)","Washington city, District of Columbia","31,244","±4,011",9.70%,±1.2
"('Vacant housing units',)","Wichita city, Kansas","19,284","±2,948",11.20%,±1.7
"('Homeowner vacancy rate',)","Albuquerque city, New Mexico",1.4,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Anaheim city, California",1.6,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Anchorage municipality, Alaska",1.6,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Arlington city, Texas",0.6,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Atlanta city, Georgia",2.7,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Aurora city, Colorado",1.1,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Austin city, Texas",0.8,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Bakersfield city, California",1,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Baltimore city, Maryland",3.2,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Boston city, Massachusetts",1,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Charlotte city, North Carolina",1.4,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Chicago city, Illinois",1.7,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Cincinnati city, Ohio",1.5,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Cleveland city, Ohio",2,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Colorado Springs city, Colorado",1.1,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Columbus city, Ohio",0.7,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Corpus Christi city, Texas",0.4,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Dallas city, Texas",2.4,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Denver city, Colorado",1.1,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Detroit city, Michigan",5.6,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Durham city, North Carolina",1,±1.0,(X),(X)
"('Homeowner vacancy rate',)","El Paso city, Texas",1.4,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Fort Worth city, Texas",1.1,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Fresno city, California",0.7,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Greensboro city, North Carolina",1.3,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Henderson city, Nevada",2.5,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Houston city, Texas",2.8,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Indianapolis city (balance), Indiana",1.3,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Irvine city, California",1.9,±1.6,(X),(X)
"('Homeowner vacancy rate',)","Jacksonville city, Florida",2.9,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Jersey City city, New Jersey",2.4,±1.7,(X),(X)
"('Homeowner vacancy rate',)","Kansas City city, Missouri",0.7,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Las Vegas city, Nevada",0.9,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Lincoln city, Nebraska",0.7,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Long Beach city, California",0.4,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Los Angeles city, California",1.2,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Memphis city, Tennessee",1.7,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Mesa city, Arizona",1.2,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Miami city, Florida",3.9,±1.6,(X),(X)
"('Homeowner vacancy rate',)","Milwaukee city, Wisconsin",1.4,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Minneapolis city, Minnesota",1.2,±0.8,(X),(X)
"('Homeowner vacancy rate',)","New Orleans city, Louisiana",1.9,±0.7,(X),(X)
"('Homeowner vacancy rate',)","New York city, New York",2,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Newark city, New Jersey",1.6,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Oakland city, California",0.6,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Oklahoma City city, Oklahoma",1.3,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Omaha city, Nebraska",0.5,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Orlando city, Florida",6,±2.4,(X),(X)
"('Homeowner vacancy rate',)","Philadelphia city, Pennsylvania",1.1,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Phoenix city, Arizona",1.8,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Pittsburgh city, Pennsylvania",1.5,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Plano city, Texas",0.8,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Portland city, Oregon",1.1,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Raleigh city, North Carolina",1.2,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Riverside city, California",0.4,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Sacramento city, California",1.2,±0.7,(X),(X)
"('Homeowner vacancy rate',)","San Antonio city, Texas",1.9,±0.5,(X),(X)
"('Homeowner vacancy rate',)","San Diego city, California",1.3,±0.5,(X),(X)
"('Homeowner vacancy rate',)","San Francisco city, California",0.9,±1.0,(X),(X)
"('Homeowner vacancy rate',)","San Jose city, California",0.6,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Santa Ana city, California",1.1,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Seattle city, Washington",1.8,±1.1,(X),(X)
"('Homeowner vacancy rate',)","St. Louis city, Missouri",4.6,±1.2,(X),(X)
"('Homeowner vacancy rate',)","St. Paul city, Minnesota",1.9,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Stockton city, California",1.3,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Tampa city, Florida",1.9,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Tucson city, Arizona",0.8,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Tulsa city, Oklahoma",2,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Virginia Beach city, Virginia",1.3,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Washington city, District of Columbia",1.9,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Wichita city, Kansas",1,±0.6,(X),(X)
"('Rental vacancy rate',)","Albuquerque city, New Mexico",7.6,±2.1,(X),(X)
"('Rental vacancy rate',)","Anaheim city, California",5.3,±2.3,(X),(X)
"('Rental vacancy rate',)","Anchorage municipality, Alaska",11.2,±3.5,(X),(X)
"('Rental vacancy rate',)","Arlington city, Texas",7.6,±2.1,(X),(X)
"('Rental vacancy rate',)","Atlanta city, Georgia",8.2,±1.6,(X),(X)
"('Rental vacancy rate',)","Aurora city, Colorado",4.1,±1.6,(X),(X)
"('Rental vacancy rate',)","Austin city, Texas",5.2,±1.0,(X),(X)
"('Rental vacancy rate',)","Bakersfield city, California",2.7,±1.6,(X),(X)
"('Rental vacancy rate',)","Baltimore city, Maryland",7.6,±1.3,(X),(X)
"('Rental vacancy rate',)","Boston city, Massachusetts",3.9,±1.2,(X),(X)
"('Rental vacancy rate',)","Charlotte city, North Carolina",7.7,±1.3,(X),(X)
"('Rental vacancy rate',)","Chicago city, Illinois",4.5,±0.6,(X),(X)
"('Rental vacancy rate',)","Cincinnati city, Ohio",5.4,±1.7,(X),(X)
"('Rental vacancy rate',)","Cleveland city, Ohio",6.7,±1.4,(X),(X)
"('Rental vacancy rate',)","Colorado Springs city, Colorado",3.2,±1.4,(X),(X)
"('Rental vacancy rate',)","Columbus city, Ohio",5.6,±1.1,(X),(X)
"('Rental vacancy rate',)","Corpus Christi city, Texas",8.7,±3.1,(X),(X)
"('Rental vacancy rate',)","Dallas city, Texas",9.9,±0.9,(X),(X)
"('Rental vacancy rate',)","Denver city, Colorado",3.3,±1.1,(X),(X)
"('Rental vacancy rate',)","Detroit city, Michigan",3.8,±0.9,(X),(X)
"('Rental vacancy rate',)","Durham city, North Carolina",5.2,±2.2,(X),(X)
"('Rental vacancy rate',)","El Paso city, Texas",12.2,±2.5,(X),(X)
"('Rental vacancy rate',)","Fort Worth city, Texas",12.7,±1.8,(X),(X)
"('Rental vacancy rate',)","Fresno city, California",4.2,±1.0,(X),(X)
"('Rental vacancy rate',)","Greensboro city, North Carolina",6.8,±2.4,(X),(X)
"('Rental vacancy rate',)","Henderson city, Nevada",3.9,±1.8,(X),(X)
"('Rental vacancy rate',)","Houston city, Texas",8.4,±0.8,(X),(X)
"('Rental vacancy rate',)","Indianapolis city (balance), Indiana",5.8,±1.1,(X),(X)
"('Rental vacancy rate',)","Irvine city, California",7.9,±3.5,(X),(X)
"('Rental vacancy rate',)","Jacksonville city, Florida",8.2,±1.6,(X),(X)
"('Rental vacancy rate',)","Jersey City city, New Jersey",2.9,±1.1,(X),(X)
"('Rental vacancy rate',)","Kansas City city, Missouri",5.5,±1.4,(X),(X)
"('Rental vacancy rate',)","Las Vegas city, Nevada",6.4,±1.4,(X),(X)
"('Rental vacancy rate',)","Lincoln city, Nebraska",3.3,±2.0,(X),(X)
"('Rental vacancy rate',)","Long Beach city, California",4.6,±1.2,(X),(X)
"('Rental vacancy rate',)","Los Angeles city, California",4.6,±0.4,(X),(X)
"('Rental vacancy rate',)","Memphis city, Tennessee",9.8,±1.3,(X),(X)
"('Rental vacancy rate',)","Mesa city, Arizona",4.3,±1.4,(X),(X)
"('Rental vacancy rate',)","Miami city, Florida",6.7,±1.4,(X),(X)
"('Rental vacancy rate',)","Milwaukee city, Wisconsin",6.5,±1.1,(X),(X)
"('Rental vacancy rate',)","Minneapolis city, Minnesota",2.7,±1.0,(X),(X)
"('Rental vacancy rate',)","New Orleans city, Louisiana",7,±1.5,(X),(X)
"('Rental vacancy rate',)","New York city, New York",3.3,±0.2,(X),(X)
"('Rental vacancy rate',)","Newark city, New Jersey",4.4,±1.2,(X),(X)
"('Rental vacancy rate',)","Oakland city, California",4.2,±1.1,(X),(X)
"('Rental vacancy rate',)","Oklahoma City city, Oklahoma",8.7,±1.8,(X),(X)
"('Rental vacancy rate',)","Omaha city, Nebraska",9.2,±1.9,(X),(X)
"('Rental vacancy rate',)","Orlando city, Florida",13.3,±2.9,(X),(X)
"('Rental vacancy rate',)","Philadelphia city, Pennsylvania",4.6,±0.8,(X),(X)
"('Rental vacancy rate',)","Phoenix city, Arizona",3.7,±0.8,(X),(X)
"('Rental vacancy rate',)","Pittsburgh city, Pennsylvania",2.5,±1.1,(X),(X)
