Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Houston city, Texas","946,571","±7,235","946,571",(X)
"('Total housing units',)","Indianapolis city (balance), Indiana","379,709","±2,742","379,709",(X)
"('Total housing units',)","Irvine city, California","96,305","±3,321","96,305",(X)
"('Total housing units',)","Jacksonville city, Florida","373,211","±2,074","373,211",(X)
"('Total housing units',)","Jersey City city, New Jersey","113,410","±2,680","113,410",(X)
"('Total housing units',)","Kansas City city, Missouri","226,400","±3,704","226,400",(X)
"('Total housing units',)","Las Vegas city, Nevada","257,759","±4,594","257,759",(X)
"('Total housing units',)","Lincoln city, Nebraska","115,343","±1,070","115,343",(X)
"('Total housing units',)","Long Beach city, California","177,343","±4,275","177,343",(X)
"('Total housing units',)","Los Angeles city, California","1,451,722","±8,928","1,451,722",(X)
"('Total housing units',)","Memphis city, Tennessee","299,953","±3,373","299,953",(X)
"('Total housing units',)","Mesa city, Arizona","206,232","±4,142","206,232",(X)
"('Total housing units',)","Miami city, Florida","205,585","±4,382","205,585",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","257,662","±3,399","257,662",(X)
"('Total housing units',)","Minneapolis city, Minnesota","185,135","±3,372","185,135",(X)
"('Total housing units',)","New Orleans city, Louisiana","193,041",±592,"193,041",(X)
"('Total housing units',)","New York city, New York","3,447,978","±2,625","3,447,978",(X)
"('Total housing units',)","Newark city, New Jersey","117,026","±3,033","117,026",(X)
"('Total housing units',)","Oakland city, California","169,213","±3,328","169,213",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","269,610","±2,944","269,610",(X)
"('Total housing units',)","Omaha city, Nebraska","189,834","±1,542","189,834",(X)
"('Total housing units',)","Orlando city, Florida","126,666","±3,456","126,666",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","672,657","±1,409","672,657",(X)
"('Total housing units',)","Phoenix city, Arizona","599,164","±7,131","599,164",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","152,513","±3,348","152,513",(X)
"('Total housing units',)","Plano city, Texas","111,786","±2,824","111,786",(X)
"('Total housing units',)","Portland city, Oregon","274,915","±2,625","274,915",(X)
"('Total housing units',)","Raleigh city, North Carolina","195,293","±3,545","195,293",(X)
"('Total housing units',)","Riverside city, California","100,725","±3,759","100,725",(X)
"('Total housing units',)","Sacramento city, California","191,344","±4,434","191,344",(X)
"('Total housing units',)","San Antonio city, Texas","540,247","±3,717","540,247",(X)
"('Total housing units',)","San Diego city, California","531,108","±6,243","531,108",(X)
"('Total housing units',)","San Francisco city, California","390,198","±1,218","390,198",(X)
"('Total housing units',)","San Jose city, California","334,726","±3,718","334,726",(X)
"('Total housing units',)","Santa Ana city, California","74,306","±2,465","74,306",(X)
"('Total housing units',)","Seattle city, Washington","328,358","±4,929","328,358",(X)
"('Total housing units',)","St. Louis city, Missouri","175,644",±780,"175,644",(X)
"('Total housing units',)","St. Paul city, Minnesota","121,372","±2,153","121,372",(X)
"('Total housing units',)","Stockton city, California","102,112","±2,847","102,112",(X)
"('Total housing units',)","Tampa city, Florida","162,473","±3,319","162,473",(X)
"('Total housing units',)","Tucson city, Arizona","234,491","±3,618","234,491",(X)
"('Total housing units',)","Tulsa city, Oklahoma","187,983","±1,867","187,983",(X)
"('Total housing units',)","Virginia Beach city, Virginia","183,123",±941,"183,123",(X)
"('Total housing units',)","Washington city, District of Columbia","309,596",±59,"309,596",(X)
"('Total housing units',)","Wichita city, Kansas","168,919","±1,850","168,919",(X)
"('Occupied housing units',)","Albuquerque city, New Mexico","221,855","±3,057",91.20%,±1.1
"('Occupied housing units',)","Anaheim city, California","99,991","±3,100",95.70%,±1.3
"('Occupied housing units',)","Anchorage municipality, Alaska","104,936","±1,982",91.30%,±1.7
"('Occupied housing units',)","Arlington city, Texas","132,835","±3,628",92.10%,±1.5
"('Occupied housing units',)","Atlanta city, Georgia","200,503","±4,613",83.70%,±1.3
"('Occupied housing units',)","Aurora city, Colorado","126,466","±2,765",95.60%,±1.2
"('Occupied housing units',)","Austin city, Texas","364,893","±4,984",91.80%,±0.8
"('Occupied housing units',)","Bakersfield city, California","114,383","±3,559",92.50%,±1.5
"('Occupied housing units',)","Baltimore city, Maryland","238,400","±3,603",80.20%,±1.1
"('Occupied housing units',)","Boston city, Massachusetts","261,492","±3,435",91.40%,±1.0
"('Occupied housing units',)","Charlotte city, North Carolina","322,872","±3,866",92.30%,±0.9
"('Occupied housing units',)","Chicago city, Illinois","1,053,229","±8,529",87.60%,±0.5
"('Occupied housing units',)","Cincinnati city, Ohio","137,445","±2,888",83.40%,±1.4
"('Occupied housing units',)","Cleveland city, Ohio","167,667","±3,661",79.10%,±1.1
"('Occupied housing units',)","Colorado Springs city, Colorado","181,690","±2,694",94.10%,±1.0
"('Occupied housing units',)","Columbus city, Ohio","344,839","±5,102",89.20%,±1.0
"('Occupied housing units',)","Corpus Christi city, Texas","117,609","±2,642",89.80%,±1.7
"('Occupied housing units',)","Dallas city, Texas","495,362","±5,725",90.00%,±0.6
"('Occupied housing units',)","Denver city, Colorado","287,074","±2,900",94.40%,±0.9
"('Occupied housing units',)","Detroit city, Michigan","255,580","±4,170",70.70%,±0.9
"('Occupied housing units',)","Durham city, North Carolina","103,230","±2,300",92.00%,±1.6
"('Occupied housing units',)","El Paso city, Texas","222,557","±3,503",90.10%,±1.3
"('Occupied housing units',)","Fort Worth city, Texas","285,173","±4,230",90.50%,±1.0
"('Occupied housing units',)","Fresno city, California","163,473","±3,309",94.20%,±1.1
"('Occupied housing units',)","Greensboro city, North Carolina","115,301","±2,734",87.10%,±1.7
"('Occupied housing units',)","Henderson city, Nevada","111,269","±3,083",88.30%,±1.8
"('Occupied housing units',)","Houston city, Texas","849,974","±7,977",89.80%,±0.5
"('Occupied housing units',)","Indianapolis city (balance), Indiana","328,431","±4,295",86.50%,±0.9
"('Occupied housing units',)","Irvine city, California","91,186","±2,604",94.70%,±2.0
"('Occupied housing units',)","Jacksonville city, Florida","323,488","±4,465",86.70%,±1.1
"('Occupied housing units',)","Jersey City city, New Jersey","101,755","±2,382",89.70%,±1.4
"('Occupied housing units',)","Kansas City city, Missouri","198,129","±3,745",87.50%,±1.1
"('Occupied housing units',)","Las Vegas city, Nevada","220,418","±4,536",85.50%,±1.1
"('Occupied housing units',)","Lincoln city, Nebraska","109,923","±1,896",95.30%,±1.3
"('Occupied housing units',)","Long Beach city, California","167,660","±3,962",94.50%,±0.9
"('Occupied housing units',)","Los Angeles city, California","1,360,164","±8,307",93.70%,±0.3
"('Occupied housing units',)","Memphis city, Tennessee","250,324","±4,428",83.50%,±1.2
"('Occupied housing units',)","Mesa city, Arizona","174,853","±3,338",84.80%,±1.2
"('Occupied housing units',)","Miami city, Florida","171,720","±4,050",83.50%,±1.3
"('Occupied housing units',)","Milwaukee city, Wisconsin","232,104","±3,649",90.10%,±0.9
"('Occupied housing units',)","Minneapolis city, Minnesota","173,686","±2,940",93.80%,±1.1
"('Occupied housing units',)","New Orleans city, Louisiana","156,591","±2,068",81.10%,±1.1
"('Occupied housing units',)","New York city, New York","3,129,147","±10,363",90.80%,±0.3
"('Occupied housing units',)","Newark city, New Jersey","98,524","±3,157",84.20%,±1.3
"('Occupied housing units',)","Oakland city, California","161,104","±3,269",95.20%,±0.7
"('Occupied housing units',)","Oklahoma City city, Oklahoma","239,137","±3,337",88.70%,±1.1
"('Occupied housing units',)","Omaha city, Nebraska","175,123","±2,320",92.30%,±1.1
"('Occupied housing units',)","Orlando city, Florida","111,100","±3,390",87.70%,±1.7
"('Occupied housing units',)","Philadelphia city, Pennsylvania","581,604","±5,120",86.50%,±0.8
"('Occupied housing units',)","Phoenix city, Arizona","534,199","±7,078",89.20%,±0.7
"('Occupied housing units',)","Pittsburgh city, Pennsylvania","131,793","±3,077",86.40%,±1.3
"('Occupied housing units',)","Plano city, Texas","106,610","±2,561",95.40%,±1.3
"('Occupied housing units',)","Portland city, Oregon","253,820","±3,719",92.30%,±1.1
"('Occupied housing units',)","Raleigh city, North Carolina","178,316","±3,552",91.30%,±1.3
"('Occupied housing units',)","Riverside city, California","92,408","±3,373",91.70%,±1.6
"('Occupied housing units',)","Sacramento city, California","177,131","±4,077",92.60%,±1.1
"('Occupied housing units',)","San Antonio city, Texas","494,344","±5,301",91.50%,±0.8
"('Occupied housing units',)","San Diego city, California","497,663","±5,576",93.70%,±0.7
"('Occupied housing units',)","San Francisco city, California","356,916","±3,701",91.50%,±0.9
"('Occupied housing units',)","San Jose city, California","323,133","±3,807",96.50%,±0.6
"('Occupied housing units',)","Santa Ana city, California","72,177","±2,339",97.10%,±0.9
"('Occupied housing units',)","Seattle city, Washington","311,038","±5,065",94.70%,±0.8
"('Occupied housing units',)","St. Louis city, Missouri","141,312","±2,891",80.50%,±1.6
"('Occupied housing units',)","St. Paul city, Minnesota","113,148","±2,477",93.20%,±1.3
"('Occupied housing units',)","Stockton city, California","94,561","±2,476",92.60%,±1.4
"('Occupied housing units',)","Tampa city, Florida","144,582","±3,467",89.00%,±1.4
"('Occupied housing units',)","Tucson city, Arizona","206,448","±4,291",88.00%,±1.2
"('Occupied housing units',)","Tulsa city, Oklahoma","167,400","±2,238",89.10%,±0.9
"('Occupied housing units',)","Virginia Beach city, Virginia","169,097","±2,240",92.30%,±1.1
"('Occupied housing units',)","Washington city, District of Columbia","281,787","±3,030",91.00%,±1.0
"('Occupied housing units',)","Wichita city, Kansas","150,497","±2,816",89.10%,±1.4
"('Vacant housing units',)","Albuquerque city, New Mexico","21,355","±2,615",8.80%,±1.1
"('Vacant housing units',)","Anaheim city, California","4,542","±1,370",4.30%,±1.3
"('Vacant housing units',)","Anchorage municipality, Alaska","9,975","±1,961",8.70%,±1.7
"('Vacant housing units',)","Arlington city, Texas","11,351","±2,303",7.90%,±1.5
"('Vacant housing units',)","Atlanta city, Georgia","39,000","±3,135",16.30%,±1.3
"('Vacant housing units',)","Aurora city, Colorado","5,784","±1,536",4.40%,±1.2
"('Vacant housing units',)","Austin city, Texas","32,744","±3,128",8.20%,±0.8
"('Vacant housing units',)","Bakersfield city, California","9,231","±1,931",7.50%,±1.5
"('Vacant housing units',)","Baltimore city, Maryland","58,712","±3,311",19.80%,±1.1
"('Vacant housing units',)","Boston city, Massachusetts","24,628","±2,862",8.60%,±1.0
"('Vacant housing units',)","Charlotte city, North Carolina","27,033","±3,271",7.70%,±0.9
"('Vacant housing units',)","Chicago city, Illinois","149,036","±6,081",12.40%,±0.5
"('Vacant housing units',)","Cincinnati city, Ohio","27,287","±2,501",16.60%,±1.4
"('Vacant housing units',)","Cleveland city, Ohio","44,433","±2,609",20.90%,±1.1
"('Vacant housing units',)","Colorado Springs city, Colorado","11,365","±1,987",5.90%,±1.0
"('Vacant housing units',)","Columbus city, Ohio","41,745","±3,781",10.80%,±1.0
"('Vacant housing units',)","Corpus Christi city, Texas","13,336","±2,308",10.20%,±1.7
"('Vacant housing units',)","Dallas city, Texas","54,889","±3,251",10.00%,±0.6
"('Vacant housing units',)","Denver city, Colorado","16,941","±2,784",5.60%,±0.9
"('Vacant housing units',)","Detroit city, Michigan","105,790","±3,516",29.30%,±0.9
"('Vacant housing units',)","Durham city, North Carolina","8,968","±1,781",8.00%,±1.6
"('Vacant housing units',)","El Paso city, Texas","24,363","±3,273",9.90%,±1.3
"('Vacant housing units',)","Fort Worth city, Texas","30,028","±3,342",9.50%,±1.0
"('Vacant housing units',)","Fresno city, California","10,031","±1,907",5.80%,±1.1
"('Vacant housing units',)","Greensboro city, North Carolina","17,137","±2,344",12.90%,±1.7
"('Vacant housing units',)","Henderson city, Nevada","14,747","±2,483",11.70%,±1.8
"('Vacant housing units',)","Houston city, Texas","96,597","±4,989",10.20%,±0.5
"('Vacant housing units',)","Indianapolis city (balance), Indiana","51,278","±3,423",13.50%,±0.9
"('Vacant housing units',)","Irvine city, California","5,119","±1,992",5.30%,±2.0
"('Vacant housing units',)","Jacksonville city, Florida","49,723","±3,912",13.30%,±1.1
"('Vacant housing units',)","Jersey City city, New Jersey","11,655","±1,691",10.30%,±1.4
"('Vacant housing units',)","Kansas City city, Missouri","28,271","±2,541",12.50%,±1.1
"('Vacant housing units',)","Las Vegas city, Nevada","37,341","±2,921",14.50%,±1.1
"('Vacant housing units',)","Lincoln city, Nebraska","5,420","±1,495",4.70%,±1.3
"('Vacant housing units',)","Long Beach city, California","9,683","±1,620",5.50%,±0.9
"('Vacant housing units',)","Los Angeles city, California","91,558","±4,677",6.30%,±0.3
"('Vacant housing units',)","Memphis city, Tennessee","49,629","±3,767",16.50%,±1.2
"('Vacant housing units',)","Mesa city, Arizona","31,379","±2,743",15.20%,±1.2
"('Vacant housing units',)","Miami city, Florida","33,865","±2,900",16.50%,±1.3
"('Vacant housing units',)","Milwaukee city, Wisconsin","25,558","±2,317",9.90%,±0.9
"('Vacant housing units',)","Minneapolis city, Minnesota","11,449","±2,046",6.20%,±1.1
"('Vacant housing units',)","New Orleans city, Louisiana","36,450","±2,042",18.90%,±1.1
"('Vacant housing units',)","New York city, New York","318,831","±9,539",9.20%,±0.3
"('Vacant housing units',)","Newark city, New Jersey","18,502","±1,511",15.80%,±1.3
"('Vacant housing units',)","Oakland city, California","8,109","±1,265",4.80%,±0.7
"('Vacant housing units',)","Oklahoma City city, Oklahoma","30,473","±3,117",11.30%,±1.1
"('Vacant housing units',)","Omaha city, Nebraska","14,711","±2,144",7.70%,±1.1
"('Vacant housing units',)","Orlando city, Florida","15,566","±2,241",12.30%,±1.7
"('Vacant housing units',)","Philadelphia city, Pennsylvania","91,053","±5,131",13.50%,±0.8
"('Vacant housing units',)","Phoenix city, Arizona","64,965","±4,162",10.80%,±0.7
"('Vacant housing units',)","Pittsburgh city, Pennsylvania","20,720","±2,220",13.60%,±1.3
"('Vacant housing units',)","Plano city, Texas","5,176","±1,529",4.60%,±1.3
"('Vacant housing units',)","Portland city, Oregon","21,095","±2,940",7.70%,±1.1
"('Vacant housing units',)","Raleigh city, North Carolina","16,977","±2,538",8.70%,±1.3
"('Vacant housing units',)","Riverside city, California","8,317","±1,730",8.30%,±1.6
"('Vacant housing units',)","Sacramento city, California","14,213","±2,313",7.40%,±1.1
"('Vacant housing units',)","San Antonio city, Texas","45,903","±4,237",8.50%,±0.8
"('Vacant housing units',)","San Diego city, California","33,445","±3,804",6.30%,±0.7
"('Vacant housing units',)","San Francisco city, California","33,282","±3,466",8.50%,±0.9
"('Vacant housing units',)","San Jose city, California","11,593","±2,021",3.50%,±0.6
"('Vacant housing units',)","Santa Ana city, California","2,129",±697,2.90%,±0.9
"('Vacant housing units',)","Seattle city, Washington","17,320","±2,518",5.30%,±0.8
"('Vacant housing units',)","St. Louis city, Missouri","34,332","±2,824",19.50%,±1.6
"('Vacant housing units',)","St. Paul city, Minnesota","8,224","±1,543",6.80%,±1.3
"('Vacant housing units',)","Stockton city, California","7,551","±1,498",7.40%,±1.4
"('Vacant housing units',)","Tampa city, Florida","17,891","±2,269",11.00%,±1.4
"('Vacant housing units',)","Tucson city, Arizona","28,043","±2,865",12.00%,±1.2
"('Vacant housing units',)","Tulsa city, Oklahoma","20,583","±1,752",10.90%,±0.9
"('Vacant housing units',)","Virginia Beach city, Virginia","14,026","±2,064",7.70%,±1.1
"('Vacant housing units',)","Washington city, District of Columbia","27,809","±3,026",9.00%,±1.0
"('Vacant housing units',)","Wichita city, Kansas","18,422","±2,338",10.90%,±1.4
"('Homeowner vacancy rate',)","Albuquerque city, New Mexico",2.3,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Anaheim city, California",0,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Anchorage municipality, Alaska",2.1,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Arlington city, Texas",1.4,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Atlanta city, Georgia",2.6,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Aurora city, Colorado",1,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Austin city, Texas",1.5,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Bakersfield city, California",1.4,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Baltimore city, Maryland",6,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Boston city, Massachusetts",1.2,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Charlotte city, North Carolina",1.6,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Chicago city, Illinois",3.1,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Cincinnati city, Ohio",1.7,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Cleveland city, Ohio",2.7,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Colorado Springs city, Colorado",1.5,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Columbus city, Ohio",2.2,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Corpus Christi city, Texas",2.2,±1.3,(X),(X)
"('Homeowner vacancy rate',)","Dallas city, Texas",1.9,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Denver city, Colorado",0.3,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Detroit city, Michigan",5.4,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Durham city, North Carolina",1.5,±1.1,(X),(X)
"('Homeowner vacancy rate',)","El Paso city, Texas",2.5,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Fort Worth city, Texas",1.4,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Fresno city, California",0.5,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Greensboro city, North Carolina",2.5,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Henderson city, Nevada",2.9,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Houston city, Texas",1.8,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Indianapolis city (balance), Indiana",1.7,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Irvine city, California",0.2,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Jacksonville city, Florida",2.8,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Jersey City city, New Jersey",2.5,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Kansas City city, Missouri",1.9,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Las Vegas city, Nevada",2.8,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Lincoln city, Nebraska",0.4,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Long Beach city, California",1.3,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Los Angeles city, California",1.1,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Memphis city, Tennessee",1.8,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Mesa city, Arizona",2.5,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Miami city, Florida",2.7,±1.5,(X),(X)
"('Homeowner vacancy rate',)","Milwaukee city, Wisconsin",1,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Minneapolis city, Minnesota",1.9,±1.0,(X),(X)
"('Homeowner vacancy rate',)","New Orleans city, Louisiana",1.9,±0.7,(X),(X)
"('Homeowner vacancy rate',)","New York city, New York",1.9,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Newark city, New Jersey",5.9,±2.0,(X),(X)
"('Homeowner vacancy rate',)","Oakland city, California",0.3,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Oklahoma City city, Oklahoma",0.8,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Omaha city, Nebraska",1.4,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Orlando city, Florida",3.5,±2.1,(X),(X)
"('Homeowner vacancy rate',)","Philadelphia city, Pennsylvania",2.6,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Phoenix city, Arizona",2.2,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Pittsburgh city, Pennsylvania",3,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Plano city, Texas",0,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Portland city, Oregon",1.3,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Raleigh city, North Carolina",1.3,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Riverside city, California",1.4,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Sacramento city, California",0.6,±0.5,(X),(X)
"('Homeowner vacancy rate',)","San Antonio city, Texas",1.7,±0.6,(X),(X)
"('Homeowner vacancy rate',)","San Diego city, California",1.2,±0.4,(X),(X)
"('Homeowner vacancy rate',)","San Francisco city, California",1,±0.7,(X),(X)
"('Homeowner vacancy rate',)","San Jose city, California",0.3,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Santa Ana city, California",0.8,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Seattle city, Washington",1,±0.6,(X),(X)
"('Homeowner vacancy rate',)","St. Louis city, Missouri",2.3,±1.2,(X),(X)
"('Homeowner vacancy rate',)","St. Paul city, Minnesota",1.6,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Stockton city, California",0.9,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Tampa city, Florida",2,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Tucson city, Arizona",1.7,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Tulsa city, Oklahoma",2.7,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Virginia Beach city, Virginia",2,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Washington city, District of Columbia",1.4,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Wichita city, Kansas",2,±0.8,(X),(X)
"('Rental vacancy rate',)","Albuquerque city, New Mexico",6.9,±1.6,(X),(X)
"('Rental vacancy rate',)","Anaheim city, California",3.6,±1.3,(X),(X)
"('Rental vacancy rate',)","Anchorage municipality, Alaska",4.5,±1.9,(X),(X)
"('Rental vacancy rate',)","Arlington city, Texas",9.6,±2.3,(X),(X)
"('Rental vacancy rate',)","Atlanta city, Georgia",6.6,±1.3,(X),(X)
"('Rental vacancy rate',)","Aurora city, Colorado",3.1,±1.4,(X),(X)
"('Rental vacancy rate',)","Austin city, Texas",6.5,±1.1,(X),(X)
"('Rental vacancy rate',)","Bakersfield city, California",6.6,±2.2,(X),(X)
"('Rental vacancy rate',)","Baltimore city, Maryland",6.4,±1.4,(X),(X)
"('Rental vacancy rate',)","Boston city, Massachusetts",2.2,±0.7,(X),(X)
"('Rental vacancy rate',)","Charlotte city, North Carolina",6,±1.2,(X),(X)
"('Rental vacancy rate',)","Chicago city, Illinois",5.6,±0.5,(X),(X)
"('Rental vacancy rate',)","Cincinnati city, Ohio",6.8,±1.5,(X),(X)
"('Rental vacancy rate',)","Cleveland city, Ohio",5.8,±1.1,(X),(X)
"('Rental vacancy rate',)","Colorado Springs city, Colorado",5.3,±1.6,(X),(X)
"('Rental vacancy rate',)","Columbus city, Ohio",5.2,±1.0,(X),(X)
"('Rental vacancy rate',)","Corpus Christi city, Texas",5.4,±2.1,(X),(X)
"('Rental vacancy rate',)","Dallas city, Texas",6.8,±0.7,(X),(X)
"('Rental vacancy rate',)","Denver city, Colorado",4.2,±1.0,(X),(X)
"('Rental vacancy rate',)","Detroit city, Michigan",5,±0.8,(X),(X)
"('Rental vacancy rate',)","Durham city, North Carolina",7.8,±2.0,(X),(X)
"('Rental vacancy rate',)","El Paso city, Texas",10.1,±2.0,(X),(X)
"('Rental vacancy rate',)","Fort Worth city, Texas",9.3,±1.8,(X),(X)
"('Rental vacancy rate',)","Fresno city, California",3.2,±1.2,(X),(X)
"('Rental vacancy rate',)","Greensboro city, North Carolina",12.2,±2.7,(X),(X)
"('Rental vacancy rate',)","Henderson city, Nevada",6.7,±2.5,(X),(X)
"('Rental vacancy rate',)","Houston city, Texas",7.7,±0.7,(X),(X)
"('Rental vacancy rate',)","Indianapolis city (balance), Indiana",8.2,±1.2,(X),(X)
"('Rental vacancy rate',)","Irvine city, California",3.4,±2.2,(X),(X)
"('Rental vacancy rate',)","Jacksonville city, Florida",7.9,±1.4,(X),(X)
"('Rental vacancy rate',)","Jersey City city, New Jersey",4.9,±1.3,(X),(X)
"('Rental vacancy rate',)","Kansas City city, Missouri",6.8,±1.5,(X),(X)
"('Rental vacancy rate',)","Las Vegas city, Nevada",9.1,±1.2,(X),(X)
"('Rental vacancy rate',)","Lincoln city, Nebraska",3.7,±1.8,(X),(X)
"('Rental vacancy rate',)","Long Beach city, California",4.1,±1.1,(X),(X)
"('Rental vacancy rate',)","Los Angeles city, California",3.3,±0.3,(X),(X)
"('Rental vacancy rate',)","Memphis city, Tennessee",10.6,±1.4,(X),(X)
"('Rental vacancy rate',)","Mesa city, Arizona",6.2,±1.5,(X),(X)
"('Rental vacancy rate',)","Miami city, Florida",6.4,±1.2,(X),(X)
"('Rental vacancy rate',)","Milwaukee city, Wisconsin",4.9,±0.8,(X),(X)
"('Rental vacancy rate',)","Minneapolis city, Minnesota",3.1,±1.2,(X),(X)
"('Rental vacancy rate',)","New Orleans city, Louisiana",6.6,±1.1,(X),(X)
"('Rental vacancy rate',)","New York city, New York",3.4,±0.2,(X),(X)
"('Rental vacancy rate',)","Newark city, New Jersey",11.7,±1.5,(X),(X)
"('Rental vacancy rate',)","Oakland city, California",2.1,±0.7,(X),(X)
"('Rental vacancy rate',)","Oklahoma City city, Oklahoma",8.3,±1.5,(X),(X)
"('Rental vacancy rate',)","Omaha city, Nebraska",6.6,±1.7,(X),(X)
"('Rental vacancy rate',)","Orlando city, Florida",6.2,±1.6,(X),(X)
"('Rental vacancy rate',)","Philadelphia city, Pennsylvania",7.2,±0.9,(X),(X)
"('Rental vacancy rate',)","Phoenix city, Arizona",7.5,±0.9,(X),(X)
"('Rental vacancy rate',)","Pittsburgh city, Pennsylvania",4,±1.2,(X),(X)
