Metric,City,Estimate,Group,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Philadelphia city, Pennsylvania","674,504",housing_occupancy,"±1,484","674,504",(X)
"('Total housing units',)","Phoenix city, Arizona","611,421",housing_occupancy,"±7,265","611,421",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","156,632",housing_occupancy,"±3,777","156,632",(X)
"('Total housing units',)","Plano city, Texas","111,074",housing_occupancy,"±3,025","111,074",(X)
"('Total housing units',)","Portland city, Oregon","280,479",housing_occupancy,"±2,732","280,479",(X)
"('Total housing units',)","Raleigh city, North Carolina","201,158",housing_occupancy,"±3,967","201,158",(X)
"('Total housing units',)","Riverside city, California","96,063",housing_occupancy,"±2,629","96,063",(X)
"('Total housing units',)","Sacramento city, California","196,013",housing_occupancy,"±4,805","196,013",(X)
"('Total housing units',)","San Antonio city, Texas","544,975",housing_occupancy,"±3,776","544,975",(X)
"('Total housing units',)","San Diego city, California","536,765",housing_occupancy,"±5,958","536,765",(X)
"('Total housing units',)","San Francisco city, California","392,823",housing_occupancy,"±1,425","392,823",(X)
"('Total housing units',)","San Jose city, California","333,355",housing_occupancy,"±4,145","333,355",(X)
"('Total housing units',)","Santa Ana city, California","75,932",housing_occupancy,"±2,404","75,932",(X)
"('Total housing units',)","Seattle city, Washington","338,824",housing_occupancy,"±5,448","338,824",(X)
"('Total housing units',)","St. Louis city, Missouri","175,710",housing_occupancy,±956,"175,710",(X)
"('Total housing units',)","St. Paul city, Minnesota","119,785",housing_occupancy,"±2,620","119,785",(X)
"('Total housing units',)","Stockton city, California","101,908",housing_occupancy,"±2,261","101,908",(X)
"('Total housing units',)","Tampa city, Florida","167,921",housing_occupancy,"±3,917","167,921",(X)
"('Total housing units',)","Tucson city, Arizona","233,782",housing_occupancy,"±3,701","233,782",(X)
"('Total housing units',)","Tulsa city, Oklahoma","187,765",housing_occupancy,"±2,100","187,765",(X)
"('Total housing units',)","Virginia Beach city, Virginia","184,348",housing_occupancy,±846,"184,348",(X)
"('Total housing units',)","Washington city, District of Columbia","313,703",housing_occupancy,±112,"313,703",(X)
"('Total housing units',)","Wichita city, Kansas","170,037",housing_occupancy,"±2,077","170,037",(X)
"('Occupied housing units',)","Albuquerque city, New Mexico","220,918",housing_occupancy,"±2,957",90.50%,±1.1
"('Occupied housing units',)","Anaheim city, California","99,255",housing_occupancy,"±3,419",96.00%,±1.1
"('Occupied housing units',)","Anchorage municipality, Alaska","105,249",housing_occupancy,"±1,864",91.10%,±1.6
"('Occupied housing units',)","Arlington city, Texas","135,348",housing_occupancy,"±3,815",91.10%,±1.6
"('Occupied housing units',)","Atlanta city, Georgia","193,815",housing_occupancy,"±5,654",81.80%,±1.3
"('Occupied housing units',)","Aurora city, Colorado","127,661",housing_occupancy,"±2,626",95.90%,±0.9
"('Occupied housing units',)","Austin city, Texas","372,327",housing_occupancy,"±5,397",91.80%,±0.8
"('Occupied housing units',)","Bakersfield city, California","116,507",housing_occupancy,"±2,950",95.60%,±1.2
"('Occupied housing units',)","Baltimore city, Maryland","240,761",housing_occupancy,"±4,046",80.90%,±1.3
"('Occupied housing units',)","Boston city, Massachusetts","267,592",housing_occupancy,"±3,881",92.70%,±0.9
"('Occupied housing units',)","Charlotte city, North Carolina","319,816",housing_occupancy,"±3,520",91.50%,±0.8
"('Occupied housing units',)","Chicago city, Illinois","1,053,986",housing_occupancy,"±9,730",87.70%,±0.5
"('Occupied housing units',)","Cincinnati city, Ohio","135,565",housing_occupancy,"±3,185",83.50%,±1.5
"('Occupied housing units',)","Cleveland city, Ohio","168,306",housing_occupancy,"±3,533",79.20%,±1.2
"('Occupied housing units',)","Colorado Springs city, Colorado","184,681",housing_occupancy,"±2,932",94.50%,±1.1
"('Occupied housing units',)","Columbus city, Ohio","349,113",housing_occupancy,"±5,053",89.80%,±0.8
"('Occupied housing units',)","Corpus Christi city, Texas","116,916",housing_occupancy,"±3,162",88.00%,±2.0
"('Occupied housing units',)","Dallas city, Texas","514,588",housing_occupancy,"±5,379",90.40%,±0.7
"('Occupied housing units',)","Denver city, Colorado","292,003",housing_occupancy,"±2,724",93.70%,±0.8
"('Occupied housing units',)","Detroit city, Michigan","259,295",housing_occupancy,"±4,821",71.60%,±1.0
"('Occupied housing units',)","Durham city, North Carolina","106,400",housing_occupancy,"±2,238",92.50%,±1.5
"('Occupied housing units',)","El Paso city, Texas","225,891",housing_occupancy,"±3,025",91.00%,±1.1
"('Occupied housing units',)","Fort Worth city, Texas","287,401",housing_occupancy,"±4,732",91.40%,±1.0
"('Occupied housing units',)","Fresno city, California","166,288",housing_occupancy,"±3,721",94.00%,±1.1
"('Occupied housing units',)","Greensboro city, North Carolina","113,922",housing_occupancy,"±2,613",87.80%,±2.0
"('Occupied housing units',)","Henderson city, Nevada","110,948",housing_occupancy,"±3,066",87.80%,±1.7
"('Occupied housing units',)","Houston city, Texas","867,915",housing_occupancy,"±8,198",90.00%,±0.6
"('Occupied housing units',)","Indianapolis city (balance), Indiana","332,643",housing_occupancy,"±3,933",87.10%,±0.9
"('Occupied housing units',)","Irvine city, California","94,321",housing_occupancy,"±3,397",92.80%,±1.8
"('Occupied housing units',)","Jacksonville city, Florida","331,555",housing_occupancy,"±5,147",88.00%,±1.3
"('Occupied housing units',)","Jersey City city, New Jersey","99,715",housing_occupancy,"±2,607",90.20%,±1.6
"('Occupied housing units',)","Kansas City city, Missouri","198,202",housing_occupancy,"±3,931",86.80%,±1.0
"('Occupied housing units',)","Las Vegas city, Nevada","223,819",housing_occupancy,"±4,854",89.10%,±1.2
"('Occupied housing units',)","Lincoln city, Nebraska","112,386",housing_occupancy,"±2,187",94.70%,±1.5
"('Occupied housing units',)","Long Beach city, California","160,769",housing_occupancy,"±4,397",95.40%,±1.0
"('Occupied housing units',)","Los Angeles city, California","1,378,844",housing_occupancy,"±9,016",93.20%,±0.3
"('Occupied housing units',)","Memphis city, Tennessee","256,973",housing_occupancy,"±4,572",84.60%,±1.2
"('Occupied housing units',)","Mesa city, Arizona","173,852",housing_occupancy,"±4,538",84.50%,±1.5
"('Occupied housing units',)","Miami city, Florida","172,748",housing_occupancy,"±4,896",86.50%,±1.3
"('Occupied housing units',)","Milwaukee city, Wisconsin","228,283",housing_occupancy,"±3,789",89.10%,±0.9
"('Occupied housing units',)","Minneapolis city, Minnesota","171,906",housing_occupancy,"±3,741",94.00%,±1.0
"('Occupied housing units',)","New Orleans city, Louisiana","154,355",housing_occupancy,"±2,906",79.90%,±1.4
"('Occupied housing units',)","New York city, New York","3,114,811",housing_occupancy,"±11,631",89.90%,±0.3
"('Occupied housing units',)","Newark city, New Jersey","99,576",housing_occupancy,"±2,632",86.50%,±1.3
"('Occupied housing units',)","Oakland city, California","158,084",housing_occupancy,"±3,325",94.60%,±1.0
"('Occupied housing units',)","Oklahoma City city, Oklahoma","241,046",housing_occupancy,"±2,948",88.40%,±1.1
"('Occupied housing units',)","Omaha city, Nebraska","175,881",housing_occupancy,"±2,312",92.30%,±0.9
"('Occupied housing units',)","Orlando city, Florida","115,977",housing_occupancy,"±3,136",87.60%,±1.7
"('Occupied housing units',)","Philadelphia city, Pennsylvania","580,205",housing_occupancy,"±5,087",86.00%,±0.7
"('Occupied housing units',)","Phoenix city, Arizona","555,953",housing_occupancy,"±7,109",90.90%,±0.7
"('Occupied housing units',)","Pittsburgh city, Pennsylvania","136,300",housing_occupancy,"±3,277",87.00%,±1.4
"('Occupied housing units',)","Plano city, Texas","106,062",housing_occupancy,"±2,861",95.50%,±1.3
"('Occupied housing units',)","Portland city, Oregon","263,774",housing_occupancy,"±3,578",94.00%,±1.0
"('Occupied housing units',)","Raleigh city, North Carolina","180,773",housing_occupancy,"±4,669",89.90%,±1.8
"('Occupied housing units',)","Riverside city, California","91,360",housing_occupancy,"±2,584",95.10%,±1.3
"('Occupied housing units',)","Sacramento city, California","183,212",housing_occupancy,"±4,461",93.50%,±1.1
"('Occupied housing units',)","San Antonio city, Texas","498,154",housing_occupancy,"±4,880",91.40%,±0.7
"('Occupied housing units',)","San Diego city, California","495,726",housing_occupancy,"±6,457",92.40%,±0.8
"('Occupied housing units',)","San Francisco city, California","358,703",housing_occupancy,"±4,561",91.30%,±1.1
"('Occupied housing units',)","San Jose city, California","320,447",housing_occupancy,"±4,500",96.10%,±0.7
"('Occupied housing units',)","Santa Ana city, California","74,294",housing_occupancy,"±2,337",97.80%,±1.0
"('Occupied housing units',)","Seattle city, Washington","319,125",housing_occupancy,"±4,737",94.20%,±1.0
"('Occupied housing units',)","St. Louis city, Missouri","139,021",housing_occupancy,"±3,248",79.10%,±1.8
"('Occupied housing units',)","St. Paul city, Minnesota","112,803",housing_occupancy,"±2,654",94.20%,±0.9
"('Occupied housing units',)","Stockton city, California","95,851",housing_occupancy,"±2,087",94.10%,±1.3
"('Occupied housing units',)","Tampa city, Florida","151,167",housing_occupancy,"±3,886",90.00%,±1.6
"('Occupied housing units',)","Tucson city, Arizona","207,065",housing_occupancy,"±3,721",88.60%,±1.2
"('Occupied housing units',)","Tulsa city, Oklahoma","165,545",housing_occupancy,"±2,003",88.20%,±0.6
"('Occupied housing units',)","Virginia Beach city, Virginia","168,061",housing_occupancy,"±2,472",91.20%,±1.2
"('Occupied housing units',)","Washington city, District of Columbia","281,241",housing_occupancy,"±3,152",89.70%,±1.0
"('Occupied housing units',)","Wichita city, Kansas","151,885",housing_occupancy,"±2,630",89.30%,±1.3
"('Vacant housing units',)","Albuquerque city, New Mexico","23,120",housing_occupancy,"±2,701",9.50%,±1.1
"('Vacant housing units',)","Anaheim city, California","4,112",housing_occupancy,"±1,166",4.00%,±1.1
"('Vacant housing units',)","Anchorage municipality, Alaska","10,290",housing_occupancy,"±1,842",8.90%,±1.6
"('Vacant housing units',)","Arlington city, Texas","13,289",housing_occupancy,"±2,460",8.90%,±1.6
"('Vacant housing units',)","Atlanta city, Georgia","43,002",housing_occupancy,"±3,365",18.20%,±1.3
"('Vacant housing units',)","Aurora city, Colorado","5,422",housing_occupancy,"±1,195",4.10%,±0.9
"('Vacant housing units',)","Austin city, Texas","33,060",housing_occupancy,"±3,296",8.20%,±0.8
"('Vacant housing units',)","Bakersfield city, California","5,413",housing_occupancy,"±1,466",4.40%,±1.2
"('Vacant housing units',)","Baltimore city, Maryland","56,867",housing_occupancy,"±3,816",19.10%,±1.3
"('Vacant housing units',)","Boston city, Massachusetts","21,124",housing_occupancy,"±2,731",7.30%,±0.9
"('Vacant housing units',)","Charlotte city, North Carolina","29,631",housing_occupancy,"±2,926",8.50%,±0.8
"('Vacant housing units',)","Chicago city, Illinois","147,746",housing_occupancy,"±6,465",12.30%,±0.5
"('Vacant housing units',)","Cincinnati city, Ohio","26,827",housing_occupancy,"±2,647",16.50%,±1.5
"('Vacant housing units',)","Cleveland city, Ohio","44,262",housing_occupancy,"±2,852",20.80%,±1.2
"('Vacant housing units',)","Colorado Springs city, Colorado","10,784",housing_occupancy,"±2,152",5.50%,±1.1
"('Vacant housing units',)","Columbus city, Ohio","39,728",housing_occupancy,"±3,279",10.20%,±0.8
"('Vacant housing units',)","Corpus Christi city, Texas","15,883",housing_occupancy,"±2,610",12.00%,±2.0
"('Vacant housing units',)","Dallas city, Texas","54,363",housing_occupancy,"±4,214",9.60%,±0.7
"('Vacant housing units',)","Denver city, Colorado","19,477",housing_occupancy,"±2,462",6.30%,±0.8
"('Vacant housing units',)","Detroit city, Michigan","102,791",housing_occupancy,"±3,777",28.40%,±1.0
"('Vacant housing units',)","Durham city, North Carolina","8,584",housing_occupancy,"±1,685",7.50%,±1.5
"('Vacant housing units',)","El Paso city, Texas","22,268",housing_occupancy,"±2,868",9.00%,±1.1
"('Vacant housing units',)","Fort Worth city, Texas","27,068",housing_occupancy,"±3,371",8.60%,±1.0
"('Vacant housing units',)","Fresno city, California","10,610",housing_occupancy,"±1,945",6.00%,±1.1
"('Vacant housing units',)","Greensboro city, North Carolina","15,794",housing_occupancy,"±2,741",12.20%,±2.0
"('Vacant housing units',)","Henderson city, Nevada","15,401",housing_occupancy,"±2,416",12.20%,±1.7
"('Vacant housing units',)","Houston city, Texas","96,520",housing_occupancy,"±6,165",10.00%,±0.6
"('Vacant housing units',)","Indianapolis city (balance), Indiana","49,095",housing_occupancy,"±3,546",12.90%,±0.9
"('Vacant housing units',)","Irvine city, California","7,271",housing_occupancy,"±1,993",7.20%,±1.8
"('Vacant housing units',)","Jacksonville city, Florida","45,315",housing_occupancy,"±4,723",12.00%,±1.3
"('Vacant housing units',)","Jersey City city, New Jersey","10,869",housing_occupancy,"±1,816",9.80%,±1.6
"('Vacant housing units',)","Kansas City city, Missouri","30,127",housing_occupancy,"±2,484",13.20%,±1.0
"('Vacant housing units',)","Las Vegas city, Nevada","27,377",housing_occupancy,"±3,123",10.90%,±1.2
"('Vacant housing units',)","Lincoln city, Nebraska","6,268",housing_occupancy,"±1,819",5.30%,±1.5
"('Vacant housing units',)","Long Beach city, California","7,819",housing_occupancy,"±1,813",4.60%,±1.0
"('Vacant housing units',)","Los Angeles city, California","99,822",housing_occupancy,"±4,824",6.80%,±0.3
"('Vacant housing units',)","Memphis city, Tennessee","46,915",housing_occupancy,"±3,681",15.40%,±1.2
"('Vacant housing units',)","Mesa city, Arizona","31,852",housing_occupancy,"±3,375",15.50%,±1.5
"('Vacant housing units',)","Miami city, Florida","26,911",housing_occupancy,"±2,921",13.50%,±1.3
"('Vacant housing units',)","Milwaukee city, Wisconsin","27,956",housing_occupancy,"±2,436",10.90%,±0.9
"('Vacant housing units',)","Minneapolis city, Minnesota","10,985",housing_occupancy,"±1,841",6.00%,±1.0
"('Vacant housing units',)","New Orleans city, Louisiana","38,765",housing_occupancy,"±2,710",20.10%,±1.4
"('Vacant housing units',)","New York city, New York","349,059",housing_occupancy,"±11,143",10.10%,±0.3
"('Vacant housing units',)","Newark city, New Jersey","15,566",housing_occupancy,"±1,664",13.50%,±1.3
"('Vacant housing units',)","Oakland city, California","8,943",housing_occupancy,"±1,769",5.40%,±1.0
"('Vacant housing units',)","Oklahoma City city, Oklahoma","31,703",housing_occupancy,"±3,079",11.60%,±1.1
"('Vacant housing units',)","Omaha city, Nebraska","14,772",housing_occupancy,"±1,796",7.70%,±0.9
"('Vacant housing units',)","Orlando city, Florida","16,469",housing_occupancy,"±2,557",12.40%,±1.7
"('Vacant housing units',)","Philadelphia city, Pennsylvania","94,299",housing_occupancy,"±4,666",14.00%,±0.7
"('Vacant housing units',)","Phoenix city, Arizona","55,468",housing_occupancy,"±4,172",9.10%,±0.7
"('Vacant housing units',)","Pittsburgh city, Pennsylvania","20,332",housing_occupancy,"±2,377",13.00%,±1.4
"('Vacant housing units',)","Plano city, Texas","5,012",housing_occupancy,"±1,490",4.50%,±1.3
"('Vacant housing units',)","Portland city, Oregon","16,705",housing_occupancy,"±2,763",6.00%,±1.0
"('Vacant housing units',)","Raleigh city, North Carolina","20,385",housing_occupancy,"±3,736",10.10%,±1.8
"('Vacant housing units',)","Riverside city, California","4,703",housing_occupancy,"±1,302",4.90%,±1.3
"('Vacant housing units',)","Sacramento city, California","12,801",housing_occupancy,"±2,334",6.50%,±1.1
"('Vacant housing units',)","San Antonio city, Texas","46,821",housing_occupancy,"±3,921",8.60%,±0.7
"('Vacant housing units',)","San Diego city, California","41,039",housing_occupancy,"±4,521",7.60%,±0.8
"('Vacant housing units',)","San Francisco city, California","34,120",housing_occupancy,"±4,507",8.70%,±1.1
"('Vacant housing units',)","San Jose city, California","12,908",housing_occupancy,"±2,192",3.90%,±0.7
"('Vacant housing units',)","Santa Ana city, California","1,638",housing_occupancy,±758,2.20%,±1.0
"('Vacant housing units',)","Seattle city, Washington","19,699",housing_occupancy,"±3,441",5.80%,±1.0
"('Vacant housing units',)","St. Louis city, Missouri","36,689",housing_occupancy,"±3,189",20.90%,±1.8
"('Vacant housing units',)","St. Paul city, Minnesota","6,982",housing_occupancy,"±1,147",5.80%,±0.9
"('Vacant housing units',)","Stockton city, California","6,057",housing_occupancy,"±1,378",5.90%,±1.3
"('Vacant housing units',)","Tampa city, Florida","16,754",housing_occupancy,"±2,729",10.00%,±1.6
"('Vacant housing units',)","Tucson city, Arizona","26,717",housing_occupancy,"±2,949",11.40%,±1.2
"('Vacant housing units',)","Tulsa city, Oklahoma","22,220",housing_occupancy,"±1,222",11.80%,±0.6
"('Vacant housing units',)","Virginia Beach city, Virginia","16,287",housing_occupancy,"±2,121",8.80%,±1.2
"('Vacant housing units',)","Washington city, District of Columbia","32,462",housing_occupancy,"±3,150",10.30%,±1.0
"('Vacant housing units',)","Wichita city, Kansas","18,152",housing_occupancy,"±2,324",10.70%,±1.3
"('Homeowner vacancy rate',)","Albuquerque city, New Mexico",2,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Anaheim city, California",1,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Anchorage municipality, Alaska",2,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Arlington city, Texas",0.6,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Atlanta city, Georgia",2.1,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Aurora city, Colorado",0.5,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Austin city, Texas",1.3,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Bakersfield city, California",1.4,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Baltimore city, Maryland",4.6,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Boston city, Massachusetts",1.4,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Charlotte city, North Carolina",1.5,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Chicago city, Illinois",2.8,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Cincinnati city, Ohio",2,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Cleveland city, Ohio",2.2,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Colorado Springs city, Colorado",1.8,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Columbus city, Ohio",1.8,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Corpus Christi city, Texas",2.2,housing_occupancy,±1.3,(X),(X)
"('Homeowner vacancy rate',)","Dallas city, Texas",1.6,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Denver city, Colorado",0.8,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Detroit city, Michigan",5.3,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Durham city, North Carolina",0.1,housing_occupancy,±0.1,(X),(X)
"('Homeowner vacancy rate',)","El Paso city, Texas",2,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Fort Worth city, Texas",0.4,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Fresno city, California",1,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Greensboro city, North Carolina",1.1,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Henderson city, Nevada",3.4,housing_occupancy,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Houston city, Texas",1.9,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Indianapolis city (balance), Indiana",2.3,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Irvine city, California",1.1,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Jacksonville city, Florida",2.5,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Jersey City city, New Jersey",2.4,housing_occupancy,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Kansas City city, Missouri",2.2,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Las Vegas city, Nevada",2.2,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Lincoln city, Nebraska",1.2,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Long Beach city, California",1.1,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Los Angeles city, California",0.9,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Memphis city, Tennessee",2.1,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Mesa city, Arizona",1.2,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Miami city, Florida",1.8,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Milwaukee city, Wisconsin",2.3,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Minneapolis city, Minnesota",0.5,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","New Orleans city, Louisiana",2.6,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","New York city, New York",2.1,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Newark city, New Jersey",4.3,housing_occupancy,±2.0,(X),(X)
"('Homeowner vacancy rate',)","Oakland city, California",0.9,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Oklahoma City city, Oklahoma",1.4,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Omaha city, Nebraska",1.6,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Orlando city, Florida",4.3,housing_occupancy,±2.2,(X),(X)
"('Homeowner vacancy rate',)","Philadelphia city, Pennsylvania",2.7,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Phoenix city, Arizona",1.3,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Pittsburgh city, Pennsylvania",1.1,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Plano city, Texas",0.9,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Portland city, Oregon",0.9,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Raleigh city, North Carolina",1.5,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Riverside city, California",1.1,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Sacramento city, California",1.9,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","San Antonio city, Texas",1.1,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","San Diego city, California",1.2,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","San Francisco city, California",1.2,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","San Jose city, California",0.4,housing_occupancy,±0.2,(X),(X)
"('Homeowner vacancy rate',)","Santa Ana city, California",1,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Seattle city, Washington",0.8,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","St. Louis city, Missouri",4.6,housing_occupancy,±1.3,(X),(X)
