Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Milwaukee city, Wisconsin","262,653","±3,121","262,653",(X)
"('Total housing units',)","Minneapolis city, Minnesota","181,353","±3,665","181,353",(X)
"('Total housing units',)","New Orleans city, Louisiana","194,141",±662,"194,141",(X)
"('Total housing units',)","New York city, New York","3,368,809","±3,180","3,368,809",(X)
"('Total housing units',)","Newark city, New Jersey","108,031","±3,044","108,031",(X)
"('Total housing units',)","Oakland city, California","175,054","±3,510","175,054",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","254,896","±3,694","254,896",(X)
"('Total housing units',)","Omaha city, Nebraska","180,738","±2,224","180,738",(X)
"('Total housing units',)","Orlando city, Florida","117,116","±4,285","117,116",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","670,265","±1,466","670,265",(X)
"('Total housing units',)","Phoenix city, Arizona","604,835","±7,210","604,835",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","157,351","±3,478","157,351",(X)
"('Total housing units',)","Plano city, Texas","106,865","±3,288","106,865",(X)
"('Total housing units',)","Portland city, Oregon","265,946","±2,464","265,946",(X)
"('Total housing units',)","Raleigh city, North Carolina","177,449","±4,319","177,449",(X)
"('Total housing units',)","Riverside city, California","96,819","±3,640","96,819",(X)
"('Total housing units',)","Sacramento city, California","189,291","±4,949","189,291",(X)
"('Total housing units',)","San Antonio city, Texas","533,822","±5,094","533,822",(X)
"('Total housing units',)","San Diego city, California","513,906","±6,573","513,906",(X)
"('Total housing units',)","San Francisco city, California","378,261","±1,035","378,261",(X)
"('Total housing units',)","San Jose city, California","319,321","±3,527","319,321",(X)
"('Total housing units',)","Santa Ana city, California","76,777","±3,187","76,777",(X)
"('Total housing units',)","Seattle city, Washington","305,397","±4,412","305,397",(X)
"('Total housing units',)","St. Louis city, Missouri","175,632",±952,"175,632",(X)
"('Total housing units',)","St. Paul city, Minnesota","121,636","±2,210","121,636",(X)
"('Total housing units',)","Stockton city, California","99,616","±2,642","99,616",(X)
"('Total housing units',)","Tampa city, Florida","160,567","±4,008","160,567",(X)
"('Total housing units',)","Tucson city, Arizona","232,099","±3,842","232,099",(X)
"('Total housing units',)","Tulsa city, Oklahoma","187,290","±2,220","187,290",(X)
"('Total housing units',)","Virginia Beach city, Virginia","179,263",±975,"179,263",(X)
"('Total housing units',)","Washington city, District of Columbia","298,908",±51,"298,908",(X)
"('Total housing units',)","Wichita city, Kansas","166,862","±2,157","166,862",(X)
"('Occupied housing units',)","Albuquerque city, New Mexico","224,445","±3,554",93.00%,±1.3
"('Occupied housing units',)","Anaheim city, California","98,586","±3,089",94.50%,±1.2
"('Occupied housing units',)","Anchorage municipality, Alaska","106,651","±1,720",94.00%,±1.5
"('Occupied housing units',)","Arlington city, Texas","130,544","±3,740",89.60%,±1.7
"('Occupied housing units',)","Atlanta city, Georgia","174,922","±5,559",79.10%,±1.7
"('Occupied housing units',)","Aurora city, Colorado","118,405","±2,957",92.10%,±1.5
"('Occupied housing units',)","Austin city, Texas","331,582","±5,920",92.00%,±1.0
"('Occupied housing units',)","Bakersfield city, California","108,123","±3,091",91.90%,±1.5
"('Occupied housing units',)","Baltimore city, Maryland","239,251","±4,011",80.70%,±1.3
"('Occupied housing units',)","Boston city, Massachusetts","251,745","±3,435",91.80%,±0.9
"('Occupied housing units',)","Charlotte city, North Carolina","292,715","±4,233",90.10%,±1.1
"('Occupied housing units',)","Chicago city, Illinois","1,016,342","±8,953",85.20%,±0.6
"('Occupied housing units',)","Cincinnati city, Ohio","125,928","±3,234",75.20%,±1.5
"('Occupied housing units',)","Cleveland city, Ohio","171,000","±3,332",78.20%,±1.1
"('Occupied housing units',)","Colorado Springs city, Colorado","167,859","±3,051",93.90%,±1.2
"('Occupied housing units',)","Columbus city, Ohio","322,314","±4,852",86.20%,±1.0
"('Occupied housing units',)","Corpus Christi city, Texas","110,554","±2,448",87.30%,±1.8
"('Occupied housing units',)","Dallas city, Texas","455,371","±6,913",88.30%,±0.8
"('Occupied housing units',)","Denver city, Colorado","266,624","±2,404",93.00%,±0.8
"('Occupied housing units',)","Detroit city, Michigan","253,629","±5,276",70.30%,±1.1
"('Occupied housing units',)","Durham city, North Carolina","95,430","±2,550",91.00%,±1.7
"('Occupied housing units',)","El Paso city, Texas","219,568","±3,630",94.00%,±1.3
"('Occupied housing units',)","Fort Worth city, Texas","263,676","±5,998",88.50%,±1.4
"('Occupied housing units',)","Fresno city, California","154,747","±3,341",91.40%,±1.3
"('Occupied housing units',)","Greensboro city, North Carolina","113,127","±3,356",89.70%,±1.9
"('Occupied housing units',)","Henderson city, Nevada","98,019","±4,166",86.80%,±2.4
"('Occupied housing units',)","Houston city, Texas","774,630","±7,511",85.50%,±0.5
"('Occupied housing units',)","Indianapolis city (balance), Indiana","324,438","±4,766",85.30%,±1.1
"('Occupied housing units',)","Irvine city, California","75,284","±2,652",94.80%,±1.8
"('Occupied housing units',)","Jacksonville city, Florida","311,369","±4,606",84.70%,±1.3
"('Occupied housing units',)","Jersey City city, New Jersey","96,601","±2,559",87.50%,±1.4
"('Occupied housing units',)","Kansas City city, Missouri","191,967","±3,739",84.50%,±1.3
"('Occupied housing units',)","Las Vegas city, Nevada","208,279","±5,625",84.10%,±1.8
"('Occupied housing units',)","Lincoln city, Nebraska","104,577","±1,891",94.50%,±1.4
"('Occupied housing units',)","Long Beach city, California","160,059","±3,803",91.80%,±1.0
"('Occupied housing units',)","Los Angeles city, California","1,304,145","±9,308",91.90%,±0.4
"('Occupied housing units',)","Memphis city, Tennessee","245,836","±4,445",83.60%,±1.2
"('Occupied housing units',)","Mesa city, Arizona","163,743","±4,106",84.00%,±1.6
"('Occupied housing units',)","Miami city, Florida","149,874","±4,205",78.50%,±1.7
"('Occupied housing units',)","Milwaukee city, Wisconsin","229,927","±3,234",87.50%,±0.9
"('Occupied housing units',)","Minneapolis city, Minnesota","165,562","±3,131",91.30%,±1.2
"('Occupied housing units',)","New Orleans city, Louisiana","147,786","±2,745",76.10%,±1.4
"('Occupied housing units',)","New York city, New York","3,023,330","±11,705",89.70%,±0.3
"('Occupied housing units',)","Newark city, New Jersey","88,467","±2,632",81.90%,±1.4
"('Occupied housing units',)","Oakland city, California","157,374","±3,582",89.90%,±1.1
"('Occupied housing units',)","Oklahoma City city, Oklahoma","225,089","±4,147",88.30%,±1.1
"('Occupied housing units',)","Omaha city, Nebraska","163,314","±2,906",90.40%,±1.2
"('Occupied housing units',)","Orlando city, Florida","97,918","±3,378",83.60%,±2.2
"('Occupied housing units',)","Philadelphia city, Pennsylvania","576,429","±4,899",86.00%,±0.7
"('Occupied housing units',)","Phoenix city, Arizona","519,369","±6,873",85.90%,±1.0
"('Occupied housing units',)","Pittsburgh city, Pennsylvania","131,776","±2,904",83.70%,±1.2
"('Occupied housing units',)","Plano city, Texas","102,893","±3,523",96.30%,±1.3
"('Occupied housing units',)","Portland city, Oregon","250,828","±2,699",94.30%,±0.8
"('Occupied housing units',)","Raleigh city, North Carolina","159,961","±4,836",90.10%,±1.8
"('Occupied housing units',)","Riverside city, California","87,476","±3,383",90.40%,±1.7
"('Occupied housing units',)","Sacramento city, California","170,999","±4,512",90.30%,±1.7
"('Occupied housing units',)","San Antonio city, Texas","482,783","±6,226",90.40%,±0.8
"('Occupied housing units',)","San Diego city, California","468,194","±6,110",91.10%,±0.8
"('Occupied housing units',)","San Francisco city, California","342,706","±3,616",90.60%,±0.9
"('Occupied housing units',)","San Jose city, California","305,460","±4,455",95.70%,±0.8
"('Occupied housing units',)","Santa Ana city, California","73,026","±3,038",95.10%,±1.4
"('Occupied housing units',)","Seattle city, Washington","282,492","±4,134",92.50%,±0.9
"('Occupied housing units',)","St. Louis city, Missouri","134,193","±3,142",76.40%,±1.7
"('Occupied housing units',)","St. Paul city, Minnesota","113,034","±2,737",92.90%,±1.3
"('Occupied housing units',)","Stockton city, California","89,296","±2,669",89.60%,±1.7
"('Occupied housing units',)","Tampa city, Florida","136,664","±3,755",85.10%,±1.6
"('Occupied housing units',)","Tucson city, Arizona","201,841","±4,418",87.00%,±1.3
"('Occupied housing units',)","Tulsa city, Oklahoma","163,222","±3,107",87.10%,±1.3
"('Occupied housing units',)","Virginia Beach city, Virginia","162,521","±2,517",90.70%,±1.3
"('Occupied housing units',)","Washington city, District of Columbia","268,670","±3,200",89.90%,±1.1
"('Occupied housing units',)","Wichita city, Kansas","149,045","±2,737",89.30%,±1.4
"('Vacant housing units',)","Albuquerque city, New Mexico","16,870","±3,072",7.00%,±1.3
"('Vacant housing units',)","Anaheim city, California","5,770","±1,351",5.50%,±1.2
"('Vacant housing units',)","Anchorage municipality, Alaska","6,810","±1,676",6.00%,±1.5
"('Vacant housing units',)","Arlington city, Texas","15,086","±2,609",10.40%,±1.7
"('Vacant housing units',)","Atlanta city, Georgia","46,325","±3,942",20.90%,±1.7
"('Vacant housing units',)","Aurora city, Colorado","10,126","±1,985",7.90%,±1.5
"('Vacant housing units',)","Austin city, Texas","28,709","±3,638",8.00%,±1.0
"('Vacant housing units',)","Bakersfield city, California","9,517","±1,858",8.10%,±1.5
"('Vacant housing units',)","Baltimore city, Maryland","57,230","±3,710",19.30%,±1.3
"('Vacant housing units',)","Boston city, Massachusetts","22,565","±2,538",8.20%,±0.9
"('Vacant housing units',)","Charlotte city, North Carolina","32,122","±3,606",9.90%,±1.1
"('Vacant housing units',)","Chicago city, Illinois","176,494","±7,020",14.80%,±0.6
"('Vacant housing units',)","Cincinnati city, Ohio","41,616","±2,830",24.80%,±1.5
"('Vacant housing units',)","Cleveland city, Ohio","47,647","±2,585",21.80%,±1.1
"('Vacant housing units',)","Colorado Springs city, Colorado","10,848","±2,246",6.10%,±1.2
"('Vacant housing units',)","Columbus city, Ohio","51,561","±3,572",13.80%,±1.0
"('Vacant housing units',)","Corpus Christi city, Texas","16,107","±2,307",12.70%,±1.8
"('Vacant housing units',)","Dallas city, Texas","60,144","±4,458",11.70%,±0.8
"('Vacant housing units',)","Denver city, Colorado","20,163","±2,435",7.00%,±0.8
"('Vacant housing units',)","Detroit city, Michigan","107,322","±3,976",29.70%,±1.1
"('Vacant housing units',)","Durham city, North Carolina","9,491","±1,821",9.00%,±1.7
"('Vacant housing units',)","El Paso city, Texas","13,894","±2,980",6.00%,±1.3
"('Vacant housing units',)","Fort Worth city, Texas","34,382","±4,198",11.50%,±1.4
"('Vacant housing units',)","Fresno city, California","14,555","±2,393",8.60%,±1.3
"('Vacant housing units',)","Greensboro city, North Carolina","12,920","±2,472",10.30%,±1.9
"('Vacant housing units',)","Henderson city, Nevada","14,942","±3,078",13.20%,±2.4
"('Vacant housing units',)","Houston city, Texas","131,557","±5,365",14.50%,±0.5
"('Vacant housing units',)","Indianapolis city (balance), Indiana","55,952","±4,300",14.70%,±1.1
"('Vacant housing units',)","Irvine city, California","4,090","±1,502",5.20%,±1.8
"('Vacant housing units',)","Jacksonville city, Florida","56,329","±4,876",15.30%,±1.3
"('Vacant housing units',)","Jersey City city, New Jersey","13,759","±1,714",12.50%,±1.4
"('Vacant housing units',)","Kansas City city, Missouri","35,141","±3,064",15.50%,±1.3
"('Vacant housing units',)","Las Vegas city, Nevada","39,386","±4,861",15.90%,±1.8
"('Vacant housing units',)","Lincoln city, Nebraska","6,054","±1,526",5.50%,±1.4
"('Vacant housing units',)","Long Beach city, California","14,307","±2,040",8.20%,±1.0
"('Vacant housing units',)","Los Angeles city, California","115,632","±6,042",8.10%,±0.4
"('Vacant housing units',)","Memphis city, Tennessee","48,309","±3,548",16.40%,±1.2
"('Vacant housing units',)","Mesa city, Arizona","31,079","±3,589",16.00%,±1.6
"('Vacant housing units',)","Miami city, Florida","41,138","±3,964",21.50%,±1.7
"('Vacant housing units',)","Milwaukee city, Wisconsin","32,726","±2,473",12.50%,±0.9
"('Vacant housing units',)","Minneapolis city, Minnesota","15,791","±2,411",8.70%,±1.2
"('Vacant housing units',)","New Orleans city, Louisiana","46,355","±2,630",23.90%,±1.4
"('Vacant housing units',)","New York city, New York","345,479","±11,221",10.30%,±0.3
"('Vacant housing units',)","Newark city, New Jersey","19,564","±1,709",18.10%,±1.4
"('Vacant housing units',)","Oakland city, California","17,680","±1,980",10.10%,±1.1
"('Vacant housing units',)","Oklahoma City city, Oklahoma","29,807","±2,819",11.70%,±1.1
"('Vacant housing units',)","Omaha city, Nebraska","17,424","±2,217",9.60%,±1.2
"('Vacant housing units',)","Orlando city, Florida","19,198","±2,925",16.40%,±2.2
"('Vacant housing units',)","Philadelphia city, Pennsylvania","93,836","±4,665",14.00%,±0.7
"('Vacant housing units',)","Phoenix city, Arizona","85,466","±6,308",14.10%,±1.0
"('Vacant housing units',)","Pittsburgh city, Pennsylvania","25,575","±2,098",16.30%,±1.2
"('Vacant housing units',)","Plano city, Texas","3,972","±1,408",3.70%,±1.3
"('Vacant housing units',)","Portland city, Oregon","15,118","±2,274",5.70%,±0.8
"('Vacant housing units',)","Raleigh city, North Carolina","17,488","±3,206",9.90%,±1.8
"('Vacant housing units',)","Riverside city, California","9,343","±1,760",9.60%,±1.7
"('Vacant housing units',)","Sacramento city, California","18,292","±3,319",9.70%,±1.7
"('Vacant housing units',)","San Antonio city, Texas","51,039","±4,055",9.60%,±0.8
"('Vacant housing units',)","San Diego city, California","45,712","±4,109",8.90%,±0.8
"('Vacant housing units',)","San Francisco city, California","35,555","±3,435",9.40%,±0.9
"('Vacant housing units',)","San Jose city, California","13,861","±2,431",4.30%,±0.8
"('Vacant housing units',)","Santa Ana city, California","3,751","±1,127",4.90%,±1.4
"('Vacant housing units',)","Seattle city, Washington","22,905","±2,974",7.50%,±0.9
"('Vacant housing units',)","St. Louis city, Missouri","41,439","±2,941",23.60%,±1.7
"('Vacant housing units',)","St. Paul city, Minnesota","8,602","±1,544",7.10%,±1.3
"('Vacant housing units',)","Stockton city, California","10,320","±1,780",10.40%,±1.7
"('Vacant housing units',)","Tampa city, Florida","23,903","±2,718",14.90%,±1.6
"('Vacant housing units',)","Tucson city, Arizona","30,258","±3,117",13.00%,±1.3
"('Vacant housing units',)","Tulsa city, Oklahoma","24,068","±2,512",12.90%,±1.3
"('Vacant housing units',)","Virginia Beach city, Virginia","16,742","±2,282",9.30%,±1.3
"('Vacant housing units',)","Washington city, District of Columbia","30,238","±3,197",10.10%,±1.1
"('Vacant housing units',)","Wichita city, Kansas","17,817","±2,426",10.70%,±1.4
"('Homeowner vacancy rate',)","Albuquerque city, New Mexico",1.5,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Anaheim city, California",1.4,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Anchorage municipality, Alaska",1.2,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Arlington city, Texas",3.9,±1.6,(X),(X)
"('Homeowner vacancy rate',)","Atlanta city, Georgia",6.5,±1.7,(X),(X)
"('Homeowner vacancy rate',)","Aurora city, Colorado",2.5,±1.7,(X),(X)
"('Homeowner vacancy rate',)","Austin city, Texas",2.4,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Bakersfield city, California",3.7,±1.6,(X),(X)
"('Homeowner vacancy rate',)","Baltimore city, Maryland",5.8,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Boston city, Massachusetts",1.7,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Charlotte city, North Carolina",2.4,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Chicago city, Illinois",4.4,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Cincinnati city, Ohio",3.7,±1.7,(X),(X)
"('Homeowner vacancy rate',)","Cleveland city, Ohio",2.2,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Colorado Springs city, Colorado",2.5,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Columbus city, Ohio",3.8,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Corpus Christi city, Texas",1.3,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Dallas city, Texas",2.5,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Denver city, Colorado",1.6,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Detroit city, Michigan",7.1,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Durham city, North Carolina",1.9,±1.4,(X),(X)
"('Homeowner vacancy rate',)","El Paso city, Texas",1.6,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Fort Worth city, Texas",3.8,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Fresno city, California",1.5,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Greensboro city, North Carolina",4.2,±1.7,(X),(X)
"('Homeowner vacancy rate',)","Henderson city, Nevada",4.8,±2.1,(X),(X)
"('Homeowner vacancy rate',)","Houston city, Texas",2.3,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Indianapolis city (balance), Indiana",3.1,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Irvine city, California",0.7,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Jacksonville city, Florida",2.9,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Jersey City city, New Jersey",3.6,±1.7,(X),(X)
"('Homeowner vacancy rate',)","Kansas City city, Missouri",2.7,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Las Vegas city, Nevada",4.3,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Lincoln city, Nebraska",2.2,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Long Beach city, California",1.9,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Los Angeles city, California",2.3,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Memphis city, Tennessee",2.9,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Mesa city, Arizona",2.9,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Miami city, Florida",7.1,±2.4,(X),(X)
"('Homeowner vacancy rate',)","Milwaukee city, Wisconsin",0.8,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Minneapolis city, Minnesota",3.1,±0.9,(X),(X)
"('Homeowner vacancy rate',)","New Orleans city, Louisiana",5.8,±1.2,(X),(X)
"('Homeowner vacancy rate',)","New York city, New York",3.1,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Newark city, New Jersey",5.5,±2.4,(X),(X)
"('Homeowner vacancy rate',)","Oakland city, California",2.2,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Oklahoma City city, Oklahoma",2.4,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Omaha city, Nebraska",2.2,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Orlando city, Florida",1.2,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Philadelphia city, Pennsylvania",3.3,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Phoenix city, Arizona",3.6,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Pittsburgh city, Pennsylvania",3.3,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Plano city, Texas",0.9,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Portland city, Oregon",1.7,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Raleigh city, North Carolina",3.6,±1.6,(X),(X)
"('Homeowner vacancy rate',)","Riverside city, California",3.2,±1.6,(X),(X)
"('Homeowner vacancy rate',)","Sacramento city, California",3.1,±1.5,(X),(X)
"('Homeowner vacancy rate',)","San Antonio city, Texas",2.1,±0.6,(X),(X)
"('Homeowner vacancy rate',)","San Diego city, California",1.5,±0.5,(X),(X)
"('Homeowner vacancy rate',)","San Francisco city, California",1.3,±0.7,(X),(X)
"('Homeowner vacancy rate',)","San Jose city, California",1.2,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Santa Ana city, California",1.6,±1.3,(X),(X)
"('Homeowner vacancy rate',)","Seattle city, Washington",3,±1.0,(X),(X)
"('Homeowner vacancy rate',)","St. Louis city, Missouri",7.2,±1.8,(X),(X)
"('Homeowner vacancy rate',)","St. Paul city, Minnesota",2.3,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Stockton city, California",2.5,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Tampa city, Florida",4.3,±1.7,(X),(X)
"('Homeowner vacancy rate',)","Tucson city, Arizona",4.3,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Tulsa city, Oklahoma",3.3,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Virginia Beach city, Virginia",2.5,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Washington city, District of Columbia",2.2,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Wichita city, Kansas",3.1,±1.2,(X),(X)
"('Rental vacancy rate',)","Albuquerque city, New Mexico",5,±1.4,(X),(X)
"('Rental vacancy rate',)","Anaheim city, California",5.1,±1.6,(X),(X)
"('Rental vacancy rate',)","Anchorage municipality, Alaska",4.2,±2.0,(X),(X)
"('Rental vacancy rate',)","Arlington city, Texas",13.6,±3.3,(X),(X)
"('Rental vacancy rate',)","Atlanta city, Georgia",11.8,±1.7,(X),(X)
"('Rental vacancy rate',)","Aurora city, Colorado",7,±2.1,(X),(X)
"('Rental vacancy rate',)","Austin city, Texas",4.6,±0.9,(X),(X)
"('Rental vacancy rate',)","Bakersfield city, California",6.2,±2.2,(X),(X)
"('Rental vacancy rate',)","Baltimore city, Maryland",7.4,±1.1,(X),(X)
"('Rental vacancy rate',)","Boston city, Massachusetts",4.4,±1.1,(X),(X)
"('Rental vacancy rate',)","Charlotte city, North Carolina",7.4,±1.4,(X),(X)
"('Rental vacancy rate',)","Chicago city, Illinois",8.1,±0.6,(X),(X)
"('Rental vacancy rate',)","Cincinnati city, Ohio",17.1,±2.4,(X),(X)
"('Rental vacancy rate',)","Cleveland city, Ohio",7.6,±1.2,(X),(X)
"('Rental vacancy rate',)","Colorado Springs city, Colorado",4.1,±1.4,(X),(X)
"('Rental vacancy rate',)","Columbus city, Ohio",7.9,±1.3,(X),(X)
"('Rental vacancy rate',)","Corpus Christi city, Texas",6.4,±2.2,(X),(X)
"('Rental vacancy rate',)","Dallas city, Texas",10.8,±1.1,(X),(X)
"('Rental vacancy rate',)","Denver city, Colorado",4.7,±1.1,(X),(X)
"('Rental vacancy rate',)","Detroit city, Michigan",10.7,±1.2,(X),(X)
"('Rental vacancy rate',)","Durham city, North Carolina",8.7,±2.7,(X),(X)
"('Rental vacancy rate',)","El Paso city, Texas",4.4,±1.2,(X),(X)
"('Rental vacancy rate',)","Fort Worth city, Texas",14,±2.1,(X),(X)
"('Rental vacancy rate',)","Fresno city, California",7.3,±1.9,(X),(X)
"('Rental vacancy rate',)","Greensboro city, North Carolina",10.3,±3.4,(X),(X)
"('Rental vacancy rate',)","Henderson city, Nevada",8.6,±3.0,(X),(X)
"('Rental vacancy rate',)","Houston city, Texas",13.1,±0.8,(X),(X)
"('Rental vacancy rate',)","Indianapolis city (balance), Indiana",9,±1.3,(X),(X)
"('Rental vacancy rate',)","Irvine city, California",3,±1.9,(X),(X)
"('Rental vacancy rate',)","Jacksonville city, Florida",11.3,±2.4,(X),(X)
"('Rental vacancy rate',)","Jersey City city, New Jersey",7.8,±1.5,(X),(X)
"('Rental vacancy rate',)","Kansas City city, Missouri",10.3,±1.8,(X),(X)
"('Rental vacancy rate',)","Las Vegas city, Nevada",11.7,±2.0,(X),(X)
"('Rental vacancy rate',)","Lincoln city, Nebraska",5.6,±2.2,(X),(X)
"('Rental vacancy rate',)","Long Beach city, California",6.1,±1.4,(X),(X)
"('Rental vacancy rate',)","Los Angeles city, California",5.3,±0.4,(X),(X)
"('Rental vacancy rate',)","Memphis city, Tennessee",12,±1.5,(X),(X)
"('Rental vacancy rate',)","Mesa city, Arizona",8.4,±1.8,(X),(X)
"('Rental vacancy rate',)","Miami city, Florida",8.8,±1.6,(X),(X)
"('Rental vacancy rate',)","Milwaukee city, Wisconsin",3.1,±0.9,(X),(X)
"('Rental vacancy rate',)","Minneapolis city, Minnesota",5.3,±1.5,(X),(X)
"('Rental vacancy rate',)","New Orleans city, Louisiana",9,±1.5,(X),(X)
"('Rental vacancy rate',)","New York city, New York",4,±0.3,(X),(X)
"('Rental vacancy rate',)","Newark city, New Jersey",12.2,±1.8,(X),(X)
"('Rental vacancy rate',)","Oakland city, California",5.4,±1.4,(X),(X)
"('Rental vacancy rate',)","Oklahoma City city, Oklahoma",7.8,±1.9,(X),(X)
"('Rental vacancy rate',)","Omaha city, Nebraska",9.4,±2.0,(X),(X)
"('Rental vacancy rate',)","Orlando city, Florida",9.2,±2.1,(X),(X)
"('Rental vacancy rate',)","Philadelphia city, Pennsylvania",7.7,±1.0,(X),(X)
"('Rental vacancy rate',)","Phoenix city, Arizona",11.4,±1.3,(X),(X)
"('Rental vacancy rate',)","Pittsburgh city, Pennsylvania",8.1,±1.5,(X),(X)
