Metric,City,Estimate,Estimate Margin of Error,Percent,Percent Margin of Error
"('Occupied housing units',)","Houston city, Texas","837,686","±10,337",87.40%,±0.7
"('Occupied housing units',)","Indianapolis city (balance), Indiana","334,101","±3,914",86.80%,±0.9
"('Occupied housing units',)","Irvine city, California","97,161","±3,469",93.80%,±1.8
"('Occupied housing units',)","Jacksonville city, Florida","338,564","±3,480",88.50%,±0.9
"('Occupied housing units',)","Jersey City city, New Jersey","99,363","±2,727",87.00%,±1.6
"('Occupied housing units',)","Kansas City city, Missouri","204,678","±3,655",86.70%,±1.4
"('Occupied housing units',)","Las Vegas city, Nevada","233,581","±4,902",90.10%,±1.0
"('Occupied housing units',)","Lincoln city, Nebraska","111,610","±1,859",93.30%,±1.4
"('Occupied housing units',)","Long Beach city, California","167,447","±4,073",95.30%,±0.9
"('Occupied housing units',)","Los Angeles city, California","1,384,851","±9,554",92.50%,±0.3
"('Occupied housing units',)","Memphis city, Tennessee","246,518","±4,056",82.70%,±1.2
"('Occupied housing units',)","Mesa city, Arizona","177,276","±3,969",85.10%,±1.2
"('Occupied housing units',)","Miami city, Florida","170,005","±4,590",84.30%,±1.4
"('Occupied housing units',)","Milwaukee city, Wisconsin","228,054","±4,186",87.50%,±1.1
"('Occupied housing units',)","Minneapolis city, Minnesota","176,416","±3,659",93.80%,±1.1
"('Occupied housing units',)","New Orleans city, Louisiana","154,560","±2,853",80.60%,±1.3
"('Occupied housing units',)","New York city, New York","3,159,674","±11,338",90.30%,±0.3
"('Occupied housing units',)","Newark city, New Jersey","98,678","±2,980",87.30%,±1.3
"('Occupied housing units',)","Oakland city, California","158,851","±3,580",94.50%,±1.0
"('Occupied housing units',)","Oklahoma City city, Oklahoma","237,932","±3,351",88.50%,±1.0
"('Occupied housing units',)","Omaha city, Nebraska","184,938","±2,157",92.70%,±1.0
"('Occupied housing units',)","Orlando city, Florida","107,590","±3,673",83.80%,±2.4
"('Occupied housing units',)","Philadelphia city, Pennsylvania","606,142","±4,673",88.40%,±0.6
"('Occupied housing units',)","Phoenix city, Arizona","559,155","±6,855",90.40%,±0.6
"('Occupied housing units',)","Pittsburgh city, Pennsylvania","137,442","±3,392",86.80%,±1.5
"('Occupied housing units',)","Plano city, Texas","106,078","±3,217",93.70%,±1.2
"('Occupied housing units',)","Portland city, Oregon","265,700","±3,566",93.50%,±1.0
"('Occupied housing units',)","Raleigh city, North Carolina","183,672","±3,738",90.10%,±1.3
"('Occupied housing units',)","Riverside city, California","86,905","±3,358",95.10%,±1.2
"('Occupied housing units',)","Sacramento city, California","189,193","±3,813",94.70%,±0.9
"('Occupied housing units',)","San Antonio city, Texas","501,645","±5,428",90.80%,±0.8
"('Occupied housing units',)","San Diego city, California","504,208","±6,575",92.80%,±0.7
"('Occupied housing units',)","San Francisco city, California","360,323","±4,331",90.60%,±1.1
"('Occupied housing units',)","San Jose city, California","321,913","±4,299",95.00%,±0.7
"('Occupied housing units',)","Santa Ana city, California","76,650","±2,880",96.20%,±1.1
"('Occupied housing units',)","Seattle city, Washington","329,671","±5,082",92.80%,±1.0
"('Occupied housing units',)","St. Louis city, Missouri","138,513","±2,993",78.30%,±1.7
"('Occupied housing units',)","St. Paul city, Minnesota","112,467","±2,566",95.30%,±1.2
"('Occupied housing units',)","Stockton city, California","91,392","±2,741",90.60%,±1.5
"('Occupied housing units',)","Tampa city, Florida","154,040","±3,508",87.80%,±1.4
"('Occupied housing units',)","Tucson city, Arizona","211,560","±3,807",88.50%,±1.1
"('Occupied housing units',)","Tulsa city, Oklahoma","162,640","±2,414",86.70%,±0.9
"('Occupied housing units',)","Virginia Beach city, Virginia","168,818","±2,960",91.30%,±1.5
"('Occupied housing units',)","Washington city, District of Columbia","281,475","±3,302",89.40%,±1.1
"('Occupied housing units',)","Wichita city, Kansas","152,691","±2,928",88.40%,±1.5
"('Vacant housing units',)","Albuquerque city, New Mexico","23,238","±2,760",9.50%,±1.1
"('Vacant housing units',)","Anaheim city, California","3,808",±893,3.70%,±0.8
"('Vacant housing units',)","Anchorage municipality, Alaska","9,925","±1,984",8.50%,±1.7
"('Vacant housing units',)","Arlington city, Texas","14,372","±2,423",9.90%,±1.6
"('Vacant housing units',)","Atlanta city, Georgia","45,346","±4,209",18.50%,±1.6
"('Vacant housing units',)","Aurora city, Colorado","6,075","±1,294",4.50%,±0.9
"('Vacant housing units',)","Austin city, Texas","41,430","±3,485",9.90%,±0.8
"('Vacant housing units',)","Bakersfield city, California","8,116","±1,777",6.40%,±1.4
"('Vacant housing units',)","Baltimore city, Maryland","54,254","±3,494",18.40%,±1.2
"('Vacant housing units',)","Boston city, Massachusetts","25,234","±2,869",8.60%,±1.0
"('Vacant housing units',)","Charlotte city, North Carolina","27,504","±3,566",7.70%,±1.0
"('Vacant housing units',)","Chicago city, Illinois","165,237","±6,118",13.60%,±0.5
"('Vacant housing units',)","Cincinnati city, Ohio","24,033","±2,331",14.60%,±1.3
"('Vacant housing units',)","Cleveland city, Ohio","41,009","±2,940",19.30%,±1.2
"('Vacant housing units',)","Colorado Springs city, Colorado","8,348","±1,596",4.40%,±0.8
"('Vacant housing units',)","Columbus city, Ohio","36,302","±3,967",9.30%,±1.0
"('Vacant housing units',)","Corpus Christi city, Texas","16,183","±2,243",12.30%,±1.7
"('Vacant housing units',)","Dallas city, Texas","60,583","±4,789",10.60%,±0.8
"('Vacant housing units',)","Denver city, Colorado","23,613","±2,907",7.40%,±0.9
"('Vacant housing units',)","Detroit city, Michigan","99,165","±4,340",27.30%,±1.1
"('Vacant housing units',)","Durham city, North Carolina","8,978","±1,865",7.50%,±1.5
"('Vacant housing units',)","El Paso city, Texas","23,813","±2,574",9.40%,±1.0
"('Vacant housing units',)","Fort Worth city, Texas","30,186","±3,746",9.20%,±1.1
"('Vacant housing units',)","Fresno city, California","11,086","±1,995",6.10%,±1.1
"('Vacant housing units',)","Greensboro city, North Carolina","14,818","±2,057",11.30%,±1.5
"('Vacant housing units',)","Henderson city, Nevada","16,381","±2,484",12.30%,±1.7
"('Vacant housing units',)","Houston city, Texas","120,735","±7,131",12.60%,±0.7
"('Vacant housing units',)","Indianapolis city (balance), Indiana","50,866","±3,637",13.20%,±0.9
"('Vacant housing units',)","Irvine city, California","6,399","±1,970",6.20%,±1.8
"('Vacant housing units',)","Jacksonville city, Florida","44,008","±3,339",11.50%,±0.9
"('Vacant housing units',)","Jersey City city, New Jersey","14,833","±2,001",13.00%,±1.6
"('Vacant housing units',)","Kansas City city, Missouri","31,457","±3,421",13.30%,±1.4
"('Vacant housing units',)","Las Vegas city, Nevada","25,793","±2,751",9.90%,±1.0
"('Vacant housing units',)","Lincoln city, Nebraska","8,029","±1,736",6.70%,±1.4
"('Vacant housing units',)","Long Beach city, California","8,185","±1,579",4.70%,±0.9
"('Vacant housing units',)","Los Angeles city, California","111,810","±5,262",7.50%,±0.3
"('Vacant housing units',)","Memphis city, Tennessee","51,603","±3,745",17.30%,±1.2
"('Vacant housing units',)","Mesa city, Arizona","31,115","±2,895",14.90%,±1.2
"('Vacant housing units',)","Miami city, Florida","31,779","±3,033",15.70%,±1.4
"('Vacant housing units',)","Milwaukee city, Wisconsin","32,527","±2,846",12.50%,±1.1
"('Vacant housing units',)","Minneapolis city, Minnesota","11,668","±2,059",6.20%,±1.1
"('Vacant housing units',)","New Orleans city, Louisiana","37,128","±2,551",19.40%,±1.3
"('Vacant housing units',)","New York city, New York","337,670","±11,476",9.70%,±0.3
"('Vacant housing units',)","Newark city, New Jersey","14,347","±1,570",12.70%,±1.3
"('Vacant housing units',)","Oakland city, California","9,315","±1,796",5.50%,±1.0
"('Vacant housing units',)","Oklahoma City city, Oklahoma","31,021","±2,940",11.50%,±1.0
"('Vacant housing units',)","Omaha city, Nebraska","14,572","±1,949",7.30%,±1.0
"('Vacant housing units',)","Orlando city, Florida","20,813","±3,488",16.20%,±2.4
"('Vacant housing units',)","Philadelphia city, Pennsylvania","79,846","±4,289",11.60%,±0.6
"('Vacant housing units',)","Phoenix city, Arizona","59,406","±4,066",9.60%,±0.6
"('Vacant housing units',)","Pittsburgh city, Pennsylvania","20,835","±2,512",13.20%,±1.5
"('Vacant housing units',)","Plano city, Texas","7,156","±1,491",6.30%,±1.2
"('Vacant housing units',)","Portland city, Oregon","18,558","±2,797",6.50%,±1.0
"('Vacant housing units',)","Raleigh city, North Carolina","20,264","±2,711",9.90%,±1.3
"('Vacant housing units',)","Riverside city, California","4,498","±1,166",4.90%,±1.2
"('Vacant housing units',)","Sacramento city, California","10,567","±1,815",5.30%,±0.9
"('Vacant housing units',)","San Antonio city, Texas","50,875","±4,340",9.20%,±0.8
"('Vacant housing units',)","San Diego city, California","39,030","±3,874",7.20%,±0.7
"('Vacant housing units',)","San Francisco city, California","37,243","±4,309",9.40%,±1.1
"('Vacant housing units',)","San Jose city, California","16,825","±2,388",5.00%,±0.7
"('Vacant housing units',)","Santa Ana city, California","3,030",±943,3.80%,±1.1
"('Vacant housing units',)","Seattle city, Washington","25,622","±3,652",7.20%,±1.0
"('Vacant housing units',)","St. Louis city, Missouri","38,337","±2,960",21.70%,±1.7
"('Vacant housing units',)","St. Paul city, Minnesota","5,578","±1,391",4.70%,±1.2
"('Vacant housing units',)","Stockton city, California","9,431","±1,590",9.40%,±1.5
"('Vacant housing units',)","Tampa city, Florida","21,435","±2,671",12.20%,±1.4
"('Vacant housing units',)","Tucson city, Arizona","27,439","±2,785",11.50%,±1.1
"('Vacant housing units',)","Tulsa city, Oklahoma","24,972","±1,757",13.30%,±0.9
"('Vacant housing units',)","Virginia Beach city, Virginia","16,181","±2,740",8.70%,±1.5
"('Vacant housing units',)","Washington city, District of Columbia","33,368","±3,311",10.60%,±1.1
"('Vacant housing units',)","Wichita city, Kansas","20,133","±2,656",11.60%,±1.5
"('Homeowner vacancy rate',)","Albuquerque city, New Mexico",1.4,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Anaheim city, California",0.4,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Anchorage municipality, Alaska",0.7,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Arlington city, Texas",1.7,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Atlanta city, Georgia",2.9,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Aurora city, Colorado",0.9,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Austin city, Texas",1.7,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Bakersfield city, California",1.3,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Baltimore city, Maryland",3.5,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Boston city, Massachusetts",1.8,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Charlotte city, North Carolina",1.2,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Chicago city, Illinois",2.6,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Cincinnati city, Ohio",0.7,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Cleveland city, Ohio",2.3,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Colorado Springs city, Colorado",0.6,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Columbus city, Ohio",1.3,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Corpus Christi city, Texas",2.7,±1.5,(X),(X)
"('Homeowner vacancy rate',)","Dallas city, Texas",2.1,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Denver city, Colorado",1.2,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Detroit city, Michigan",4.2,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Durham city, North Carolina",0.1,±0.2,(X),(X)
"('Homeowner vacancy rate',)","El Paso city, Texas",2.5,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Fort Worth city, Texas",1.4,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Fresno city, California",0.6,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Greensboro city, North Carolina",2.7,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Henderson city, Nevada",4.3,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Houston city, Texas",2.1,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Indianapolis city (balance), Indiana",2,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Irvine city, California",2.7,±1.9,(X),(X)
"('Homeowner vacancy rate',)","Jacksonville city, Florida",2.2,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Jersey City city, New Jersey",1.8,±1.3,(X),(X)
"('Homeowner vacancy rate',)","Kansas City city, Missouri",1.7,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Las Vegas city, Nevada",1.9,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Lincoln city, Nebraska",0.9,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Long Beach city, California",1.1,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Los Angeles city, California",1,±0.2,(X),(X)
"('Homeowner vacancy rate',)","Memphis city, Tennessee",1.4,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Mesa city, Arizona",1.8,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Miami city, Florida",3.8,±1.8,(X),(X)
"('Homeowner vacancy rate',)","Milwaukee city, Wisconsin",3.1,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Minneapolis city, Minnesota",1.4,±0.7,(X),(X)
"('Homeowner vacancy rate',)","New Orleans city, Louisiana",2.3,±0.7,(X),(X)
"('Homeowner vacancy rate',)","New York city, New York",1.7,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Newark city, New Jersey",3.7,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Oakland city, California",0.9,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Oklahoma City city, Oklahoma",1.7,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Omaha city, Nebraska",0.9,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Orlando city, Florida",4.3,±2.2,(X),(X)
"('Homeowner vacancy rate',)","Philadelphia city, Pennsylvania",1.7,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Phoenix city, Arizona",1.7,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Pittsburgh city, Pennsylvania",0.8,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Plano city, Texas",1.4,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Portland city, Oregon",1.3,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Raleigh city, North Carolina",1.1,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Riverside city, California",1,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Sacramento city, California",1.2,±0.7,(X),(X)
"('Homeowner vacancy rate',)","San Antonio city, Texas",1.7,±0.6,(X),(X)
"('Homeowner vacancy rate',)","San Diego city, California",0.7,±0.4,(X),(X)
"('Homeowner vacancy rate',)","San Francisco city, California",0.9,±0.8,(X),(X)
"('Homeowner vacancy rate',)","San Jose city, California",0.1,±0.2,(X),(X)
"('Homeowner vacancy rate',)","Santa Ana city, California",1.3,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Seattle city, Washington",0.7,±0.5,(X),(X)
"('Homeowner vacancy rate',)","St. Louis city, Missouri",3.1,±1.1,(X),(X)
"('Homeowner vacancy rate',)","St. Paul city, Minnesota",1,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Stockton city, California",1.5,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Tampa city, Florida",3.1,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Tucson city, Arizona",1.4,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Tulsa city, Oklahoma",2.5,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Virginia Beach city, Virginia",2.5,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Washington city, District of Columbia",1.9,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Wichita city, Kansas",2.1,±1.0,(X),(X)
"('Rental vacancy rate',)","Albuquerque city, New Mexico",7.9,±1.7,(X),(X)
"('Rental vacancy rate',)","Anaheim city, California",3.1,±1.2,(X),(X)
"('Rental vacancy rate',)","Anchorage municipality, Alaska",6.9,±2.6,(X),(X)
"('Rental vacancy rate',)","Arlington city, Texas",12.2,±2.4,(X),(X)
"('Rental vacancy rate',)","Atlanta city, Georgia",7.4,±1.6,(X),(X)
"('Rental vacancy rate',)","Aurora city, Colorado",4.4,±1.6,(X),(X)
"('Rental vacancy rate',)","Austin city, Texas",7.5,±1.2,(X),(X)
"('Rental vacancy rate',)","Bakersfield city, California",5.4,±2.0,(X),(X)
"('Rental vacancy rate',)","Baltimore city, Maryland",7.4,±1.2,(X),(X)
"('Rental vacancy rate',)","Boston city, Massachusetts",2.8,±0.8,(X),(X)
"('Rental vacancy rate',)","Charlotte city, North Carolina",6.1,±1.4,(X),(X)
"('Rental vacancy rate',)","Chicago city, Illinois",7,±0.6,(X),(X)
"('Rental vacancy rate',)","Cincinnati city, Ohio",6.9,±1.5,(X),(X)
"('Rental vacancy rate',)","Cleveland city, Ohio",7.8,±1.2,(X),(X)
"('Rental vacancy rate',)","Colorado Springs city, Colorado",2.2,±1.1,(X),(X)
"('Rental vacancy rate',)","Columbus city, Ohio",5.8,±1.1,(X),(X)
"('Rental vacancy rate',)","Corpus Christi city, Texas",9.8,±2.7,(X),(X)
"('Rental vacancy rate',)","Dallas city, Texas",6.9,±0.8,(X),(X)
"('Rental vacancy rate',)","Denver city, Colorado",5.2,±1.3,(X),(X)
"('Rental vacancy rate',)","Detroit city, Michigan",5.3,±1.0,(X),(X)
"('Rental vacancy rate',)","Durham city, North Carolina",7,±2.4,(X),(X)
"('Rental vacancy rate',)","El Paso city, Texas",11.5,±1.9,(X),(X)
"('Rental vacancy rate',)","Fort Worth city, Texas",10.2,±1.4,(X),(X)
"('Rental vacancy rate',)","Fresno city, California",3.7,±1.2,(X),(X)
"('Rental vacancy rate',)","Greensboro city, North Carolina",8,±1.9,(X),(X)
"('Rental vacancy rate',)","Henderson city, Nevada",6.8,±2.7,(X),(X)
"('Rental vacancy rate',)","Houston city, Texas",10.4,±0.9,(X),(X)
"('Rental vacancy rate',)","Indianapolis city (balance), Indiana",8.2,±1.4,(X),(X)
"('Rental vacancy rate',)","Irvine city, California",1.8,±1.4,(X),(X)
"('Rental vacancy rate',)","Jacksonville city, Florida",6.4,±1.2,(X),(X)
"('Rental vacancy rate',)","Jersey City city, New Jersey",5.3,±1.4,(X),(X)
"('Rental vacancy rate',)","Kansas City city, Missouri",5.9,±1.5,(X),(X)
"('Rental vacancy rate',)","Las Vegas city, Nevada",5.1,±1.2,(X),(X)
"('Rental vacancy rate',)","Lincoln city, Nebraska",6,±2.2,(X),(X)
"('Rental vacancy rate',)","Long Beach city, California",2.9,±1.0,(X),(X)
"('Rental vacancy rate',)","Los Angeles city, California",3.8,±0.4,(X),(X)
"('Rental vacancy rate',)","Memphis city, Tennessee",9.4,±1.4,(X),(X)
"('Rental vacancy rate',)","Mesa city, Arizona",7.2,±1.6,(X),(X)
"('Rental vacancy rate',)","Miami city, Florida",8.3,±1.6,(X),(X)
"('Rental vacancy rate',)","Milwaukee city, Wisconsin",7.2,±1.0,(X),(X)
"('Rental vacancy rate',)","Minneapolis city, Minnesota",4.2,±1.4,(X),(X)
"('Rental vacancy rate',)","New Orleans city, Louisiana",8.2,±1.2,(X),(X)
"('Rental vacancy rate',)","New York city, New York",3.5,±0.3,(X),(X)
"('Rental vacancy rate',)","Newark city, New Jersey",6.7,±1.5,(X),(X)
"('Rental vacancy rate',)","Oakland city, California",1.8,±0.7,(X),(X)
"('Rental vacancy rate',)","Oklahoma City city, Oklahoma",9.4,±1.6,(X),(X)
"('Rental vacancy rate',)","Omaha city, Nebraska",7.7,±1.5,(X),(X)
"('Rental vacancy rate',)","Orlando city, Florida",9.6,±2.3,(X),(X)
"('Rental vacancy rate',)","Philadelphia city, Pennsylvania",6.3,±0.7,(X),(X)
"('Rental vacancy rate',)","Phoenix city, Arizona",5.5,±0.9,(X),(X)
"('Rental vacancy rate',)","Pittsburgh city, Pennsylvania",6.8,±1.9,(X),(X)
