Metric,City,Estimate,Estimate Margin of Error,Group,Percent,Percent Margin of Error
"('Occupied housing units',)","Bakersfield city, California","109,420","±3,039",housing_occupancy,92.20%,±1.5
"('Occupied housing units',)","Baltimore city, Maryland","237,945","±4,515",housing_occupancy,80.20%,±1.4
"('Occupied housing units',)","Boston city, Massachusetts","251,721","±4,587",housing_occupancy,90.60%,±1.1
"('Occupied housing units',)","Chicago city, Illinois","1,014,576","±8,579",housing_occupancy,85.30%,±0.6
"('Occupied housing units',)","Cincinnati city, Ohio","126,145","±4,336",housing_occupancy,78.30%,±1.6
"('Occupied housing units',)","Cleveland city, Ohio","164,990","±4,095",housing_occupancy,77.00%,±1.5
"('Occupied housing units',)","Colorado Springs city, Colorado","167,361","±3,084",housing_occupancy,92.70%,±1.2
"('Occupied housing units',)","Columbus city, Ohio","319,428","±4,797",housing_occupancy,86.20%,±1.1
"('Occupied housing units',)","Corpus Christi city, Texas","110,954","±2,722",housing_occupancy,89.00%,±2.0
"('Occupied housing units',)","Dallas city, Texas","447,680","±6,310",housing_occupancy,87.00%,±0.7
"('Occupied housing units',)","Denver city, Colorado","262,093","±3,662",housing_occupancy,91.70%,±1.1
"('Occupied housing units',)","Detroit city, Michigan","255,201","±5,059",housing_occupancy,70.80%,±1.3
"('Occupied housing units',)","El Paso city, Texas","210,754","±2,612",housing_occupancy,91.40%,±1.1
"('Occupied housing units',)","Fresno city, California","152,890","±3,242",housing_occupancy,90.20%,±1.3
"('Occupied housing units',)","Greensboro city, North Carolina","109,255","±3,387",housing_occupancy,86.90%,±1.8
"('Occupied housing units',)","Henderson city, Nevada","99,095","±3,059",housing_occupancy,86.70%,±1.8
"('Occupied housing units',)","Houston city, Texas","762,309","±6,535",housing_occupancy,84.40%,±0.6
"('Occupied housing units',)","Indianapolis city (balance), Indiana","322,700","±5,582",housing_occupancy,84.70%,±1.2
"('Occupied housing units',)","Irvine city, California","76,172","±2,460",housing_occupancy,93.50%,±1.7
"('Occupied housing units',)","Jacksonville city, Florida","308,173","±6,302",housing_occupancy,83.70%,±1.3
"('Occupied housing units',)","Jersey City city, New Jersey","92,649","±2,709",housing_occupancy,84.60%,±1.9
"('Occupied housing units',)","Las Vegas city, Nevada","210,950","±4,737",housing_occupancy,83.10%,±1.3
"('Occupied housing units',)","Lincoln city, Nebraska","104,286","±1,919",housing_occupancy,94.40%,±1.3
"('Occupied housing units',)","Long Beach city, California","158,386","±4,102",housing_occupancy,90.90%,±1.1
"('Occupied housing units',)","Los Angeles city, California","1,310,259","±9,520",housing_occupancy,92.10%,±0.3
"('Occupied housing units',)","Memphis city, Tennessee","241,400","±4,203",housing_occupancy,82.20%,±1.2
"('Occupied housing units',)","Mesa city, Arizona","162,691","±4,466",housing_occupancy,82.60%,±1.5
"('Occupied housing units',)","Miami city, Florida","145,822","±4,810",housing_occupancy,77.50%,±1.6
"('Occupied housing units',)","Milwaukee city, Wisconsin","228,945","±3,762",housing_occupancy,88.50%,±1.0
"('Occupied housing units',)","Minneapolis city, Minnesota","165,798","±3,861",housing_occupancy,89.70%,±1.2
"('Occupied housing units',)","New Orleans city, Louisiana","142,093","±3,457",housing_occupancy,74.70%,±1.7
"('Occupied housing units',)","New York city, New York","3,039,467","±11,288",housing_occupancy,90.20%,±0.3
"('Occupied housing units',)","Newark city, New Jersey","91,414","±3,236",housing_occupancy,83.90%,±1.7
"('Occupied housing units',)","Oakland city, California","151,808","±3,746",housing_occupancy,87.90%,±1.2
"('Occupied housing units',)","Omaha city, Nebraska","163,411","±2,894",housing_occupancy,91.70%,±1.4
"('Occupied housing units',)","Orlando city, Florida","96,753","±3,793",housing_occupancy,80.90%,±2.0
"('Occupied housing units',)","Philadelphia city, Pennsylvania","575,413","±6,623",housing_occupancy,85.90%,±0.9
"('Occupied housing units',)","Phoenix city, Arizona","511,432","±7,172",housing_occupancy,85.00%,±0.8
"('Occupied housing units',)","Pittsburgh city, Pennsylvania","129,828","±3,843",housing_occupancy,84.40%,±1.8
"('Occupied housing units',)","Plano city, Texas","97,524","±2,960",housing_occupancy,92.60%,±1.6
"('Occupied housing units',)","Portland city, Oregon","244,192","±3,559",housing_occupancy,92.50%,±1.0
"('Occupied housing units',)","Riverside city, California","87,752","±3,694",housing_occupancy,89.80%,±1.9
"('Occupied housing units',)","Sacramento city, California","176,168","±5,046",housing_occupancy,91.60%,±1.3
"('Occupied housing units',)","San Antonio city, Texas","470,223","±4,982",housing_occupancy,89.40%,±0.8
"('Occupied housing units',)","San Diego city, California","469,635","±6,664",housing_occupancy,91.30%,±0.6
"('Occupied housing units',)","San Francisco city, California","336,012","±4,358",housing_occupancy,89.20%,±1.0
"('Occupied housing units',)","San Jose city, California","297,637","±4,429",housing_occupancy,95.20%,±0.6
"('Occupied housing units',)","Santa Ana city, California","71,288","±2,600",housing_occupancy,95.10%,±1.2
"('Occupied housing units',)","Seattle city, Washington","277,520","±5,743",housing_occupancy,91.70%,±1.1
"('Occupied housing units',)","St. Paul city, Minnesota","110,088","±2,941",housing_occupancy,91.50%,±1.6
"('Occupied housing units',)","Stockton city, California","91,200","±2,669",housing_occupancy,90.40%,±1.8
"('Occupied housing units',)","Tampa city, Florida","133,070","±3,857",housing_occupancy,83.70%,±1.6
"('Occupied housing units',)","Tucson city, Arizona","201,761","±4,584",housing_occupancy,87.70%,±1.3
"('Occupied housing units',)","Tulsa city, Oklahoma","163,173","±2,981",housing_occupancy,87.10%,±1.3
"('Occupied housing units',)","Virginia Beach city, Virginia","164,300","±2,574",housing_occupancy,92.20%,±1.3
"('Occupied housing units',)","Washington city, District of Columbia","252,388","±3,730",housing_occupancy,85.00%,±1.3
"('Occupied housing units',)","Wichita city, Kansas","149,648","±2,521",housing_occupancy,88.50%,±1.5
"('Vacant housing units',)","Albuquerque city, New Mexico","16,727","±2,369",housing_occupancy,7.00%,±1.0
"('Vacant housing units',)","Anaheim city, California","6,959","±1,693",housing_occupancy,6.50%,±1.5
"('Vacant housing units',)","Anchorage municipality, Alaska","8,118","±1,747",housing_occupancy,7.20%,±1.5
"('Vacant housing units',)","Arlington city, Texas","13,147","±2,532",housing_occupancy,9.00%,±1.6
"('Vacant housing units',)","Atlanta city, Georgia","53,044","±3,534",housing_occupancy,23.60%,±1.4
"('Vacant housing units',)","Aurora city, Colorado","8,795","±1,718",housing_occupancy,6.90%,±1.3
"('Vacant housing units',)","Austin city, Texas","31,706","±2,958",housing_occupancy,8.90%,±0.8
"('Vacant housing units',)","Bakersfield city, California","9,307","±1,853",housing_occupancy,7.80%,±1.5
"('Vacant housing units',)","Baltimore city, Maryland","58,639","±4,250",housing_occupancy,19.80%,±1.4
"('Vacant housing units',)","Boston city, Massachusetts","26,228","±3,171",housing_occupancy,9.40%,±1.1
"('Vacant housing units',)","Chicago city, Illinois","174,477","±7,085",housing_occupancy,14.70%,±0.6
"('Vacant housing units',)","Cincinnati city, Ohio","35,056","±2,836",housing_occupancy,21.70%,±1.6
"('Vacant housing units',)","Cleveland city, Ohio","49,230","±3,481",housing_occupancy,23.00%,±1.5
"('Vacant housing units',)","Colorado Springs city, Colorado","13,174","±2,266",housing_occupancy,7.30%,±1.2
"('Vacant housing units',)","Columbus city, Ohio","51,116","±4,074",housing_occupancy,13.80%,±1.1
"('Vacant housing units',)","Corpus Christi city, Texas","13,666","±2,460",housing_occupancy,11.00%,±2.0
"('Vacant housing units',)","Dallas city, Texas","66,692","±3,901",housing_occupancy,13.00%,±0.7
"('Vacant housing units',)","Denver city, Colorado","23,766","±3,030",housing_occupancy,8.30%,±1.1
"('Vacant housing units',)","Detroit city, Michigan","105,474","±5,226",housing_occupancy,29.20%,±1.3
"('Vacant housing units',)","El Paso city, Texas","19,731","±2,663",housing_occupancy,8.60%,±1.1
"('Vacant housing units',)","Fresno city, California","16,536","±2,335",housing_occupancy,9.80%,±1.3
"('Vacant housing units',)","Greensboro city, North Carolina","16,447","±2,377",housing_occupancy,13.10%,±1.8
"('Vacant housing units',)","Henderson city, Nevada","15,200","±2,262",housing_occupancy,13.30%,±1.8
"('Vacant housing units',)","Houston city, Texas","140,436","±6,060",housing_occupancy,15.60%,±0.6
"('Vacant housing units',)","Indianapolis city (balance), Indiana","58,159","±4,663",housing_occupancy,15.30%,±1.2
"('Vacant housing units',)","Irvine city, California","5,296","±1,494",housing_occupancy,6.50%,±1.7
"('Vacant housing units',)","Jacksonville city, Florida","59,864","±4,691",housing_occupancy,16.30%,±1.3
"('Vacant housing units',)","Jersey City city, New Jersey","16,924","±2,285",housing_occupancy,15.40%,±1.9
"('Vacant housing units',)","Las Vegas city, Nevada","42,953","±3,551",housing_occupancy,16.90%,±1.3
"('Vacant housing units',)","Lincoln city, Nebraska","6,200","±1,444",housing_occupancy,5.60%,±1.3
"('Vacant housing units',)","Long Beach city, California","15,850","±2,074",housing_occupancy,9.10%,±1.1
"('Vacant housing units',)","Los Angeles city, California","111,679","±4,939",housing_occupancy,7.90%,±0.3
"('Vacant housing units',)","Memphis city, Tennessee","52,445","±3,676",housing_occupancy,17.80%,±1.2
"('Vacant housing units',)","Mesa city, Arizona","34,348","±3,270",housing_occupancy,17.40%,±1.5
"('Vacant housing units',)","Miami city, Florida","42,328","±3,780",housing_occupancy,22.50%,±1.6
"('Vacant housing units',)","Milwaukee city, Wisconsin","29,749","±2,762",housing_occupancy,11.50%,±1.0
"('Vacant housing units',)","Minneapolis city, Minnesota","19,016","±2,378",housing_occupancy,10.30%,±1.2
"('Vacant housing units',)","New Orleans city, Louisiana","48,061","±3,285",housing_occupancy,25.30%,±1.7
"('Vacant housing units',)","New York city, New York","331,180","±10,338",housing_occupancy,9.80%,±0.3
"('Vacant housing units',)","Newark city, New Jersey","17,493","±2,047",housing_occupancy,16.10%,±1.7
"('Vacant housing units',)","Oakland city, California","20,966","±2,123",housing_occupancy,12.10%,±1.2
"('Vacant housing units',)","Omaha city, Nebraska","14,738","±2,489",housing_occupancy,8.30%,±1.4
"('Vacant housing units',)","Orlando city, Florida","22,799","±2,579",housing_occupancy,19.10%,±2.0
"('Vacant housing units',)","Philadelphia city, Pennsylvania","94,609","±5,884",housing_occupancy,14.10%,±0.9
"('Vacant housing units',)","Phoenix city, Arizona","89,938","±5,280",housing_occupancy,15.00%,±0.8
"('Vacant housing units',)","Pittsburgh city, Pennsylvania","23,928","±2,861",housing_occupancy,15.60%,±1.8
"('Vacant housing units',)","Plano city, Texas","7,783","±1,750",housing_occupancy,7.40%,±1.6
"('Vacant housing units',)","Portland city, Oregon","19,698","±2,755",housing_occupancy,7.50%,±1.0
"('Vacant housing units',)","Riverside city, California","9,943","±2,018",housing_occupancy,10.20%,±1.9
"('Vacant housing units',)","Sacramento city, California","16,204","±2,462",housing_occupancy,8.40%,±1.3
"('Vacant housing units',)","San Antonio city, Texas","55,576","±4,469",housing_occupancy,10.60%,±0.8
"('Vacant housing units',)","San Diego city, California","44,731","±3,432",housing_occupancy,8.70%,±0.6
"('Vacant housing units',)","San Francisco city, California","40,765","±3,739",housing_occupancy,10.80%,±1.0
"('Vacant housing units',)","San Jose city, California","14,904","±2,090",housing_occupancy,4.80%,±0.6
"('Vacant housing units',)","Santa Ana city, California","3,684",±940,housing_occupancy,4.90%,±1.2
"('Vacant housing units',)","Seattle city, Washington","24,994","±3,323",housing_occupancy,8.30%,±1.1
"('Vacant housing units',)","St. Paul city, Minnesota","10,162","±1,918",housing_occupancy,8.50%,±1.6
"('Vacant housing units',)","Stockton city, California","9,635","±1,928",housing_occupancy,9.60%,±1.8
"('Vacant housing units',)","Tampa city, Florida","25,918","±2,656",housing_occupancy,16.30%,±1.6
"('Vacant housing units',)","Tucson city, Arizona","28,286","±3,011",housing_occupancy,12.30%,±1.3
"('Vacant housing units',)","Tulsa city, Oklahoma","24,108","±2,545",housing_occupancy,12.90%,±1.3
"('Vacant housing units',)","Virginia Beach city, Virginia","13,817","±2,373",housing_occupancy,7.80%,±1.3
"('Vacant housing units',)","Washington city, District of Columbia","44,448","±3,730",housing_occupancy,15.00%,±1.3
"('Vacant housing units',)","Wichita city, Kansas","19,410","±2,542",housing_occupancy,11.50%,±1.5
"('Homeowner vacancy rate',)","Albuquerque city, New Mexico",1.4,±0.6,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Anaheim city, California",1.2,±0.8,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Anchorage municipality, Alaska",1.4,±0.9,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Arlington city, Texas",1.7,±1.0,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Atlanta city, Georgia",7.7,±1.5,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Aurora city, Colorado",2,±1.1,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Austin city, Texas",1.7,±0.7,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Bakersfield city, California",2.5,±1.1,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Baltimore city, Maryland",5.3,±1.2,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Boston city, Massachusetts",2.4,±1.0,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Chicago city, Illinois",3.5,±0.6,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Cincinnati city, Ohio",4.7,±1.8,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Cleveland city, Ohio",4.5,±1.3,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Colorado Springs city, Colorado",2.3,±1.0,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Columbus city, Ohio",3.2,±0.9,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Corpus Christi city, Texas",1.3,±1.0,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Dallas city, Texas",2.7,±0.7,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Denver city, Colorado",3.8,±1.2,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Detroit city, Michigan",5.4,±1.2,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","El Paso city, Texas",2.2,±0.8,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Fresno city, California",2.8,±1.2,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Greensboro city, North Carolina",2.8,±0.9,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Henderson city, Nevada",4.9,±1.7,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Houston city, Texas",3.3,±0.6,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Indianapolis city (balance), Indiana",2.5,±0.7,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Irvine city, California",3.4,±1.8,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Jacksonville city, Florida",4.5,±0.9,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Jersey City city, New Jersey",9.9,±3.5,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Las Vegas city, Nevada",4.5,±1.0,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Lincoln city, Nebraska",1.9,±1.2,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Long Beach city, California",2.7,±1.0,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Los Angeles city, California",2.2,±0.4,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Memphis city, Tennessee",3.6,±1.0,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Mesa city, Arizona",5.4,±1.7,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Miami city, Florida",9.7,±2.1,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Milwaukee city, Wisconsin",1,±0.5,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Minneapolis city, Minnesota",3.7,±1.2,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","New Orleans city, Louisiana",5.7,±1.6,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","New York city, New York",2.4,±0.3,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Newark city, New Jersey",7,±3.0,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Oakland city, California",3.2,±1.2,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Omaha city, Nebraska",1.5,±0.8,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Orlando city, Florida",3,±1.6,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Philadelphia city, Pennsylvania",3.4,±0.6,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Phoenix city, Arizona",4.6,±0.7,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Pittsburgh city, Pennsylvania",1.7,±1.0,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Plano city, Texas",1.3,±0.9,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Portland city, Oregon",3.7,±1.1,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Riverside city, California",2.5,±1.5,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Sacramento city, California",2.6,±1.0,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","San Antonio city, Texas",2.2,±0.6,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","San Diego city, California",2.7,±0.7,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","San Francisco city, California",1.3,±0.6,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","San Jose city, California",1.7,±0.7,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Santa Ana city, California",1,±0.9,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Seattle city, Washington",2.6,±1.1,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","St. Paul city, Minnesota",2.3,±1.3,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Stockton city, California",2.2,±1.3,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Tampa city, Florida",3.8,±1.4,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Tucson city, Arizona",2.1,±0.9,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Tulsa city, Oklahoma",3.4,±1.2,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Virginia Beach city, Virginia",2,±0.8,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Washington city, District of Columbia",3.2,±0.9,housing_occupancy,(X),(X)
"('Homeowner vacancy rate',)","Wichita city, Kansas",3.2,±1.2,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Albuquerque city, New Mexico",6.1,±1.7,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Anaheim city, California",6.8,±2.1,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Anchorage municipality, Alaska",2.7,±1.4,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Arlington city, Texas",13.6,±2.9,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Atlanta city, Georgia",16.4,±2.2,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Aurora city, Colorado",9.1,±2.6,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Austin city, Texas",6.4,±1.1,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Bakersfield city, California",6.1,±2.3,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Baltimore city, Maryland",7.5,±1.2,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Boston city, Massachusetts",5.4,±1.1,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Chicago city, Illinois",8.5,±0.6,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Cincinnati city, Ohio",13.2,±1.9,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Cleveland city, Ohio",10.3,±1.6,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Colorado Springs city, Colorado",6.7,±2.1,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Columbus city, Ohio",10.3,±1.5,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Corpus Christi city, Texas",7,±2.3,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Dallas city, Texas",12.5,±1.0,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Denver city, Colorado",5.5,±1.2,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Detroit city, Michigan",13.7,±1.5,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","El Paso city, Texas",8.4,±1.9,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Fresno city, California",9.3,±2.1,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Greensboro city, North Carolina",14.2,±3.0,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Henderson city, Nevada",6.9,±2.9,housing_occupancy,(X),(X)
"('Rental vacancy rate',)","Houston city, Texas",15.9,±0.9,housing_occupancy,(X),(X)
