Metric,City,Estimate,Group,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","San Jose city, California","323,195",housing_occupancy,"±4,056","323,195",(X)
"('Total housing units',)","Santa Ana city, California","79,902",housing_occupancy,"±2,354","79,902",(X)
"('Total housing units',)","Seattle city, Washington","324,490",housing_occupancy,"±4,291","324,490",(X)
"('Total housing units',)","St. Louis city, Missouri","175,369",housing_occupancy,±847,"175,369",(X)
"('Total housing units',)","St. Paul city, Minnesota","117,391",housing_occupancy,"±2,392","117,391",(X)
"('Total housing units',)","Stockton city, California","103,663",housing_occupancy,"±2,219","103,663",(X)
"('Total housing units',)","Tampa city, Florida","161,455",housing_occupancy,"±3,395","161,455",(X)
"('Total housing units',)","Tucson city, Arizona","232,004",housing_occupancy,"±4,467","232,004",(X)
"('Total housing units',)","Tulsa city, Oklahoma","188,306",housing_occupancy,"±1,863","188,306",(X)
"('Total housing units',)","Virginia Beach city, Virginia","182,152",housing_occupancy,"±1,091","182,152",(X)
"('Total housing units',)","Washington city, District of Columbia","306,184",housing_occupancy,±59,"306,184",(X)
"('Total housing units',)","Wichita city, Kansas","169,594",housing_occupancy,"±2,028","169,594",(X)
"('Occupied housing units',)","Albuquerque city, New Mexico","219,867",housing_occupancy,"±3,905",91.40%,±1.3
"('Occupied housing units',)","Anaheim city, California","99,402",housing_occupancy,"±3,185",96.20%,±1.0
"('Occupied housing units',)","Anchorage municipality, Alaska","104,683",housing_occupancy,"±1,844",91.60%,±1.6
"('Occupied housing units',)","Arlington city, Texas","135,093",housing_occupancy,"±3,965",90.80%,±1.4
"('Occupied housing units',)","Atlanta city, Georgia","189,431",housing_occupancy,"±4,283",80.30%,±1.4
"('Occupied housing units',)","Aurora city, Colorado","126,677",housing_occupancy,"±2,318",94.90%,±1.1
"('Occupied housing units',)","Austin city, Texas","360,996",housing_occupancy,"±4,783",92.00%,±0.9
"('Occupied housing units',)","Bakersfield city, California","114,774",housing_occupancy,"±2,756",93.80%,±1.4
"('Occupied housing units',)","Baltimore city, Maryland","238,897",housing_occupancy,"±3,190",80.40%,±1.0
"('Occupied housing units',)","Boston city, Massachusetts","253,749",housing_occupancy,"±3,479",92.50%,±0.8
"('Occupied housing units',)","Charlotte city, North Carolina","310,106",housing_occupancy,"±3,723",92.70%,±0.9
"('Occupied housing units',)","Chicago city, Illinois","1,031,672",housing_occupancy,"±8,449",86.50%,±0.5
"('Occupied housing units',)","Cincinnati city, Ohio","137,197",housing_occupancy,"±3,365",84.10%,±1.5
"('Occupied housing units',)","Cleveland city, Ohio","165,984",housing_occupancy,"±3,538",79.10%,±1.3
"('Occupied housing units',)","Colorado Springs city, Colorado","174,943",housing_occupancy,"±2,905",93.50%,±1.1
"('Occupied housing units',)","Columbus city, Ohio","339,145",housing_occupancy,"±4,732",88.80%,±0.9
"('Occupied housing units',)","Corpus Christi city, Texas","117,685",housing_occupancy,"±2,279",91.10%,±1.6
"('Occupied housing units',)","Dallas city, Texas","484,335",housing_occupancy,"±6,075",89.60%,±0.7
"('Occupied housing units',)","Denver city, Colorado","281,928",housing_occupancy,"±3,071",94.30%,±0.9
"('Occupied housing units',)","Detroit city, Michigan","253,490",housing_occupancy,"±3,816",68.90%,±0.8
"('Occupied housing units',)","Durham city, North Carolina","104,830",housing_occupancy,"±2,176",91.80%,±1.8
"('Occupied housing units',)","El Paso city, Texas","218,127",housing_occupancy,"±3,208",89.10%,±1.2
"('Occupied housing units',)","Fort Worth city, Texas","281,924",housing_occupancy,"±4,487",91.10%,±1.1
"('Occupied housing units',)","Fresno city, California","163,875",housing_occupancy,"±3,086",91.80%,±1.1
"('Occupied housing units',)","Greensboro city, North Carolina","113,350",housing_occupancy,"±3,074",89.00%,±1.6
"('Occupied housing units',)","Henderson city, Nevada","107,007",housing_occupancy,"±3,236",89.60%,±1.3
"('Occupied housing units',)","Houston city, Texas","834,204",housing_occupancy,"±9,001",89.60%,±0.6
"('Occupied housing units',)","Indianapolis city (balance), Indiana","328,526",housing_occupancy,"±4,886",85.90%,±1.1
"('Occupied housing units',)","Irvine city, California","90,513",housing_occupancy,"±3,320",95.30%,±1.6
"('Occupied housing units',)","Jacksonville city, Florida","320,809",housing_occupancy,"±5,400",86.40%,±1.3
"('Occupied housing units',)","Jersey City city, New Jersey","98,873",housing_occupancy,"±2,550",89.20%,±1.6
"('Occupied housing units',)","Kansas City city, Missouri","195,125",housing_occupancy,"±4,085",86.30%,±1.3
"('Occupied housing units',)","Las Vegas city, Nevada","212,742",housing_occupancy,"±4,463",86.10%,±1.0
"('Occupied housing units',)","Lincoln city, Nebraska","108,954",housing_occupancy,"±1,670",95.50%,±1.1
"('Occupied housing units',)","Long Beach city, California","161,870",housing_occupancy,"±3,834",94.70%,±0.9
"('Occupied housing units',)","Los Angeles city, California","1,343,084",housing_occupancy,"±8,666",93.70%,±0.4
"('Occupied housing units',)","Memphis city, Tennessee","250,553",housing_occupancy,"±3,753",83.30%,±1.0
"('Occupied housing units',)","Mesa city, Arizona","170,193",housing_occupancy,"±4,164",84.00%,±1.4
"('Occupied housing units',)","Miami city, Florida","158,039",housing_occupancy,"±4,485",82.50%,±1.5
"('Occupied housing units',)","Milwaukee city, Wisconsin","233,161",housing_occupancy,"±3,609",89.90%,±0.9
"('Occupied housing units',)","Minneapolis city, Minnesota","169,306",housing_occupancy,"±3,704",92.70%,±1.1
"('Occupied housing units',)","New Orleans city, Louisiana","152,788",housing_occupancy,"±2,802",79.40%,±1.3
"('Occupied housing units',)","New York city, New York","3,148,067",housing_occupancy,"±10,464",91.50%,±0.3
"('Occupied housing units',)","Newark city, New Jersey","89,182",housing_occupancy,"±2,731",83.60%,±1.3
"('Occupied housing units',)","Oakland city, California","156,724",housing_occupancy,"±3,502",93.30%,±0.9
"('Occupied housing units',)","Oklahoma City city, Oklahoma","237,213",housing_occupancy,"±3,527",88.90%,±1.0
"('Occupied housing units',)","Omaha city, Nebraska","174,747",housing_occupancy,"±2,535",92.00%,±1.1
"('Occupied housing units',)","Orlando city, Florida","109,685",housing_occupancy,"±3,711",86.10%,±1.6
"('Occupied housing units',)","Philadelphia city, Pennsylvania","577,862",housing_occupancy,"±5,809",86.20%,±0.8
"('Occupied housing units',)","Phoenix city, Arizona","532,210",housing_occupancy,"±6,473",88.20%,±0.6
"('Occupied housing units',)","Pittsburgh city, Pennsylvania","131,112",housing_occupancy,"±3,346",85.60%,±1.2
"('Occupied housing units',)","Plano city, Texas","104,535",housing_occupancy,"±2,898",96.00%,±1.1
"('Occupied housing units',)","Portland city, Oregon","257,267",housing_occupancy,"±3,136",95.10%,±0.8
"('Occupied housing units',)","Raleigh city, North Carolina","173,456",housing_occupancy,"±3,979",90.10%,±1.3
"('Occupied housing units',)","Riverside city, California","90,204",housing_occupancy,"±2,910",92.80%,±1.4
"('Occupied housing units',)","Sacramento city, California","177,553",housing_occupancy,"±3,506",92.00%,±1.2
"('Occupied housing units',)","San Antonio city, Texas","492,940",housing_occupancy,"±4,788",92.00%,±0.7
"('Occupied housing units',)","San Diego city, California","493,446",housing_occupancy,"±5,867",93.00%,±0.7
"('Occupied housing units',)","San Francisco city, California","353,406",housing_occupancy,"±4,278",91.40%,±1.1
"('Occupied housing units',)","San Jose city, California","312,227",housing_occupancy,"±4,034",96.60%,±0.6
"('Occupied housing units',)","Santa Ana city, California","78,068",housing_occupancy,"±2,241",97.70%,±1.0
"('Occupied housing units',)","Seattle city, Washington","304,564",housing_occupancy,"±4,479",93.90%,±1.0
"('Occupied housing units',)","St. Louis city, Missouri","137,784",housing_occupancy,"±2,738",78.60%,±1.5
"('Occupied housing units',)","St. Paul city, Minnesota","110,978",housing_occupancy,"±2,404",94.50%,±1.1
"('Occupied housing units',)","Stockton city, California","95,166",housing_occupancy,"±2,335",91.80%,±1.4
"('Occupied housing units',)","Tampa city, Florida","140,429",housing_occupancy,"±3,251",87.00%,±1.3
"('Occupied housing units',)","Tucson city, Arizona","204,262",housing_occupancy,"±4,392",88.00%,±1.1
"('Occupied housing units',)","Tulsa city, Oklahoma","165,817",housing_occupancy,"±2,112",88.10%,±0.8
"('Occupied housing units',)","Virginia Beach city, Virginia","167,008",housing_occupancy,"±2,587",91.70%,±1.4
"('Occupied housing units',)","Washington city, District of Columbia","277,378",housing_occupancy,"±3,304",90.60%,±1.1
"('Occupied housing units',)","Wichita city, Kansas","149,920",housing_occupancy,"±2,997",88.40%,±1.4
"('Vacant housing units',)","Albuquerque city, New Mexico","20,594",housing_occupancy,"±3,053",8.60%,±1.3
"('Vacant housing units',)","Anaheim city, California","3,902",housing_occupancy,"±1,090",3.80%,±1.0
"('Vacant housing units',)","Anchorage municipality, Alaska","9,637",housing_occupancy,"±1,788",8.40%,±1.6
"('Vacant housing units',)","Arlington city, Texas","13,638",housing_occupancy,"±2,164",9.20%,±1.4
"('Vacant housing units',)","Atlanta city, Georgia","46,434",housing_occupancy,"±3,640",19.70%,±1.4
"('Vacant housing units',)","Aurora city, Colorado","6,757",housing_occupancy,"±1,514",5.10%,±1.1
"('Vacant housing units',)","Austin city, Texas","31,188",housing_occupancy,"±3,489",8.00%,±0.9
"('Vacant housing units',)","Bakersfield city, California","7,619",housing_occupancy,"±1,797",6.20%,±1.4
"('Vacant housing units',)","Baltimore city, Maryland","58,130",housing_occupancy,"±3,043",19.60%,±1.0
"('Vacant housing units',)","Boston city, Massachusetts","20,710",housing_occupancy,"±2,122",7.50%,±0.8
"('Vacant housing units',)","Charlotte city, North Carolina","24,365",housing_occupancy,"±2,867",7.30%,±0.9
"('Vacant housing units',)","Chicago city, Illinois","160,674",housing_occupancy,"±6,101",13.50%,±0.5
"('Vacant housing units',)","Cincinnati city, Ohio","25,906",housing_occupancy,"±2,675",15.90%,±1.5
"('Vacant housing units',)","Cleveland city, Ohio","43,864",housing_occupancy,"±3,130",20.90%,±1.3
"('Vacant housing units',)","Colorado Springs city, Colorado","12,067",housing_occupancy,"±2,033",6.50%,±1.1
"('Vacant housing units',)","Columbus city, Ohio","42,635",housing_occupancy,"±3,406",11.20%,±0.9
"('Vacant housing units',)","Corpus Christi city, Texas","11,556",housing_occupancy,"±2,146",8.90%,±1.6
"('Vacant housing units',)","Dallas city, Texas","56,112",housing_occupancy,"±3,973",10.40%,±0.7
"('Vacant housing units',)","Denver city, Colorado","16,952",housing_occupancy,"±2,712",5.70%,±0.9
"('Vacant housing units',)","Detroit city, Michigan","114,468",housing_occupancy,"±3,405",31.10%,±0.8
"('Vacant housing units',)","Durham city, North Carolina","9,361",housing_occupancy,"±2,087",8.20%,±1.8
"('Vacant housing units',)","El Paso city, Texas","26,639",housing_occupancy,"±2,939",10.90%,±1.2
"('Vacant housing units',)","Fort Worth city, Texas","27,402",housing_occupancy,"±3,462",8.90%,±1.1
"('Vacant housing units',)","Fresno city, California","14,702",housing_occupancy,"±2,025",8.20%,±1.1
"('Vacant housing units',)","Greensboro city, North Carolina","14,063",housing_occupancy,"±2,048",11.00%,±1.6
"('Vacant housing units',)","Henderson city, Nevada","12,416",housing_occupancy,"±1,689",10.40%,±1.3
"('Vacant housing units',)","Houston city, Texas","96,879",housing_occupancy,"±6,037",10.40%,±0.6
"('Vacant housing units',)","Indianapolis city (balance), Indiana","53,968",housing_occupancy,"±4,293",14.10%,±1.1
"('Vacant housing units',)","Irvine city, California","4,466",housing_occupancy,"±1,580",4.70%,±1.6
"('Vacant housing units',)","Jacksonville city, Florida","50,445",housing_occupancy,"±4,809",13.60%,±1.3
"('Vacant housing units',)","Jersey City city, New Jersey","12,023",housing_occupancy,"±1,894",10.80%,±1.6
"('Vacant housing units',)","Kansas City city, Missouri","31,081",housing_occupancy,"±2,959",13.70%,±1.3
"('Vacant housing units',)","Las Vegas city, Nevada","34,402",housing_occupancy,"±2,752",13.90%,±1.0
"('Vacant housing units',)","Lincoln city, Nebraska","5,098",housing_occupancy,"±1,291",4.50%,±1.1
"('Vacant housing units',)","Long Beach city, California","9,107",housing_occupancy,"±1,507",5.30%,±0.9
"('Vacant housing units',)","Los Angeles city, California","90,039",housing_occupancy,"±5,395",6.30%,±0.4
"('Vacant housing units',)","Memphis city, Tennessee","50,084",housing_occupancy,"±3,184",16.70%,±1.0
"('Vacant housing units',)","Mesa city, Arizona","32,341",housing_occupancy,"±2,917",16.00%,±1.4
"('Vacant housing units',)","Miami city, Florida","33,614",housing_occupancy,"±3,155",17.50%,±1.5
"('Vacant housing units',)","Milwaukee city, Wisconsin","26,243",housing_occupancy,"±2,480",10.10%,±0.9
"('Vacant housing units',)","Minneapolis city, Minnesota","13,311",housing_occupancy,"±2,072",7.30%,±1.1
"('Vacant housing units',)","New Orleans city, Louisiana","39,684",housing_occupancy,"±2,562",20.60%,±1.3
"('Vacant housing units',)","New York city, New York","290,675",housing_occupancy,"±10,013",8.50%,±0.3
"('Vacant housing units',)","Newark city, New Jersey","17,434",housing_occupancy,"±1,479",16.40%,±1.3
"('Vacant housing units',)","Oakland city, California","11,221",housing_occupancy,"±1,595",6.70%,±0.9
"('Vacant housing units',)","Oklahoma City city, Oklahoma","29,689",housing_occupancy,"±2,641",11.10%,±1.0
"('Vacant housing units',)","Omaha city, Nebraska","15,205",housing_occupancy,"±2,156",8.00%,±1.1
"('Vacant housing units',)","Orlando city, Florida","17,639",housing_occupancy,"±2,339",13.90%,±1.6
"('Vacant housing units',)","Philadelphia city, Pennsylvania","92,583",housing_occupancy,"±5,248",13.80%,±0.8
"('Vacant housing units',)","Phoenix city, Arizona","71,290",housing_occupancy,"±3,764",11.80%,±0.6
"('Vacant housing units',)","Pittsburgh city, Pennsylvania","21,986",housing_occupancy,"±2,002",14.40%,±1.2
"('Vacant housing units',)","Plano city, Texas","4,375",housing_occupancy,"±1,283",4.00%,±1.1
"('Vacant housing units',)","Portland city, Oregon","13,260",housing_occupancy,"±2,289",4.90%,±0.8
"('Vacant housing units',)","Raleigh city, North Carolina","19,048",housing_occupancy,"±2,628",9.90%,±1.3
"('Vacant housing units',)","Riverside city, California","6,971",housing_occupancy,"±1,442",7.20%,±1.4
"('Vacant housing units',)","Sacramento city, California","15,509",housing_occupancy,"±2,516",8.00%,±1.2
"('Vacant housing units',)","San Antonio city, Texas","42,606",housing_occupancy,"±3,780",8.00%,±0.7
"('Vacant housing units',)","San Diego city, California","37,044",housing_occupancy,"±4,057",7.00%,±0.7
"('Vacant housing units',)","San Francisco city, California","33,204",housing_occupancy,"±4,246",8.60%,±1.1
"('Vacant housing units',)","San Jose city, California","10,968",housing_occupancy,"±2,015",3.40%,±0.6
"('Vacant housing units',)","Santa Ana city, California","1,834",housing_occupancy,±774,2.30%,±1.0
"('Vacant housing units',)","Seattle city, Washington","19,926",housing_occupancy,"±3,279",6.10%,±1.0
"('Vacant housing units',)","St. Louis city, Missouri","37,585",housing_occupancy,"±2,684",21.40%,±1.5
"('Vacant housing units',)","St. Paul city, Minnesota","6,413",housing_occupancy,"±1,347",5.50%,±1.1
"('Vacant housing units',)","Stockton city, California","8,497",housing_occupancy,"±1,467",8.20%,±1.4
"('Vacant housing units',)","Tampa city, Florida","21,026",housing_occupancy,"±2,287",13.00%,±1.3
"('Vacant housing units',)","Tucson city, Arizona","27,742",housing_occupancy,"±2,776",12.00%,±1.1
"('Vacant housing units',)","Tulsa city, Oklahoma","22,489",housing_occupancy,"±1,448",11.90%,±0.8
"('Vacant housing units',)","Virginia Beach city, Virginia","15,144",housing_occupancy,"±2,508",8.30%,±1.4
"('Vacant housing units',)","Washington city, District of Columbia","28,806",housing_occupancy,"±3,308",9.40%,±1.1
"('Vacant housing units',)","Wichita city, Kansas","19,674",housing_occupancy,"±2,416",11.60%,±1.4
"('Homeowner vacancy rate',)","Albuquerque city, New Mexico",1.5,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Anaheim city, California",0.4,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Anchorage municipality, Alaska",0.8,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Arlington city, Texas",2,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Atlanta city, Georgia",3.5,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Aurora city, Colorado",0.9,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Austin city, Texas",0.7,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Bakersfield city, California",1.5,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Baltimore city, Maryland",4.4,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Boston city, Massachusetts",0.8,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Charlotte city, North Carolina",1.2,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Chicago city, Illinois",3.1,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Cincinnati city, Ohio",3.5,housing_occupancy,±1.3,(X),(X)
"('Homeowner vacancy rate',)","Cleveland city, Ohio",4,housing_occupancy,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Colorado Springs city, Colorado",1.4,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Columbus city, Ohio",0.7,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Corpus Christi city, Texas",1.2,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Dallas city, Texas",1.7,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Denver city, Colorado",1,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Detroit city, Michigan",6.2,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Durham city, North Carolina",1.9,housing_occupancy,±1.4,(X),(X)
"('Homeowner vacancy rate',)","El Paso city, Texas",2.5,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Fort Worth city, Texas",1.1,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Fresno city, California",1.6,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Greensboro city, North Carolina",1.8,housing_occupancy,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Henderson city, Nevada",2.9,housing_occupancy,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Houston city, Texas",1.3,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Indianapolis city (balance), Indiana",2.1,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Irvine city, California",0.3,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Jacksonville city, Florida",3.2,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Jersey City city, New Jersey",2.9,housing_occupancy,±1.7,(X),(X)
"('Homeowner vacancy rate',)","Kansas City city, Missouri",2.5,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Las Vegas city, Nevada",1.2,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Lincoln city, Nebraska",1.2,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Long Beach city, California",1.2,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Los Angeles city, California",1.1,housing_occupancy,±0.2,(X),(X)
"('Homeowner vacancy rate',)","Memphis city, Tennessee",2.5,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Mesa city, Arizona",3.6,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Miami city, Florida",4.1,housing_occupancy,±2.0,(X),(X)
"('Homeowner vacancy rate',)","Milwaukee city, Wisconsin",2.6,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Minneapolis city, Minnesota",2.1,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","New Orleans city, Louisiana",2.8,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","New York city, New York",1.8,housing_occupancy,±0.2,(X),(X)
"('Homeowner vacancy rate',)","Newark city, New Jersey",5.9,housing_occupancy,±2.3,(X),(X)
"('Homeowner vacancy rate',)","Oakland city, California",3.1,housing_occupancy,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Oklahoma City city, Oklahoma",1.5,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Omaha city, Nebraska",1.4,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Orlando city, Florida",3.3,housing_occupancy,±2.2,(X),(X)
"('Homeowner vacancy rate',)","Philadelphia city, Pennsylvania",2.3,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Phoenix city, Arizona",1.9,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Pittsburgh city, Pennsylvania",1.5,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Plano city, Texas",0.9,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Portland city, Oregon",1,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Raleigh city, North Carolina",2.7,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Riverside city, California",0.7,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Sacramento city, California",1.4,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","San Antonio city, Texas",1.3,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","San Diego city, California",1.2,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","San Francisco city, California",0.5,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","San Jose city, California",0.4,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Santa Ana city, California",1.6,housing_occupancy,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Seattle city, Washington",1.6,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","St. Louis city, Missouri",6.2,housing_occupancy,±1.6,(X),(X)
