Metric,City,Estimate,Group,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Los Angeles city, California","1,542,391",housing_occupancy,"±9,733","1,542,391",(X)
"('Total housing units',)","Memphis city, Tennessee","288,491",housing_occupancy,"±4,648","288,491",(X)
"('Total housing units',)","Mesa city, Arizona","221,995",housing_occupancy,"±5,732","221,995",(X)
"('Total housing units',)","Miami city, Florida","219,775",housing_occupancy,"±5,651","219,775",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","257,812",housing_occupancy,"±3,165","257,812",(X)
"('Total housing units',)","Minneapolis city, Minnesota","203,633",housing_occupancy,"±4,178","203,633",(X)
"('Total housing units',)","Nashville-Davidson metropolitan government (balance), Tennessee","331,262",housing_occupancy,"±1,908","331,262",(X)
"('Total housing units',)","New Orleans city, Louisiana","194,701",housing_occupancy,±859,"194,701",(X)
"('Total housing units',)","New York city, New York","3,641,931",housing_occupancy,"±2,894","3,641,931",(X)
"('Total housing units',)","Newark city, New Jersey","122,145",housing_occupancy,"±3,802","122,145",(X)
"('Total housing units',)","Oakland city, California","186,660",housing_occupancy,"±4,202","186,660",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","302,241",housing_occupancy,"±4,267","302,241",(X)
"('Total housing units',)","Omaha city, Nebraska","212,802",housing_occupancy,"±1,693","212,802",(X)
"('Total housing units',)","Orlando city, Florida","149,940",housing_occupancy,"±5,158","149,940",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","733,015",housing_occupancy,"±2,013","733,015",(X)
"('Total housing units',)","Phoenix city, Arizona","644,625",housing_occupancy,"±7,668","644,625",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","159,435",housing_occupancy,"±5,069","159,435",(X)
"('Total housing units',)","Plano city, Texas","114,797",housing_occupancy,"±3,481","114,797",(X)
"('Total housing units',)","Portland city, Oregon","303,483",housing_occupancy,"±3,047","303,483",(X)
"('Total housing units',)","Raleigh city, North Carolina","217,866",housing_occupancy,"±4,672","217,866",(X)
"('Total housing units',)","Riverside city, California","94,246",housing_occupancy,"±2,944","94,246",(X)
"('Total housing units',)","Sacramento city, California","210,715",housing_occupancy,"±4,391","210,715",(X)
"('Total housing units',)","San Antonio city, Texas","603,670",housing_occupancy,"±6,093","603,670",(X)
"('Total housing units',)","San Diego city, California","555,456",housing_occupancy,"±7,850","555,456",(X)
"('Total housing units',)","San Francisco city, California","412,269",housing_occupancy,"±1,484","412,269",(X)
"('Total housing units',)","San Jose city, California","340,561",housing_occupancy,"±4,585","340,561",(X)
"('Total housing units',)","Santa Ana city, California","80,604",housing_occupancy,"±2,558","80,604",(X)
"('Total housing units',)","Seattle city, Washington","384,799",housing_occupancy,"±5,658","384,799",(X)
"('Total housing units',)","St. Louis city, Missouri","173,493",housing_occupancy,±644,"173,493",(X)
"('Total housing units',)","St. Paul city, Minnesota","131,275",housing_occupancy,"±2,691","131,275",(X)
"('Total housing units',)","Stockton city, California","102,642",housing_occupancy,"±3,106","102,642",(X)
"('Total housing units',)","Tampa city, Florida","172,886",housing_occupancy,"±3,935","172,886",(X)
"('Total housing units',)","Tucson city, Arizona","242,816",housing_occupancy,"±4,430","242,816",(X)
"('Total housing units',)","Tulsa city, Oklahoma","194,402",housing_occupancy,"±2,135","194,402",(X)
"('Total housing units',)","Virginia Beach city, Virginia","190,981",housing_occupancy,±740,"190,981",(X)
"('Total housing units',)","Washington city, District of Columbia","357,482",housing_occupancy,±47,"357,482",(X)
"('Total housing units',)","Wichita city, Kansas","176,357",housing_occupancy,"±2,140","176,357",(X)
"('Occupied housing units',)","Albuquerque city, New Mexico","243,582",housing_occupancy,"±2,744",94.80%,±0.8
"('Occupied housing units',)","Anaheim city, California","105,608",housing_occupancy,"±2,960",95.70%,±1.1
"('Occupied housing units',)","Anchorage municipality, Alaska","109,584",housing_occupancy,"±2,068",91.50%,±1.6
"('Occupied housing units',)","Arlington city, Texas","146,888",housing_occupancy,"±4,942",93.80%,±1.2
"('Occupied housing units',)","Atlanta city, Georgia","232,720",housing_occupancy,"±5,791",91.90%,±1.0
"('Occupied housing units',)","Aurora city, Colorado","140,003",housing_occupancy,"±3,153",93.60%,±1.2
"('Occupied housing units',)","Austin city, Texas","449,399",housing_occupancy,"±7,214",95.80%,±0.8
"('Occupied housing units',)","Bakersfield city, California","128,007",housing_occupancy,"±3,362",95.30%,±1.2
"('Occupied housing units',)","Baltimore city, Maryland","254,370",housing_occupancy,"±3,581",86.70%,±1.0
"('Occupied housing units',)","Boston city, Massachusetts","271,941",housing_occupancy,"±4,553",88.60%,±1.3
"('Occupied housing units',)","Charlotte city, North Carolina","365,269",housing_occupancy,"±4,087",92.80%,±0.9
"('Occupied housing units',)","Chicago city, Illinois","1,139,537",housing_occupancy,"±10,546",89.60%,±0.6
"('Occupied housing units',)","Cincinnati city, Ohio","144,929",housing_occupancy,"±3,676",90.30%,±1.1
"('Occupied housing units',)","Cleveland city, Ohio","171,321",housing_occupancy,"±4,585",84.50%,±1.1
"('Occupied housing units',)","Colorado Springs city, Colorado","197,542",housing_occupancy,"±3,531",96.20%,±1.0
"('Occupied housing units',)","Columbus city, Ohio","390,605",housing_occupancy,"±5,416",92.50%,±0.8
"('Occupied housing units',)","Corpus Christi city, Texas","117,366",housing_occupancy,"±2,957",85.40%,±1.7
"('Occupied housing units',)","Dallas city, Texas","536,008",housing_occupancy,"±8,007",90.60%,±0.6
"('Occupied housing units',)","Denver city, Colorado","326,634",housing_occupancy,"±3,286",92.80%,±0.9
"('Occupied housing units',)","Detroit city, Michigan","251,729",housing_occupancy,"±4,285",78.00%,±1.0
"('Occupied housing units',)","Durham city, North Carolina","122,412",housing_occupancy,"±2,774",92.80%,±1.6
"('Occupied housing units',)","El Paso city, Texas","242,529",housing_occupancy,"±3,601",92.60%,±0.9
"('Occupied housing units',)","Fort Worth city, Texas","334,286",housing_occupancy,"±6,559",92.50%,±0.8
"('Occupied housing units',)","Fresno city, California","181,841",housing_occupancy,"±3,453",96.30%,±0.7
"('Occupied housing units',)","Greensboro city, North Carolina","123,955",housing_occupancy,"±3,924",88.80%,±1.7
"('Occupied housing units',)","Henderson city, Nevada","124,470",housing_occupancy,"±3,117",94.20%,±1.4
"('Occupied housing units',)","Houston city, Texas","924,981",housing_occupancy,"±9,366",89.90%,±0.6
"('Occupied housing units',)","Indianapolis city (balance), Indiana","358,150",housing_occupancy,"±4,481",89.60%,±0.9
"('Occupied housing units',)","Irvine city, California","111,648",housing_occupancy,"±4,947",91.30%,±2.3
"('Occupied housing units',)","Jacksonville city, Florida","386,283",housing_occupancy,"±5,159",91.50%,±1.0
"('Occupied housing units',)","Jersey City city, New Jersey","119,158",housing_occupancy,"±3,269",90.50%,±1.6
"('Occupied housing units',)","Kansas City city, Missouri","219,020",housing_occupancy,"±3,767",89.80%,±1.0
"('Occupied housing units',)","Las Vegas city, Nevada","250,350",housing_occupancy,"±5,195",92.90%,±0.9
"('Occupied housing units',)","Lexington-Fayette urban county, Kentucky","139,303",housing_occupancy,"±1,880",94.40%,±1.1
"('Occupied housing units',)","Lincoln city, Nebraska","120,407",housing_occupancy,"±1,708",95.40%,±1.2
"('Occupied housing units',)","Long Beach city, California","172,599",housing_occupancy,"±4,170",96.00%,±0.8
"('Occupied housing units',)","Los Angeles city, California","1,410,594",housing_occupancy,"±11,177",91.50%,±0.4
"('Occupied housing units',)","Memphis city, Tennessee","256,968",housing_occupancy,"±4,780",89.10%,±0.9
"('Occupied housing units',)","Mesa city, Arizona","199,112",housing_occupancy,"±5,108",89.70%,±1.4
"('Occupied housing units',)","Miami city, Florida","192,219",housing_occupancy,"±4,587",87.50%,±1.4
"('Occupied housing units',)","Milwaukee city, Wisconsin","232,362",housing_occupancy,"±3,559",90.10%,±0.9
"('Occupied housing units',)","Minneapolis city, Minnesota","188,681",housing_occupancy,"±3,928",92.70%,±1.1
"('Occupied housing units',)","Nashville-Davidson metropolitan government (balance), Tennessee","305,247",housing_occupancy,"±3,646",92.10%,±0.9
"('Occupied housing units',)","New Orleans city, Louisiana","158,827",housing_occupancy,"±2,670",81.60%,±1.2
"('Occupied housing units',)","New York city, New York","3,263,895",housing_occupancy,"±13,490",89.60%,±0.3
"('Occupied housing units',)","Newark city, New Jersey","115,145",housing_occupancy,"±3,722",94.30%,±0.9
"('Occupied housing units',)","Oakland city, California","170,366",housing_occupancy,"±3,740",91.30%,±1.1
"('Occupied housing units',)","Oklahoma City city, Oklahoma","275,285",housing_occupancy,"±4,662",91.10%,±1.0
"('Occupied housing units',)","Omaha city, Nebraska","201,469",housing_occupancy,"±2,293",94.70%,±0.8
"('Occupied housing units',)","Orlando city, Florida","130,037",housing_occupancy,"±4,859",86.70%,±1.9
"('Occupied housing units',)","Philadelphia city, Pennsylvania","660,921",housing_occupancy,"±5,390",90.20%,±0.7
"('Occupied housing units',)","Phoenix city, Arizona","602,039",housing_occupancy,"±7,755",93.40%,±0.5
"('Occupied housing units',)","Pittsburgh city, Pennsylvania","136,747",housing_occupancy,"±4,641",85.80%,±1.5
"('Occupied housing units',)","Plano city, Texas","108,472",housing_occupancy,"±3,456",94.50%,±1.3
"('Occupied housing units',)","Portland city, Oregon","286,734",housing_occupancy,"±4,101",94.50%,±1.0
"('Occupied housing units',)","Raleigh city, North Carolina","194,917",housing_occupancy,"±4,618",89.50%,±1.5
"('Occupied housing units',)","Riverside city, California","91,110",housing_occupancy,"±2,861",96.70%,±1.1
"('Occupied housing units',)","Sacramento city, California","202,093",housing_occupancy,"±4,080",95.90%,±0.9
"('Occupied housing units',)","San Antonio city, Texas","549,245",housing_occupancy,"±5,787",91.00%,±0.7
"('Occupied housing units',)","San Diego city, California","521,000",housing_occupancy,"±7,487",93.80%,±0.7
"('Occupied housing units',)","San Francisco city, California","350,796",housing_occupancy,"±5,380",85.10%,±1.2
"('Occupied housing units',)","San Jose city, California","322,881",housing_occupancy,"±4,593",94.80%,±0.7
"('Occupied housing units',)","Santa Ana city, California","78,674",housing_occupancy,"±2,355",97.60%,±0.9
"('Occupied housing units',)","Seattle city, Washington","351,650",housing_occupancy,"±5,277",91.40%,±1.1
"('Occupied housing units',)","St. Louis city, Missouri","139,736",housing_occupancy,"±2,863",80.50%,±1.6
"('Occupied housing units',)","St. Paul city, Minnesota","121,964",housing_occupancy,"±3,257",92.90%,±1.4
"('Occupied housing units',)","Stockton city, California","97,447",housing_occupancy,"±2,854",94.90%,±1.1
"('Occupied housing units',)","Tampa city, Florida","159,925",housing_occupancy,"±3,676",92.50%,±1.1
"('Occupied housing units',)","Tucson city, Arizona","223,068",housing_occupancy,"±4,966",91.90%,±1.1
"('Occupied housing units',)","Tulsa city, Oklahoma","173,943",housing_occupancy,"±2,212",89.50%,±0.6
"('Occupied housing units',)","Virginia Beach city, Virginia","182,775",housing_occupancy,"±1,901",95.70%,±0.9
"('Occupied housing units',)","Washington city, District of Columbia","319,565",housing_occupancy,"±3,541",89.40%,±1.0
"('Occupied housing units',)","Wichita city, Kansas","156,668",housing_occupancy,"±3,020",88.80%,±1.5
"('Vacant housing units',)","Albuquerque city, New Mexico","13,232",housing_occupancy,"±2,191",5.20%,±0.8
"('Vacant housing units',)","Anaheim city, California","4,711",housing_occupancy,"±1,316",4.30%,±1.1
"('Vacant housing units',)","Anchorage municipality, Alaska","10,224",housing_occupancy,"±1,872",8.50%,±1.6
"('Vacant housing units',)","Arlington city, Texas","9,765",housing_occupancy,"±1,983",6.20%,±1.2
"('Vacant housing units',)","Atlanta city, Georgia","20,635",housing_occupancy,"±2,524",8.10%,±1.0
"('Vacant housing units',)","Aurora city, Colorado","9,633",housing_occupancy,"±1,844",6.40%,±1.2
"('Vacant housing units',)","Austin city, Texas","19,757",housing_occupancy,"±3,775",4.20%,±0.8
"('Vacant housing units',)","Bakersfield city, California","6,263",housing_occupancy,"±1,659",4.70%,±1.2
"('Vacant housing units',)","Baltimore city, Maryland","39,117",housing_occupancy,"±3,051",13.30%,±1.0
"('Vacant housing units',)","Boston city, Massachusetts","35,084",housing_occupancy,"±3,995",11.40%,±1.3
"('Vacant housing units',)","Charlotte city, North Carolina","28,362",housing_occupancy,"±3,660",7.20%,±0.9
"('Vacant housing units',)","Chicago city, Illinois","132,654",housing_occupancy,"±7,255",10.40%,±0.6
"('Vacant housing units',)","Cincinnati city, Ohio","15,491",housing_occupancy,"±1,908",9.70%,±1.1
"('Vacant housing units',)","Cleveland city, Ohio","31,414",housing_occupancy,"±2,280",15.50%,±1.1
"('Vacant housing units',)","Colorado Springs city, Colorado","7,838",housing_occupancy,"±1,993",3.80%,±1.0
"('Vacant housing units',)","Columbus city, Ohio","31,515",housing_occupancy,"±3,246",7.50%,±0.8
"('Vacant housing units',)","Corpus Christi city, Texas","20,065",housing_occupancy,"±2,352",14.60%,±1.7
"('Vacant housing units',)","Dallas city, Texas","55,765",housing_occupancy,"±3,825",9.40%,±0.6
"('Vacant housing units',)","Denver city, Colorado","25,195",housing_occupancy,"±3,075",7.20%,±0.9
"('Vacant housing units',)","Detroit city, Michigan","71,177",housing_occupancy,"±3,489",22.00%,±1.0
"('Vacant housing units',)","Durham city, North Carolina","9,505",housing_occupancy,"±2,125",7.20%,±1.6
"('Vacant housing units',)","El Paso city, Texas","19,250",housing_occupancy,"±2,263",7.40%,±0.9
"('Vacant housing units',)","Fort Worth city, Texas","27,055",housing_occupancy,"±3,176",7.50%,±0.8
"('Vacant housing units',)","Fresno city, California","6,915",housing_occupancy,"±1,365",3.70%,±0.7
"('Vacant housing units',)","Greensboro city, North Carolina","15,610",housing_occupancy,"±2,342",11.20%,±1.7
"('Vacant housing units',)","Henderson city, Nevada","7,618",housing_occupancy,"±1,948",5.80%,±1.4
"('Vacant housing units',)","Houston city, Texas","103,782",housing_occupancy,"±6,745",10.10%,±0.6
"('Vacant housing units',)","Indianapolis city (balance), Indiana","41,670",housing_occupancy,"±3,589",10.40%,±0.9
"('Vacant housing units',)","Irvine city, California","10,612",housing_occupancy,"±3,036",8.70%,±2.3
"('Vacant housing units',)","Jacksonville city, Florida","36,032",housing_occupancy,"±4,070",8.50%,±1.0
"('Vacant housing units',)","Jersey City city, New Jersey","12,451",housing_occupancy,"±2,247",9.50%,±1.6
"('Vacant housing units',)","Kansas City city, Missouri","24,930",housing_occupancy,"±2,583",10.20%,±1.0
"('Vacant housing units',)","Las Vegas city, Nevada","19,252",housing_occupancy,"±2,528",7.10%,±0.9
"('Vacant housing units',)","Lexington-Fayette urban county, Kentucky","8,287",housing_occupancy,"±1,684",5.60%,±1.1
"('Vacant housing units',)","Lincoln city, Nebraska","5,855",housing_occupancy,"±1,510",4.60%,±1.2
"('Vacant housing units',)","Long Beach city, California","7,257",housing_occupancy,"±1,441",4.00%,±0.8
"('Vacant housing units',)","Los Angeles city, California","131,797",housing_occupancy,"±6,307",8.50%,±0.4
"('Vacant housing units',)","Memphis city, Tennessee","31,523",housing_occupancy,"±2,600",10.90%,±0.9
"('Vacant housing units',)","Mesa city, Arizona","22,883",housing_occupancy,"±3,295",10.30%,±1.4
"('Vacant housing units',)","Miami city, Florida","27,556",housing_occupancy,"±3,460",12.50%,±1.4
"('Vacant housing units',)","Milwaukee city, Wisconsin","25,450",housing_occupancy,"±2,259",9.90%,±0.9
"('Vacant housing units',)","Minneapolis city, Minnesota","14,952",housing_occupancy,"±2,333",7.30%,±1.1
"('Vacant housing units',)","Nashville-Davidson metropolitan government (balance), Tennessee","26,015",housing_occupancy,"±2,995",7.90%,±0.9
"('Vacant housing units',)","New Orleans city, Louisiana","35,874",housing_occupancy,"±2,344",18.40%,±1.2
"('Vacant housing units',)","New York city, New York","378,036",housing_occupancy,"±12,577",10.40%,±0.3
"('Vacant housing units',)","Newark city, New Jersey","7,000",housing_occupancy,"±1,124",5.70%,±0.9
"('Vacant housing units',)","Oakland city, California","16,294",housing_occupancy,"±2,184",8.70%,±1.1
"('Vacant housing units',)","Oklahoma City city, Oklahoma","26,956",housing_occupancy,"±2,986",8.90%,±1.0
"('Vacant housing units',)","Omaha city, Nebraska","11,333",housing_occupancy,"±1,758",5.30%,±0.8
"('Vacant housing units',)","Orlando city, Florida","19,903",housing_occupancy,"±3,054",13.30%,±1.9
"('Vacant housing units',)","Philadelphia city, Pennsylvania","72,094",housing_occupancy,"±5,189",9.80%,±0.7
"('Vacant housing units',)","Phoenix city, Arizona","42,586",housing_occupancy,"±3,312",6.60%,±0.5
"('Vacant housing units',)","Pittsburgh city, Pennsylvania","22,688",housing_occupancy,"±2,553",14.20%,±1.5
"('Vacant housing units',)","Plano city, Texas","6,325",housing_occupancy,"±1,570",5.50%,±1.3
"('Vacant housing units',)","Portland city, Oregon","16,749",housing_occupancy,"±3,104",5.50%,±1.0
"('Vacant housing units',)","Raleigh city, North Carolina","22,949",housing_occupancy,"±3,472",10.50%,±1.5
"('Vacant housing units',)","Riverside city, California","3,136",housing_occupancy,"±1,039",3.30%,±1.1
"('Vacant housing units',)","Sacramento city, California","8,622",housing_occupancy,"±1,872",4.10%,±0.9
"('Vacant housing units',)","San Antonio city, Texas","54,425",housing_occupancy,"±4,667",9.00%,±0.7
"('Vacant housing units',)","San Diego city, California","34,456",housing_occupancy,"±3,888",6.20%,±0.7
"('Vacant housing units',)","San Francisco city, California","61,473",housing_occupancy,"±5,134",14.90%,±1.2
"('Vacant housing units',)","San Jose city, California","17,680",housing_occupancy,"±2,466",5.20%,±0.7
"('Vacant housing units',)","Santa Ana city, California","1,930",housing_occupancy,±782,2.40%,±0.9
"('Vacant housing units',)","Seattle city, Washington","33,149",housing_occupancy,"±4,580",8.60%,±1.1
"('Vacant housing units',)","St. Louis city, Missouri","33,757",housing_occupancy,"±2,752",19.50%,±1.6
"('Vacant housing units',)","St. Paul city, Minnesota","9,311",housing_occupancy,"±1,780",7.10%,±1.4
"('Vacant housing units',)","Stockton city, California","5,195",housing_occupancy,"±1,221",5.10%,±1.1
"('Vacant housing units',)","Tampa city, Florida","12,961",housing_occupancy,"±1,936",7.50%,±1.1
"('Vacant housing units',)","Tucson city, Arizona","19,748",housing_occupancy,"±2,807",8.10%,±1.1
"('Vacant housing units',)","Tulsa city, Oklahoma","20,459",housing_occupancy,"±1,243",10.50%,±0.6
"('Vacant housing units',)","Virginia Beach city, Virginia","8,206",housing_occupancy,"±1,768",4.30%,±0.9
"('Vacant housing units',)","Washington city, District of Columbia","37,917",housing_occupancy,"±3,551",10.60%,±1.0
"('Vacant housing units',)","Wichita city, Kansas","19,689",housing_occupancy,"±2,655",11.20%,±1.5
"('Homeowner vacancy rate',)","Albuquerque city, New Mexico",0.3,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Anaheim city, California",0.9,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Anchorage municipality, Alaska",0.9,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Arlington city, Texas",0.3,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Atlanta city, Georgia",0.9,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Aurora city, Colorado",1.1,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Austin city, Texas",0.4,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Bakersfield city, California",0.3,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Baltimore city, Maryland",2.3,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Boston city, Massachusetts",1.1,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Charlotte city, North Carolina",0.8,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Chicago city, Illinois",1.1,housing_occupancy,±0.2,(X),(X)
"('Homeowner vacancy rate',)","Cincinnati city, Ohio",0.6,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Cleveland city, Ohio",1.1,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Colorado Springs city, Colorado",0.5,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Columbus city, Ohio",0.8,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Corpus Christi city, Texas",1.2,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Dallas city, Texas",1.5,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Denver city, Colorado",1,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Detroit city, Michigan",3.5,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Durham city, North Carolina",1,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","El Paso city, Texas",1.3,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Fort Worth city, Texas",0.4,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Fresno city, California",0.7,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Greensboro city, North Carolina",2.1,housing_occupancy,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Henderson city, Nevada",0.6,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Houston city, Texas",1.8,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Indianapolis city (balance), Indiana",0.8,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Irvine city, California",1.2,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Jacksonville city, Florida",0.9,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Jersey City city, New Jersey",0.7,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Kansas City city, Missouri",0.8,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Las Vegas city, Nevada",0.9,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Lexington-Fayette urban county, Kentucky",0.6,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Lincoln city, Nebraska",0.6,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Long Beach city, California",0.5,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Los Angeles city, California",0.9,housing_occupancy,±0.2,(X),(X)
"('Homeowner vacancy rate',)","Memphis city, Tennessee",0.9,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Mesa city, Arizona",0.2,housing_occupancy,±0.2,(X),(X)
"('Homeowner vacancy rate',)","Miami city, Florida",1.7,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Milwaukee city, Wisconsin",1.9,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Minneapolis city, Minnesota",0.9,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Nashville-Davidson metropolitan government (balance), Tennessee",0.6,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","New Orleans city, Louisiana",1.8,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","New York city, New York",1.8,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Newark city, New Jersey",0.6,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Oakland city, California",0.8,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Oklahoma City city, Oklahoma",1.2,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Omaha city, Nebraska",0.3,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Orlando city, Florida",2.2,housing_occupancy,±1.3,(X),(X)
"('Homeowner vacancy rate',)","Philadelphia city, Pennsylvania",0.9,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Phoenix city, Arizona",0.8,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Pittsburgh city, Pennsylvania",1.5,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Plano city, Texas",1.1,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Portland city, Oregon",0.3,housing_occupancy,±0.3,(X),(X)
