Metric,City,Estimate,Group,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Minneapolis city, Minnesota","192,708",housing_occupancy,"±4,494","192,708",(X)
"('Total housing units',)","New Orleans city, Louisiana","192,236",housing_occupancy,±635,"192,236",(X)
"('Total housing units',)","New York city, New York","3,546,601",housing_occupancy,"±2,871","3,546,601",(X)
"('Total housing units',)","Newark city, New Jersey","113,623",housing_occupancy,"±3,536","113,623",(X)
"('Total housing units',)","Oakland city, California","182,574",housing_occupancy,"±4,215","182,574",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","281,616",housing_occupancy,"±3,478","281,616",(X)
"('Total housing units',)","Omaha city, Nebraska","203,034",housing_occupancy,"±1,749","203,034",(X)
"('Total housing units',)","Orlando city, Florida","138,456",housing_occupancy,"±5,042","138,456",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","691,653",housing_occupancy,"±1,639","691,653",(X)
"('Total housing units',)","Phoenix city, Arizona","637,511",housing_occupancy,"±7,460","637,511",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","158,561",housing_occupancy,"±4,198","158,561",(X)
"('Total housing units',)","Plano city, Texas","116,860",housing_occupancy,"±3,222","116,860",(X)
"('Total housing units',)","Portland city, Oregon","298,837",housing_occupancy,"±2,761","298,837",(X)
"('Total housing units',)","Raleigh city, North Carolina","205,534",housing_occupancy,"±4,438","205,534",(X)
"('Total housing units',)","Riverside city, California","91,011",housing_occupancy,"±3,139","91,011",(X)
"('Total housing units',)","Sacramento city, California","200,079",housing_occupancy,"±3,877","200,079",(X)
"('Total housing units',)","San Antonio city, Texas","561,467",housing_occupancy,"±4,448","561,467",(X)
"('Total housing units',)","San Diego city, California","556,735",housing_occupancy,"±6,671","556,735",(X)
"('Total housing units',)","San Francisco city, California","406,399",housing_occupancy,"±1,432","406,399",(X)
"('Total housing units',)","San Jose city, California","343,234",housing_occupancy,"±4,703","343,234",(X)
"('Total housing units',)","Santa Ana city, California","82,990",housing_occupancy,"±2,641","82,990",(X)
"('Total housing units',)","Seattle city, Washington","372,011",housing_occupancy,"±5,779","372,011",(X)
"('Total housing units',)","St. Louis city, Missouri","177,400",housing_occupancy,±828,"177,400",(X)
"('Total housing units',)","St. Paul city, Minnesota","121,626",housing_occupancy,"±2,783","121,626",(X)
"('Total housing units',)","Stockton city, California","104,720",housing_occupancy,"±2,937","104,720",(X)
"('Total housing units',)","Tampa city, Florida","174,379",housing_occupancy,"±4,384","174,379",(X)
"('Total housing units',)","Tucson city, Arizona","243,941",housing_occupancy,"±3,937","243,941",(X)
"('Total housing units',)","Tulsa city, Oklahoma","187,906",housing_occupancy,"±2,449","187,906",(X)
"('Total housing units',)","Virginia Beach city, Virginia","186,468",housing_occupancy,±809,"186,468",(X)
"('Total housing units',)","Washington city, District of Columbia","322,814",housing_occupancy,±133,"322,814",(X)
"('Total housing units',)","Wichita city, Kansas","172,738",housing_occupancy,"±2,168","172,738",(X)
"('Occupied housing units',)","Albuquerque city, New Mexico","227,179",housing_occupancy,"±3,703",91.70%,±1.3
"('Occupied housing units',)","Anaheim city, California","105,301",housing_occupancy,"±3,293",95.20%,±1.3
"('Occupied housing units',)","Anchorage municipality, Alaska","105,198",housing_occupancy,"±2,489",88.20%,±2.1
"('Occupied housing units',)","Arlington city, Texas","138,639",housing_occupancy,"±4,153",93.40%,±1.4
"('Occupied housing units',)","Atlanta city, Georgia","223,736",housing_occupancy,"±5,878",88.20%,±1.1
"('Occupied housing units',)","Aurora city, Colorado","136,443",housing_occupancy,"±2,693",96.10%,±0.9
"('Occupied housing units',)","Austin city, Texas","409,903",housing_occupancy,"±5,829",92.70%,±0.9
"('Occupied housing units',)","Bakersfield city, California","116,558",housing_occupancy,"±3,205",93.30%,±1.7
"('Occupied housing units',)","Baltimore city, Maryland","242,694",housing_occupancy,"±3,666",82.60%,±1.1
"('Occupied housing units',)","Boston city, Massachusetts","271,553",housing_occupancy,"±4,551",89.40%,±1.2
"('Occupied housing units',)","Charlotte city, North Carolina","342,448",housing_occupancy,"±5,660",91.20%,±1.0
"('Occupied housing units',)","Chicago city, Illinois","1,080,345",housing_occupancy,"±9,304",88.70%,±0.5
"('Occupied housing units',)","Cincinnati city, Ohio","137,582",housing_occupancy,"±3,335",86.90%,±1.5
"('Occupied housing units',)","Cleveland city, Ohio","171,632",housing_occupancy,"±4,640",82.60%,±1.3
"('Occupied housing units',)","Colorado Springs city, Colorado","188,837",housing_occupancy,"±2,803",94.80%,±1.1
"('Occupied housing units',)","Columbus city, Ohio","368,491",housing_occupancy,"±5,107",91.50%,±0.9
"('Occupied housing units',)","Corpus Christi city, Texas","119,184",housing_occupancy,"±3,288",88.50%,±2.2
"('Occupied housing units',)","Dallas city, Texas","518,998",housing_occupancy,"±7,150",88.10%,±0.7
"('Occupied housing units',)","Denver city, Colorado","318,445",housing_occupancy,"±3,441",94.10%,±1.0
"('Occupied housing units',)","Detroit city, Michigan","267,139",housing_occupancy,"±4,836",74.30%,±1.0
"('Occupied housing units',)","Durham city, North Carolina","114,726",housing_occupancy,"±2,575",92.50%,±1.7
"('Occupied housing units',)","El Paso city, Texas","223,076",housing_occupancy,"±3,642",89.20%,±1.4
"('Occupied housing units',)","Fort Worth city, Texas","309,097",housing_occupancy,"±6,094",89.20%,±1.0
"('Occupied housing units',)","Fresno city, California","172,815",housing_occupancy,"±3,237",95.70%,±0.8
"('Occupied housing units',)","Greensboro city, North Carolina","118,046",housing_occupancy,"±3,763",88.90%,±1.9
"('Occupied housing units',)","Henderson city, Nevada","121,285",housing_occupancy,"±3,413",91.30%,±1.7
"('Occupied housing units',)","Houston city, Texas","876,504",housing_occupancy,"±9,872",88.80%,±0.7
"('Occupied housing units',)","Indianapolis city (balance), Indiana","340,639",housing_occupancy,"±4,213",88.50%,±0.9
"('Occupied housing units',)","Irvine city, California","104,524",housing_occupancy,"±3,414",91.50%,±2.2
"('Occupied housing units',)","Jacksonville city, Florida","349,171",housing_occupancy,"±4,506",88.10%,±1.1
"('Occupied housing units',)","Jersey City city, New Jersey","108,939",housing_occupancy,"±2,641",93.40%,±1.4
"('Occupied housing units',)","Kansas City city, Missouri","209,768",housing_occupancy,"±4,049",87.90%,±1.1
"('Occupied housing units',)","Las Vegas city, Nevada","235,628",housing_occupancy,"±5,729",91.10%,±1.0
"('Occupied housing units',)","Lincoln city, Nebraska","117,726",housing_occupancy,"±2,263",94.80%,±1.6
"('Occupied housing units',)","Long Beach city, California","165,689",housing_occupancy,"±4,194",94.00%,±1.0
"('Occupied housing units',)","Los Angeles city, California","1,398,900",housing_occupancy,"±11,130",91.30%,±0.4
"('Occupied housing units',)","Memphis city, Tennessee","254,423",housing_occupancy,"±4,870",84.40%,±1.1
"('Occupied housing units',)","Mesa city, Arizona","187,111",housing_occupancy,"±4,486",87.00%,±1.4
"('Occupied housing units',)","Miami city, Florida","189,084",housing_occupancy,"±5,912",85.50%,±1.5
"('Occupied housing units',)","Milwaukee city, Wisconsin","232,176",housing_occupancy,"±4,317",89.30%,±1.1
"('Occupied housing units',)","Minneapolis city, Minnesota","181,833",housing_occupancy,"±4,194",94.40%,±1.1
"('Occupied housing units',)","New Orleans city, Louisiana","151,753",housing_occupancy,"±2,527",78.90%,±1.2
"('Occupied housing units',)","New York city, New York","3,211,033",housing_occupancy,"±12,221",90.50%,±0.3
"('Occupied housing units',)","Newark city, New Jersey","102,155",housing_occupancy,"±3,269",89.90%,±1.3
"('Occupied housing units',)","Oakland city, California","168,413",housing_occupancy,"±3,723",92.20%,±1.2
"('Occupied housing units',)","Oklahoma City city, Oklahoma","249,615",housing_occupancy,"±3,750",88.60%,±1.1
"('Occupied housing units',)","Omaha city, Nebraska","188,824",housing_occupancy,"±2,348",93.00%,±1.0
"('Occupied housing units',)","Orlando city, Florida","109,454",housing_occupancy,"±4,328",79.10%,±2.1
"('Occupied housing units',)","Philadelphia city, Pennsylvania","619,505",housing_occupancy,"±4,709",89.60%,±0.6
"('Occupied housing units',)","Phoenix city, Arizona","586,878",housing_occupancy,"±7,653",92.10%,±0.7
"('Occupied housing units',)","Pittsburgh city, Pennsylvania","143,276",housing_occupancy,"±3,942",90.40%,±1.3
"('Occupied housing units',)","Plano city, Texas","107,721",housing_occupancy,"±2,964",92.20%,±1.6
"('Occupied housing units',)","Portland city, Oregon","280,176",housing_occupancy,"±3,794",93.80%,±0.9
"('Occupied housing units',)","Raleigh city, North Carolina","188,412",housing_occupancy,"±4,255",91.70%,±1.3
"('Occupied housing units',)","Riverside city, California","87,189",housing_occupancy,"±3,049",95.80%,±1.3
"('Occupied housing units',)","Sacramento city, California","191,911",housing_occupancy,"±3,797",95.90%,±0.8
"('Occupied housing units',)","San Antonio city, Texas","512,273",housing_occupancy,"±5,781",91.20%,±0.7
"('Occupied housing units',)","San Diego city, California","512,530",housing_occupancy,"±7,052",92.10%,±0.9
"('Occupied housing units',)","San Francisco city, California","365,851",housing_occupancy,"±4,759",90.00%,±1.1
"('Occupied housing units',)","San Jose city, California","327,894",housing_occupancy,"±5,001",95.50%,±0.8
"('Occupied housing units',)","Santa Ana city, California","79,704",housing_occupancy,"±2,689",96.00%,±1.3
"('Occupied housing units',)","Seattle city, Washington","343,988",housing_occupancy,"±6,250",92.50%,±1.1
"('Occupied housing units',)","St. Louis city, Missouri","146,779",housing_occupancy,"±3,107",82.70%,±1.6
"('Occupied housing units',)","St. Paul city, Minnesota","110,782",housing_occupancy,"±2,452",91.10%,±1.7
"('Occupied housing units',)","Stockton city, California","96,149",housing_occupancy,"±3,251",91.80%,±1.6
"('Occupied housing units',)","Tampa city, Florida","153,918",housing_occupancy,"±3,788",88.30%,±1.6
"('Occupied housing units',)","Tucson city, Arizona","217,993",housing_occupancy,"±4,317",89.40%,±1.4
"('Occupied housing units',)","Tulsa city, Oklahoma","163,801",housing_occupancy,"±2,216",87.20%,±0.8
"('Occupied housing units',)","Virginia Beach city, Virginia","175,029",housing_occupancy,"±2,072",93.90%,±1.1
"('Occupied housing units',)","Washington city, District of Columbia","291,570",housing_occupancy,"±3,959",90.30%,±1.2
"('Occupied housing units',)","Wichita city, Kansas","153,454",housing_occupancy,"±3,015",88.80%,±1.7
"('Vacant housing units',)","Albuquerque city, New Mexico","20,537",housing_occupancy,"±3,156",8.30%,±1.3
"('Vacant housing units',)","Anaheim city, California","5,346",housing_occupancy,"±1,515",4.80%,±1.3
"('Vacant housing units',)","Anchorage municipality, Alaska","14,074",housing_occupancy,"±2,481",11.80%,±2.1
"('Vacant housing units',)","Arlington city, Texas","9,757",housing_occupancy,"±2,245",6.60%,±1.4
"('Vacant housing units',)","Atlanta city, Georgia","29,861",housing_occupancy,"±2,888",11.80%,±1.1
"('Vacant housing units',)","Aurora city, Colorado","5,466",housing_occupancy,"±1,281",3.90%,±0.9
"('Vacant housing units',)","Austin city, Texas","32,485",housing_occupancy,"±4,048",7.30%,±0.9
"('Vacant housing units',)","Bakersfield city, California","8,305",housing_occupancy,"±2,137",6.70%,±1.7
"('Vacant housing units',)","Baltimore city, Maryland","51,183",housing_occupancy,"±3,195",17.40%,±1.1
"('Vacant housing units',)","Boston city, Massachusetts","32,238",housing_occupancy,"±3,704",10.60%,±1.2
"('Vacant housing units',)","Charlotte city, North Carolina","33,090",housing_occupancy,"±3,795",8.80%,±1.0
"('Vacant housing units',)","Chicago city, Illinois","137,733",housing_occupancy,"±6,091",11.30%,±0.5
"('Vacant housing units',)","Cincinnati city, Ohio","20,812",housing_occupancy,"±2,532",13.10%,±1.5
"('Vacant housing units',)","Cleveland city, Ohio","36,181",housing_occupancy,"±2,816",17.40%,±1.3
"('Vacant housing units',)","Colorado Springs city, Colorado","10,331",housing_occupancy,"±2,177",5.20%,±1.1
"('Vacant housing units',)","Columbus city, Ohio","34,029",housing_occupancy,"±3,902",8.50%,±0.9
"('Vacant housing units',)","Corpus Christi city, Texas","15,420",housing_occupancy,"±3,035",11.50%,±2.2
"('Vacant housing units',)","Dallas city, Texas","70,262",housing_occupancy,"±4,143",11.90%,±0.7
"('Vacant housing units',)","Denver city, Colorado","19,901",housing_occupancy,"±3,326",5.90%,±1.0
"('Vacant housing units',)","Detroit city, Michigan","92,484",housing_occupancy,"±3,779",25.70%,±1.0
"('Vacant housing units',)","Durham city, North Carolina","9,275",housing_occupancy,"±2,139",7.50%,±1.7
"('Vacant housing units',)","El Paso city, Texas","27,001",housing_occupancy,"±3,523",10.80%,±1.4
"('Vacant housing units',)","Fort Worth city, Texas","37,405",housing_occupancy,"±3,609",10.80%,±1.0
"('Vacant housing units',)","Fresno city, California","7,824",housing_occupancy,"±1,474",4.30%,±0.8
"('Vacant housing units',)","Greensboro city, North Carolina","14,697",housing_occupancy,"±2,668",11.10%,±1.9
"('Vacant housing units',)","Henderson city, Nevada","11,576",housing_occupancy,"±2,410",8.70%,±1.7
"('Vacant housing units',)","Houston city, Texas","110,654",housing_occupancy,"±7,299",11.20%,±0.7
"('Vacant housing units',)","Indianapolis city (balance), Indiana","44,168",housing_occupancy,"±3,708",11.50%,±0.9
"('Vacant housing units',)","Irvine city, California","9,693",housing_occupancy,"±2,704",8.50%,±2.2
"('Vacant housing units',)","Jacksonville city, Florida","47,371",housing_occupancy,"±4,282",11.90%,±1.1
"('Vacant housing units',)","Jersey City city, New Jersey","7,663",housing_occupancy,"±1,615",6.60%,±1.4
"('Vacant housing units',)","Kansas City city, Missouri","28,779",housing_occupancy,"±2,716",12.10%,±1.1
"('Vacant housing units',)","Las Vegas city, Nevada","22,965",housing_occupancy,"±2,790",8.90%,±1.0
"('Vacant housing units',)","Lincoln city, Nebraska","6,518",housing_occupancy,"±1,936",5.20%,±1.6
"('Vacant housing units',)","Long Beach city, California","10,500",housing_occupancy,"±1,802",6.00%,±1.0
"('Vacant housing units',)","Los Angeles city, California","133,464",housing_occupancy,"±6,977",8.70%,±0.4
"('Vacant housing units',)","Memphis city, Tennessee","47,050",housing_occupancy,"±3,354",15.60%,±1.1
"('Vacant housing units',)","Mesa city, Arizona","28,039",housing_occupancy,"±3,180",13.00%,±1.4
"('Vacant housing units',)","Miami city, Florida","31,956",housing_occupancy,"±3,586",14.50%,±1.5
"('Vacant housing units',)","Milwaukee city, Wisconsin","27,848",housing_occupancy,"±2,956",10.70%,±1.1
"('Vacant housing units',)","Minneapolis city, Minnesota","10,875",housing_occupancy,"±2,197",5.60%,±1.1
"('Vacant housing units',)","New Orleans city, Louisiana","40,483",housing_occupancy,"±2,375",21.10%,±1.2
"('Vacant housing units',)","New York city, New York","335,568",housing_occupancy,"±11,674",9.50%,±0.3
"('Vacant housing units',)","Newark city, New Jersey","11,468",housing_occupancy,"±1,610",10.10%,±1.3
"('Vacant housing units',)","Oakland city, California","14,161",housing_occupancy,"±2,250",7.80%,±1.2
"('Vacant housing units',)","Oklahoma City city, Oklahoma","32,001",housing_occupancy,"±3,300",11.40%,±1.1
"('Vacant housing units',)","Omaha city, Nebraska","14,210",housing_occupancy,"±1,993",7.00%,±1.0
"('Vacant housing units',)","Orlando city, Florida","29,002",housing_occupancy,"±3,303",20.90%,±2.1
"('Vacant housing units',)","Philadelphia city, Pennsylvania","72,148",housing_occupancy,"±4,430",10.40%,±0.6
"('Vacant housing units',)","Phoenix city, Arizona","50,633",housing_occupancy,"±4,471",7.90%,±0.7
"('Vacant housing units',)","Pittsburgh city, Pennsylvania","15,285",housing_occupancy,"±2,134",9.60%,±1.3
"('Vacant housing units',)","Plano city, Texas","9,139",housing_occupancy,"±2,022",7.80%,±1.6
"('Vacant housing units',)","Portland city, Oregon","18,661",housing_occupancy,"±2,786",6.20%,±0.9
"('Vacant housing units',)","Raleigh city, North Carolina","17,122",housing_occupancy,"±2,822",8.30%,±1.3
"('Vacant housing units',)","Riverside city, California","3,822",housing_occupancy,"±1,202",4.20%,±1.3
"('Vacant housing units',)","Sacramento city, California","8,168",housing_occupancy,"±1,539",4.10%,±0.8
"('Vacant housing units',)","San Antonio city, Texas","49,194",housing_occupancy,"±4,052",8.80%,±0.7
"('Vacant housing units',)","San Diego city, California","44,205",housing_occupancy,"±4,980",7.90%,±0.9
"('Vacant housing units',)","San Francisco city, California","40,548",housing_occupancy,"±4,399",10.00%,±1.1
"('Vacant housing units',)","San Jose city, California","15,340",housing_occupancy,"±2,765",4.50%,±0.8
"('Vacant housing units',)","Santa Ana city, California","3,286",housing_occupancy,"±1,099",4.00%,±1.3
"('Vacant housing units',)","Seattle city, Washington","28,023",housing_occupancy,"±4,366",7.50%,±1.1
"('Vacant housing units',)","St. Louis city, Missouri","30,621",housing_occupancy,"±2,864",17.30%,±1.6
"('Vacant housing units',)","St. Paul city, Minnesota","10,844",housing_occupancy,"±2,171",8.90%,±1.7
"('Vacant housing units',)","Stockton city, California","8,571",housing_occupancy,"±1,656",8.20%,±1.6
"('Vacant housing units',)","Tampa city, Florida","20,461",housing_occupancy,"±2,942",11.70%,±1.6
"('Vacant housing units',)","Tucson city, Arizona","25,948",housing_occupancy,"±3,424",10.60%,±1.4
"('Vacant housing units',)","Tulsa city, Oklahoma","24,105",housing_occupancy,"±1,694",12.80%,±0.8
"('Vacant housing units',)","Virginia Beach city, Virginia","11,439",housing_occupancy,"±2,069",6.10%,±1.1
"('Vacant housing units',)","Washington city, District of Columbia","31,244",housing_occupancy,"±4,011",9.70%,±1.2
"('Vacant housing units',)","Wichita city, Kansas","19,284",housing_occupancy,"±2,948",11.20%,±1.7
"('Homeowner vacancy rate',)","Albuquerque city, New Mexico",1.4,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Anaheim city, California",1.6,housing_occupancy,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Anchorage municipality, Alaska",1.6,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Arlington city, Texas",0.6,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Atlanta city, Georgia",2.7,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Aurora city, Colorado",1.1,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Austin city, Texas",0.8,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Bakersfield city, California",1,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Baltimore city, Maryland",3.2,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Boston city, Massachusetts",1,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Charlotte city, North Carolina",1.4,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Chicago city, Illinois",1.7,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Cincinnati city, Ohio",1.5,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Cleveland city, Ohio",2,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Colorado Springs city, Colorado",1.1,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Columbus city, Ohio",0.7,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Corpus Christi city, Texas",0.4,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Dallas city, Texas",2.4,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Denver city, Colorado",1.1,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Detroit city, Michigan",5.6,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Durham city, North Carolina",1,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","El Paso city, Texas",1.4,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Fort Worth city, Texas",1.1,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Fresno city, California",0.7,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Greensboro city, North Carolina",1.3,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Henderson city, Nevada",2.5,housing_occupancy,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Houston city, Texas",2.8,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Indianapolis city (balance), Indiana",1.3,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Irvine city, California",1.9,housing_occupancy,±1.6,(X),(X)
"('Homeowner vacancy rate',)","Jacksonville city, Florida",2.9,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Jersey City city, New Jersey",2.4,housing_occupancy,±1.7,(X),(X)
"('Homeowner vacancy rate',)","Kansas City city, Missouri",0.7,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Las Vegas city, Nevada",0.9,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Lincoln city, Nebraska",0.7,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Long Beach city, California",0.4,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Los Angeles city, California",1.2,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Memphis city, Tennessee",1.7,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Mesa city, Arizona",1.2,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Miami city, Florida",3.9,housing_occupancy,±1.6,(X),(X)
"('Homeowner vacancy rate',)","Milwaukee city, Wisconsin",1.4,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Minneapolis city, Minnesota",1.2,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","New Orleans city, Louisiana",1.9,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","New York city, New York",2,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Newark city, New Jersey",1.6,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Oakland city, California",0.6,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Oklahoma City city, Oklahoma",1.3,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Omaha city, Nebraska",0.5,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Orlando city, Florida",6,housing_occupancy,±2.4,(X),(X)
"('Homeowner vacancy rate',)","Philadelphia city, Pennsylvania",1.1,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Phoenix city, Arizona",1.8,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Pittsburgh city, Pennsylvania",1.5,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Plano city, Texas",0.8,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Portland city, Oregon",1.1,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Raleigh city, North Carolina",1.2,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Riverside city, California",0.4,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Sacramento city, California",1.2,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","San Antonio city, Texas",1.9,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","San Diego city, California",1.3,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","San Francisco city, California",0.9,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","San Jose city, California",0.6,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Santa Ana city, California",1.1,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Seattle city, Washington",1.8,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","St. Louis city, Missouri",4.6,housing_occupancy,±1.2,(X),(X)
