Metric,City,Estimate,Group,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Irvine city, California","103,560",housing_occupancy,"±4,014","103,560",(X)
"('Total housing units',)","Jacksonville city, Florida","382,572",housing_occupancy,"±1,878","382,572",(X)
"('Total housing units',)","Jersey City city, New Jersey","114,196",housing_occupancy,"±2,866","114,196",(X)
"('Total housing units',)","Kansas City city, Missouri","236,135",housing_occupancy,"±3,563","236,135",(X)
"('Total housing units',)","Las Vegas city, Nevada","259,374",housing_occupancy,"±4,771","259,374",(X)
"('Total housing units',)","Lincoln city, Nebraska","119,639",housing_occupancy,"±1,025","119,639",(X)
"('Total housing units',)","Long Beach city, California","175,632",housing_occupancy,"±4,157","175,632",(X)
"('Total housing units',)","Los Angeles city, California","1,496,661",housing_occupancy,"±9,511","1,496,661",(X)
"('Total housing units',)","Memphis city, Tennessee","298,121",housing_occupancy,"±3,353","298,121",(X)
"('Total housing units',)","Mesa city, Arizona","208,391",housing_occupancy,"±4,813","208,391",(X)
"('Total housing units',)","Miami city, Florida","201,784",housing_occupancy,"±5,066","201,784",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","260,581",housing_occupancy,"±3,444","260,581",(X)
"('Total housing units',)","Minneapolis city, Minnesota","188,084",housing_occupancy,"±3,817","188,084",(X)
"('Total housing units',)","New Orleans city, Louisiana","191,688",housing_occupancy,"±1,075","191,688",(X)
"('Total housing units',)","New York city, New York","3,497,344",housing_occupancy,"±2,448","3,497,344",(X)
"('Total housing units',)","Newark city, New Jersey","113,025",housing_occupancy,"±3,172","113,025",(X)
"('Total housing units',)","Oakland city, California","168,166",housing_occupancy,"±3,838","168,166",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","268,953",housing_occupancy,"±3,094","268,953",(X)
"('Total housing units',)","Omaha city, Nebraska","199,510",housing_occupancy,"±1,546","199,510",(X)
"('Total housing units',)","Orlando city, Florida","128,403",housing_occupancy,"±4,909","128,403",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","685,988",housing_occupancy,"±1,730","685,988",(X)
"('Total housing units',)","Phoenix city, Arizona","618,561",housing_occupancy,"±8,332","618,561",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","158,277",housing_occupancy,"±3,688","158,277",(X)
"('Total housing units',)","Plano city, Texas","113,234",housing_occupancy,"±3,522","113,234",(X)
"('Total housing units',)","Portland city, Oregon","284,258",housing_occupancy,"±2,780","284,258",(X)
"('Total housing units',)","Raleigh city, North Carolina","203,936",housing_occupancy,"±3,572","203,936",(X)
"('Total housing units',)","Riverside city, California","91,403",housing_occupancy,"±3,577","91,403",(X)
"('Total housing units',)","Sacramento city, California","199,760",housing_occupancy,"±3,791","199,760",(X)
"('Total housing units',)","San Antonio city, Texas","552,520",housing_occupancy,"±3,697","552,520",(X)
"('Total housing units',)","San Diego city, California","543,238",housing_occupancy,"±6,269","543,238",(X)
"('Total housing units',)","San Francisco city, California","397,566",housing_occupancy,"±1,185","397,566",(X)
"('Total housing units',)","San Jose city, California","338,738",housing_occupancy,"±4,612","338,738",(X)
"('Total housing units',)","Santa Ana city, California","79,680",housing_occupancy,"±3,053","79,680",(X)
"('Total housing units',)","Seattle city, Washington","355,293",housing_occupancy,"±5,813","355,293",(X)
"('Total housing units',)","St. Louis city, Missouri","176,850",housing_occupancy,±823,"176,850",(X)
"('Total housing units',)","St. Paul city, Minnesota","118,045",housing_occupancy,"±2,476","118,045",(X)
"('Total housing units',)","Stockton city, California","100,823",housing_occupancy,"±3,104","100,823",(X)
"('Total housing units',)","Tampa city, Florida","175,475",housing_occupancy,"±3,498","175,475",(X)
"('Total housing units',)","Tucson city, Arizona","238,999",housing_occupancy,"±3,905","238,999",(X)
"('Total housing units',)","Tulsa city, Oklahoma","187,612",housing_occupancy,"±2,076","187,612",(X)
"('Total housing units',)","Virginia Beach city, Virginia","184,999",housing_occupancy,±783,"184,999",(X)
"('Total housing units',)","Washington city, District of Columbia","314,843",housing_occupancy,±99,"314,843",(X)
"('Total housing units',)","Wichita city, Kansas","172,824",housing_occupancy,"±1,949","172,824",(X)
"('Occupied housing units',)","Albuquerque city, New Mexico","221,418",housing_occupancy,"±3,270",90.50%,±1.1
"('Occupied housing units',)","Anaheim city, California","98,734",housing_occupancy,"±3,360",96.30%,±0.8
"('Occupied housing units',)","Anchorage municipality, Alaska","107,373",housing_occupancy,"±1,962",91.50%,±1.7
"('Occupied housing units',)","Arlington city, Texas","131,485",housing_occupancy,"±3,654",90.10%,±1.6
"('Occupied housing units',)","Atlanta city, Georgia","199,717",housing_occupancy,"±5,434",81.50%,±1.6
"('Occupied housing units',)","Aurora city, Colorado","128,100",housing_occupancy,"±3,000",95.50%,±0.9
"('Occupied housing units',)","Austin city, Texas","376,509",housing_occupancy,"±6,217",90.10%,±0.8
"('Occupied housing units',)","Bakersfield city, California","118,508",housing_occupancy,"±2,821",93.60%,±1.4
"('Occupied housing units',)","Baltimore city, Maryland","240,280",housing_occupancy,"±3,634",81.60%,±1.2
"('Occupied housing units',)","Boston city, Massachusetts","268,304",housing_occupancy,"±3,495",91.40%,±1.0
"('Occupied housing units',)","Charlotte city, North Carolina","331,822",housing_occupancy,"±4,253",92.30%,±1.0
"('Occupied housing units',)","Chicago city, Illinois","1,047,695",housing_occupancy,"±10,142",86.40%,±0.5
"('Occupied housing units',)","Cincinnati city, Ohio","140,911",housing_occupancy,"±2,977",85.40%,±1.3
"('Occupied housing units',)","Cleveland city, Ohio","171,717",housing_occupancy,"±3,269",80.70%,±1.2
"('Occupied housing units',)","Colorado Springs city, Colorado","181,677",housing_occupancy,"±2,622",95.60%,±0.8
"('Occupied housing units',)","Columbus city, Ohio","355,414",housing_occupancy,"±4,641",90.70%,±1.0
"('Occupied housing units',)","Corpus Christi city, Texas","115,797",housing_occupancy,"±2,373",87.70%,±1.7
"('Occupied housing units',)","Dallas city, Texas","513,084",housing_occupancy,"±5,613",89.40%,±0.8
"('Occupied housing units',)","Denver city, Colorado","296,938",housing_occupancy,"±2,993",92.60%,±0.9
"('Occupied housing units',)","Detroit city, Michigan","264,360",housing_occupancy,"±4,612",72.70%,±1.1
"('Occupied housing units',)","Durham city, North Carolina","110,017",housing_occupancy,"±2,128",92.50%,±1.5
"('Occupied housing units',)","El Paso city, Texas","229,156",housing_occupancy,"±2,764",90.60%,±1.0
"('Occupied housing units',)","Fort Worth city, Texas","299,593",housing_occupancy,"±4,906",90.80%,±1.1
"('Occupied housing units',)","Fresno city, California","169,409",housing_occupancy,"±3,216",93.90%,±1.1
"('Occupied housing units',)","Greensboro city, North Carolina","115,802",housing_occupancy,"±3,260",88.70%,±1.5
"('Occupied housing units',)","Henderson city, Nevada","116,407",housing_occupancy,"±3,038",87.70%,±1.7
"('Occupied housing units',)","Houston city, Texas","837,686",housing_occupancy,"±10,337",87.40%,±0.7
"('Occupied housing units',)","Indianapolis city (balance), Indiana","334,101",housing_occupancy,"±3,914",86.80%,±0.9
"('Occupied housing units',)","Irvine city, California","97,161",housing_occupancy,"±3,469",93.80%,±1.8
"('Occupied housing units',)","Jacksonville city, Florida","338,564",housing_occupancy,"±3,480",88.50%,±0.9
"('Occupied housing units',)","Jersey City city, New Jersey","99,363",housing_occupancy,"±2,727",87.00%,±1.6
"('Occupied housing units',)","Kansas City city, Missouri","204,678",housing_occupancy,"±3,655",86.70%,±1.4
"('Occupied housing units',)","Las Vegas city, Nevada","233,581",housing_occupancy,"±4,902",90.10%,±1.0
"('Occupied housing units',)","Lincoln city, Nebraska","111,610",housing_occupancy,"±1,859",93.30%,±1.4
"('Occupied housing units',)","Long Beach city, California","167,447",housing_occupancy,"±4,073",95.30%,±0.9
"('Occupied housing units',)","Los Angeles city, California","1,384,851",housing_occupancy,"±9,554",92.50%,±0.3
"('Occupied housing units',)","Memphis city, Tennessee","246,518",housing_occupancy,"±4,056",82.70%,±1.2
"('Occupied housing units',)","Mesa city, Arizona","177,276",housing_occupancy,"±3,969",85.10%,±1.2
"('Occupied housing units',)","Miami city, Florida","170,005",housing_occupancy,"±4,590",84.30%,±1.4
"('Occupied housing units',)","Milwaukee city, Wisconsin","228,054",housing_occupancy,"±4,186",87.50%,±1.1
"('Occupied housing units',)","Minneapolis city, Minnesota","176,416",housing_occupancy,"±3,659",93.80%,±1.1
"('Occupied housing units',)","New Orleans city, Louisiana","154,560",housing_occupancy,"±2,853",80.60%,±1.3
"('Occupied housing units',)","New York city, New York","3,159,674",housing_occupancy,"±11,338",90.30%,±0.3
"('Occupied housing units',)","Newark city, New Jersey","98,678",housing_occupancy,"±2,980",87.30%,±1.3
"('Occupied housing units',)","Oakland city, California","158,851",housing_occupancy,"±3,580",94.50%,±1.0
"('Occupied housing units',)","Oklahoma City city, Oklahoma","237,932",housing_occupancy,"±3,351",88.50%,±1.0
"('Occupied housing units',)","Omaha city, Nebraska","184,938",housing_occupancy,"±2,157",92.70%,±1.0
"('Occupied housing units',)","Orlando city, Florida","107,590",housing_occupancy,"±3,673",83.80%,±2.4
"('Occupied housing units',)","Philadelphia city, Pennsylvania","606,142",housing_occupancy,"±4,673",88.40%,±0.6
"('Occupied housing units',)","Phoenix city, Arizona","559,155",housing_occupancy,"±6,855",90.40%,±0.6
"('Occupied housing units',)","Pittsburgh city, Pennsylvania","137,442",housing_occupancy,"±3,392",86.80%,±1.5
"('Occupied housing units',)","Plano city, Texas","106,078",housing_occupancy,"±3,217",93.70%,±1.2
"('Occupied housing units',)","Portland city, Oregon","265,700",housing_occupancy,"±3,566",93.50%,±1.0
"('Occupied housing units',)","Raleigh city, North Carolina","183,672",housing_occupancy,"±3,738",90.10%,±1.3
"('Occupied housing units',)","Riverside city, California","86,905",housing_occupancy,"±3,358",95.10%,±1.2
"('Occupied housing units',)","Sacramento city, California","189,193",housing_occupancy,"±3,813",94.70%,±0.9
"('Occupied housing units',)","San Antonio city, Texas","501,645",housing_occupancy,"±5,428",90.80%,±0.8
"('Occupied housing units',)","San Diego city, California","504,208",housing_occupancy,"±6,575",92.80%,±0.7
"('Occupied housing units',)","San Francisco city, California","360,323",housing_occupancy,"±4,331",90.60%,±1.1
"('Occupied housing units',)","San Jose city, California","321,913",housing_occupancy,"±4,299",95.00%,±0.7
"('Occupied housing units',)","Santa Ana city, California","76,650",housing_occupancy,"±2,880",96.20%,±1.1
"('Occupied housing units',)","Seattle city, Washington","329,671",housing_occupancy,"±5,082",92.80%,±1.0
"('Occupied housing units',)","St. Louis city, Missouri","138,513",housing_occupancy,"±2,993",78.30%,±1.7
"('Occupied housing units',)","St. Paul city, Minnesota","112,467",housing_occupancy,"±2,566",95.30%,±1.2
"('Occupied housing units',)","Stockton city, California","91,392",housing_occupancy,"±2,741",90.60%,±1.5
"('Occupied housing units',)","Tampa city, Florida","154,040",housing_occupancy,"±3,508",87.80%,±1.4
"('Occupied housing units',)","Tucson city, Arizona","211,560",housing_occupancy,"±3,807",88.50%,±1.1
"('Occupied housing units',)","Tulsa city, Oklahoma","162,640",housing_occupancy,"±2,414",86.70%,±0.9
"('Occupied housing units',)","Virginia Beach city, Virginia","168,818",housing_occupancy,"±2,960",91.30%,±1.5
"('Occupied housing units',)","Washington city, District of Columbia","281,475",housing_occupancy,"±3,302",89.40%,±1.1
"('Occupied housing units',)","Wichita city, Kansas","152,691",housing_occupancy,"±2,928",88.40%,±1.5
"('Vacant housing units',)","Albuquerque city, New Mexico","23,238",housing_occupancy,"±2,760",9.50%,±1.1
"('Vacant housing units',)","Anaheim city, California","3,808",housing_occupancy,±893,3.70%,±0.8
"('Vacant housing units',)","Anchorage municipality, Alaska","9,925",housing_occupancy,"±1,984",8.50%,±1.7
"('Vacant housing units',)","Arlington city, Texas","14,372",housing_occupancy,"±2,423",9.90%,±1.6
"('Vacant housing units',)","Atlanta city, Georgia","45,346",housing_occupancy,"±4,209",18.50%,±1.6
"('Vacant housing units',)","Aurora city, Colorado","6,075",housing_occupancy,"±1,294",4.50%,±0.9
"('Vacant housing units',)","Austin city, Texas","41,430",housing_occupancy,"±3,485",9.90%,±0.8
"('Vacant housing units',)","Bakersfield city, California","8,116",housing_occupancy,"±1,777",6.40%,±1.4
"('Vacant housing units',)","Baltimore city, Maryland","54,254",housing_occupancy,"±3,494",18.40%,±1.2
"('Vacant housing units',)","Boston city, Massachusetts","25,234",housing_occupancy,"±2,869",8.60%,±1.0
"('Vacant housing units',)","Charlotte city, North Carolina","27,504",housing_occupancy,"±3,566",7.70%,±1.0
"('Vacant housing units',)","Chicago city, Illinois","165,237",housing_occupancy,"±6,118",13.60%,±0.5
"('Vacant housing units',)","Cincinnati city, Ohio","24,033",housing_occupancy,"±2,331",14.60%,±1.3
"('Vacant housing units',)","Cleveland city, Ohio","41,009",housing_occupancy,"±2,940",19.30%,±1.2
"('Vacant housing units',)","Colorado Springs city, Colorado","8,348",housing_occupancy,"±1,596",4.40%,±0.8
"('Vacant housing units',)","Columbus city, Ohio","36,302",housing_occupancy,"±3,967",9.30%,±1.0
"('Vacant housing units',)","Corpus Christi city, Texas","16,183",housing_occupancy,"±2,243",12.30%,±1.7
"('Vacant housing units',)","Dallas city, Texas","60,583",housing_occupancy,"±4,789",10.60%,±0.8
"('Vacant housing units',)","Denver city, Colorado","23,613",housing_occupancy,"±2,907",7.40%,±0.9
"('Vacant housing units',)","Detroit city, Michigan","99,165",housing_occupancy,"±4,340",27.30%,±1.1
"('Vacant housing units',)","Durham city, North Carolina","8,978",housing_occupancy,"±1,865",7.50%,±1.5
"('Vacant housing units',)","El Paso city, Texas","23,813",housing_occupancy,"±2,574",9.40%,±1.0
"('Vacant housing units',)","Fort Worth city, Texas","30,186",housing_occupancy,"±3,746",9.20%,±1.1
"('Vacant housing units',)","Fresno city, California","11,086",housing_occupancy,"±1,995",6.10%,±1.1
"('Vacant housing units',)","Greensboro city, North Carolina","14,818",housing_occupancy,"±2,057",11.30%,±1.5
"('Vacant housing units',)","Henderson city, Nevada","16,381",housing_occupancy,"±2,484",12.30%,±1.7
"('Vacant housing units',)","Houston city, Texas","120,735",housing_occupancy,"±7,131",12.60%,±0.7
"('Vacant housing units',)","Indianapolis city (balance), Indiana","50,866",housing_occupancy,"±3,637",13.20%,±0.9
"('Vacant housing units',)","Irvine city, California","6,399",housing_occupancy,"±1,970",6.20%,±1.8
"('Vacant housing units',)","Jacksonville city, Florida","44,008",housing_occupancy,"±3,339",11.50%,±0.9
"('Vacant housing units',)","Jersey City city, New Jersey","14,833",housing_occupancy,"±2,001",13.00%,±1.6
"('Vacant housing units',)","Kansas City city, Missouri","31,457",housing_occupancy,"±3,421",13.30%,±1.4
"('Vacant housing units',)","Las Vegas city, Nevada","25,793",housing_occupancy,"±2,751",9.90%,±1.0
"('Vacant housing units',)","Lincoln city, Nebraska","8,029",housing_occupancy,"±1,736",6.70%,±1.4
"('Vacant housing units',)","Long Beach city, California","8,185",housing_occupancy,"±1,579",4.70%,±0.9
"('Vacant housing units',)","Los Angeles city, California","111,810",housing_occupancy,"±5,262",7.50%,±0.3
"('Vacant housing units',)","Memphis city, Tennessee","51,603",housing_occupancy,"±3,745",17.30%,±1.2
"('Vacant housing units',)","Mesa city, Arizona","31,115",housing_occupancy,"±2,895",14.90%,±1.2
"('Vacant housing units',)","Miami city, Florida","31,779",housing_occupancy,"±3,033",15.70%,±1.4
"('Vacant housing units',)","Milwaukee city, Wisconsin","32,527",housing_occupancy,"±2,846",12.50%,±1.1
"('Vacant housing units',)","Minneapolis city, Minnesota","11,668",housing_occupancy,"±2,059",6.20%,±1.1
"('Vacant housing units',)","New Orleans city, Louisiana","37,128",housing_occupancy,"±2,551",19.40%,±1.3
"('Vacant housing units',)","New York city, New York","337,670",housing_occupancy,"±11,476",9.70%,±0.3
"('Vacant housing units',)","Newark city, New Jersey","14,347",housing_occupancy,"±1,570",12.70%,±1.3
"('Vacant housing units',)","Oakland city, California","9,315",housing_occupancy,"±1,796",5.50%,±1.0
"('Vacant housing units',)","Oklahoma City city, Oklahoma","31,021",housing_occupancy,"±2,940",11.50%,±1.0
"('Vacant housing units',)","Omaha city, Nebraska","14,572",housing_occupancy,"±1,949",7.30%,±1.0
"('Vacant housing units',)","Orlando city, Florida","20,813",housing_occupancy,"±3,488",16.20%,±2.4
"('Vacant housing units',)","Philadelphia city, Pennsylvania","79,846",housing_occupancy,"±4,289",11.60%,±0.6
"('Vacant housing units',)","Phoenix city, Arizona","59,406",housing_occupancy,"±4,066",9.60%,±0.6
"('Vacant housing units',)","Pittsburgh city, Pennsylvania","20,835",housing_occupancy,"±2,512",13.20%,±1.5
"('Vacant housing units',)","Plano city, Texas","7,156",housing_occupancy,"±1,491",6.30%,±1.2
"('Vacant housing units',)","Portland city, Oregon","18,558",housing_occupancy,"±2,797",6.50%,±1.0
"('Vacant housing units',)","Raleigh city, North Carolina","20,264",housing_occupancy,"±2,711",9.90%,±1.3
"('Vacant housing units',)","Riverside city, California","4,498",housing_occupancy,"±1,166",4.90%,±1.2
"('Vacant housing units',)","Sacramento city, California","10,567",housing_occupancy,"±1,815",5.30%,±0.9
"('Vacant housing units',)","San Antonio city, Texas","50,875",housing_occupancy,"±4,340",9.20%,±0.8
"('Vacant housing units',)","San Diego city, California","39,030",housing_occupancy,"±3,874",7.20%,±0.7
"('Vacant housing units',)","San Francisco city, California","37,243",housing_occupancy,"±4,309",9.40%,±1.1
"('Vacant housing units',)","San Jose city, California","16,825",housing_occupancy,"±2,388",5.00%,±0.7
"('Vacant housing units',)","Santa Ana city, California","3,030",housing_occupancy,±943,3.80%,±1.1
"('Vacant housing units',)","Seattle city, Washington","25,622",housing_occupancy,"±3,652",7.20%,±1.0
"('Vacant housing units',)","St. Louis city, Missouri","38,337",housing_occupancy,"±2,960",21.70%,±1.7
"('Vacant housing units',)","St. Paul city, Minnesota","5,578",housing_occupancy,"±1,391",4.70%,±1.2
"('Vacant housing units',)","Stockton city, California","9,431",housing_occupancy,"±1,590",9.40%,±1.5
"('Vacant housing units',)","Tampa city, Florida","21,435",housing_occupancy,"±2,671",12.20%,±1.4
"('Vacant housing units',)","Tucson city, Arizona","27,439",housing_occupancy,"±2,785",11.50%,±1.1
"('Vacant housing units',)","Tulsa city, Oklahoma","24,972",housing_occupancy,"±1,757",13.30%,±0.9
"('Vacant housing units',)","Virginia Beach city, Virginia","16,181",housing_occupancy,"±2,740",8.70%,±1.5
"('Vacant housing units',)","Washington city, District of Columbia","33,368",housing_occupancy,"±3,311",10.60%,±1.1
"('Vacant housing units',)","Wichita city, Kansas","20,133",housing_occupancy,"±2,656",11.60%,±1.5
"('Homeowner vacancy rate',)","Albuquerque city, New Mexico",1.4,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Anaheim city, California",0.4,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Anchorage municipality, Alaska",0.7,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Arlington city, Texas",1.7,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Atlanta city, Georgia",2.9,housing_occupancy,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Aurora city, Colorado",0.9,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Austin city, Texas",1.7,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Bakersfield city, California",1.3,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Baltimore city, Maryland",3.5,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Boston city, Massachusetts",1.8,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Charlotte city, North Carolina",1.2,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Chicago city, Illinois",2.6,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Cincinnati city, Ohio",0.7,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Cleveland city, Ohio",2.3,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Colorado Springs city, Colorado",0.6,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Columbus city, Ohio",1.3,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Corpus Christi city, Texas",2.7,housing_occupancy,±1.5,(X),(X)
"('Homeowner vacancy rate',)","Dallas city, Texas",2.1,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Denver city, Colorado",1.2,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Detroit city, Michigan",4.2,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Durham city, North Carolina",0.1,housing_occupancy,±0.2,(X),(X)
"('Homeowner vacancy rate',)","El Paso city, Texas",2.5,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Fort Worth city, Texas",1.4,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Fresno city, California",0.6,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Greensboro city, North Carolina",2.7,housing_occupancy,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Henderson city, Nevada",4.3,housing_occupancy,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Houston city, Texas",2.1,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Indianapolis city (balance), Indiana",2,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Irvine city, California",2.7,housing_occupancy,±1.9,(X),(X)
"('Homeowner vacancy rate',)","Jacksonville city, Florida",2.2,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Jersey City city, New Jersey",1.8,housing_occupancy,±1.3,(X),(X)
"('Homeowner vacancy rate',)","Kansas City city, Missouri",1.7,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Las Vegas city, Nevada",1.9,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Lincoln city, Nebraska",0.9,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Long Beach city, California",1.1,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Los Angeles city, California",1,housing_occupancy,±0.2,(X),(X)
"('Homeowner vacancy rate',)","Memphis city, Tennessee",1.4,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Mesa city, Arizona",1.8,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Miami city, Florida",3.8,housing_occupancy,±1.8,(X),(X)
"('Homeowner vacancy rate',)","Milwaukee city, Wisconsin",3.1,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Minneapolis city, Minnesota",1.4,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","New Orleans city, Louisiana",2.3,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","New York city, New York",1.7,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Newark city, New Jersey",3.7,housing_occupancy,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Oakland city, California",0.9,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Oklahoma City city, Oklahoma",1.7,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Omaha city, Nebraska",0.9,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Orlando city, Florida",4.3,housing_occupancy,±2.2,(X),(X)
"('Homeowner vacancy rate',)","Philadelphia city, Pennsylvania",1.7,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Phoenix city, Arizona",1.7,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Pittsburgh city, Pennsylvania",0.8,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Plano city, Texas",1.4,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Portland city, Oregon",1.3,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Raleigh city, North Carolina",1.1,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Riverside city, California",1,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Sacramento city, California",1.2,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","San Antonio city, Texas",1.7,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","San Diego city, California",0.7,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","San Francisco city, California",0.9,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","San Jose city, California",0.1,housing_occupancy,±0.2,(X),(X)
"('Homeowner vacancy rate',)","Santa Ana city, California",1.3,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Seattle city, Washington",0.7,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","St. Louis city, Missouri",3.1,housing_occupancy,±1.1,(X),(X)
