Metric,City,Estimate,Group,Estimate Margin of Error,Percent,Percent Margin of Error
"('Vacant housing units',)","Cincinnati city, Ohio","24,765",housing_occupancy,"±2,208",15.70%,±1.3
"('Vacant housing units',)","Cleveland city, Ohio","42,403",housing_occupancy,"±2,613",20.50%,±1.2
"('Vacant housing units',)","Colorado Springs city, Colorado","12,451",housing_occupancy,"±2,402",6.80%,±1.3
"('Vacant housing units',)","Columbus city, Ohio","47,404",housing_occupancy,"±3,995",12.60%,±1.0
"('Vacant housing units',)","Corpus Christi city, Texas","11,299",housing_occupancy,"±2,094",8.90%,±1.6
"('Vacant housing units',)","Dallas city, Texas","53,759",housing_occupancy,"±4,530",10.10%,±0.8
"('Vacant housing units',)","Denver city, Colorado","20,172",housing_occupancy,"±2,856",6.90%,±1.0
"('Vacant housing units',)","Detroit city, Michigan","113,154",housing_occupancy,"±3,977",30.70%,±0.9
"('Vacant housing units',)","Durham city, North Carolina","8,607",housing_occupancy,"±1,699",8.00%,±1.5
"('Vacant housing units',)","El Paso city, Texas","20,225",housing_occupancy,"±2,741",8.40%,±1.1
"('Vacant housing units',)","Fort Worth city, Texas","26,070",housing_occupancy,"±3,073",8.80%,±1.0
"('Vacant housing units',)","Fresno city, California","13,171",housing_occupancy,"±2,495",7.50%,±1.4
"('Vacant housing units',)","Greensboro city, North Carolina","12,940",housing_occupancy,"±2,163",10.10%,±1.6
"('Vacant housing units',)","Henderson city, Nevada","14,486",housing_occupancy,"±2,227",12.10%,±1.7
"('Vacant housing units',)","Houston city, Texas","110,753",housing_occupancy,"±6,169",12.00%,±0.6
"('Vacant housing units',)","Indianapolis city (balance), Indiana","52,738",housing_occupancy,"±4,344",13.90%,±1.1
"('Vacant housing units',)","Irvine city, California","3,861",housing_occupancy,"±1,523",4.40%,±1.7
"('Vacant housing units',)","Jacksonville city, Florida","54,686",housing_occupancy,"±4,008",14.80%,±1.1
"('Vacant housing units',)","Jersey City city, New Jersey","12,581",housing_occupancy,"±1,924",11.40%,±1.6
"('Vacant housing units',)","Kansas City city, Missouri","32,280",housing_occupancy,"±2,965",14.30%,±1.2
"('Vacant housing units',)","Las Vegas city, Nevada","35,267",housing_occupancy,"±3,241",14.40%,±1.3
"('Vacant housing units',)","Lincoln city, Nebraska","5,769",housing_occupancy,"±1,622",5.10%,±1.4
"('Vacant housing units',)","Long Beach city, California","10,080",housing_occupancy,"±1,804",5.80%,±1.0
"('Vacant housing units',)","Los Angeles city, California","86,682",housing_occupancy,"±4,503",6.20%,±0.3
"('Vacant housing units',)","Memphis city, Tennessee","47,308",housing_occupancy,"±3,327",15.90%,±1.1
"('Vacant housing units',)","Mesa city, Arizona","33,253",housing_occupancy,"±3,206",16.60%,±1.4
"('Vacant housing units',)","Miami city, Florida","32,484",housing_occupancy,"±3,354",17.40%,±1.7
"('Vacant housing units',)","Milwaukee city, Wisconsin","27,575",housing_occupancy,"±2,350",10.60%,±0.9
"('Vacant housing units',)","Minneapolis city, Minnesota","11,676",housing_occupancy,"±1,914",6.50%,±1.0
"('Vacant housing units',)","New Orleans city, Louisiana","33,211",housing_occupancy,"±2,288",17.30%,±1.2
"('Vacant housing units',)","New York city, New York","309,625",housing_occupancy,"±9,009",9.10%,±0.3
"('Vacant housing units',)","Newark city, New Jersey","16,669",housing_occupancy,"±1,623",15.20%,±1.4
"('Vacant housing units',)","Oakland city, California","11,748",housing_occupancy,"±1,703",7.10%,±1.0
"('Vacant housing units',)","Oklahoma City city, Oklahoma","28,976",housing_occupancy,"±2,790",11.10%,±1.0
"('Vacant housing units',)","Omaha city, Nebraska","13,635",housing_occupancy,"±2,233",7.40%,±1.2
"('Vacant housing units',)","Orlando city, Florida","21,424",housing_occupancy,"±2,967",17.20%,±2.2
"('Vacant housing units',)","Philadelphia city, Pennsylvania","85,097",housing_occupancy,"±4,610",12.70%,±0.7
"('Vacant housing units',)","Phoenix city, Arizona","77,419",housing_occupancy,"±5,004",13.00%,±0.8
"('Vacant housing units',)","Pittsburgh city, Pennsylvania","21,745",housing_occupancy,"±3,008",14.30%,±1.9
"('Vacant housing units',)","Plano city, Texas","4,683",housing_occupancy,"±1,458",4.20%,±1.3
"('Vacant housing units',)","Portland city, Oregon","15,035",housing_occupancy,"±2,503",5.60%,±0.9
"('Vacant housing units',)","Raleigh city, North Carolina","14,763",housing_occupancy,"±2,910",8.00%,±1.5
"('Vacant housing units',)","Riverside city, California","6,398",housing_occupancy,"±1,556",6.70%,±1.5
"('Vacant housing units',)","Sacramento city, California","15,788",housing_occupancy,"±2,847",8.30%,±1.4
"('Vacant housing units',)","San Antonio city, Texas","45,431",housing_occupancy,"±3,678",8.40%,±0.7
"('Vacant housing units',)","San Diego city, California","37,623",housing_occupancy,"±3,707",7.30%,±0.7
"('Vacant housing units',)","San Francisco city, California","26,350",housing_occupancy,"±3,597",6.90%,±0.9
"('Vacant housing units',)","San Jose city, California","10,438",housing_occupancy,"±1,832",3.20%,±0.6
"('Vacant housing units',)","Santa Ana city, California","1,716",housing_occupancy,±746,2.20%,±0.9
"('Vacant housing units',)","Seattle city, Washington","16,960",housing_occupancy,"±3,159",5.40%,±1.0
"('Vacant housing units',)","St. Louis city, Missouri","34,593",housing_occupancy,"±3,087",19.80%,±1.8
"('Vacant housing units',)","St. Paul city, Minnesota","7,528",housing_occupancy,"±1,330",6.40%,±1.1
"('Vacant housing units',)","Stockton city, California","9,694",housing_occupancy,"±1,693",9.60%,±1.6
"('Vacant housing units',)","Tampa city, Florida","16,744",housing_occupancy,"±2,180",10.30%,±1.3
"('Vacant housing units',)","Tucson city, Arizona","26,326",housing_occupancy,"±2,691",11.30%,±1.1
"('Vacant housing units',)","Tulsa city, Oklahoma","23,636",housing_occupancy,"±1,588",12.70%,±0.8
"('Vacant housing units',)","Virginia Beach city, Virginia","15,030",housing_occupancy,"±2,197",8.30%,±1.2
"('Vacant housing units',)","Washington city, District of Columbia","31,324",housing_occupancy,"±3,231",10.30%,±1.1
"('Vacant housing units',)","Wichita city, Kansas","16,672",housing_occupancy,"±2,532",9.90%,±1.5
"('Homeowner vacancy rate',)","Albuquerque city, New Mexico",2.1,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Anaheim city, California",1,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Anchorage municipality, Alaska",1.9,housing_occupancy,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Arlington city, Texas",1.6,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Atlanta city, Georgia",3.2,housing_occupancy,±1.3,(X),(X)
"('Homeowner vacancy rate',)","Aurora city, Colorado",0.2,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Austin city, Texas",1,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Bakersfield city, California",0.6,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Baltimore city, Maryland",5.2,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Boston city, Massachusetts",0.4,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Charlotte city, North Carolina",2.3,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Chicago city, Illinois",2.4,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Cincinnati city, Ohio",3.3,housing_occupancy,±1.6,(X),(X)
"('Homeowner vacancy rate',)","Cleveland city, Ohio",2.7,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Colorado Springs city, Colorado",1.6,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Columbus city, Ohio",2.4,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Corpus Christi city, Texas",1.8,housing_occupancy,±1.3,(X),(X)
"('Homeowner vacancy rate',)","Dallas city, Texas",1.4,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Denver city, Colorado",1.5,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Detroit city, Michigan",4.9,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Durham city, North Carolina",2.9,housing_occupancy,±1.7,(X),(X)
"('Homeowner vacancy rate',)","El Paso city, Texas",1.6,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Fort Worth city, Texas",1.6,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Fresno city, California",1.1,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Greensboro city, North Carolina",2,housing_occupancy,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Henderson city, Nevada",3.1,housing_occupancy,±1.3,(X),(X)
"('Homeowner vacancy rate',)","Houston city, Texas",1.7,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Indianapolis city (balance), Indiana",2.5,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Irvine city, California",0.2,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Jacksonville city, Florida",1.8,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Jersey City city, New Jersey",2.2,housing_occupancy,±1.5,(X),(X)
"('Homeowner vacancy rate',)","Kansas City city, Missouri",2.1,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Las Vegas city, Nevada",1.7,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Lincoln city, Nebraska",0.1,housing_occupancy,±0.1,(X),(X)
"('Homeowner vacancy rate',)","Long Beach city, California",2,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Los Angeles city, California",1,housing_occupancy,±0.2,(X),(X)
"('Homeowner vacancy rate',)","Memphis city, Tennessee",2.7,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Mesa city, Arizona",2.6,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Miami city, Florida",2.5,housing_occupancy,±1.5,(X),(X)
"('Homeowner vacancy rate',)","Milwaukee city, Wisconsin",2,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Minneapolis city, Minnesota",2.9,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","New Orleans city, Louisiana",2.6,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","New York city, New York",1.9,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Newark city, New Jersey",7,housing_occupancy,±2.3,(X),(X)
"('Homeowner vacancy rate',)","Oakland city, California",1.1,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Oklahoma City city, Oklahoma",1.7,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Omaha city, Nebraska",1.6,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Orlando city, Florida",2.7,housing_occupancy,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Philadelphia city, Pennsylvania",2.3,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Phoenix city, Arizona",3.2,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Pittsburgh city, Pennsylvania",1.4,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Plano city, Texas",0.2,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Portland city, Oregon",0.9,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Raleigh city, North Carolina",2.3,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Riverside city, California",0.3,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Sacramento city, California",1.6,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","San Antonio city, Texas",1.5,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","San Diego city, California",1.3,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","San Francisco city, California",0.7,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","San Jose city, California",0.5,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Santa Ana city, California",0.3,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Seattle city, Washington",1.1,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","St. Louis city, Missouri",3.3,housing_occupancy,±1.2,(X),(X)
"('Homeowner vacancy rate',)","St. Paul city, Minnesota",1.8,housing_occupancy,±0.9,(X),(X)
