Metric,City,Estimate,Group,Estimate Margin of Error,Percent,Percent Margin of Error
"('Total housing units',)","Kansas City city, Missouri","228,587",housing_occupancy,"±3,627","228,587",(X)
"('Total housing units',)","Las Vegas city, Nevada","250,796",housing_occupancy,"±4,685","250,796",(X)
"('Total housing units',)","Lincoln city, Nebraska","112,045",housing_occupancy,"±1,164","112,045",(X)
"('Total housing units',)","Long Beach city, California","173,345",housing_occupancy,"±4,391","173,345",(X)
"('Total housing units',)","Los Angeles city, California","1,429,433",housing_occupancy,"±8,470","1,429,433",(X)
"('Total housing units',)","Memphis city, Tennessee","296,840",housing_occupancy,"±3,327","296,840",(X)
"('Total housing units',)","Mesa city, Arizona","200,820",housing_occupancy,"±4,416","200,820",(X)
"('Total housing units',)","Miami city, Florida","189,268",housing_occupancy,"±4,647","189,268",(X)
"('Total housing units',)","Milwaukee city, Wisconsin","257,076",housing_occupancy,"±3,085","257,076",(X)
"('Total housing units',)","Minneapolis city, Minnesota","179,198",housing_occupancy,"±3,289","179,198",(X)
"('Total housing units',)","New Orleans city, Louisiana","191,251",housing_occupancy,±799,"191,251",(X)
"('Total housing units',)","New York city, New York","3,385,281",housing_occupancy,"±3,249","3,385,281",(X)
"('Total housing units',)","Newark city, New Jersey","109,016",housing_occupancy,"±2,957","109,016",(X)
"('Total housing units',)","Oakland city, California","171,094",housing_occupancy,"±3,178","171,094",(X)
"('Total housing units',)","Oklahoma City city, Oklahoma","260,339",housing_occupancy,"±2,437","260,339",(X)
"('Total housing units',)","Omaha city, Nebraska","181,423",housing_occupancy,"±1,641","181,423",(X)
"('Total housing units',)","Orlando city, Florida","122,512",housing_occupancy,"±4,359","122,512",(X)
"('Total housing units',)","Philadelphia city, Pennsylvania","668,247",housing_occupancy,"±1,811","668,247",(X)
"('Total housing units',)","Phoenix city, Arizona","596,762",housing_occupancy,"±6,808","596,762",(X)
"('Total housing units',)","Pittsburgh city, Pennsylvania","152,391",housing_occupancy,"±3,424","152,391",(X)
"('Total housing units',)","Plano city, Texas","105,489",housing_occupancy,"±3,077","105,489",(X)
"('Total housing units',)","Portland city, Oregon","265,196",housing_occupancy,"±2,714","265,196",(X)
"('Total housing units',)","Raleigh city, North Carolina","178,290",housing_occupancy,"±3,524","178,290",(X)
"('Total housing units',)","Riverside city, California","97,462",housing_occupancy,"±3,263","97,462",(X)
"('Total housing units',)","Sacramento city, California","192,172",housing_occupancy,"±3,977","192,172",(X)
"('Total housing units',)","San Antonio city, Texas","534,347",housing_occupancy,"±3,959","534,347",(X)
"('Total housing units',)","San Diego city, California","513,200",housing_occupancy,"±5,577","513,200",(X)
"('Total housing units',)","San Francisco city, California","376,899",housing_occupancy,"±1,449","376,899",(X)
"('Total housing units',)","San Jose city, California","320,715",housing_occupancy,"±3,894","320,715",(X)
"('Total housing units',)","Santa Ana city, California","74,142",housing_occupancy,"±2,690","74,142",(X)
"('Total housing units',)","Seattle city, Washington","309,612",housing_occupancy,"±5,044","309,612",(X)
"('Total housing units',)","St. Louis city, Missouri","175,226",housing_occupancy,±752,"175,226",(X)
"('Total housing units',)","St. Paul city, Minnesota","118,958",housing_occupancy,"±2,004","118,958",(X)
"('Total housing units',)","Stockton city, California","99,854",housing_occupancy,"±2,462","99,854",(X)
"('Total housing units',)","Tampa city, Florida","159,237",housing_occupancy,"±3,498","159,237",(X)
"('Total housing units',)","Tucson city, Arizona","230,975",housing_occupancy,"±4,107","230,975",(X)
"('Total housing units',)","Tulsa city, Oklahoma","187,019",housing_occupancy,"±2,032","187,019",(X)
"('Total housing units',)","Virginia Beach city, Virginia","179,690",housing_occupancy,±691,"179,690",(X)
"('Total housing units',)","Washington city, District of Columbia","300,247",housing_occupancy,±68,"300,247",(X)
"('Total housing units',)","Wichita city, Kansas","168,287",housing_occupancy,"±2,040","168,287",(X)
"('Occupied housing units',)","Albuquerque city, New Mexico","224,301",housing_occupancy,"±2,994",93.10%,±1.0
"('Occupied housing units',)","Anaheim city, California","98,156",housing_occupancy,"±3,276",93.60%,±1.4
"('Occupied housing units',)","Anchorage municipality, Alaska","105,569",housing_occupancy,"±1,780",92.90%,±1.5
"('Occupied housing units',)","Arlington city, Texas","132,941",housing_occupancy,"±3,236",90.20%,±1.5
"('Occupied housing units',)","Atlanta city, Georgia","183,442",housing_occupancy,"±4,525",81.70%,±1.3
"('Occupied housing units',)","Aurora city, Colorado","123,327",housing_occupancy,"±2,518",93.50%,±1.1
"('Occupied housing units',)","Austin city, Texas","330,838",housing_occupancy,"±4,711",91.80%,±0.9
"('Occupied housing units',)","Bakersfield city, California","111,053",housing_occupancy,"±2,739",93.00%,±1.5
"('Occupied housing units',)","Baltimore city, Maryland","244,397",housing_occupancy,"±3,814",82.50%,±1.0
"('Occupied housing units',)","Boston city, Massachusetts","247,254",housing_occupancy,"±3,859",91.50%,±1.0
"('Occupied housing units',)","Charlotte city, North Carolina","295,863",housing_occupancy,"±4,105",90.50%,±1.1
"('Occupied housing units',)","Chicago city, Illinois","1,032,074",housing_occupancy,"±6,757",86.80%,±0.5
"('Occupied housing units',)","Cincinnati city, Ohio","130,255",housing_occupancy,"±2,747",81.60%,±1.3
"('Occupied housing units',)","Cleveland city, Ohio","162,717",housing_occupancy,"±4,028",77.20%,±1.2
"('Occupied housing units',)","Colorado Springs city, Colorado","168,699",housing_occupancy,"±2,869",93.30%,±1.1
"('Occupied housing units',)","Columbus city, Ohio","329,502",housing_occupancy,"±4,256",86.50%,±1.0
"('Occupied housing units',)","Corpus Christi city, Texas","111,078",housing_occupancy,"±2,603",88.10%,±1.8
"('Occupied housing units',)","Dallas city, Texas","463,719",housing_occupancy,"±5,838",88.30%,±0.8
"('Occupied housing units',)","Denver city, Colorado","270,439",housing_occupancy,"±2,772",93.80%,±0.8
"('Occupied housing units',)","Detroit city, Michigan","253,073",housing_occupancy,"±4,212",69.00%,±0.9
"('Occupied housing units',)","Durham city, North Carolina","99,680",housing_occupancy,"±1,897",92.70%,±1.3
"('Occupied housing units',)","El Paso city, Texas","219,578",housing_occupancy,"±2,697",93.40%,±1.1
"('Occupied housing units',)","Fort Worth city, Texas","268,919",housing_occupancy,"±5,025",90.80%,±1.1
"('Occupied housing units',)","Fresno city, California","162,149",housing_occupancy,"±3,174",92.40%,±1.0
"('Occupied housing units',)","Greensboro city, North Carolina","112,287",housing_occupancy,"±2,903",89.90%,±1.6
"('Occupied housing units',)","Henderson city, Nevada","100,083",housing_occupancy,"±2,970",89.00%,±1.6
"('Occupied housing units',)","Houston city, Texas","780,364",housing_occupancy,"±9,306",85.60%,±0.7
"('Occupied housing units',)","Indianapolis city (balance), Indiana","330,478",housing_occupancy,"±3,663",86.40%,±0.9
"('Occupied housing units',)","Irvine city, California","82,613",housing_occupancy,"±2,984",94.00%,±1.7
"('Occupied housing units',)","Jacksonville city, Florida","309,087",housing_occupancy,"±4,957",83.90%,±1.3
"('Occupied housing units',)","Jersey City city, New Jersey","97,144",housing_occupancy,"±2,590",88.30%,±1.6
"('Occupied housing units',)","Kansas City city, Missouri","192,367",housing_occupancy,"±3,215",84.20%,±1.2
"('Occupied housing units',)","Las Vegas city, Nevada","216,779",housing_occupancy,"±4,260",86.40%,±1.1
"('Occupied housing units',)","Lincoln city, Nebraska","106,373",housing_occupancy,"±1,960",94.90%,±1.3
"('Occupied housing units',)","Long Beach city, California","164,220",housing_occupancy,"±3,709",94.70%,±1.0
"('Occupied housing units',)","Los Angeles city, California","1,332,587",housing_occupancy,"±8,853",93.20%,±0.3
"('Occupied housing units',)","Memphis city, Tennessee","247,478",housing_occupancy,"±3,642",83.40%,±1.1
"('Occupied housing units',)","Mesa city, Arizona","167,435",housing_occupancy,"±3,848",83.40%,±1.3
"('Occupied housing units',)","Miami city, Florida","153,740",housing_occupancy,"±4,031",81.20%,±1.5
"('Occupied housing units',)","Milwaukee city, Wisconsin","230,960",housing_occupancy,"±3,374",89.80%,±0.8
"('Occupied housing units',)","Minneapolis city, Minnesota","165,854",housing_occupancy,"±3,196",92.60%,±1.0
"('Occupied housing units',)","New Orleans city, Louisiana","151,735",housing_occupancy,"±2,526",79.30%,±1.3
"('Occupied housing units',)","New York city, New York","3,085,814",housing_occupancy,"±9,466",91.20%,±0.3
"('Occupied housing units',)","Newark city, New Jersey","92,479",housing_occupancy,"±2,473",84.80%,±1.3
"('Occupied housing units',)","Oakland city, California","156,482",housing_occupancy,"±3,228",91.50%,±1.0
"('Occupied housing units',)","Oklahoma City city, Oklahoma","228,620",housing_occupancy,"±2,904",87.80%,±0.9
"('Occupied housing units',)","Omaha city, Nebraska","166,736",housing_occupancy,"±2,769",91.90%,±1.4
"('Occupied housing units',)","Orlando city, Florida","102,564",housing_occupancy,"±3,739",83.70%,±2.2
"('Occupied housing units',)","Philadelphia city, Pennsylvania","579,874",housing_occupancy,"±5,204",86.80%,±0.8
"('Occupied housing units',)","Phoenix city, Arizona","521,555",housing_occupancy,"±6,541",87.40%,±0.7
"('Occupied housing units',)","Pittsburgh city, Pennsylvania","131,513",housing_occupancy,"±2,924",86.30%,±1.3
"('Occupied housing units',)","Plano city, Texas","99,867",housing_occupancy,"±2,785",94.70%,±1.5
"('Occupied housing units',)","Portland city, Oregon","248,698",housing_occupancy,"±3,159",93.80%,±0.9
"('Occupied housing units',)","Raleigh city, North Carolina","166,003",housing_occupancy,"±3,788",93.10%,±1.1
"('Occupied housing units',)","Riverside city, California","91,813",housing_occupancy,"±3,178",94.20%,±1.4
"('Occupied housing units',)","Sacramento city, California","177,325",housing_occupancy,"±4,031",92.30%,±1.0
"('Occupied housing units',)","San Antonio city, Texas","480,693",housing_occupancy,"±5,323",90.00%,±0.8
"('Occupied housing units',)","San Diego city, California","473,842",housing_occupancy,"±5,552",92.30%,±0.7
"('Occupied housing units',)","San Francisco city, California","346,842",housing_occupancy,"±3,718",92.00%,±0.9
"('Occupied housing units',)","San Jose city, California","310,126",housing_occupancy,"±4,079",96.70%,±0.5
"('Occupied housing units',)","Santa Ana city, California","71,272",housing_occupancy,"±2,557",96.10%,±1.4
"('Occupied housing units',)","Seattle city, Washington","289,790",housing_occupancy,"±4,363",93.60%,±0.9
"('Occupied housing units',)","St. Louis city, Missouri","139,930",housing_occupancy,"±2,646",79.90%,±1.4
"('Occupied housing units',)","St. Paul city, Minnesota","111,917",housing_occupancy,"±2,232",94.10%,±1.3
"('Occupied housing units',)","Stockton city, California","90,754",housing_occupancy,"±2,332",90.90%,±1.3
"('Occupied housing units',)","Tampa city, Florida","139,401",housing_occupancy,"±3,881",87.50%,±1.4
"('Occupied housing units',)","Tucson city, Arizona","203,252",housing_occupancy,"±4,322",88.00%,±1.2
"('Occupied housing units',)","Tulsa city, Oklahoma","163,293",housing_occupancy,"±1,912",87.30%,±0.8
"('Occupied housing units',)","Virginia Beach city, Virginia","165,376",housing_occupancy,"±2,131",92.00%,±1.1
"('Occupied housing units',)","Washington city, District of Columbia","266,662",housing_occupancy,"±3,138",88.80%,±1.0
"('Occupied housing units',)","Wichita city, Kansas","151,253",housing_occupancy,"±2,683",89.90%,±1.4
"('Vacant housing units',)","Albuquerque city, New Mexico","16,517",housing_occupancy,"±2,309",6.90%,±1.0
"('Vacant housing units',)","Anaheim city, California","6,670",housing_occupancy,"±1,503",6.40%,±1.4
"('Vacant housing units',)","Anchorage municipality, Alaska","8,070",housing_occupancy,"±1,673",7.10%,±1.5
"('Vacant housing units',)","Arlington city, Texas","14,399",housing_occupancy,"±2,287",9.80%,±1.5
"('Vacant housing units',)","Atlanta city, Georgia","40,989",housing_occupancy,"±2,913",18.30%,±1.3
"('Vacant housing units',)","Aurora city, Colorado","8,512",housing_occupancy,"±1,538",6.50%,±1.1
"('Vacant housing units',)","Austin city, Texas","29,680",housing_occupancy,"±3,373",8.20%,±0.9
"('Vacant housing units',)","Bakersfield city, California","8,338",housing_occupancy,"±1,860",7.00%,±1.5
"('Vacant housing units',)","Baltimore city, Maryland","51,677",housing_occupancy,"±2,946",17.50%,±1.0
"('Vacant housing units',)","Boston city, Massachusetts","22,979",housing_occupancy,"±2,672",8.50%,±1.0
"('Vacant housing units',)","Charlotte city, North Carolina","30,955",housing_occupancy,"±3,633",9.50%,±1.1
"('Vacant housing units',)","Chicago city, Illinois","157,000",housing_occupancy,"±6,235",13.20%,±0.5
"('Vacant housing units',)","Cincinnati city, Ohio","29,421",housing_occupancy,"±2,275",18.40%,±1.3
"('Vacant housing units',)","Cleveland city, Ohio","47,941",housing_occupancy,"±2,554",22.80%,±1.2
"('Vacant housing units',)","Colorado Springs city, Colorado","12,102",housing_occupancy,"±2,059",6.70%,±1.1
"('Vacant housing units',)","Columbus city, Ohio","51,408",housing_occupancy,"±3,934",13.50%,±1.0
"('Vacant housing units',)","Corpus Christi city, Texas","14,976",housing_occupancy,"±2,270",11.90%,±1.8
"('Vacant housing units',)","Dallas city, Texas","61,509",housing_occupancy,"±4,589",11.70%,±0.8
"('Vacant housing units',)","Denver city, Colorado","17,752",housing_occupancy,"±2,342",6.20%,±0.8
"('Vacant housing units',)","Detroit city, Michigan","113,568",housing_occupancy,"±3,753",31.00%,±0.9
"('Vacant housing units',)","Durham city, North Carolina","7,810",housing_occupancy,"±1,447",7.30%,±1.3
"('Vacant housing units',)","El Paso city, Texas","15,445",housing_occupancy,"±2,538",6.60%,±1.1
"('Vacant housing units',)","Fort Worth city, Texas","27,142",housing_occupancy,"±3,205",9.20%,±1.1
"('Vacant housing units',)","Fresno city, California","13,257",housing_occupancy,"±1,819",7.60%,±1.0
"('Vacant housing units',)","Greensboro city, North Carolina","12,563",housing_occupancy,"±2,082",10.10%,±1.6
"('Vacant housing units',)","Henderson city, Nevada","12,413",housing_occupancy,"±1,964",11.00%,±1.6
"('Vacant housing units',)","Houston city, Texas","130,895",housing_occupancy,"±6,221",14.40%,±0.7
"('Vacant housing units',)","Indianapolis city (balance), Indiana","51,935",housing_occupancy,"±3,710",13.60%,±0.9
"('Vacant housing units',)","Irvine city, California","5,317",housing_occupancy,"±1,563",6.00%,±1.7
"('Vacant housing units',)","Jacksonville city, Florida","59,268",housing_occupancy,"±4,591",16.10%,±1.3
"('Vacant housing units',)","Jersey City city, New Jersey","12,859",housing_occupancy,"±1,934",11.70%,±1.6
"('Vacant housing units',)","Kansas City city, Missouri","36,220",housing_occupancy,"±2,916",15.80%,±1.2
"('Vacant housing units',)","Las Vegas city, Nevada","34,017",housing_occupancy,"±2,859",13.60%,±1.1
"('Vacant housing units',)","Lincoln city, Nebraska","5,672",housing_occupancy,"±1,438",5.10%,±1.3
"('Vacant housing units',)","Long Beach city, California","9,125",housing_occupancy,"±1,769",5.30%,±1.0
"('Vacant housing units',)","Los Angeles city, California","96,846",housing_occupancy,"±4,669",6.80%,±0.3
"('Vacant housing units',)","Memphis city, Tennessee","49,362",housing_occupancy,"±3,543",16.60%,±1.1
"('Vacant housing units',)","Mesa city, Arizona","33,385",housing_occupancy,"±2,904",16.60%,±1.3
"('Vacant housing units',)","Miami city, Florida","35,528",housing_occupancy,"±3,250",18.80%,±1.5
"('Vacant housing units',)","Milwaukee city, Wisconsin","26,116",housing_occupancy,"±2,207",10.20%,±0.8
"('Vacant housing units',)","Minneapolis city, Minnesota","13,344",housing_occupancy,"±1,788",7.40%,±1.0
"('Vacant housing units',)","New Orleans city, Louisiana","39,516",housing_occupancy,"±2,389",20.70%,±1.3
"('Vacant housing units',)","New York city, New York","299,467",housing_occupancy,"±8,636",8.80%,±0.3
"('Vacant housing units',)","Newark city, New Jersey","16,537",housing_occupancy,"±1,663",15.20%,±1.3
"('Vacant housing units',)","Oakland city, California","14,612",housing_occupancy,"±1,799",8.50%,±1.0
"('Vacant housing units',)","Oklahoma City city, Oklahoma","31,719",housing_occupancy,"±2,406",12.20%,±0.9
"('Vacant housing units',)","Omaha city, Nebraska","14,687",housing_occupancy,"±2,518",8.10%,±1.4
"('Vacant housing units',)","Orlando city, Florida","19,948",housing_occupancy,"±3,051",16.30%,±2.2
"('Vacant housing units',)","Philadelphia city, Pennsylvania","88,373",housing_occupancy,"±5,085",13.20%,±0.8
"('Vacant housing units',)","Phoenix city, Arizona","75,207",housing_occupancy,"±4,318",12.60%,±0.7
"('Vacant housing units',)","Pittsburgh city, Pennsylvania","20,878",housing_occupancy,"±2,246",13.70%,±1.3
"('Vacant housing units',)","Plano city, Texas","5,622",housing_occupancy,"±1,655",5.30%,±1.5
"('Vacant housing units',)","Portland city, Oregon","16,498",housing_occupancy,"±2,288",6.20%,±0.9
"('Vacant housing units',)","Raleigh city, North Carolina","12,287",housing_occupancy,"±2,072",6.90%,±1.1
"('Vacant housing units',)","Riverside city, California","5,649",housing_occupancy,"±1,401",5.80%,±1.4
"('Vacant housing units',)","Sacramento city, California","14,847",housing_occupancy,"±2,036",7.70%,±1.0
"('Vacant housing units',)","San Antonio city, Texas","53,654",housing_occupancy,"±4,209",10.00%,±0.8
"('Vacant housing units',)","San Diego city, California","39,358",housing_occupancy,"±3,903",7.70%,±0.7
"('Vacant housing units',)","San Francisco city, California","30,057",housing_occupancy,"±3,407",8.00%,±0.9
"('Vacant housing units',)","San Jose city, California","10,589",housing_occupancy,"±1,689",3.30%,±0.5
"('Vacant housing units',)","Santa Ana city, California","2,870",housing_occupancy,"±1,075",3.90%,±1.4
"('Vacant housing units',)","Seattle city, Washington","19,822",housing_occupancy,"±2,891",6.40%,±0.9
"('Vacant housing units',)","St. Louis city, Missouri","35,296",housing_occupancy,"±2,429",20.10%,±1.4
"('Vacant housing units',)","St. Paul city, Minnesota","7,041",housing_occupancy,"±1,533",5.90%,±1.3
"('Vacant housing units',)","Stockton city, California","9,100",housing_occupancy,"±1,346",9.10%,±1.3
"('Vacant housing units',)","Tampa city, Florida","19,836",housing_occupancy,"±2,284",12.50%,±1.4
"('Vacant housing units',)","Tucson city, Arizona","27,723",housing_occupancy,"±2,823",12.00%,±1.2
"('Vacant housing units',)","Tulsa city, Oklahoma","23,726",housing_occupancy,"±1,586",12.70%,±0.8
"('Vacant housing units',)","Virginia Beach city, Virginia","14,314",housing_occupancy,"±1,992",8.00%,±1.1
"('Vacant housing units',)","Washington city, District of Columbia","33,585",housing_occupancy,"±3,138",11.20%,±1.0
"('Vacant housing units',)","Wichita city, Kansas","17,034",housing_occupancy,"±2,377",10.10%,±1.4
"('Homeowner vacancy rate',)","Albuquerque city, New Mexico",1.4,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Anaheim city, California",2.1,housing_occupancy,±1.5,(X),(X)
"('Homeowner vacancy rate',)","Anchorage municipality, Alaska",1.2,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Arlington city, Texas",2.1,housing_occupancy,±1.3,(X),(X)
"('Homeowner vacancy rate',)","Atlanta city, Georgia",5.2,housing_occupancy,±1.5,(X),(X)
"('Homeowner vacancy rate',)","Aurora city, Colorado",1.6,housing_occupancy,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Austin city, Texas",1.6,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Bakersfield city, California",1.2,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Baltimore city, Maryland",4.5,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Boston city, Massachusetts",2.3,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Charlotte city, North Carolina",2.6,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Chicago city, Illinois",3,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Cincinnati city, Ohio",3.3,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Cleveland city, Ohio",4.1,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Colorado Springs city, Colorado",2,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Columbus city, Ohio",2,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Corpus Christi city, Texas",2.3,housing_occupancy,±1.4,(X),(X)
"('Homeowner vacancy rate',)","Dallas city, Texas",1.5,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Denver city, Colorado",1.5,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Detroit city, Michigan",6.7,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Durham city, North Carolina",2.2,housing_occupancy,±1.3,(X),(X)
"('Homeowner vacancy rate',)","El Paso city, Texas",1.8,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Fort Worth city, Texas",1.7,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Fresno city, California",1.1,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Greensboro city, North Carolina",2.3,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Henderson city, Nevada",2.9,housing_occupancy,±1.7,(X),(X)
"('Homeowner vacancy rate',)","Houston city, Texas",2.4,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Indianapolis city (balance), Indiana",3.6,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Irvine city, California",2.4,housing_occupancy,±1.7,(X),(X)
"('Homeowner vacancy rate',)","Jacksonville city, Florida",2.2,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Jersey City city, New Jersey",5.8,housing_occupancy,±2.0,(X),(X)
"('Homeowner vacancy rate',)","Kansas City city, Missouri",2.3,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Las Vegas city, Nevada",2.1,housing_occupancy,±0.8,(X),(X)
"('Homeowner vacancy rate',)","Lincoln city, Nebraska",1.1,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Long Beach city, California",0.9,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Los Angeles city, California",1.4,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Memphis city, Tennessee",2.2,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Mesa city, Arizona",3,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","Miami city, Florida",2.3,housing_occupancy,±1.2,(X),(X)
"('Homeowner vacancy rate',)","Milwaukee city, Wisconsin",1.3,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Minneapolis city, Minnesota",1.4,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","New Orleans city, Louisiana",3.2,housing_occupancy,±1.0,(X),(X)
"('Homeowner vacancy rate',)","New York city, New York",2.2,housing_occupancy,±0.3,(X),(X)
"('Homeowner vacancy rate',)","Newark city, New Jersey",4.9,housing_occupancy,±1.8,(X),(X)
"('Homeowner vacancy rate',)","Oakland city, California",2.4,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Oklahoma City city, Oklahoma",2.7,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Omaha city, Nebraska",2.4,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Orlando city, Florida",2.2,housing_occupancy,±1.7,(X),(X)
"('Homeowner vacancy rate',)","Philadelphia city, Pennsylvania",2.8,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Phoenix city, Arizona",3.2,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","Pittsburgh city, Pennsylvania",1.9,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Plano city, Texas",0.8,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Portland city, Oregon",1.8,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","Raleigh city, North Carolina",1.4,housing_occupancy,±0.9,(X),(X)
"('Homeowner vacancy rate',)","Riverside city, California",1.4,housing_occupancy,±1.1,(X),(X)
"('Homeowner vacancy rate',)","Sacramento city, California",1.7,housing_occupancy,±0.7,(X),(X)
"('Homeowner vacancy rate',)","San Antonio city, Texas",2.2,housing_occupancy,±0.5,(X),(X)
"('Homeowner vacancy rate',)","San Diego city, California",2.1,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","San Francisco city, California",1.2,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","San Jose city, California",0.9,housing_occupancy,±0.4,(X),(X)
"('Homeowner vacancy rate',)","Santa Ana city, California",0.5,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","Seattle city, Washington",1.1,housing_occupancy,±0.6,(X),(X)
"('Homeowner vacancy rate',)","St. Louis city, Missouri",5,housing_occupancy,±1.3,(X),(X)
