Metric,City,Estimate,Group,Estimate Margin of Error
"('Four or more races',)","Memphis city, Tennessee",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Milwaukee city, Wisconsin",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","New York city, New York",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Oklahoma City city, Oklahoma",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Philadelphia city, Pennsylvania",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Phoenix city, Arizona",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Portland city, Oregon",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","San Antonio city, Texas",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","San Diego city, California",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","San Francisco city, California",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","San Jose city, California",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Seattle city, Washington",0.00%,total_number_of_races_reported,±0.1
"('Four or more races',)","Tucson city, Arizona",0.10%,total_number_of_races_reported,±0.1
"('Four or more races',)","Washington city, District of Columbia",0.00%,total_number_of_races_reported,±0.1
"('Total population',)","Albuquerque city, New Mexico","559,131",sex_and_age,±54
"('Total population',)","Austin city, Texas","931,840",sex_and_age,±74
"('Total population',)","Baltimore city, Maryland","621,849",sex_and_age,*****
"('Total population',)","Boston city, Massachusetts","669,469",sex_and_age,"±2,608"
"('Total population',)","Charlotte city, North Carolina","827,121",sex_and_age,±90
"('Total population',)","Chicago city, Illinois","2,720,556",sex_and_age,±67
"('Total population',)","Columbus city, Ohio","849,067",sex_and_age,"±2,488"
"('Total population',)","Dallas city, Texas","1,300,082",sex_and_age,±68
"('Total population',)","Denver city, Colorado","682,545",sex_and_age,*****
"('Total population',)","Detroit city, Michigan","677,124",sex_and_age,±51
"('Total population',)","El Paso city, Texas","681,136",sex_and_age,±50
"('Total population',)","Fort Worth city, Texas","836,969",sex_and_age,"±2,530"
"('Total population',)","Fresno city, California","520,072",sex_and_age,±85
"('Total population',)","Houston city, Texas","2,298,628",sex_and_age,"±3,600"
"('Total population',)","Indianapolis city (balance), Indiana","848,423",sex_and_age,"±4,348"
"('Total population',)","Jacksonville city, Florida","868,031",sex_and_age,±24
"('Total population',)","Las Vegas city, Nevada","623,769",sex_and_age,±100
"('Total population',)","Los Angeles city, California","3,971,896",sex_and_age,±92
"('Total population',)","Memphis city, Tennessee","655,760",sex_and_age,±59
"('Total population',)","Milwaukee city, Wisconsin","600,154",sex_and_age,±36
"('Total population',)","New York city, New York","8,550,405",sex_and_age,*****
"('Total population',)","Oklahoma City city, Oklahoma","631,263",sex_and_age,±92
"('Total population',)","Philadelphia city, Pennsylvania","1,567,442",sex_and_age,*****
"('Total population',)","Phoenix city, Arizona","1,563,001",sex_and_age,±125
"('Total population',)","Portland city, Oregon","632,187",sex_and_age,"±1,698"
"('Total population',)","San Antonio city, Texas","1,469,824",sex_and_age,±69
"('Total population',)","San Diego city, California","1,394,907",sex_and_age,±83
"('Total population',)","San Francisco city, California","864,816",sex_and_age,*****
"('Total population',)","San Jose city, California","1,026,919",sex_and_age,±72
"('Total population',)","Seattle city, Washington","684,443",sex_and_age,±60
"('Total population',)","Tucson city, Arizona","531,674",sex_and_age,±124
"('Total population',)","Washington city, District of Columbia","672,228",sex_and_age,*****
"('Male',)","Albuquerque city, New Mexico",48.90%,sex_and_age,±0.4
"('Male',)","Austin city, Texas",51.10%,sex_and_age,±0.4
"('Male',)","Baltimore city, Maryland",47.30%,sex_and_age,±0.1
"('Male',)","Boston city, Massachusetts",48.10%,sex_and_age,±0.4
"('Male',)","Charlotte city, North Carolina",48.00%,sex_and_age,±0.3
"('Male',)","Chicago city, Illinois",48.50%,sex_and_age,±0.3
"('Male',)","Columbus city, Ohio",48.80%,sex_and_age,±0.5
"('Male',)","Dallas city, Texas",49.20%,sex_and_age,±0.5
"('Male',)","Denver city, Colorado",50.00%,sex_and_age,±0.1
"('Male',)","Detroit city, Michigan",47.20%,sex_and_age,±0.5
"('Male',)","El Paso city, Texas",48.90%,sex_and_age,±0.4
"('Male',)","Fort Worth city, Texas",49.50%,sex_and_age,±0.6
"('Male',)","Fresno city, California",49.20%,sex_and_age,±0.6
"('Male',)","Houston city, Texas",50.00%,sex_and_age,±0.4
"('Male',)","Indianapolis city (balance), Indiana",48.40%,sex_and_age,±0.3
"('Male',)","Jacksonville city, Florida",48.30%,sex_and_age,±0.1
"('Male',)","Las Vegas city, Nevada",49.80%,sex_and_age,±0.8
"('Male',)","Los Angeles city, California",49.30%,sex_and_age,±0.2
"('Male',)","Memphis city, Tennessee",47.60%,sex_and_age,±0.4
"('Male',)","Milwaukee city, Wisconsin",47.70%,sex_and_age,±0.5
"('Male',)","New York city, New York",47.70%,sex_and_age,±0.1
"('Male',)","Oklahoma City city, Oklahoma",49.00%,sex_and_age,±0.5
"('Male',)","Philadelphia city, Pennsylvania",47.30%,sex_and_age,±0.1
"('Male',)","Phoenix city, Arizona",50.30%,sex_and_age,±0.4
"('Male',)","Portland city, Oregon",49.60%,sex_and_age,±0.4
"('Male',)","San Antonio city, Texas",49.10%,sex_and_age,±0.3
"('Male',)","San Diego city, California",49.70%,sex_and_age,±0.5
"('Male',)","San Francisco city, California",50.80%,sex_and_age,±0.1
"('Male',)","San Jose city, California",50.50%,sex_and_age,±0.4
"('Male',)","Seattle city, Washington",50.50%,sex_and_age,±0.6
"('Male',)","Tucson city, Arizona",49.80%,sex_and_age,±0.7
"('Male',)","Washington city, District of Columbia",47.60%,sex_and_age,±0.1
"('Female',)","Albuquerque city, New Mexico",51.10%,sex_and_age,±0.4
"('Female',)","Austin city, Texas",48.90%,sex_and_age,±0.4
"('Female',)","Baltimore city, Maryland",52.70%,sex_and_age,±0.1
"('Female',)","Boston city, Massachusetts",51.90%,sex_and_age,±0.4
"('Female',)","Charlotte city, North Carolina",52.00%,sex_and_age,±0.3
"('Female',)","Chicago city, Illinois",51.50%,sex_and_age,±0.3
"('Female',)","Columbus city, Ohio",51.20%,sex_and_age,±0.5
"('Female',)","Dallas city, Texas",50.80%,sex_and_age,±0.5
"('Female',)","Denver city, Colorado",50.00%,sex_and_age,±0.1
"('Female',)","Detroit city, Michigan",52.80%,sex_and_age,±0.5
"('Female',)","El Paso city, Texas",51.10%,sex_and_age,±0.4
"('Female',)","Fort Worth city, Texas",50.50%,sex_and_age,±0.6
"('Female',)","Fresno city, California",50.80%,sex_and_age,±0.6
"('Female',)","Houston city, Texas",50.00%,sex_and_age,±0.4
"('Female',)","Indianapolis city (balance), Indiana",51.60%,sex_and_age,±0.3
"('Female',)","Jacksonville city, Florida",51.70%,sex_and_age,±0.1
"('Female',)","Las Vegas city, Nevada",50.20%,sex_and_age,±0.8
"('Female',)","Los Angeles city, California",50.70%,sex_and_age,±0.2
"('Female',)","Memphis city, Tennessee",52.40%,sex_and_age,±0.4
"('Female',)","Milwaukee city, Wisconsin",52.30%,sex_and_age,±0.5
"('Female',)","New York city, New York",52.30%,sex_and_age,±0.1
"('Female',)","Oklahoma City city, Oklahoma",51.00%,sex_and_age,±0.5
"('Female',)","Philadelphia city, Pennsylvania",52.70%,sex_and_age,±0.1
"('Female',)","Phoenix city, Arizona",49.70%,sex_and_age,±0.4
"('Female',)","Portland city, Oregon",50.40%,sex_and_age,±0.4
"('Female',)","San Antonio city, Texas",50.90%,sex_and_age,±0.3
"('Female',)","San Diego city, California",50.30%,sex_and_age,±0.5
"('Female',)","San Francisco city, California",49.20%,sex_and_age,±0.1
"('Female',)","San Jose city, California",49.50%,sex_and_age,±0.4
"('Female',)","Seattle city, Washington",49.50%,sex_and_age,±0.6
"('Female',)","Tucson city, Arizona",50.20%,sex_and_age,±0.7
"('Female',)","Washington city, District of Columbia",52.40%,sex_and_age,±0.1
"('Under 5 years',)","Albuquerque city, New Mexico",6.40%,sex_and_age,±0.2
"('Under 5 years',)","Austin city, Texas",6.70%,sex_and_age,±0.3
"('Under 5 years',)","Baltimore city, Maryland",6.70%,sex_and_age,±0.1
"('Under 5 years',)","Boston city, Massachusetts",5.60%,sex_and_age,±0.2
"('Under 5 years',)","Charlotte city, North Carolina",6.70%,sex_and_age,±0.2
"('Under 5 years',)","Chicago city, Illinois",6.50%,sex_and_age,±0.2
"('Under 5 years',)","Columbus city, Ohio",7.30%,sex_and_age,±0.3
"('Under 5 years',)","Dallas city, Texas",8.10%,sex_and_age,±0.4
"('Under 5 years',)","Denver city, Colorado",6.70%,sex_and_age,±0.1
"('Under 5 years',)","Detroit city, Michigan",7.30%,sex_and_age,±0.3
"('Under 5 years',)","El Paso city, Texas",7.80%,sex_and_age,±0.3
"('Under 5 years',)","Fort Worth city, Texas",8.00%,sex_and_age,±0.4
"('Under 5 years',)","Fresno city, California",9.20%,sex_and_age,±0.5
"('Under 5 years',)","Houston city, Texas",7.70%,sex_and_age,±0.3
"('Under 5 years',)","Indianapolis city (balance), Indiana",7.50%,sex_and_age,±0.2
"('Under 5 years',)","Jacksonville city, Florida",6.90%,sex_and_age,±0.1
"('Under 5 years',)","Las Vegas city, Nevada",6.20%,sex_and_age,±0.5
"('Under 5 years',)","Los Angeles city, California",6.40%,sex_and_age,±0.2
"('Under 5 years',)","Memphis city, Tennessee",8.10%,sex_and_age,±0.3
"('Under 5 years',)","Milwaukee city, Wisconsin",7.20%,sex_and_age,±0.3
"('Under 5 years',)","New York city, New York",6.70%,sex_and_age,±0.1
"('Under 5 years',)","Oklahoma City city, Oklahoma",7.90%,sex_and_age,±0.4
"('Under 5 years',)","Philadelphia city, Pennsylvania",7.00%,sex_and_age,±0.1
"('Under 5 years',)","Phoenix city, Arizona",7.20%,sex_and_age,±0.3
"('Under 5 years',)","Portland city, Oregon",5.80%,sex_and_age,±0.3
"('Under 5 years',)","San Antonio city, Texas",7.10%,sex_and_age,±0.2
"('Under 5 years',)","San Diego city, California",6.50%,sex_and_age,±0.3
"('Under 5 years',)","San Francisco city, California",4.60%,sex_and_age,±0.1
"('Under 5 years',)","San Jose city, California",6.70%,sex_and_age,±0.3
"('Under 5 years',)","Seattle city, Washington",4.90%,sex_and_age,±0.4
"('Under 5 years',)","Tucson city, Arizona",6.50%,sex_and_age,±0.4
"('Under 5 years',)","Washington city, District of Columbia",6.40%,sex_and_age,±0.1
"('5 to 17 years',)","Albuquerque city, New Mexico",16.50%,sex_and_age,±0.4
"('5 to 17 years',)","Austin city, Texas",14.20%,sex_and_age,±0.5
"('5 to 17 years',)","Baltimore city, Maryland",14.50%,sex_and_age,±0.1
"('5 to 17 years',)","Boston city, Massachusetts",11.10%,sex_and_age,±0.3
"('5 to 17 years',)","Charlotte city, North Carolina",16.90%,sex_and_age,±0.4
"('5 to 17 years',)","Chicago city, Illinois",15.00%,sex_and_age,±0.3
"('5 to 17 years',)","Columbus city, Ohio",14.90%,sex_and_age,±0.6
"('5 to 17 years',)","Dallas city, Texas",17.80%,sex_and_age,±0.5
"('5 to 17 years',)","Denver city, Colorado",13.90%,sex_and_age,±0.1
"('5 to 17 years',)","Detroit city, Michigan",18.00%,sex_and_age,±0.4
"('5 to 17 years',)","El Paso city, Texas",19.10%,sex_and_age,±0.5
"('5 to 17 years',)","Fort Worth city, Texas",20.30%,sex_and_age,±0.6
"('5 to 17 years',)","Fresno city, California",20.10%,sex_and_age,±0.8
"('5 to 17 years',)","Houston city, Texas",17.90%,sex_and_age,±0.3
"('5 to 17 years',)","Indianapolis city (balance), Indiana",17.40%,sex_and_age,±0.3
"('5 to 17 years',)","Jacksonville city, Florida",16.40%,sex_and_age,±0.1
"('5 to 17 years',)","Las Vegas city, Nevada",18.10%,sex_and_age,±0.8
"('5 to 17 years',)","Los Angeles city, California",15.10%,sex_and_age,±0.2
"('5 to 17 years',)","Memphis city, Tennessee",16.80%,sex_and_age,±0.6
"('5 to 17 years',)","Milwaukee city, Wisconsin",18.80%,sex_and_age,±0.3
"('5 to 17 years',)","New York city, New York",14.40%,sex_and_age,±0.1
"('5 to 17 years',)","Oklahoma City city, Oklahoma",18.10%,sex_and_age,±0.5
"('5 to 17 years',)","Philadelphia city, Pennsylvania",15.10%,sex_and_age,±0.1
"('5 to 17 years',)","Phoenix city, Arizona",19.00%,sex_and_age,±0.5
"('5 to 17 years',)","Portland city, Oregon",12.60%,sex_and_age,±0.4
"('5 to 17 years',)","San Antonio city, Texas",18.30%,sex_and_age,±0.3
"('5 to 17 years',)","San Diego city, California",13.90%,sex_and_age,±0.4
"('5 to 17 years',)","San Francisco city, California",8.80%,sex_and_age,±0.1
"('5 to 17 years',)","San Jose city, California",16.20%,sex_and_age,±0.4
"('5 to 17 years',)","Seattle city, Washington",9.70%,sex_and_age,±0.6
"('5 to 17 years',)","Tucson city, Arizona",15.20%,sex_and_age,±0.7
"('5 to 17 years',)","Washington city, District of Columbia",11.10%,sex_and_age,±0.1
"('18 to 24 years',)","Albuquerque city, New Mexico",9.60%,sex_and_age,±0.3
"('18 to 24 years',)","Austin city, Texas",10.90%,sex_and_age,±0.3
"('18 to 24 years',)","Baltimore city, Maryland",10.50%,sex_and_age,±0.1
"('18 to 24 years',)","Boston city, Massachusetts",14.90%,sex_and_age,±0.2
"('18 to 24 years',)","Charlotte city, North Carolina",9.80%,sex_and_age,±0.3
"('18 to 24 years',)","Chicago city, Illinois",10.50%,sex_and_age,±0.2
"('18 to 24 years',)","Columbus city, Ohio",11.80%,sex_and_age,±0.3
"('18 to 24 years',)","Dallas city, Texas",10.00%,sex_and_age,±0.5
"('18 to 24 years',)","Denver city, Colorado",8.50%,sex_and_age,±0.1
"('18 to 24 years',)","Detroit city, Michigan",10.90%,sex_and_age,±0.4
"('18 to 24 years',)","El Paso city, Texas",11.10%,sex_and_age,±0.4
"('18 to 24 years',)","Fort Worth city, Texas",9.80%,sex_and_age,±0.5
"('18 to 24 years',)","Fresno city, California",11.50%,sex_and_age,±0.6
"('18 to 24 years',)","Houston city, Texas",10.40%,sex_and_age,±0.4
"('18 to 24 years',)","Indianapolis city (balance), Indiana",9.70%,sex_and_age,±0.2
"('18 to 24 years',)","Jacksonville city, Florida",9.50%,sex_and_age,±0.1
"('18 to 24 years',)","Las Vegas city, Nevada",8.40%,sex_and_age,±0.6
"('18 to 24 years',)","Los Angeles city, California",10.80%,sex_and_age,±0.2
"('18 to 24 years',)","Memphis city, Tennessee",10.70%,sex_and_age,±0.4
"('18 to 24 years',)","Milwaukee city, Wisconsin",12.10%,sex_and_age,±0.4
"('18 to 24 years',)","New York city, New York",9.30%,sex_and_age,±0.1
"('18 to 24 years',)","Oklahoma City city, Oklahoma",9.10%,sex_and_age,±0.4
"('18 to 24 years',)","Philadelphia city, Pennsylvania",10.90%,sex_and_age,±0.1
"('18 to 24 years',)","Phoenix city, Arizona",10.00%,sex_and_age,±0.4
"('18 to 24 years',)","Portland city, Oregon",8.50%,sex_and_age,±0.3
"('18 to 24 years',)","San Antonio city, Texas",11.10%,sex_and_age,±0.3
"('18 to 24 years',)","San Diego city, California",11.80%,sex_and_age,±0.4
"('18 to 24 years',)","San Francisco city, California",7.50%,sex_and_age,±0.1
"('18 to 24 years',)","San Jose city, California",9.10%,sex_and_age,±0.4
"('18 to 24 years',)","Seattle city, Washington",11.40%,sex_and_age,±0.7
"('18 to 24 years',)","Tucson city, Arizona",16.00%,sex_and_age,±0.6
"('18 to 24 years',)","Washington city, District of Columbia",12.10%,sex_and_age,±0.1
"('25 to 34 years',)","Albuquerque city, New Mexico",15.70%,sex_and_age,±0.4
"('25 to 34 years',)","Austin city, Texas",22.70%,sex_and_age,±0.5
"('25 to 34 years',)","Baltimore city, Maryland",18.80%,sex_and_age,±0.1
"('25 to 34 years',)","Boston city, Massachusetts",24.00%,sex_and_age,±0.3
"('25 to 34 years',)","Charlotte city, North Carolina",17.60%,sex_and_age,±0.3
"('25 to 34 years',)","Chicago city, Illinois",19.50%,sex_and_age,±0.3
"('25 to 34 years',)","Columbus city, Ohio",20.50%,sex_and_age,±0.5
"('25 to 34 years',)","Dallas city, Texas",18.20%,sex_and_age,±0.5
